1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,169.538465,-93.037365,-116.421981,12.945055,-7.081807,0.732601,7.570208,8.058608,0.244200,-7.081807,-0.278999,2.222222,0
0.001042,166.531872,-8.852747,-145.485718,-2.923077,-5.616606,-2.686203,9.035409,5.616606,3.663004,-8.058608,0.209402,2.231990,0
0.002084,142.479124,79.340661,-162.523081,-19.347985,-2.197802,-5.616606,9.035409,2.686203,6.593407,-8.058608,-0.278999,2.222222,0
0.003125,67.982419,128.448355,-171.208795,-5.985348,1.221001,-7.570208,7.570208,-0.732601,8.058608,-6.593407,0.209402,2.212454,0
0.004167,-20.879121,150.830773,-163.859344,14.058608,4.639805,-8.058608,5.128205,-3.663004,9.035409,-3.663004,0.209402,2.222222,0
0.005208,-102.391211,167.868136,-118.092310,18.791209,7.081807,-7.570208,1.709402,-6.105006,8.058608,-0.244200,0.209402,2.212454,0
0.006250,-142.145058,167.200004,-37.248352,4.593407,9.035409,-6.105006,-1.709402,-7.570208,6.593407,2.686203,0.209402,2.202686,0
0.007292,-156.843960,152.167036,50.945056,-14.058608,9.035409,-3.174603,-4.639805,-8.058608,3.663004,5.616606,0.209402,2.212454,0
0.008333,-170.206597,92.035167,115.419783,-8.769231,8.058608,0.244200,-7.081807,-7.081807,0.732601,7.570208,-0.278999,2.212454,0
0.009375,-167.200004,7.516484,144.817586,5.706960,6.105006,3.663004,-8.058608,-5.128205,-2.686203,9.035409,0.209402,2.231990,0
0.010418,-143.147256,-80.008793,161.186817,22.967033,3.174603,6.105006,-8.058608,-2.197802,-5.616606,9.035409,-0.278999,2.222222,0
0.011458,-67.982419,-129.450552,170.206597,10.439560,-0.732601,8.547009,-6.593407,1.221001,-7.570208,7.081807,-0.278999,2.222222,0
0.012500,20.210989,-151.832970,163.191212,-9.882784,-4.151404,9.035409,-4.151404,4.639805,-8.058608,4.639805,-0.278999,2.222222,0
0.013542,101.723079,-168.536267,117.424178,-15.450549,-6.593407,8.058608,-0.732601,7.081807,-7.570208,1.709402,-0.278999,2.202686,0
0.014584,141.810992,-167.868136,35.578023,-0.974359,-8.058608,6.593407,2.197802,8.547009,-5.616606,-1.709402,-0.278999,2.202686,0
0.015625,155.841762,-153.169234,-52.281320,18.234432,-8.058608,3.663004,5.616606,9.035409,-3.174603,-4.639805,0.209402,2.202686,0
0.016667,169.538465,-92.703299,-117.090113,13.501832,-7.081807,0.732601,7.570208,7.570208,0.244200,-6.593407,0.209402,2.202686,0
