1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,126.109893,106.065936,-181.564839,-16.842491,-4.639805,-3.174603,8.547009,5.128205,4.151404,-7.570208,0.209402,2.837607,0
0.001041,53.951650,166.865938,-167.200004,-15.728938,-1.221001,-6.105006,8.547009,2.197802,6.593407,-7.081807,0.209402,2.827839,0
0.002083,-41.925276,185.573631,-151.164839,6.263736,2.197802,-7.570208,6.593407,-1.221001,8.547009,-5.616606,0.209402,2.837607,0
0.003124,-134.461541,175.217586,-108.070332,24.915751,5.128205,-7.570208,4.151404,-4.151404,8.547009,-2.686203,0.209402,2.818071,0
0.004167,-174.883520,161.854949,-20.210989,12.666667,7.570208,-7.081807,1.221001,-6.593407,7.570208,0.244200,0.209402,2.808303,0
0.005208,-184.571433,137.802201,79.006595,-9.604396,8.547009,-5.128205,-2.197802,-7.570208,5.616606,3.174603,0.209402,2.837607,0
0.006249,-167.868136,86.021980,158.514289,-24.080586,8.547009,-2.197802,-5.128205,-7.570208,2.686203,6.105006,0.209402,2.837607,0
0.007291,-159.182421,-8.518682,178.558246,-1.252747,7.570208,1.221001,-7.081807,-6.593407,-0.244200,8.058608,0.209402,2.827839,0
0.008334,-126.778025,-107.736266,179.894510,20.739927,5.128205,3.663004,-7.570208,-4.151404,-3.174603,8.547009,0.209402,2.827839,0
0.009375,-54.619781,-167.868136,165.529674,20.461538,2.197802,6.593407,-7.570208,-1.221001,-6.105006,8.058608,0.209402,2.818071,0
0.010416,40.589012,-186.575828,150.162641,-2.087912,-1.221001,8.547009,-6.105006,1.709402,-7.570208,6.593407,0.209402,2.827839,0
0.011458,133.459344,-175.885718,107.068134,-21.853480,-3.663004,8.547009,-3.174603,4.639805,-7.570208,3.663004,-0.278999,2.808303,0
0.012500,173.881323,-162.857146,18.206594,-7.655678,-6.593407,7.570208,-0.244200,7.081807,-6.593407,0.732601,0.209402,2.808303,0
0.013541,183.569235,-139.138465,-81.010991,13.501832,-7.570208,6.105006,3.174603,8.547009,-5.128205,-2.197802,0.209402,2.837607,0
0.014583,166.865938,-87.024178,-159.516487,28.256410,-8.058608,3.174603,6.105006,8.547009,-2.197802,-5.128205,0.209402,2.827839,0
0.015624,157.846157,8.184616,-179.560444,5.706960,-6.593407,-0.244200,8.058608,7.081807,0.732601,-7.081807,0.697802,2.827839,0
0.016667,125.775827,106.734068,-181.564839,-16.564103,-4.639805,-3.174603,8.547009,4.639805,4.151404,-7.570208,0.209402,2.827839,0
0.017708,53.617584,167.200004,-167.200004,-15.450549,-1.221001,-6.105006,8.058608,2.197802,7.081807,-7.081807,0.209402,2.827839,0
0.018750,-42.259342,185.573631,-151.164839,6.263736,2.197802,-7.570208,6.593407,-0.732601,8.058608,-5.616606,0.209402,2.827839,0
0.019791,-135.129673,174.883520,-108.070332,24.915751,5.128205,-7.570208,4.151404,-4.151404,8.547009,-2.686203,0.209402,2.818071,0
0.020834,-174.883520,161.854949,-19.542858,12.388278,7.081807,-7.081807,0.732601,-6.593407,7.570208,0.244200,0.209402,2.808303,0
0.021874,-184.237367,137.802201,79.674727,-9.047619,8.547009,-5.128205,-1.709402,-7.570208,5.616606,3.174603,0.209402,2.827839,0
0.022916,-167.868136,85.687914,158.848355,-25.194139,8.547009,-2.197802,-5.128205,-7.570208,3.174603,6.105006,0.209402,2.827839,0
0.023958,-159.182421,-9.520879,179.226378,-1.531136,7.570208,1.221001,-7.081807,-6.593407,-0.244200,7.570208,0.697802,2.837607,0
0.025000,-127.112091,-107.736266,179.894510,21.296703,5.128205,3.663004,-8.058608,-4.151404,-3.174603,8.058608,0.209402,2.837607,0
0.026041,-54.285715,-167.868136,165.863740,19.904762,2.197802,6.593407,-7.570208,-1.221001,-6.105006,8.058608,0.209402,2.827839,0
0.027083,41.257144,-186.575828,149.828575,-1.531136,-1.221001,8.058608,-6.105006,2.197802,-7.570208,6.105006,0.209402,2.837607,0
0.028125,133.793410,-175.885718,106.734068,-21.575092,-4.151404,8.547009,-3.174603,4.639805,-7.081807,3.663004,0.209402,2.818071,0
0.029167,173.881323,-162.857146,17.872528,-7.934066,-6.593407,8.058608,-0.244200,7.081807,-6.593407,0.732601,0.209402,2.808303,0
0.030207,183.235169,-138.804399,-81.010991,13.501832,-7.570208,6.105006,3.174603,8.058608,-5.128205,-2.197802,0.209402,2.837607,0
0.031249,167.200004,-87.024178,-160.184619,28.534799,-8.058608,3.174603,5.616606,8.547009,-2.197802,-5.128205,0.209402,2.837607,0
0.032292,157.846157,8.184616,-179.560444,5.706960,-6.593407,-0.244200,8.058608,7.570208,1.221001,-7.081807,0.209402,2.837607,0
0.033333,126.109893,106.400002,-181.564839,-16.842491,-4.639805,-3.174603,8.547009,5.128205,4.151404,-7.570208,0.209402,2.847375,0
0.034374,53.283518,166.865938,-166.865938,-16.285714,-1.221001,-6.105006,8.058608,2.197802,6.593407,-7.570208,0.209402,2.827839,0
0.035416,-42.259342,185.573631,-151.498904,6.542125,1.709402,-7.570208,6.593407,-1.221001,8.547009,-5.128205,0.209402,2.837607,0
0.036459,-135.129673,174.883520,-108.070332,25.194139,4.639805,-7.570208,3.663004,-3.663004,8.058608,-2.686203,0.209402,2.818071,0
0.037499,-174.883520,161.854949,-19.542858,12.109890,7.570208,-7.081807,1.221001,-6.105006,7.570208,0.244200,0.209402,2.808303,0
