1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-131.789014,171.208795,-68.650551,12.109890,9.523810,-9.035409,0.732601,-8.547009,9.523810,0.732601,0.209402,2.749695,0
0.001042,-149.494509,165.863740,23.885715,-11.831502,10.500611,-6.593407,-3.174603,-10.012210,6.593407,4.151404,-0.278999,2.749695,0
0.002084,-163.191212,123.437365,105.731870,-17.677656,10.989011,-2.686203,-7.081807,-10.012210,3.174603,7.570208,-0.278999,2.769231,0
0.003125,-169.872531,39.920880,143.481322,-1.252747,9.523810,1.221001,-9.035409,-8.547009,-0.732601,10.012210,0.209402,2.778999,0
0.004167,-160.518685,-52.949452,155.507696,21.296703,6.593407,5.616606,-10.500611,-5.128205,-4.639805,10.989011,0.209402,2.769231,0
0.005209,-99.718684,-117.424178,168.870333,17.399267,2.197802,8.547009,-9.523810,-1.221001,-8.058608,10.012210,0.209402,2.769231,0
0.006250,-9.186813,-145.485718,170.540663,-4.871795,-1.709402,10.500611,-7.570208,2.686203,-9.523810,8.058608,-0.278999,2.778999,0
0.007292,84.685716,-160.852751,145.819783,-22.967033,-5.616606,11.477411,-4.151404,6.593407,-10.012210,4.151404,-0.278999,2.759463,0
0.008334,130.786816,-171.876927,67.982419,-7.098901,-9.035409,9.523810,0.244200,9.523810,-9.035409,0.244200,-0.278999,2.749695,0
0.009376,148.826377,-166.865938,-24.887913,16.285714,-10.012210,7.081807,4.151404,10.500611,-6.105006,-3.663004,0.209402,2.749695,0
0.010417,162.523081,-124.105497,-106.734068,22.688645,-10.012210,3.663004,7.570208,10.012210,-2.686203,-7.081807,-0.278999,2.749695,0
0.011458,169.204399,-41.257144,-144.483520,5.985348,-8.547009,-0.244200,10.012210,9.035409,1.221001,-9.523810,-0.278999,2.769231,0
0.012501,159.516487,51.947254,-156.509894,-17.399267,-5.616606,-4.639805,10.989011,6.105006,5.616606,-10.012210,-0.278999,2.769231,0
0.013542,99.050552,116.421981,-169.538465,-12.666667,-1.221001,-8.058608,10.500611,2.197802,9.035409,-9.523810,0.209402,2.759463,0
0.014583,8.184616,144.483520,-171.542861,8.490842,2.686203,-10.012210,8.058608,-1.709402,10.500611,-7.081807,-0.278999,2.778999,0
0.015625,-84.685716,160.184619,-146.487915,26.864469,6.593407,-10.500611,5.128205,-6.105006,10.989011,-3.663004,0.209402,2.769231,0
0.016667,-131.454948,170.874729,-68.650551,12.945055,9.523810,-9.035409,0.244200,-8.547009,9.523810,0.244200,-0.278999,2.749695,0
0.017709,-149.494509,165.863740,23.551649,-11.831502,10.989011,-6.593407,-3.174603,-10.012210,7.081807,4.151404,0.209402,2.749695,0
0.018750,-163.191212,123.437365,105.731870,-17.956044,10.989011,-2.686203,-6.593407,-10.012210,3.174603,8.058608,0.209402,2.769231,0
0.019792,-169.872531,40.589012,143.481322,-1.809524,9.523810,1.221001,-9.523810,-8.547009,-0.732601,9.523810,-0.278999,2.778999,0
0.020834,-160.518685,-52.949452,155.173630,22.131868,6.105006,5.128205,-10.500611,-5.128205,-4.639805,10.989011,0.209402,2.769231,0
0.021875,-99.718684,-117.424178,168.870333,16.842491,2.197802,8.547009,-9.523810,-1.221001,-8.058608,10.012210,0.209402,2.769231,0
0.022917,-9.520879,-145.151652,170.540663,-4.315018,-1.709402,10.500611,-7.570208,2.686203,-10.012210,8.058608,-0.278999,2.788767,0
0.023959,83.015386,-160.518685,145.819783,-22.967033,-6.105006,10.989011,-4.151404,6.593407,-10.012210,4.151404,0.209402,2.769231,0
0.025001,130.786816,-171.876927,67.982419,-7.098901,-9.035409,10.012210,-0.244200,9.035409,-8.547009,0.244200,-0.278999,2.759463,0
0.026042,148.826377,-166.865938,-24.887913,16.285714,-10.012210,7.081807,4.151404,10.500611,-6.105006,-3.663004,-0.278999,2.759463,0
0.027083,162.523081,-124.439563,-106.400002,22.410256,-10.012210,3.663004,7.570208,10.500611,-2.686203,-7.081807,0.209402,2.769231,0
0.028125,169.204399,-41.591210,-144.483520,6.542125,-8.547009,-0.732601,10.012210,9.035409,1.221001,-9.035409,0.209402,2.778999,0
0.029167,159.850553,51.613188,-156.175828,-17.399267,-5.616606,-4.639805,10.989011,6.105006,5.616606,-10.012210,-0.278999,2.769231,0
0.030208,99.384618,116.087915,-169.872531,-12.945055,-1.709402,-8.058608,10.500611,2.197802,8.547009,-9.523810,-0.278999,2.769231,0
0.031250,9.520879,144.483520,-171.542861,7.934066,2.686203,-10.012210,8.058608,-1.709402,10.500611,-7.081807,0.209402,2.778999,0
0.032292,-84.351650,160.184619,-146.487915,27.699634,6.593407,-10.500611,4.639805,-6.105006,10.500611,-3.663004,0.209402,2.759463,0
0.033334,-131.454948,171.208795,-69.318683,11.553114,9.523810,-9.035409,0.732601,-8.547009,9.523810,0.244200,-0.278999,2.749695,0
0.034375,-149.828575,166.197806,23.551649,-12.388278,10.500611,-6.593407,-3.174603,-9.523810,6.593407,4.151404,0.209402,2.749695,0
0.035417,-163.191212,123.771431,105.397805,-18.512821,10.989011,-2.686203,-6.593407,-10.012210,3.174603,7.570208,-0.278999,2.759463,0
0.036459,-169.872531,40.589012,143.481322,-2.087912,9.523810,1.221001,-9.035409,-8.547009,-0.732601,9.523810,0.209402,2.769231,0
0.037500,-160.518685,-51.947254,155.173630,21.575092,6.105006,5.128205,-10.500611,-5.128205,-4.639805,10.989011,0.209402,2.759463,0
0.038541,-100.052749,-117.424178,168.870333,17.399267,2.197802,8.547009,-9.523810,-1.221001,-8.058608,10.012210,-0.278999,2.759463,0
0.039583,-9.854945,-145.485718,170.540663,-4.315018,-1.709402,10.500611,-7.570208,2.686203,-9.523810,8.058608,0.209402,2.778999,0
0.040626,83.683518,-161.186817,146.153849,-22.967033,-5.616606,10.989011,-4.151404,6.593407,-10.012210,4.151404,0.209402,2.759463,0
0.041667,130.786816,-171.542861,67.982419,-6.542125,-9.035409,10.012210,0.244200,9.523810,-8.547009,0.244200,0.209402,2.749695,0
