1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-203.613191,133.793410,80.008793,-2.366300,8.547009,-7.570208,-0.244200,-8.058608,8.058608,0.732601,-0.278999,3.609280,0
0.001042,-179.560444,83.015386,164.527476,-21.018315,9.523810,-5.616606,-3.663004,-9.035409,5.616606,4.151404,-0.278999,3.579976,0
0.002084,-157.178025,-8.184616,196.597807,-6.820513,9.523810,-1.709402,-7.081807,-9.035409,1.709402,7.570208,-0.278999,3.579976,0
0.003125,-124.439563,-110.074728,193.257147,15.728938,8.058608,1.709402,-9.035409,-7.570208,-1.709402,8.547009,-0.278999,3.609280,0
0.004167,-62.303298,-187.243960,166.865938,30.205128,4.639805,5.128205,-9.523810,-4.639805,-5.128205,9.523810,-0.278999,3.589744,0
0.005208,41.591210,-203.279125,149.160443,2.923077,1.221001,8.058608,-8.547009,-0.732601,-7.081807,8.547009,-0.278999,3.589744,0
0.006251,134.795607,-188.246158,103.393409,-17.120879,-2.197802,9.035409,-6.105006,2.686203,-8.547009,6.105006,-0.278999,3.589744,0
0.007292,191.920883,-163.525278,23.551649,-14.615385,-6.105006,9.523810,-3.174603,6.105006,-9.035409,2.686203,-1.255800,3.579976,0
0.008334,201.608796,-135.797805,-82.013189,8.490842,-8.058608,8.058608,0.244200,8.547009,-7.570208,-0.244200,-0.767399,3.599512,0
0.009377,178.224180,-85.019782,-166.197806,27.699634,-9.523810,5.616606,4.151404,9.523810,-5.128205,-4.151404,-0.278999,3.589744,0
0.010417,155.507696,5.846154,-198.268136,12.388278,-9.523810,2.197802,7.081807,9.035409,-1.709402,-7.081807,-0.278999,3.589744,0
0.011459,122.435168,107.736266,-195.261543,-11.274725,-7.570208,-1.221001,9.035409,7.570208,1.709402,-9.035409,0.209402,3.609280,0
0.012500,61.301100,185.573631,-169.204399,-25.472527,-4.639805,-5.128205,10.012210,4.639805,5.128205,-9.035409,0.209402,3.599512,0
0.013542,-43.595605,199.604400,-150.496707,1.531136,-0.732601,-7.570208,9.035409,1.221001,7.570208,-8.547009,0.209402,3.589744,0
0.014584,-137.134069,186.909894,-105.731870,21.018315,2.686203,-9.035409,6.593407,-2.686203,8.547009,-6.105006,0.209402,3.599512,0
0.015625,-193.257147,161.520883,-26.224176,20.461538,6.105006,-9.035409,3.174603,-5.616606,9.035409,-2.686203,-0.278999,3.579976,0
0.016667,-203.613191,133.793410,78.672529,-2.366300,8.547009,-8.058608,0.244200,-8.058608,8.058608,0.732601,0.697802,3.589744,0
0.017710,-180.228575,83.015386,164.193410,-21.296703,9.523810,-5.128205,-3.663004,-9.035409,5.128205,3.663004,-0.278999,3.628816,0
0.018752,-157.512091,-7.516484,195.929675,-7.377289,9.523810,-1.709402,-7.081807,-9.035409,2.197802,7.081807,-0.278999,3.589744,0
0.019792,-124.439563,-109.406596,193.257147,16.285714,7.570208,1.221001,-8.547009,-7.081807,-1.221001,9.035409,-0.767399,3.619048,0
0.020834,-62.971430,-186.575828,166.865938,30.483516,4.639805,5.128205,-10.012210,-5.128205,-5.128205,9.523810,-0.278999,3.599512,0
0.021876,41.591210,-201.274730,149.160443,4.036630,0.732601,8.058608,-8.547009,-1.221001,-7.570208,8.547009,-0.278999,3.589744,0
0.022917,134.127476,-188.246158,103.727475,-15.728938,-2.197802,9.035409,-6.593407,2.686203,-8.547009,6.105006,0.209402,3.589744,0
0.023959,191.586817,-163.191212,25.221979,-16.007326,-6.105006,9.523810,-3.174603,6.105006,-9.035409,2.686203,-0.278999,3.570208,0
0.025000,201.608796,-136.131871,-80.676925,7.377289,-8.058608,8.058608,0.244200,8.058608,-7.570208,-0.244200,-0.278999,3.579976,0
0.026043,178.224180,-85.687914,-164.861542,26.586081,-9.035409,5.616606,4.151404,9.523810,-5.128205,-4.151404,-0.278999,3.579976,0
0.027084,156.509894,4.843956,-198.602202,13.780220,-9.035409,2.197802,7.081807,9.035409,-1.709402,-7.081807,-0.767399,3.550672,0
0.028125,123.103299,107.402200,-195.929675,-13.501832,-7.570208,-1.221001,9.035409,7.570208,1.709402,-8.547009,-0.278999,3.609280,0
0.029167,61.635166,184.905499,-169.204399,-26.029304,-4.639805,-4.639805,10.012210,4.639805,5.128205,-9.523810,-0.278999,3.609280,0
0.030210,-42.927473,199.938466,-151.164839,0.139194,-1.221001,-7.570208,9.035409,1.221001,8.058608,-8.547009,-0.278999,3.589744,0
0.031251,-136.131871,187.243960,-106.065936,21.296703,2.686203,-9.035409,6.105006,-2.686203,9.035409,-6.105006,-0.278999,3.579976,0
0.032292,-193.257147,161.520883,-26.558242,21.018315,6.105006,-9.523810,3.174603,-6.105006,9.523810,-2.686203,0.209402,3.570208,0
0.033334,-202.945059,134.127476,78.672529,-1.531136,8.547009,-8.058608,-0.244200,-8.547009,8.058608,0.244200,0.209402,3.579976,0
0.034375,-180.562641,84.017584,163.525278,-22.688645,9.523810,-5.616606,-3.174603,-9.035409,5.128205,3.663004,0.209402,3.570208,0
0.035417,-157.512091,-6.848352,195.929675,-7.377289,9.523810,-1.709402,-7.081807,-8.547009,1.709402,7.081807,0.209402,3.579976,0
0.036458,-124.439563,-109.406596,193.591213,16.842491,8.058608,1.709402,-9.035409,-7.081807,-1.221001,9.035409,0.697802,3.609280,0
0.037500,-63.639562,-185.907696,166.865938,30.483516,4.639805,5.128205,-9.523810,-4.639805,-5.128205,9.523810,-0.767399,3.677656,0
0.038542,40.589012,-201.608796,148.826377,4.315018,1.221001,8.058608,-8.547009,-0.732601,-7.570208,8.547009,-0.767399,3.599512,0
0.039583,133.793410,-188.246158,104.061541,-16.842491,-2.197802,8.547009,-6.593407,2.686203,-8.547009,6.105006,-1.744200,3.599512,0
0.040627,191.920883,-163.525278,25.556045,-17.677656,-6.105006,9.523810,-3.174603,6.105006,-9.035409,2.686203,-0.278999,3.579976,0
0.041669,201.608796,-136.131871,-80.008793,7.655678,-8.547009,8.547009,0.244200,8.547009,-8.058608,-0.244200,-0.278999,3.589744,0
0.042709,178.558246,-85.687914,-164.861542,26.864469,-9.523810,5.616606,3.663004,9.035409,-5.128205,-3.663004,-0.278999,3.579976,0
0.043750,155.173630,4.843956,-197.934070,12.945055,-9.035409,2.197802,7.081807,9.523810,-1.709402,-7.081807,-0.278999,3.579976,0
0.044794,122.769234,106.734068,-194.593411,-11.274725,-7.570208,-1.221001,9.035409,7.570208,1.709402,-8.547009,-0.278999,3.609280,0
0.045834,61.635166,184.237367,-169.872531,-25.194139,-4.639805,-4.639805,10.012210,4.639805,5.128205,-9.035409,0.209402,3.599512,0
0.046875,-43.929671,199.604400,-151.498904,-0.139194,-0.732601,-7.570208,9.035409,1.221001,7.570208,-8.058608,-0.278999,3.550672,0
0.047917,-135.129673,187.243960,-106.400002,21.296703,2.686203,-9.035409,6.593407,-2.197802,9.035409,-6.105006,-0.278999,3.599512,0
0.048958,-193.257147,161.854949,-27.894506,21.018315,6.593407,-9.035409,3.174603,-5.616606,9.523810,-2.686203,-0.278999,3.589744,0
0.050001,-203.613191,134.461541,78.004397,-0.974359,8.547009,-8.547009,0.244200,-8.547009,8.058608,0.732601,-0.278999,3.619048,0
0.051042,-180.228575,84.017584,163.191212,-22.688645,9.523810,-5.616606,-3.663004,-9.035409,5.616606,4.151404,-0.278999,3.589744,0
0.052083,-157.178025,-5.846154,195.929675,-8.490842,9.523810,-2.197802,-7.081807,-9.035409,1.709402,7.081807,0.209402,3.579976,0
0.053125,-124.439563,-108.404398,193.925279,16.285714,8.058608,1.709402,-8.547009,-7.570208,-1.709402,8.547009,0.209402,3.609280,0
0.054167,-64.307694,-186.241762,167.200004,30.761905,5.128205,5.128205,-9.523810,-4.151404,-5.128205,9.035409,0.209402,3.589744,0
0.055208,39.586814,-201.608796,148.492311,4.036630,1.221001,8.058608,-8.547009,-1.221001,-7.081807,8.058608,-0.278999,3.589744,0
0.056250,133.459344,-189.248356,104.395607,-16.285714,-2.197802,9.035409,-6.105006,2.686203,-8.547009,6.105006,-0.767399,3.599512,0
0.057292,192.254949,-163.191212,25.890110,-18.234432,-6.105006,9.523810,-3.174603,6.105006,-9.035409,3.174603,-0.278999,3.579976,0
0.058334,201.942862,-136.131871,-79.674727,7.377289,-8.058608,8.058608,0.244200,8.547009,-8.058608,-0.244200,-0.767399,3.589744,0
0.059375,178.558246,-86.021980,-164.527476,27.421245,-9.035409,5.616606,3.663004,9.523810,-5.128205,-3.663004,-0.278999,3.599512,0
0.060417,155.841762,4.175824,-198.268136,13.780220,-9.523810,2.197802,7.081807,9.523810,-1.709402,-7.081807,-0.278999,3.579976,0
0.061459,123.771431,106.065936,-195.595609,-10.717949,-7.570208,-1.221001,9.035409,7.570208,1.221001,-8.547009,0.209402,3.609280,0
0.062500,62.303298,184.571433,-169.538465,-26.029304,-4.639805,-5.128205,10.012210,4.639805,5.128205,-9.523810,-0.278999,3.589744,0
0.063542,-41.591210,199.938466,-151.164839,0.417582,-0.732601,-7.570208,9.035409,1.221001,8.058608,-8.058608,0.209402,3.579976,0
0.064583,-135.463739,187.243960,-106.400002,21.296703,2.197802,-8.547009,6.593407,-2.197802,9.035409,-6.105006,0.209402,3.589744,0
0.065626,-193.591213,161.520883,-29.230770,21.296703,6.105006,-9.523810,3.174603,-6.105006,9.035409,-2.686203,0.209402,3.579976,0
0.066667,-203.279125,134.461541,77.002200,-1.252747,8.547009,-8.547009,-0.244200,-8.058608,8.058608,0.732601,-0.278999,3.599512,0
0.067710,-180.562641,84.351650,162.189015,-18.512821,9.523810,-5.616606,-3.663004,-9.035409,5.616606,4.151404,-0.278999,3.589744,0
0.068750,-157.512091,-4.843956,196.263741,-9.047619,9.523810,-2.197802,-7.081807,-9.035409,2.197802,7.081807,-1.744200,3.599512,0
0.069792,-125.107695,-107.736266,193.925279,13.780220,7.570208,1.221001,-9.035409,-7.081807,-1.221001,9.035409,-0.278999,3.599512,0
0.070834,-64.307694,-185.239565,167.868136,31.040293,4.639805,5.128205,-9.523810,-4.639805,-5.128205,9.523810,-0.278999,3.599512,0
0.071875,38.918682,-201.608796,149.494509,4.593407,1.221001,7.570208,-9.035409,-1.221001,-7.570208,8.547009,-0.278999,3.579976,0
0.072917,132.791212,-188.914290,105.063739,-16.564103,-2.197802,9.523810,-6.105006,2.197802,-9.035409,6.105006,-0.278999,3.589744,0
0.073960,191.586817,-163.191212,27.226374,-16.564103,-6.105006,9.523810,-3.174603,5.616606,-9.523810,3.174603,-0.278999,3.570208,0
0.075000,201.942862,-136.800003,-79.340661,6.542125,-8.547009,8.547009,0.244200,8.547009,-8.058608,-0.244200,-0.278999,3.589744,0
0.076042,179.560444,-87.024178,-164.193410,28.256410,-9.035409,5.616606,3.663004,9.035409,-5.128205,-4.151404,-0.767399,3.589744,0
0.077083,155.841762,3.507692,-198.602202,11.831502,-9.035409,2.197802,7.081807,9.035409,-2.197802,-7.081807,-0.767399,3.589744,0
