1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,163.859344,-1.503297,-147.156047,-3.758242,-5.128205,-2.686203,9.035409,4.639805,3.663004,-8.058608,-0.767399,2.192918,0
0.001041,135.129673,89.028573,-161.520883,-18.791209,-2.197802,-6.105006,8.547009,2.197802,6.593407,-8.058608,-1.255800,2.192918,0
0.002083,56.624177,133.125278,-171.208795,-5.150183,1.221001,-7.570208,7.081807,-0.732601,8.058608,-6.593407,-0.278999,2.192918,0
0.003126,-29.898902,152.501102,-161.186817,8.490842,4.639805,-8.547009,4.639805,-4.151404,8.547009,-3.663004,-0.278999,2.173382,0
0.004166,-103.727475,166.531872,-109.406596,16.285714,7.081807,-7.570208,0.732601,-6.593407,7.570208,-0.244200,-0.278999,2.163614,0
0.005208,-142.479124,167.534070,-25.556045,0.695971,8.547009,-6.105006,-2.197802,-8.058608,6.105006,2.686203,-0.278999,2.173382,0
0.006250,-159.850553,147.824179,62.971430,-14.336996,9.035409,-3.174603,-5.128205,-8.058608,3.174603,5.616606,-0.278999,2.153846,0
0.007292,-170.874729,83.349452,117.090113,-8.490842,7.570208,0.244200,-7.081807,-7.081807,-0.244200,8.058608,-0.278999,2.163614,0
0.008333,-165.529674,-0.167033,144.483520,7.655678,5.616606,3.663004,-8.547009,-4.639805,-3.174603,8.547009,-0.278999,2.183150,0
0.009375,-136.131871,-91.367035,159.182421,22.131868,2.686203,6.593407,-8.058608,-1.709402,-6.105006,8.547009,-0.278999,2.183150,0
0.010416,-57.626375,-133.793410,171.876927,10.717949,-0.732601,8.058608,-6.593407,1.221001,-8.058608,7.081807,-0.767399,2.192918,0
0.011459,28.896704,-153.837366,160.184619,-10.439560,-4.151404,8.547009,-4.151404,4.639805,-8.058608,4.151404,-0.278999,2.212454,0
0.012500,102.057145,-168.202202,108.070332,-16.007326,-7.081807,8.058608,-0.732601,7.081807,-7.570208,0.732601,-0.767399,2.173382,0
0.013541,141.476926,-168.536267,24.219781,2.923077,-8.058608,6.105006,2.197802,8.058608,-5.616606,-2.197802,-0.767399,2.163614,0
0.014586,158.514289,-148.158245,-64.975826,18.512821,-8.547009,3.174603,5.616606,8.547009,-3.174603,-5.616606,-0.767399,2.173382,0
0.015629,169.872531,-84.351650,-118.426376,10.717949,-7.081807,0.244200,8.058608,7.081807,0.244200,-9.035409,-0.767399,2.173382,0
0.016668,163.525278,-1.169231,-146.821981,-4.036630,-5.128205,-3.174603,8.547009,5.128205,3.663004,-8.058608,-0.278999,2.183150,0
0.017708,134.795607,88.026376,-161.854949,-19.347985,-2.197802,-6.105006,8.547009,2.686203,6.593407,-8.058608,-0.767399,2.183150,0
0.018750,56.624177,132.457146,-171.542861,-4.315018,1.221001,-8.058608,7.081807,-1.221001,8.058608,-6.593407,-2.721001,2.192918,0
0.019791,-29.230770,152.501102,-160.852751,14.336996,4.639805,-8.547009,4.151404,-4.151404,8.547009,-4.151404,-0.767399,2.183150,0
0.020833,-103.393409,166.865938,-109.406596,16.564103,7.081807,-8.058608,1.221001,-6.593407,8.058608,-0.244200,2.163004,2.183150,0
0.021875,-142.479124,167.200004,-25.890110,-1.531136,8.547009,-6.105006,-1.709402,-8.058608,5.616606,2.686203,-0.767399,2.163614,0
0.022917,-159.182421,147.824179,62.971430,-14.893773,8.547009,-3.174603,-5.616606,-8.058608,3.174603,5.616606,-0.278999,2.163614,0
0.023958,-170.540663,84.017584,116.421981,-8.212454,8.058608,0.244200,-7.081807,-7.081807,-1.221001,7.570208,-0.278999,2.163614,0
0.025000,-165.195608,0.835165,144.483520,7.934066,5.616606,3.174603,-8.547009,-4.639805,-3.174603,8.547009,-0.278999,2.183150,0
0.026043,-136.465937,-89.362639,159.850553,22.410256,2.686203,6.105006,-8.058608,-2.197802,-6.105006,8.547009,-0.278999,2.183150,0
0.027084,-58.294507,-133.793410,169.538465,8.490842,-0.732601,8.058608,-7.081807,1.221001,-7.570208,6.593407,-0.767399,2.183150,0
0.028125,27.894506,-153.837366,161.520883,-10.996337,-4.151404,9.035409,-4.151404,4.639805,-8.547009,4.151404,-0.767399,2.183150,0
