1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-123.437365,175.217586,-114.417585,23.523810,4.151404,-8.058608,4.151404,-3.663004,8.058608,-3.663004,-0.278999,2.769231,0
0.001042,-171.876927,161.854949,-30.901100,14.893773,7.081807,-7.570208,0.732601,-6.593407,7.081807,-0.244200,-0.278999,2.759463,0
0.002084,-184.571433,139.472531,70.989013,-7.377289,8.058608,-5.616606,-2.197802,-8.058608,6.105006,2.686203,-0.278999,2.778999,0
0.003125,-170.206597,92.369233,151.164839,-23.523810,8.547009,-3.174603,-4.639805,-8.058608,3.174603,5.616606,0.209402,2.769231,0
0.004167,-159.516487,1.503297,174.883520,-1.809524,7.081807,0.244200,-7.570208,-7.081807,-0.244200,7.570208,-0.278999,2.778999,0
0.005209,-130.118684,-97.714288,178.558246,19.626374,5.128205,3.174603,-8.058608,-4.639805,-3.174603,8.058608,-0.767399,2.798535,0
0.006250,-63.973628,-166.197806,165.195608,22.688645,2.197802,6.105006,-8.058608,-2.197802,-6.105006,7.570208,-0.278999,2.808303,0
0.007292,29.230770,-185.239565,151.164839,1.531136,-1.221001,8.058608,-6.593407,1.221001,-7.570208,6.593407,-0.278999,2.788767,0
0.008333,122.101102,-176.219784,112.747255,-19.904762,-3.663004,8.058608,-4.151404,4.151404,-8.058608,3.663004,-0.278999,2.778999,0
0.009376,170.206597,-163.191212,29.564836,-10.717949,-6.593407,7.570208,-0.732601,6.593407,-7.081807,0.732601,-0.278999,2.759463,0
0.010417,182.901103,-141.142860,-72.659342,11.274725,-8.058608,6.105006,2.197802,8.058608,-5.128205,-2.197802,-0.278999,2.778999,0
0.011459,169.204399,-93.705497,-151.832970,27.421245,-8.058608,3.174603,5.616606,8.547009,-2.686203,-5.128205,0.209402,2.769231,0
0.012500,157.512091,-3.173626,-181.564839,7.934066,-7.570208,-0.244200,7.570208,7.081807,0.244200,-7.081807,-0.278999,2.769231,0
0.013542,129.116486,95.375826,-180.228575,-14.336996,-5.128205,-3.174603,8.547009,5.128205,3.663004,-7.570208,-0.767399,2.808303,0
0.014583,63.305496,165.195608,-166.531872,-17.677656,-2.197802,-6.105006,8.547009,2.197802,6.105006,-7.570208,-0.767399,2.778999,0
0.015625,-30.232968,183.569235,-152.835168,3.479853,1.221001,-8.058608,6.593407,-1.221001,8.058608,-6.105006,-0.767399,2.798535,0
0.016667,-122.769234,175.217586,-114.751651,24.080586,4.151404,-8.058608,4.151404,-3.663004,8.058608,-3.663004,-0.278999,2.769231,0
0.017709,-171.542861,161.854949,-31.569231,14.893773,6.593407,-7.570208,0.732601,-6.105006,7.570208,-0.732601,-0.278999,2.759463,0
0.018750,-184.571433,140.140662,70.989013,-7.934066,8.058608,-5.616606,-2.197802,-8.058608,5.616606,2.197802,-0.278999,2.778999,0
0.019792,-170.540663,93.037365,150.830773,-23.523810,8.547009,-2.686203,-5.128205,-8.058608,2.686203,5.128205,-0.278999,2.769231,0
0.020834,-160.518685,2.171429,175.217586,-3.479853,7.570208,0.244200,-7.081807,-7.081807,-0.244200,7.081807,-0.278999,2.769231,0
0.021875,-130.786816,-96.712090,178.224180,18.234432,5.616606,3.663004,-8.058608,-4.639805,-3.174603,7.570208,-0.278999,2.788767,0
0.022917,-64.307694,-166.531872,164.861542,21.853480,2.197802,6.593407,-8.058608,-1.709402,-6.105006,8.058608,-0.767399,2.788767,0
0.023958,28.896704,-185.239565,150.830773,1.809524,-0.732601,8.058608,-6.593407,1.709402,-7.570208,6.593407,-0.767399,2.798535,0
0.025000,121.432970,-176.553850,113.415387,-19.626374,-3.663004,8.547009,-4.151404,4.151404,-7.570208,3.663004,-0.767399,2.788767,0
0.026042,170.206597,-163.191212,29.898902,-10.161172,-6.593407,8.058608,-0.732601,6.593407,-7.081807,0.732601,-0.767399,2.798535,0
0.027084,182.901103,-141.476926,-72.325276,7.098901,-8.058608,6.105006,2.686203,8.058608,-5.616606,-2.197802,-0.278999,2.788767,0
0.028125,169.872531,-94.373628,-152.167036,27.699634,-8.058608,3.174603,5.128205,8.058608,-3.174603,-5.128205,-0.278999,2.778999,0
0.029170,158.514289,-2.505495,-176.887916,6.820513,-7.081807,-0.244200,7.570208,7.081807,0.244200,-7.081807,-0.278999,2.769231,0
0.030208,129.116486,95.041760,-179.894510,-13.501832,-5.128205,-3.174603,8.547009,5.128205,3.174603,-8.058608,-0.278999,2.788767,0
0.031250,63.973628,165.529674,-166.531872,-18.512821,-2.197802,-5.616606,8.547009,2.197802,6.105006,-7.570208,0.209402,2.778999,0
0.032292,-29.898902,183.569235,-153.503300,2.366300,1.221001,-7.570208,7.081807,-0.732601,7.570208,-6.105006,-0.278999,2.788767,0
0.033334,-122.435168,174.883520,-115.753849,24.915751,4.151404,-8.058608,4.639805,-3.663004,8.058608,-3.663004,-0.278999,2.847375,0
0.034375,-171.542861,161.854949,-32.237363,15.728938,6.593407,-7.570208,1.221001,-6.593407,7.570208,-0.244200,-0.278999,2.769231,0
0.035417,-184.237367,140.140662,69.986815,-7.655678,8.058608,-6.105006,-2.197802,-7.570208,5.616606,2.686203,1.186203,2.798535,0
0.036458,-170.874729,93.371431,150.496707,-22.967033,8.547009,-2.686203,-5.128205,-8.058608,3.174603,5.616606,-0.278999,2.769231,0
0.037501,-159.850553,3.173626,174.883520,-4.315018,7.570208,0.244200,-7.081807,-7.081807,-0.244200,7.570208,-0.278999,2.769231,0
0.038546,-130.452750,-96.712090,178.224180,17.956044,5.128205,3.174603,-8.058608,-4.639805,-3.174603,8.058608,-0.767399,2.788767,0
0.039583,-65.309892,-166.197806,165.529674,22.688645,2.686203,6.105006,-8.058608,-1.709402,-5.616606,7.570208,-0.278999,2.788767,0
0.040626,27.226374,-184.905499,151.498904,2.366300,-0.732601,8.058608,-6.593407,1.221001,-8.058608,6.593407,-0.278999,2.788767,0
0.041667,120.764838,-176.887916,113.081321,-19.347985,-4.151404,8.058608,-3.663004,4.151404,-7.570208,3.663004,-0.767399,2.778999,0
0.042708,170.540663,-163.859344,30.567034,-11.274725,-6.593407,7.570208,-0.732601,6.593407,-7.570208,0.732601,-3.209402,2.769231,0
0.043750,182.901103,-140.808794,-71.991210,11.831502,-8.058608,6.105006,2.197802,8.058608,-5.616606,-2.197802,-0.767399,2.798535,0
0.044792,169.872531,-95.375826,-151.164839,28.256410,-8.547009,3.174603,5.128205,8.547009,-2.686203,-5.128205,-1.255800,2.778999,0
0.045833,158.514289,-4.175824,-176.553850,7.377289,-7.570208,-0.732601,7.570208,7.570208,0.244200,-7.081807,-0.278999,2.769231,0
0.046875,129.450552,94.373628,-179.894510,-14.058608,-5.128205,-3.174603,8.058608,5.128205,3.174603,-7.570208,-0.278999,2.778999,0
0.047917,65.309892,164.861542,-167.200004,-18.791209,-1.709402,-6.593407,8.058608,2.197802,6.105006,-8.058608,-0.278999,2.778999,0
0.048959,-28.896704,183.903301,-153.169234,2.087912,1.221001,-8.058608,6.593407,-0.732601,7.570208,-6.593407,-0.278999,2.788767,0
0.050000,-122.101102,175.551652,-115.419783,22.967033,4.151404,-8.058608,4.151404,-4.151404,8.058608,-3.663004,-0.278999,2.769231,0
0.051042,-171.542861,165.195608,-32.905495,15.450549,7.081807,-7.570208,1.221001,-6.105006,7.570208,-0.732601,-0.278999,2.759463,0
0.052083,-184.905499,140.140662,70.989013,-7.377289,8.058608,-5.616606,-1.709402,-7.570208,6.105006,2.686203,-0.278999,2.788767,0
0.053133,-171.208795,92.703299,149.828575,-23.523810,8.547009,-3.174603,-5.128205,-8.058608,2.686203,5.616606,-0.278999,2.769231,0
0.054177,-159.516487,0.835165,175.217586,-3.479853,7.570208,0.732601,-7.081807,-6.593407,-0.244200,7.570208,-0.278999,2.778999,0
0.055210,-130.786816,-95.709892,178.558246,16.007326,5.128205,3.174603,-8.058608,-4.639805,-3.174603,8.058608,-0.767399,2.808303,0
0.056252,-65.643958,-166.197806,164.861542,22.131868,2.197802,6.593407,-7.081807,-1.709402,-6.105006,8.058608,-0.278999,2.778999,0
0.057294,27.226374,-184.905499,151.832970,2.923077,-0.732601,8.058608,-6.593407,1.221001,-7.570208,6.593407,-0.278999,2.788767,0
0.058335,120.096706,-176.887916,113.749453,-19.347985,-4.151404,8.547009,-4.151404,3.663004,-8.058608,3.663004,-0.767399,2.778999,0
0.059377,169.872531,-163.525278,31.569231,-11.831502,-6.593407,7.570208,-0.732601,6.593407,-7.570208,0.732601,-0.278999,2.759463,0
0.060418,186.241762,-142.145058,-70.320881,10.996337,-8.058608,6.105006,2.197802,8.058608,-5.616606,-2.197802,-0.278999,2.788767,0
0.061460,169.872531,-92.703299,-150.496707,28.256410,-8.547009,3.174603,5.128205,8.058608,-2.686203,-5.128205,-0.278999,2.778999,0
0.062502,158.514289,-5.512088,-177.221982,8.212454,-7.570208,-0.244200,7.570208,7.570208,0.732601,-7.081807,-0.767399,2.778999,0
0.063543,129.450552,94.373628,-180.228575,-14.058608,-5.128205,-2.686203,8.547009,5.128205,3.174603,-8.058608,-0.767399,2.788767,0
0.064585,64.975826,164.861542,-167.200004,-17.956044,-2.197802,-6.105006,8.058608,2.197802,6.105006,-7.570208,-0.278999,2.798535,0
0.065625,-27.560440,183.235169,-153.837366,-0.417582,1.221001,-8.058608,6.593407,-0.732601,8.058608,-6.593407,-0.278999,2.778999,0
0.066667,-120.764838,175.885718,-116.087915,23.523810,4.151404,-8.058608,4.151404,-3.663004,8.058608,-3.663004,-0.278999,2.769231,0
0.067708,-170.874729,162.189015,-33.907693,15.728938,6.593407,-7.570208,1.221001,-6.593407,7.570208,-0.732601,-0.278999,2.759463,0
0.068751,-184.571433,140.808794,68.650551,-7.377289,8.058608,-6.105006,-2.197802,-8.058608,6.593407,2.686203,0.209402,2.778999,0
0.069794,-170.874729,94.373628,149.160443,-24.080586,8.547009,-3.174603,-5.128205,-8.058608,2.686203,5.128205,-0.278999,2.769231,0
0.070835,-160.184619,4.175824,175.217586,-5.150183,7.570208,0.244200,-7.081807,-7.081807,-0.244200,7.570208,-0.278999,2.769231,0
0.071877,-131.454948,-95.041760,176.887916,18.234432,5.616606,3.663004,-8.058608,-4.639805,-3.174603,8.547009,-0.278999,2.788767,0
0.072920,-65.978023,-166.531872,164.861542,22.967033,2.197802,6.593407,-8.058608,-1.709402,-6.105006,8.058608,-0.767399,2.788767,0
0.073963,26.892308,-187.912092,151.498904,2.644689,-1.221001,8.058608,-6.593407,1.709402,-7.570208,6.593407,-0.767399,2.788767,0
0.075001,119.428574,-176.887916,114.083519,-18.791209,-4.151404,8.058608,-3.663004,4.151404,-7.570208,3.663004,-0.767399,2.788767,0
0.076044,169.872531,-163.525278,32.237363,-10.161172,-6.593407,7.570208,-0.732601,6.593407,-7.570208,0.732601,-0.278999,2.769231,0
0.077085,183.235169,-142.145058,-69.986815,11.274725,-8.058608,6.105006,2.197802,8.058608,-5.616606,-2.197802,-0.278999,2.788767,0
0.078131,169.872531,-95.375826,-150.830773,28.534799,-8.058608,3.174603,5.128205,7.081807,-3.174603,-5.128205,-0.278999,2.769231,0
0.079169,158.514289,-5.512088,-176.219784,9.326007,-7.081807,0.244200,7.570208,7.081807,0.732601,-7.081807,-0.278999,2.769231,0
0.080211,129.116486,93.037365,-180.562641,-14.058608,-5.128205,-3.174603,8.547009,5.128205,3.663004,-8.058608,-0.278999,2.778999,0
0.081252,65.978023,164.527476,-167.534070,-19.347985,-1.709402,-6.105006,8.547009,2.197802,6.105006,-7.570208,-0.278999,2.778999,0
0.082295,-28.228572,183.235169,-153.837366,1.809524,1.221001,-7.570208,6.593407,-0.732601,8.058608,-6.105006,-0.278999,2.778999,0
0.083338,-120.764838,175.551652,-115.753849,23.523810,4.151404,-8.058608,4.151404,-4.151404,8.058608,-3.174603,-0.278999,2.788767,0
0.084377,-171.208795,162.189015,-33.907693,15.728938,6.593407,-7.570208,1.221001,-6.105006,7.570208,-0.244200,-0.767399,2.778999,0
0.085421,-184.237367,141.142860,69.318683,-5.985348,8.058608,-6.105006,-2.197802,-8.058608,5.616606,2.686203,-0.767399,2.788767,0
0.086460,-171.542861,94.707694,148.826377,-26.307692,8.058608,-3.174603,-5.128205,-8.058608,3.174603,5.128205,-0.767399,2.769231,0
0.087503,-159.850553,4.843956,174.883520,-3.758242,7.570208,0.244200,-7.081807,-7.081807,-0.244200,7.570208,-0.278999,2.769231,0
0.088544,-131.120882,-94.373628,178.892312,18.512821,5.128205,3.663004,-8.547009,-4.639805,-3.174603,8.058608,-0.278999,2.778999,0
0.089587,-66.980221,-165.863740,165.195608,22.688645,2.197802,6.105006,-8.058608,-2.197802,-6.105006,7.570208,-0.278999,2.778999,0
0.090627,25.221979,-186.241762,152.501102,2.644689,-0.732601,8.058608,-6.593407,1.221001,-7.570208,5.616606,-0.278999,2.788767,0
0.091668,118.426376,-177.221982,114.083519,-19.069597,-4.151404,8.058608,-3.663004,4.151404,-7.570208,4.151404,-0.278999,2.778999,0
0.092710,169.872531,-163.525278,32.571429,-11.553114,-6.593407,7.570208,-0.732601,6.593407,-7.081807,0.732601,-0.278999,2.788767,0
0.093752,182.901103,-142.479124,-68.984617,12.666667,-8.058608,6.105006,2.197802,8.058608,-5.616606,-2.197802,-0.767399,2.798535,0
