1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,176.553850,-123.103299,-114.083519,19.347985,-8.058608,4.639805,4.151404,8.547009,-3.663004,-3.663004,-0.767399,2.788767,0
0.001043,164.527476,-46.602199,-168.202202,18.791209,-8.058608,1.709402,6.593407,7.570208,-1.221001,-6.593407,-0.767399,2.778999,0
0.002084,146.487915,51.947254,-183.569235,-4.036630,-6.105006,-1.709402,8.058608,6.105006,2.197802,-7.570208,-0.278999,2.788767,0
0.003125,104.395607,137.134069,-172.879125,-21.853480,-3.663004,-4.639805,8.547009,3.663004,5.128205,-7.570208,-0.278999,2.778999,0
0.004167,16.202198,172.879125,-163.191212,-7.655678,-0.244200,-7.081807,7.570208,0.244200,7.081807,-7.081807,-0.278999,2.769231,0
0.005209,-84.685716,182.232971,-135.129673,14.615385,3.174603,-7.570208,5.616606,-2.686203,8.058608,-4.639805,-0.278999,2.778999,0
0.006250,-161.854949,165.195608,-77.002200,26.307692,5.616606,-7.570208,2.197802,-5.616606,8.058608,-2.197802,-0.278999,2.749695,0
0.007292,-180.562641,154.505498,18.206594,4.315018,8.058608,-6.593407,-0.244200,-7.570208,7.081807,1.221001,-0.278999,2.759463,0
0.008334,-178.558246,120.096706,111.745057,-16.285714,8.547009,-4.151404,-3.663004,-8.058608,4.639805,3.663004,-0.278999,2.778999,0
0.009375,-165.529674,45.600001,165.863740,-15.172161,8.058608,-1.221001,-6.593407,-7.570208,1.221001,6.593407,-0.767399,2.778999,0
0.010417,-147.824179,-52.949452,182.232971,6.820513,6.593407,2.197802,-8.058608,-6.105006,-1.709402,8.058608,-0.767399,2.798535,0
0.011458,-105.397805,-138.804399,171.542861,26.864469,3.663004,5.128205,-8.058608,-3.174603,-4.639805,8.058608,0.697802,2.788767,0
0.012501,-17.204396,-174.215389,161.854949,15.450549,0.244200,7.081807,-7.570208,-0.244200,-7.081807,7.081807,-0.278999,2.778999,0
0.013542,83.015386,-183.235169,133.793410,-10.439560,-2.686203,8.058608,-5.616606,2.686203,-7.570208,5.128205,-0.278999,2.778999,0
0.014583,161.520883,-166.197806,75.665936,-22.967033,-5.616606,8.058608,-2.197802,5.616606,-8.058608,2.686203,-0.767399,2.749695,0
0.015625,179.560444,-155.841762,-18.874726,-0.417582,-7.570208,7.081807,1.221001,7.570208,-6.593407,-0.732601,-0.278999,2.759463,0
0.016667,177.890114,-121.767036,-113.081321,21.018315,-8.058608,4.639805,3.663004,8.547009,-4.151404,-4.151404,-0.278999,2.769231,0
0.017709,164.193410,-46.936265,-167.868136,17.956044,-7.570208,1.709402,6.593407,8.058608,-1.221001,-6.593407,-0.278999,2.769231,0
0.018750,146.487915,51.279122,-183.903301,-4.871795,-6.593407,-1.709402,8.058608,6.105006,2.197802,-8.058608,-0.767399,2.788767,0
0.019792,104.395607,137.134069,-172.879125,-18.512821,-3.663004,-4.639805,8.547009,3.663004,5.128205,-8.058608,-0.767399,2.778999,0
0.020834,16.202198,172.879125,-163.191212,-8.212454,-0.244200,-7.081807,7.570208,0.732601,7.570208,-7.081807,-0.278999,2.778999,0
0.021875,-84.351650,182.232971,-135.463739,16.007326,2.686203,-8.058608,5.128205,-2.686203,8.058608,-4.639805,-0.767399,2.808303,0
0.022917,-162.189015,165.195608,-77.670331,26.307692,5.616606,-8.058608,2.686203,-5.128205,8.058608,-1.709402,-0.278999,2.759463,0
0.023959,-180.228575,154.839564,17.872528,5.428571,7.570208,-6.593407,-0.732601,-7.570208,7.081807,1.221001,-0.278999,2.759463,0
0.025001,-177.890114,120.430772,111.076926,-16.564103,8.547009,-4.151404,-3.663004,-8.058608,4.151404,4.151404,-0.278999,2.769231,0
0.026042,-165.863740,45.934067,166.531872,-14.058608,8.058608,-1.221001,-6.105006,-7.570208,1.709402,6.593407,-0.278999,2.769231,0
0.027083,-148.158245,-51.947254,182.232971,8.769231,6.593407,2.197802,-8.058608,-6.105006,-1.709402,8.058608,-0.278999,2.778999,0
0.028125,-106.065936,-138.804399,171.208795,26.307692,3.663004,5.128205,-8.058608,-3.663004,-4.639805,8.547009,-0.278999,2.778999,0
0.029167,-16.870330,-174.215389,161.520883,11.831502,0.732601,7.570208,-7.570208,-0.244200,-7.081807,7.570208,-0.767399,2.778999,0
0.030208,83.015386,-183.569235,134.127476,-14.336996,-2.686203,8.058608,-5.128205,2.686203,-7.570208,5.128205,-0.767399,2.778999,0
0.031250,160.852751,-166.197806,76.334068,-22.410256,-5.616606,8.058608,-2.197802,5.616606,-7.570208,2.197802,-0.278999,2.788767,0
0.032292,179.226378,-155.841762,-19.208792,0.695971,-7.570208,7.081807,1.221001,7.570208,-6.593407,-0.732601,-0.767399,2.759463,0
0.033333,176.553850,-121.767036,-113.081321,20.183150,-8.547009,4.151404,3.663004,8.058608,-4.151404,-3.663004,-0.278999,2.769231,0
0.034375,164.527476,-47.270331,-167.868136,18.512821,-8.058608,1.709402,6.593407,7.570208,-1.221001,-6.593407,-0.767399,2.769231,0
0.035417,147.490113,50.945056,-183.569235,-5.150183,-6.105006,-1.709402,8.547009,6.593407,2.197802,-7.570208,-0.278999,2.778999,0
0.036459,104.395607,136.800003,-172.879125,-22.131868,-3.663004,-4.639805,8.547009,3.663004,5.128205,-8.058608,-0.278999,2.769231,0
