1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-145.485718,168.870333,-38.584616,5.985348,10.012210,-8.547009,-0.244200,-9.035409,8.547009,1.709402,0.209402,2.769231,0
0.001041,-155.507696,157.178025,53.951650,-17.399267,10.989011,-5.616606,-4.639805,-10.012210,5.616606,5.616606,0.209402,2.769231,0
0.002084,-170.206597,96.043958,119.762640,-10.996337,10.500611,-1.709402,-8.058608,-9.035409,2.197802,8.547009,0.209402,2.769231,0
0.003126,-170.540663,6.180220,144.817586,8.769231,8.547009,2.686203,-9.523810,-7.570208,-2.197802,10.012210,0.209402,2.788767,0
0.004167,-149.160443,-83.683518,159.182421,26.864469,5.128205,6.593407,-10.012210,-3.663004,-6.105006,10.989011,-0.278999,2.788767,0
0.005208,-71.323079,-132.457146,171.208795,11.553114,0.732601,9.523810,-9.035409,0.244200,-8.547009,9.035409,-0.278999,2.778999,0
0.006250,22.215385,-151.164839,166.865938,-12.388278,-3.174603,10.989011,-6.105006,4.151404,-10.012210,6.593407,-0.278999,2.778999,0
0.007292,106.734068,-166.865938,122.101102,-17.956044,-6.593407,10.500611,-2.686203,7.570208,-10.012210,3.174603,0.209402,2.778999,0
0.008333,144.149454,-169.872531,36.914287,-1.531136,-9.035409,9.035409,1.709402,10.012210,-8.058608,-1.221001,0.209402,2.769231,0
0.009375,154.171432,-158.514289,-54.953847,21.853480,-10.012210,6.105006,5.616606,10.500611,-5.128205,-4.639805,-0.278999,2.759463,0
0.010417,169.204399,-97.380222,-121.098904,16.007326,-9.523810,2.197802,8.547009,10.500611,-0.732601,-8.058608,-0.278999,2.769231,0
0.011459,169.538465,-6.848352,-146.487915,-4.315018,-7.570208,-2.197802,10.500611,8.058608,2.686203,-9.523810,-0.278999,2.778999,0
0.012500,148.158245,82.681321,-160.518685,-23.523810,-4.151404,-5.616606,10.989011,4.639805,6.593407,-10.012210,0.209402,2.778999,0
0.013542,69.986815,131.454948,-172.545059,-6.820513,-0.244200,-8.547009,9.523810,0.732601,9.523810,-8.547009,0.209402,2.769231,0
0.014584,-23.551649,150.162641,-168.202202,16.285714,4.151404,-10.012210,7.081807,-3.174603,10.500611,-6.105006,0.209402,2.778999,0
0.015625,-107.736266,165.863740,-123.437365,22.967033,7.570208,-10.012210,3.174603,-7.081807,10.500611,-2.197802,0.209402,2.769231,0
0.016667,-145.485718,168.536267,-37.916484,5.706960,10.012210,-8.058608,-0.732601,-9.035409,9.035409,1.709402,0.209402,2.769231,0
0.017708,-155.507696,157.178025,53.951650,-17.399267,10.989011,-5.128205,-4.639805,-10.012210,5.616606,5.128205,0.209402,2.759463,0
0.018751,-170.206597,95.375826,119.762640,-11.553114,10.500611,-1.221001,-8.058608,-9.035409,1.709402,8.547009,0.209402,2.769231,0
0.019791,-170.540663,6.180220,144.817586,8.212454,8.547009,2.686203,-10.012210,-7.570208,-2.197802,10.500611,0.209402,2.778999,0
0.020833,-148.826377,-84.017584,159.182421,27.421245,5.128205,6.593407,-10.500611,-3.663004,-6.105006,10.989011,-0.278999,2.788767,0
0.021875,-71.323079,-132.123080,171.542861,12.109890,0.732601,9.523810,-9.035409,0.244200,-8.547009,9.523810,-0.278999,2.778999,0
0.022917,22.883517,-151.498904,166.865938,-12.388278,-3.174603,10.989011,-6.105006,4.151404,-10.012210,6.593407,-0.278999,2.788767,0
0.023959,106.400002,-167.200004,121.767036,-17.956044,-7.081807,10.500611,-2.197802,7.570208,-9.523810,2.686203,0.209402,2.778999,0
0.025000,144.149454,-169.872531,36.580221,-1.252747,-9.523810,9.035409,1.709402,9.523810,-8.058608,-0.732601,0.209402,2.769231,0
0.026042,154.505498,-158.180223,-55.956045,21.853480,-10.500611,5.616606,5.128205,10.989011,-5.128205,-5.128205,0.209402,2.759463,0
0.027084,169.538465,-96.712090,-121.098904,14.615385,-9.523810,2.197802,8.547009,10.012210,-1.221001,-7.570208,0.209402,2.778999,0
0.028125,169.204399,-6.848352,-146.487915,-4.036630,-7.570208,-1.709402,10.500611,8.058608,3.174603,-9.523810,0.209402,2.788767,0
0.029166,147.824179,83.349452,-160.852751,-23.802198,-4.151404,-6.105006,10.989011,4.639805,6.593407,-10.012210,-0.278999,2.788767,0
0.030209,69.652749,131.454948,-172.545059,-7.098901,-0.244200,-9.035409,9.523810,0.732601,9.523810,-8.547009,0.209402,2.778999,0
0.031250,-23.551649,150.162641,-168.202202,16.564103,4.151404,-10.012210,7.081807,-3.174603,10.989011,-5.616606,0.209402,2.778999,0
