1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,227.665939,-139.472531,-47.604397,17.120879,-4.151404,10.012210,-3.663004,5.616606,-8.058608,4.639805,1.674603,4.205128,0
0.001042,209.960444,-88.026376,-140.474728,10.161172,-6.593407,9.035409,-0.244200,8.058608,-7.570208,1.709402,1.674603,4.214896,0
0.002083,173.213191,-21.547253,-202.610994,9.047619,-7.570208,7.081807,3.663004,9.523810,-5.128205,-1.709402,2.651404,4.205128,0
0.003125,128.782420,80.342859,-223.323082,-13.501832,-8.058608,4.151404,6.593407,9.523810,-2.197802,-5.128205,1.674603,4.214896,0
0.004167,71.323079,165.529674,-195.595609,-4.315018,-7.081807,0.732601,9.035409,8.547009,1.221001,-7.081807,1.674603,4.214896,0
0.005209,-5.178022,224.993412,-154.171432,0.695971,-4.639805,-2.686203,10.012210,6.105006,4.639805,-8.058608,1.674603,4.185592,0
0.006250,-109.406596,216.975829,-111.745057,17.956044,-1.221001,-5.616606,9.523810,3.174603,6.593407,-7.570208,1.674603,4.205128,0
0.007292,-183.235169,185.239565,-43.261539,7.377289,1.709402,-7.570208,8.058608,-0.244200,8.547009,-6.105006,2.163004,4.214896,0
0.008333,-225.661543,142.479124,49.608792,-14.058608,5.616606,-8.547009,5.128205,-3.663004,10.012210,-3.663004,1.674603,4.205128,0
0.009376,-207.287917,91.032969,142.813190,-6.542125,8.058608,-7.570208,1.709402,-6.105006,9.035409,-0.244200,1.674603,4.214896,0
0.010417,-170.206597,24.219781,204.615389,-4.871795,9.523810,-5.128205,-2.197802,-7.570208,7.081807,2.686203,2.163004,4.205128,0
0.011458,-126.443959,-78.004397,225.661543,16.842491,10.012210,-2.197802,-5.128205,-8.058608,3.663004,6.593407,1.674603,4.195360,0
0.012500,-68.984617,-162.857146,197.934070,8.212454,9.035409,0.732601,-7.081807,-7.081807,0.732601,8.547009,1.674603,4.214896,0
0.013542,8.184616,-222.654950,156.843960,2.644689,6.105006,4.639805,-8.058608,-4.151404,-3.174603,9.523810,1.674603,4.185592,0
0.014583,112.079123,-213.635170,113.749453,-13.223443,3.174603,7.081807,-8.058608,-1.709402,-5.128205,9.035409,1.674603,4.214896,0
0.015625,186.241762,-182.567037,44.931869,-3.479853,-0.244200,9.523810,-6.593407,2.197802,-7.081807,7.570208,-0.767399,4.224664,0
0.016667,228.334071,-139.806597,-46.936265,17.399267,-4.151404,10.012210,-3.663004,5.616606,-8.058608,5.128205,1.186203,4.205128,0
0.017708,210.294510,-88.026376,-141.142860,10.439560,-6.593407,9.035409,-0.244200,8.058608,-7.570208,1.709402,1.674603,4.214896,0
0.018750,173.213191,-21.213187,-202.276928,7.934066,-7.570208,6.593407,3.663004,9.523810,-5.128205,-2.197802,1.674603,4.205128,0
0.019792,128.782420,81.010991,-222.654950,-13.780220,-8.058608,4.151404,6.593407,9.035409,-2.197802,-5.128205,1.674603,4.205128,0
0.020834,70.989013,165.863740,-195.595609,-4.036630,-7.081807,0.732601,9.035409,8.547009,0.732601,-6.593407,2.163004,4.214896,0
0.021875,-5.846154,226.329675,-153.837366,1.252747,-4.151404,-3.174603,10.012210,6.105006,4.639805,-8.058608,1.674603,4.195360,0
0.022918,-109.406596,216.307697,-113.415387,18.512821,-1.709402,-5.616606,9.523810,3.174603,7.081807,-7.570208,1.674603,4.205128,0
0.023958,-183.569235,185.239565,-43.261539,6.820513,1.709402,-7.570208,8.058608,-0.244200,9.035409,-6.105006,1.674603,4.253968,0
0.025000,-225.661543,142.145058,49.942858,-13.780220,5.616606,-8.547009,5.128205,-3.663004,10.012210,-3.174603,1.674603,4.214896,0
0.026042,-207.621983,90.698903,143.481322,-7.098901,8.058608,-7.570208,1.709402,-6.593407,9.035409,-0.244200,1.674603,4.224664,0
0.027083,-170.540663,23.885715,205.283521,-5.706960,9.523810,-5.128205,-1.709402,-7.570208,6.593407,3.663004,1.674603,4.205128,0
0.028125,-126.109893,-78.338463,225.327478,17.399267,9.523810,-2.197802,-5.128205,-8.058608,4.151404,6.593407,1.674603,4.205128,0
0.029167,-67.982419,-162.523081,197.934070,7.098901,8.547009,0.732601,-7.081807,-7.081807,0.732601,8.547009,1.674603,4.224664,0
0.030208,8.184616,-222.320884,156.175828,2.087912,6.105006,4.639805,-8.547009,-4.151404,-3.174603,9.523810,1.674603,4.195360,0
0.031250,112.413189,-213.635170,113.749453,-13.223443,3.174603,7.081807,-8.058608,-1.709402,-5.128205,9.523810,1.674603,4.205128,0
0.032293,186.241762,-184.237367,45.934067,-3.758242,-0.244200,9.035409,-6.593407,1.709402,-7.081807,7.570208,1.674603,4.205128,0
0.033334,228.668137,-139.806597,-47.270331,18.512821,-3.663004,10.012210,-3.663004,5.128205,-8.058608,4.639805,1.674603,4.214896,0
0.034375,209.960444,-87.692310,-141.142860,9.326007,-6.593407,9.523810,-0.244200,7.570208,-7.570208,1.709402,1.674603,4.244200,0
0.035417,172.879125,-21.213187,-202.945059,7.377289,-8.058608,7.081807,3.663004,9.523810,-5.128205,-2.197802,1.674603,4.205128,0
0.036458,128.782420,80.342859,-222.989016,-12.945055,-7.570208,4.151404,6.593407,9.523810,-2.686203,-4.639805,1.674603,4.234432,0
0.037501,71.323079,165.529674,-195.595609,-3.758242,-7.081807,0.732601,8.547009,8.547009,0.732601,-7.081807,1.674603,4.214896,0
0.038542,-5.512088,225.327478,-153.837366,0.974359,-4.639805,-3.174603,10.012210,5.616606,4.639805,-8.058608,1.674603,4.195360,0
0.039589,-111.076926,215.973631,-110.742860,17.677656,-1.709402,-5.616606,9.523810,3.174603,7.081807,-8.058608,1.674603,4.205128,0
0.040633,-184.571433,184.571433,-41.925276,6.820513,1.709402,-7.570208,8.058608,-0.244200,9.035409,-6.105006,1.674603,4.205128,0
0.041669,-224.993412,141.810992,50.945056,-13.780220,5.616606,-8.547009,5.128205,-3.663004,10.012210,-3.174603,1.674603,4.205128,0
0.042708,-207.621983,90.030771,143.815388,-6.542125,8.058608,-7.570208,2.197802,-6.105006,9.035409,-0.244200,1.674603,4.214896,0
0.043750,-169.872531,23.551649,205.951653,-4.593407,9.523810,-5.128205,-1.709402,-7.570208,7.081807,3.174603,1.674603,4.205128,0
0.044792,-126.443959,-78.004397,225.661543,17.120879,10.012210,-2.197802,-5.128205,-8.058608,4.151404,6.593407,1.674603,4.283272,0
0.045840,-67.648353,-163.859344,196.597807,6.820513,8.547009,1.221001,-7.081807,-7.081807,0.732601,8.547009,3.139805,4.224664,0
0.046877,8.518682,-222.989016,155.841762,3.201465,6.105006,4.639805,-8.547009,-4.151404,-3.174603,9.523810,1.674603,4.214896,0
0.047917,112.747255,-213.635170,113.749453,-13.780220,3.663004,6.105006,-8.058608,-1.709402,-5.128205,9.035409,1.674603,4.195360,0
0.048959,186.575828,-182.232971,44.931869,-4.036630,-0.244200,9.035409,-6.593407,1.709402,-7.081807,7.570208,1.674603,4.214896,0
0.050000,228.334071,-139.472531,-47.938463,17.120879,-4.151404,10.012210,-3.663004,5.616606,-8.547009,4.639805,1.674603,4.205128,0
0.051042,209.960444,-87.692310,-141.142860,10.717949,-6.593407,9.035409,-0.244200,8.058608,-7.570208,1.709402,1.674603,4.224664,0
0.052083,172.545059,-20.545055,-202.610994,8.212454,-8.058608,6.593407,3.174603,9.523810,-5.128205,-1.709402,2.163004,4.205128,0
0.053126,128.782420,79.674727,-222.320884,-13.780220,-8.058608,4.151404,6.593407,9.523810,-2.197802,-6.105006,2.163004,4.205128,0
0.054167,71.991210,165.195608,-195.261543,-3.201465,-7.081807,0.732601,9.035409,8.547009,0.732601,-6.593407,1.674603,4.214896,0
0.055208,-5.846154,225.661543,-154.171432,0.417582,-4.151404,-3.174603,10.012210,6.105006,4.639805,-8.058608,1.674603,4.214896,0
0.056250,-109.740662,216.641763,-111.745057,19.069597,-1.709402,-5.616606,9.523810,3.174603,7.081807,-7.570208,1.674603,4.205128,0
0.057292,-183.569235,184.905499,-42.593408,7.934066,2.197802,-7.570208,8.058608,-0.244200,9.035409,-6.105006,1.674603,4.234432,0
0.058333,-225.327478,141.810992,50.610990,-13.780220,5.616606,-8.058608,5.128205,-4.151404,10.012210,-3.174603,1.674603,4.214896,0
0.059375,-207.287917,90.698903,143.147256,-7.098901,7.570208,-7.570208,1.709402,-6.593407,9.035409,-0.244200,1.674603,4.214896,0
0.060417,-170.206597,23.885715,205.283521,-4.871795,9.523810,-5.128205,-1.709402,-8.058608,6.593407,3.174603,1.674603,4.205128,0
0.061459,-126.109893,-78.338463,225.327478,16.007326,10.012210,-2.197802,-5.128205,-8.058608,3.663004,6.105006,1.674603,4.205128,0
0.062500,-68.984617,-162.523081,197.600004,7.098901,8.547009,0.732601,-7.570208,-7.081807,0.244200,8.547009,2.163004,4.214896,0
0.063542,8.184616,-222.654950,156.843960,2.366300,6.105006,4.639805,-8.547009,-4.639805,-3.174603,9.523810,1.674603,4.185592,0
0.064584,113.415387,-213.635170,114.083519,-11.553114,3.174603,7.081807,-8.058608,-1.709402,-5.128205,9.035409,1.674603,4.195360,0
0.065625,186.575828,-182.567037,44.931869,-4.315018,-0.244200,9.035409,-6.105006,2.197802,-7.570208,7.570208,1.186203,4.224664,0
0.066666,228.000005,-139.138465,-48.272529,17.677656,-4.151404,10.012210,-3.174603,5.128205,-8.547009,4.639805,1.674603,4.214896,0
0.067708,210.294510,-88.360442,-140.808794,10.717949,-6.593407,9.035409,-0.244200,8.058608,-7.570208,1.709402,1.674603,4.244200,0
0.068750,172.879125,-20.879121,-202.945059,7.377289,-8.058608,6.105006,3.174603,9.523810,-5.128205,-2.197802,1.674603,4.205128,0
0.069792,128.448355,81.010991,-222.989016,-14.058608,-8.547009,4.151404,6.593407,10.012210,-2.197802,-4.639805,1.674603,4.205128,0
0.070833,71.323079,165.529674,-195.595609,-3.758242,-7.081807,0.732601,9.035409,8.547009,0.732601,-7.081807,2.163004,4.224664,0
0.071875,-5.846154,225.327478,-153.837366,0.974359,-4.151404,-3.174603,9.523810,6.105006,4.639805,-8.058608,2.163004,4.195360,0
0.072917,-110.074728,216.975829,-112.079123,17.956044,-1.709402,-5.616606,9.523810,3.174603,7.081807,-7.570208,1.674603,4.205128,0
0.073958,-183.903301,185.239565,-42.593408,7.377289,2.197802,-7.570208,8.058608,-0.244200,9.035409,-6.105006,1.674603,4.205128,0
0.075000,-225.327478,141.810992,50.610990,-13.223443,5.616606,-8.547009,5.128205,-3.663004,9.523810,-3.663004,1.674603,4.214896,0
0.076042,-207.287917,90.364837,143.481322,-7.377289,8.058608,-7.570208,2.197802,-6.105006,9.035409,-0.244200,1.674603,4.234432,0
0.077084,-170.540663,23.551649,205.283521,-3.758242,9.523810,-5.128205,-1.709402,-8.058608,6.593407,3.174603,2.163004,4.205128,0
0.078125,-126.109893,-78.672529,225.327478,17.120879,9.523810,-2.197802,-5.128205,-8.058608,4.151404,6.593407,1.674603,4.214896,0
0.079167,-68.316485,-162.857146,197.600004,6.820513,8.547009,0.732601,-7.081807,-7.081807,0.732601,8.547009,1.674603,4.224664,0
0.080208,8.518682,-222.654950,156.175828,1.809524,6.105006,4.639805,-8.547009,-4.151404,-3.174603,9.523810,1.674603,4.195360,0
0.081251,113.081321,-213.635170,113.749453,-12.945055,3.174603,7.081807,-8.058608,-1.709402,-5.128205,9.035409,1.674603,4.205128,0
0.082292,186.575828,-182.232971,45.265935,-4.315018,-0.244200,9.035409,-6.105006,2.197802,-7.081807,7.570208,1.674603,4.205128,0
0.083333,228.000005,-139.138465,-47.938463,17.120879,-4.151404,10.012210,-3.663004,5.616606,-8.547009,4.639805,1.674603,4.205128,0
0.084375,209.960444,-87.692310,-140.808794,10.439560,-6.593407,9.523810,-0.244200,7.570208,-7.570208,1.709402,1.674603,4.214896,0
0.085417,173.213191,-21.213187,-202.945059,8.212454,-7.570208,7.081807,3.174603,9.523810,-5.128205,-1.709402,1.674603,4.195360,0
0.086458,128.782420,81.010991,-223.323082,-14.058608,-8.058608,3.663004,6.593407,10.012210,-2.197802,-4.639805,2.651404,4.224664,0
0.087500,70.989013,165.529674,-195.595609,-4.315018,-7.081807,0.732601,9.035409,8.547009,1.221001,-6.593407,2.163004,4.224664,0
0.088542,-6.180220,225.661543,-153.503300,1.252747,-4.639805,-3.174603,10.012210,6.105006,4.639805,-8.058608,1.674603,4.205128,0
0.089584,-110.074728,216.307697,-111.745057,17.120879,-1.709402,-5.616606,9.523810,3.174603,7.081807,-7.570208,1.674603,4.205128,0
0.090630,-184.571433,184.571433,-41.925276,5.985348,1.709402,-7.570208,8.058608,-0.244200,9.035409,-6.105006,1.674603,4.205128,0
0.091671,-225.327478,141.476926,51.613188,-12.945055,6.105006,-8.547009,5.128205,-4.151404,10.012210,-3.174603,1.674603,4.214896,0
0.092709,-207.287917,90.698903,143.815388,-7.377289,8.058608,-7.570208,2.197802,-6.105006,9.035409,-0.244200,1.674603,4.214896,0
0.093750,-169.872531,23.885715,205.283521,-4.871795,9.523810,-5.128205,-1.709402,-8.058608,6.593407,3.174603,2.163004,4.205128,0
0.094792,-125.775827,-78.672529,225.661543,17.399267,9.523810,-2.686203,-5.128205,-8.058608,4.151404,6.593407,2.163004,4.205128,0
0.095839,-66.980221,-163.859344,196.931873,6.820513,8.547009,1.221001,-7.081807,-7.081807,0.732601,8.547009,1.674603,4.214896,0
0.096876,8.518682,-222.989016,155.507696,2.366300,6.105006,4.639805,-8.547009,-4.639805,-3.174603,9.523810,1.674603,4.205128,0
0.097917,113.081321,-213.301104,113.749453,-11.831502,3.174603,7.081807,-8.058608,-1.221001,-5.128205,9.035409,1.674603,4.195360,0
0.098958,186.575828,-182.567037,44.931869,-3.201465,-0.244200,9.035409,-6.593407,1.709402,-7.570208,8.058608,-2.232601,4.224664,0
0.100000,228.334071,-139.472531,-47.604397,16.564103,-4.151404,10.012210,-3.663004,5.128205,-8.058608,4.639805,1.674603,4.195360,0
0.101042,209.960444,-88.026376,-141.810992,10.717949,-6.593407,9.035409,-0.244200,8.058608,-7.570208,1.709402,1.674603,4.214896,0
0.102083,172.879125,-20.545055,-203.613191,7.934066,-8.058608,6.593407,3.174603,9.523810,-5.128205,-1.709402,1.674603,4.205128,0
0.103125,128.448355,81.010991,-222.989016,-14.336996,-8.058608,3.663004,6.593407,10.012210,-2.197802,-6.105006,1.674603,4.205128,0
0.104167,71.657144,165.529674,-195.261543,-3.758242,-7.081807,0.732601,9.035409,8.547009,0.732601,-7.081807,2.163004,4.214896,0
0.105209,-5.846154,225.661543,-153.503300,1.531136,-4.639805,-3.174603,10.012210,6.105006,4.639805,-8.058608,2.163004,4.185592,0
0.106250,-109.740662,216.307697,-111.745057,18.512821,-1.709402,-5.616606,9.523810,3.174603,7.081807,-7.570208,1.674603,4.205128,0
0.107291,-183.903301,184.905499,-42.927473,7.934066,1.709402,-7.570208,8.058608,-0.244200,8.547009,-6.105006,1.674603,4.224664,0
