1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,156.843960,66.312089,-157.178025,-4.871795,-4.639805,-5.128205,11.477411,5.616606,6.105006,-10.500611,0.697802,2.769231,0
0.001041,88.026376,121.767036,-171.542861,9.047619,-0.732601,-8.058608,10.500611,1.709402,9.035409,-9.035409,0.697802,2.759463,0
0.002082,-2.839561,147.824179,-167.868136,9.882784,3.174603,-9.523810,8.058608,-2.197802,10.500611,-6.105006,1.186203,2.769231,0
0.003124,-96.043958,161.520883,-139.138465,1.531136,7.081807,-10.012210,4.151404,-6.105006,10.989011,-2.686203,0.697802,2.759463,0
0.004166,-136.465937,171.542861,-52.281320,-4.871795,10.012210,-8.547009,0.244200,-8.547009,9.035409,1.221001,1.186203,2.749695,0
0.005207,-149.494509,162.857146,36.246155,-3.479853,10.989011,-5.616606,-3.663004,-10.012210,6.105006,5.128205,0.697802,2.739927,0
0.006249,-166.865938,112.747255,112.079123,9.326007,11.965812,-2.197802,-7.081807,-9.523810,2.686203,8.547009,0.697802,2.749695,0
0.007291,-169.538465,27.560440,141.476926,17.677656,9.035409,3.663004,-9.523810,-8.058608,-0.732601,10.012210,0.697802,2.778999,0
0.008332,-155.173630,-64.307694,158.180223,5.428571,6.105006,6.105006,-10.500611,-4.639805,-5.128205,11.477411,0.209402,2.769231,0
0.009374,-86.021980,-120.096706,172.210993,-6.263736,1.709402,9.523810,-9.523810,-0.244200,-8.547009,10.012210,0.697802,2.769231,0
0.010416,4.509890,-146.821981,169.872531,-7.934066,-2.197802,11.477411,-7.081807,3.174603,-10.012210,8.058608,0.697802,2.769231,0
0.011457,96.712090,-160.184619,140.140662,1.531136,-6.105006,11.477411,-3.174603,7.081807,-10.012210,3.663004,0.697802,2.759463,0
0.012499,138.470333,-170.540663,53.617584,7.377289,-8.547009,9.523810,0.732601,9.523810,-8.058608,-0.244200,0.697802,2.749695,0
0.013541,151.164839,-161.520883,-35.578023,6.820513,-10.012210,6.593407,4.639805,10.989011,-5.616606,-4.151404,0.697802,2.739927,0
0.014583,168.870333,-111.745057,-111.076926,-7.098901,-10.012210,3.174603,8.058608,10.500611,-1.709402,-7.081807,0.697802,2.778999,0
0.015624,170.540663,-26.224176,-140.474728,-14.893773,-8.058608,-0.732601,10.500611,9.035409,2.197802,-9.035409,0.697802,2.778999,0
0.016666,156.843960,65.978023,-156.843960,-4.871795,-4.639805,-5.128205,11.965812,5.616606,6.593407,-10.012210,0.697802,2.769231,0
0.017707,88.360442,121.432970,-171.542861,9.604396,-0.732601,-8.058608,10.500611,1.709402,9.523810,-8.547009,0.697802,2.818071,0
0.018749,-3.173626,148.492311,-168.536267,8.490842,3.174603,-10.012210,8.058608,-2.197802,10.989011,-6.593407,0.697802,2.778999,0
0.019790,-95.375826,161.854949,-138.804399,0.417582,7.081807,-10.012210,4.151404,-6.105006,10.989011,-3.174603,0.697802,2.759463,0
0.020832,-136.800003,171.876927,-51.947254,-5.428571,9.523810,-8.547009,0.244200,-9.035409,9.035409,1.221001,0.697802,2.749695,0
0.021874,-150.162641,163.525278,35.912089,-4.871795,10.989011,-5.616606,-3.663004,-9.523810,6.593407,5.128205,0.697802,2.739927,0
0.022916,-166.865938,112.413189,112.747255,9.326007,10.989011,-1.709402,-7.081807,-9.523810,2.686203,8.058608,1.186203,2.749695,0
0.023957,-169.204399,27.226374,141.476926,17.956044,9.523810,2.197802,-9.035409,-8.058608,-1.221001,10.500611,0.697802,2.769231,0
0.024999,-155.173630,-64.641760,158.180223,6.263736,6.105006,6.593407,-10.500611,-4.639805,-5.128205,10.989011,0.697802,2.798535,0
0.026041,-86.021980,-120.430772,172.210993,-5.150183,1.709402,9.523810,-9.523810,-0.244200,-8.058608,10.012210,0.209402,2.759463,0
0.027083,4.509890,-147.156047,170.540663,-7.377289,-2.686203,10.989011,-7.081807,3.663004,-10.012210,7.570208,0.209402,2.769231,0
0.028124,97.714288,-160.184619,139.806597,1.809524,-6.105006,10.989011,-3.174603,7.081807,-9.523810,4.151404,1.674603,2.769231,0
0.029166,138.470333,-170.206597,52.281320,6.820513,-8.547009,9.523810,0.732601,10.012210,-8.058608,0.244200,0.209402,2.739927,0
0.030207,151.498904,-161.520883,-35.243957,6.542125,-10.012210,6.593407,5.128205,10.989011,-5.616606,-4.151404,0.209402,2.739927,0
0.031250,168.536267,-111.410991,-111.076926,-7.098901,-10.012210,3.174603,8.547009,10.500611,-2.197802,-7.081807,0.697802,2.749695,0
0.032290,170.206597,-25.556045,-140.140662,-14.893773,-8.058608,-1.221001,11.477411,8.547009,2.197802,-9.035409,0.697802,2.769231,0
0.033332,156.175828,66.312089,-156.843960,-4.593407,-4.639805,-5.128205,11.477411,5.616606,6.593407,-10.012210,1.186203,2.769231,0
0.034381,86.690112,122.435168,-171.208795,7.655678,-0.732601,-8.547009,10.500611,1.709402,9.035409,-8.547009,0.697802,2.749695,0
0.035421,-4.175824,148.492311,-168.536267,10.161172,3.663004,-10.012210,8.058608,-2.686203,10.500611,-7.081807,0.697802,2.759463,0
0.036457,-96.043958,162.523081,-138.804399,2.087912,7.081807,-10.012210,4.151404,-6.105006,10.989011,-2.686203,0.697802,2.759463,0
0.037499,-137.134069,171.876927,-51.279122,-4.593407,9.523810,-8.547009,0.732601,-8.547009,9.035409,0.732601,0.697802,2.749695,0
0.038541,-149.494509,162.857146,36.914287,-4.315018,10.500611,-5.616606,-4.151404,-10.012210,6.105006,5.128205,0.697802,2.739927,0
0.039582,-167.200004,112.747255,112.413189,8.212454,10.989011,-1.709402,-7.081807,-9.523810,3.174603,8.058608,0.697802,2.749695,0
0.040629,-169.204399,25.556045,141.476926,16.007326,9.035409,1.709402,-9.035409,-7.570208,-1.221001,10.012210,0.209402,2.837607,0
0.041666,-154.839564,-64.641760,158.180223,6.820513,6.105006,6.105006,-10.500611,-4.639805,-5.128205,10.989011,0.697802,2.759463,0
0.042707,-86.021980,-120.764838,172.210993,-6.263736,1.709402,9.035409,-9.035409,-1.221001,-8.058608,10.012210,0.697802,2.749695,0
0.043749,5.178022,-147.156047,169.538465,-7.934066,-2.197802,10.989011,-7.081807,3.174603,-9.523810,7.570208,0.697802,2.769231,0
0.044791,97.714288,-160.184619,138.470333,2.087912,-6.105006,10.989011,-3.174603,7.081807,-9.523810,3.663004,0.697802,2.749695,0
0.045832,138.470333,-170.206597,52.949452,7.655678,-8.547009,9.523810,0.732601,9.523810,-8.058608,-0.244200,4.605006,2.749695,0
0.046874,151.164839,-161.520883,-35.578023,7.934066,-10.012210,6.593407,5.128205,10.989011,-5.128205,-4.151404,0.209402,2.749695,0
0.047915,168.536267,-111.076926,-111.745057,-6.263736,-9.523810,3.174603,8.547009,10.500611,-1.709402,-7.081807,0.209402,2.759463,0
0.048957,170.540663,-25.221979,-140.140662,-14.893773,-8.058608,-1.221001,10.500611,8.547009,2.197802,-9.035409,-2.721001,2.778999,0
0.049999,156.509894,66.646155,-157.178025,-5.150183,-4.639805,-5.128205,11.477411,5.616606,6.105006,-10.012210,0.697802,2.759463,0
0.051041,88.026376,121.432970,-171.208795,8.212454,-0.732601,-8.058608,10.500611,1.709402,9.035409,-8.547009,1.186203,2.759463,0
0.052082,-3.173626,148.492311,-168.202202,9.604396,3.174603,-10.012210,8.058608,-2.197802,10.500611,-6.593407,0.697802,2.769231,0
0.053124,-96.378024,161.854949,-138.470333,-0.417582,7.081807,-10.012210,4.151404,-6.105006,10.989011,-2.686203,1.186203,2.759463,0
0.054166,-137.134069,172.210993,-51.613188,-5.150183,9.523810,-8.058608,0.244200,-8.547009,9.523810,0.732601,0.697802,2.739927,0
0.055208,-149.494509,162.857146,34.909891,-4.315018,10.989011,-5.616606,-3.663004,-10.012210,6.593407,5.128205,0.697802,2.739927,0
0.056249,-167.534070,112.413189,112.079123,8.769231,10.989011,-2.197802,-7.081807,-9.523810,2.686203,8.058608,0.697802,2.769231,0
0.057291,-168.870333,26.558242,141.476926,16.564103,9.035409,2.197802,-9.523810,-8.058608,-1.221001,10.012210,0.697802,2.827839,0
0.058332,-154.505498,-64.975826,158.848355,7.098901,6.105006,6.105006,-10.500611,-4.639805,-5.128205,10.989011,0.697802,2.769231,0
0.059374,-85.687914,-120.764838,172.210993,-5.985348,1.709402,9.523810,-9.035409,-0.732601,-8.547009,10.012210,-4.186203,2.769231,0
0.060415,5.178022,-147.156047,169.538465,-7.934066,-2.197802,10.989011,-8.058608,3.663004,-9.523810,7.570208,0.209402,2.769231,0
0.061457,98.048354,-160.184619,139.806597,1.252747,-6.105006,10.989011,-3.174603,7.081807,-10.012210,4.151404,0.697802,2.749695,0
