1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,113.081321,-214.637367,113.749453,-13.501832,3.174603,7.081807,-8.058608,-1.709402,-5.128205,9.523810,1.674603,4.195360,0
0.001042,186.241762,-182.567037,44.931869,-4.036630,-0.244200,9.035409,-6.593407,1.709402,-7.570208,7.570208,1.674603,4.214896,0
0.002084,228.000005,-139.472531,-48.606594,16.564103,-4.151404,10.012210,-3.663004,5.128205,-8.547009,4.639805,1.186203,4.205128,0
0.003125,209.960444,-88.026376,-141.810992,10.439560,-6.593407,9.035409,-0.244200,7.570208,-7.570208,1.709402,1.186203,4.214896,0
0.004167,172.879125,-20.879121,-203.947257,7.934066,-8.058608,6.593407,3.663004,9.523810,-5.128205,-1.709402,1.674603,4.195360,0
0.005208,127.780223,81.345057,-223.323082,-13.780220,-8.058608,3.663004,6.593407,9.523810,-2.686203,-4.639805,1.674603,4.195360,0
0.006250,70.654947,165.863740,-195.261543,-3.758242,-7.081807,0.244200,9.035409,8.547009,1.221001,-7.081807,1.674603,4.205128,0
0.007291,-6.514286,225.661543,-153.837366,2.366300,-4.639805,-3.174603,10.012210,6.105006,4.639805,-8.058608,1.186203,4.195360,0
0.008333,-110.742860,216.307697,-111.745057,15.450549,-1.709402,-5.616606,9.523810,3.174603,7.081807,-7.570208,1.186203,4.253968,0
0.009375,-184.237367,184.905499,-42.927473,6.820513,1.709402,-7.570208,8.058608,-0.244200,9.035409,-6.105006,1.186203,4.224664,0
0.010417,-225.661543,141.810992,50.610990,-14.336996,5.616606,-8.547009,5.128205,-4.151404,9.523810,-3.174603,1.674603,4.283272,0
0.011458,-207.621983,89.696705,144.817586,-8.490842,8.058608,-7.570208,2.197802,-6.593407,9.035409,-0.244200,1.674603,4.214896,0
0.012500,-170.540663,22.883517,205.951653,-4.871795,9.523810,-5.128205,-1.709402,-8.058608,6.593407,3.174603,1.186203,4.205128,0
0.013542,-126.109893,-79.340661,224.993412,17.120879,9.523810,-2.197802,-4.639805,-8.058608,4.151404,6.105006,1.186203,4.205128,0
0.014583,-67.982419,-163.859344,197.265938,6.820513,8.547009,1.221001,-7.570208,-7.081807,0.732601,8.547009,1.674603,4.214896,0
0.015625,9.186813,-223.323082,155.841762,2.366300,6.105006,4.639805,-8.547009,-4.639805,-3.174603,9.523810,1.674603,4.185592,0
0.016667,113.081321,-213.969236,112.747255,-12.388278,3.174603,7.081807,-7.570208,-1.709402,-5.616606,9.035409,1.674603,4.205128,0
0.017708,186.909894,-182.567037,44.597803,-2.923077,-0.244200,9.035409,-6.593407,1.709402,-7.570208,7.570208,1.186203,4.224664,0
0.018750,228.000005,-139.806597,-48.272529,15.728938,-4.151404,10.012210,-3.174603,5.616606,-8.058608,4.639805,1.186203,4.253968,0
0.019792,209.626378,-87.692310,-142.813190,12.388278,-6.105006,9.035409,-0.244200,7.570208,-7.570208,1.709402,1.186203,4.214896,0
0.020841,171.542861,-18.540660,-205.617587,8.490842,-8.058608,7.081807,3.663004,9.035409,-5.128205,-2.197802,1.674603,4.205128,0
0.021882,127.780223,84.017584,-222.654950,-14.336996,-8.058608,3.663004,6.593407,9.523810,-2.197802,-5.128205,1.674603,4.253968,0
0.022923,69.652749,167.200004,-194.927477,-4.315018,-7.081807,0.732601,9.035409,8.547009,1.221001,-7.081807,1.674603,4.214896,0
0.023960,-7.516484,226.329675,-153.169234,1.809524,-4.639805,-3.663004,10.012210,6.105006,4.639805,-8.058608,1.186203,4.195360,0
0.025000,-111.745057,215.973631,-110.742860,15.172161,-1.709402,-5.616606,9.035409,3.174603,6.593407,-7.570208,1.674603,4.195360,0
0.026042,-184.571433,184.571433,-41.925276,6.820513,1.709402,-7.570208,8.058608,-0.244200,9.035409,-6.105006,1.674603,4.214896,0
0.027083,-225.995609,141.476926,50.276924,-13.501832,5.616606,-8.547009,5.128205,-3.663004,9.523810,-3.174603,1.674603,4.205128,0
0.028125,-206.953851,89.362639,145.485718,-7.098901,8.058608,-7.570208,1.709402,-6.105006,9.035409,-0.244200,1.674603,4.214896,0
0.029167,-169.872531,22.215385,207.621983,-3.758242,9.523810,-5.128205,-1.709402,-8.058608,6.593407,3.663004,1.674603,4.205128,0
0.030208,-126.109893,-80.008793,224.993412,17.956044,9.523810,-2.197802,-5.128205,-8.058608,3.663004,6.593407,2.163004,4.214896,0
0.031250,-67.648353,-163.859344,196.931873,6.263736,8.547009,1.709402,-7.081807,-7.081807,0.732601,8.547009,1.674603,4.214896,0
0.032291,10.189011,-223.991214,154.839564,0.974359,6.105006,4.639805,-8.547009,-4.639805,-3.174603,9.523810,1.186203,4.195360,0
0.033333,114.417585,-213.301104,112.747255,-11.274725,3.174603,7.081807,-8.058608,-1.709402,-5.616606,9.035409,1.186203,4.195360,0
0.034375,187.578026,-181.898905,44.263737,-3.479853,-0.244200,9.035409,-6.105006,1.709402,-7.570208,6.593407,1.674603,4.214896,0
0.035416,228.334071,-139.472531,-49.274726,16.285714,-4.151404,10.012210,-3.663004,5.616606,-8.547009,4.639805,1.674603,4.205128,0
0.036458,209.626378,-87.358244,-142.479124,11.274725,-6.593407,9.035409,-0.732601,7.570208,-7.570208,0.732601,1.674603,4.214896,0
0.037500,171.542861,-18.206594,-204.949455,7.934066,-8.058608,6.593407,3.174603,9.523810,-5.128205,-2.197802,1.674603,4.195360,0
0.038541,128.448355,83.015386,-222.989016,-14.058608,-8.058608,4.151404,6.593407,9.523810,-2.197802,-4.639805,1.186203,4.205128,0
0.039583,69.652749,167.200004,-194.593411,-2.644689,-7.081807,0.732601,9.035409,8.547009,1.221001,-7.081807,1.674603,4.214896,0
0.040625,-8.518682,226.329675,-152.835168,2.366300,-4.151404,-3.174603,10.012210,5.616606,4.639805,-8.058608,1.186203,4.205128,0
0.041667,-112.413189,215.639565,-110.408794,14.893773,-1.709402,-5.616606,9.523810,3.174603,7.081807,-7.570208,1.674603,4.146520,0
0.042708,-185.239565,184.237367,-41.591210,6.263736,1.709402,-7.570208,7.570208,-0.244200,9.035409,-6.105006,1.674603,4.214896,0
0.043750,-225.327478,141.476926,52.615386,-12.945055,5.616606,-8.547009,5.128205,-4.151404,9.523810,-3.174603,1.674603,4.214896,0
0.044791,-206.953851,89.362639,146.153849,-8.769231,8.058608,-7.570208,1.709402,-6.105006,9.035409,-0.244200,1.674603,4.214896,0
0.045834,-169.204399,21.881319,207.287917,-4.871795,9.523810,-5.128205,-1.709402,-7.570208,6.593407,3.663004,1.674603,4.195360,0
0.046875,-125.441761,-81.345057,224.659346,17.956044,9.523810,-2.686203,-5.128205,-8.058608,3.663004,6.593407,1.674603,4.205128,0
0.047916,-67.648353,-164.193410,196.931873,7.098901,8.547009,1.221001,-7.081807,-7.081807,0.732601,8.547009,1.186203,4.224664,0
0.048958,10.857143,-223.991214,154.505498,1.531136,6.105006,5.128205,-8.058608,-4.151404,-3.174603,9.523810,1.186203,4.205128,0
0.050000,114.751651,-213.301104,113.415387,-10.439560,3.174603,7.081807,-8.058608,-1.709402,-5.616606,9.035409,1.186203,4.205128,0
0.051042,187.912092,-181.898905,43.261539,-2.644689,-0.244200,9.035409,-6.105006,1.709402,-7.570208,7.570208,1.186203,4.234432,0
0.052083,227.665939,-139.138465,-50.610990,15.172161,-4.151404,10.012210,-3.663004,5.616606,-8.058608,4.639805,1.674603,4.214896,0
0.053125,209.292312,-86.690112,-144.149454,11.553114,-6.593407,9.035409,-0.244200,7.570208,-7.570208,1.709402,1.186203,4.224664,0
0.054167,171.876927,-19.208792,-204.949455,7.655678,-8.058608,6.593407,3.174603,9.523810,-4.639805,-2.197802,1.674603,4.195360,0
0.055208,128.114289,83.683518,-222.654950,-14.615385,-8.547009,4.151404,6.593407,9.523810,-2.197802,-4.639805,1.674603,4.195360,0
0.056250,69.652749,166.865938,-194.593411,-3.201465,-7.081807,0.732601,9.035409,8.547009,1.221001,-7.081807,1.674603,4.214896,0
0.057292,-8.852747,226.663741,-152.501102,2.366300,-4.151404,-3.663004,10.012210,5.616606,4.639805,-8.058608,1.674603,4.195360,0
0.058333,-114.417585,215.305499,-110.408794,14.336996,-1.709402,-5.616606,9.523810,3.174603,7.081807,-7.570208,1.674603,4.195360,0
0.059374,-185.573631,183.903301,-41.591210,5.706960,2.197802,-7.570208,7.570208,-0.244200,9.035409,-6.105006,1.674603,4.224664,0
0.060417,-225.661543,141.476926,51.947254,-11.553114,5.128205,-8.547009,5.128205,-4.151404,10.012210,-3.174603,1.186203,4.214896,0
0.061458,-206.953851,89.028573,146.153849,-8.769231,8.058608,-7.570208,1.709402,-6.593407,9.035409,-0.244200,1.674603,4.234432,0
0.062500,-169.204399,21.213187,207.621983,-6.542125,9.523810,-6.593407,-2.197802,-7.570208,6.593407,3.663004,1.674603,4.205128,0
0.063542,-125.441761,-82.347255,224.325280,17.677656,10.012210,-2.197802,-6.105006,-8.058608,3.663004,6.593407,1.186203,4.205128,0
0.064583,-66.646155,-164.861542,196.263741,6.263736,8.547009,1.221001,-7.570208,-7.081807,-0.244200,8.547009,1.674603,4.224664,0
0.065625,11.525275,-224.325280,154.505498,0.695971,6.105006,4.639805,-8.547009,-4.151404,-3.174603,10.012210,1.674603,4.195360,0
0.066666,116.087915,-212.632972,112.413189,-10.439560,3.174603,7.081807,-8.058608,-1.221001,-5.616606,9.035409,1.674603,4.205128,0
0.067708,188.580224,-181.564839,42.593408,-2.366300,-0.244200,9.035409,-6.105006,2.197802,-7.570208,7.570208,1.674603,4.214896,0
0.068750,228.000005,-138.804399,-50.276924,16.564103,-4.151404,10.012210,-3.174603,5.616606,-8.547009,5.128205,1.186203,4.214896,0
0.069792,208.958246,-86.690112,-144.817586,10.996337,-6.593407,9.035409,-0.244200,7.570208,-7.570208,1.709402,1.186203,4.244200,0
0.070835,171.208795,-18.206594,-205.617587,7.377289,-8.058608,6.593407,3.663004,9.523810,-5.128205,-2.197802,1.186203,4.185592,0
0.071880,127.446157,86.021980,-220.650554,-13.223443,-8.547009,3.663004,6.593407,9.523810,-2.197802,-5.128205,1.674603,4.205128,0
0.072922,67.648353,168.870333,-193.591213,-2.366300,-7.081807,0.244200,9.035409,8.547009,1.221001,-7.081807,1.186203,4.214896,0
0.073959,-10.189011,226.997807,-152.167036,1.809524,-4.639805,-3.663004,10.012210,5.616606,4.639805,-8.058608,1.674603,4.185592,0
0.075000,-114.083519,215.305499,-109.072530,14.336996,-1.709402,-5.616606,9.523810,3.174603,7.081807,-7.570208,1.674603,4.205128,0
0.076041,-186.241762,183.903301,-40.589012,5.985348,1.709402,-7.570208,8.058608,-0.244200,9.035409,-6.105006,1.674603,4.205128,0
0.077083,-225.995609,141.142860,53.617584,-12.666667,5.616606,-8.547009,4.639805,-4.151404,10.012210,-3.174603,2.163004,4.205128,0
