1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-118.760442,-105.397805,214.637367,6.542125,9.035409,-2.197802,-5.616606,-8.547009,2.686203,7.081807,0.209402,4.324786,0
0.001043,-53.951650,-182.567037,185.573631,19.904762,8.058608,1.709402,-8.058608,-7.081807,-0.732601,8.547009,0.697802,4.334554,0
0.002084,38.250550,-228.000005,144.149454,17.399267,5.128205,5.128205,-8.547009,-4.151404,-4.639805,9.523810,0.209402,4.324786,0
0.003125,120.764838,-209.960444,94.039563,-4.315018,2.197802,7.570208,-8.058608,-1.221001,-6.593407,8.547009,0.697802,4.319902,0
0.004167,166.865938,-172.210993,21.213187,-16.007326,-1.709402,9.035409,-6.105006,2.686203,-8.058608,6.105006,0.209402,4.329670,0
0.005209,224.993412,-133.793410,-98.048354,-3.758242,-5.128205,9.523810,-3.174603,6.105006,-8.547009,3.663004,0.209402,4.349206,0
0.006250,197.934070,-74.997804,-180.562641,18.234432,-7.570208,8.547009,0.244200,8.058608,-7.570208,0.732601,0.209402,4.417582,0
0.007292,157.512091,0.167033,-220.650554,9.604396,-8.547009,5.616606,4.151404,9.523810,-5.128205,-3.174603,1.186203,4.681319,0
0.008334,115.753849,104.061541,-216.975829,-17.956044,-8.547009,3.174603,6.593407,9.035409,-1.709402,-6.105006,0.209402,4.344322,0
0.009376,51.613188,180.562641,-187.578026,-14.058608,-7.081807,-0.244200,9.035409,7.570208,1.709402,-8.058608,0.697802,4.344322,0
0.010417,-35.578023,226.663741,-144.817586,-11.553114,-4.151404,-4.151404,8.547009,4.639805,5.128205,-8.547009,0.697802,4.329670,0
0.011458,-134.795607,208.624180,-92.369233,10.161172,-1.221001,-6.593407,9.035409,2.686203,7.570208,-7.570208,0.697802,4.324786,0
0.012501,-203.947257,171.876927,-27.226374,21.575092,2.686203,-8.547009,7.081807,-1.709402,9.035409,-6.105006,0.697802,4.329670,0
0.013542,-207.956049,125.775827,69.986815,9.882784,5.616606,-8.547009,3.663004,-5.128205,9.523810,-2.686203,0.697802,4.334554,0
0.014583,-175.551652,77.002200,158.848355,-10.996337,8.058608,-7.570208,0.732601,-7.081807,8.547009,0.732601,0.697802,4.363858,0
0.015625,-159.182421,-0.835165,190.918686,-17.120879,9.523810,-4.639805,-3.174603,-8.547009,5.616606,4.151404,0.697802,4.373626,0
0.016667,-117.090113,-106.065936,222.654950,9.604396,9.523810,-1.709402,-6.105006,-8.058608,2.686203,6.593407,0.209402,4.388278,0
0.017708,-51.947254,-182.567037,185.907696,15.728938,7.570208,1.709402,-8.058608,-7.081807,-0.732601,8.547009,1.186203,4.427350,0
0.018750,34.575825,-228.334071,143.481322,17.677656,5.128205,5.128205,-8.547009,-4.151404,-4.151404,9.523810,0.209402,4.324786,0
0.019792,132.457146,-209.960444,91.701101,-5.150183,2.197802,7.081807,-8.058608,-0.732601,-6.593407,8.547009,0.697802,4.319902,0
0.020835,196.931873,-173.881323,24.553847,-16.564103,-1.709402,9.035409,-7.081807,2.686203,-8.058608,6.593407,0.209402,4.329670,0
0.021875,226.663741,-129.116486,-76.668134,-3.758242,-5.128205,9.523810,-3.174603,6.105006,-8.547009,3.174603,0.209402,4.334554,0
0.022917,196.597807,-73.995606,-158.180223,16.842491,-7.570208,8.547009,0.244200,8.058608,-7.570208,2.197802,0.209402,4.358974,0
0.023958,138.804399,2.505495,-212.298906,25.194139,-8.547009,5.616606,4.151404,9.523810,-4.639805,-3.174603,0.209402,4.329670,0
0.025001,116.421981,96.378024,-199.604400,-0.695971,-8.547009,2.686203,6.593407,9.035409,-1.709402,-5.616606,0.697802,4.339438,0
0.026042,50.276924,180.896707,-212.967038,-10.996337,-7.081807,-0.732601,9.035409,7.570208,1.709402,-7.570208,0.697802,4.412698,0
0.027083,-37.582418,226.663741,-145.151652,-9.326007,-4.151404,-4.151404,9.523810,5.128205,5.128205,-8.547009,1.186203,4.603175,0
0.028125,-135.463739,208.624180,-93.371431,16.842491,-1.221001,-6.593407,8.547009,1.709402,7.570208,-7.570208,0.697802,4.324786,0
0.029167,-198.602202,172.545059,-26.224176,22.131868,2.197802,-8.058608,6.593407,-1.221001,8.547009,-5.616606,0.697802,4.334554,0
0.030208,-224.659346,128.114289,74.329672,9.882784,6.105006,-8.547009,4.151404,-5.128205,9.523810,-3.174603,0.697802,4.339438,0
0.031250,-200.606598,73.661540,160.184619,-11.274725,8.058608,-7.570208,0.732601,-8.058608,8.547009,0.732601,0.697802,4.358974,0
0.032292,-162.189015,-1.837363,219.982422,-18.791209,9.523810,-4.639805,-3.663004,-8.547009,5.128205,4.151404,0.697802,4.324786,0
