1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-166.531872,166.865938,-76.668134,28.534799,4.151404,-9.523810,6.105006,-3.663004,10.012210,-4.639805,0.209402,3.636142,0
0.001042,-189.248356,150.162641,15.868132,10.161172,8.058608,-9.035409,2.197802,-7.081807,9.523810,-1.221001,0.697802,3.641026,0
0.002083,-187.912092,117.090113,115.085717,-12.666667,9.523810,-7.081807,-1.221001,-8.547009,7.570208,2.197802,0.209402,3.665446,0
0.003124,-158.848355,55.956045,181.230773,-24.637363,10.500611,-4.151404,-5.128205,-9.523810,4.639805,6.105006,0.209402,3.660562,0
0.004166,-144.149454,-48.940660,192.923081,2.087912,9.523810,-0.244200,-8.058608,-8.547009,0.732601,8.547009,0.209402,3.655678,0
0.005208,-100.052749,-138.470333,177.221982,23.802198,7.081807,3.174603,-9.035409,-6.105006,-2.686203,9.523810,0.209402,3.650794,0
0.006249,-21.213187,-186.909894,156.843960,17.956044,3.663004,7.081807,-9.523810,-2.686203,-6.593407,10.012210,0.209402,3.650794,0
0.007291,82.347255,-193.925279,132.123080,-6.820513,0.244200,9.035409,-8.058608,1.221001,-8.547009,8.058608,0.209402,3.655678,0
0.008333,165.863740,-167.200004,76.000002,-24.637363,-3.663004,10.012210,-5.128205,4.639805,-9.035409,5.616606,0.209402,3.631258,0
0.009375,188.580224,-150.496707,-16.870330,-1.809524,-7.081807,10.012210,-1.709402,8.058608,-8.547009,2.197802,0.209402,3.636142,0
0.010417,187.578026,-117.424178,-116.421981,17.120879,-9.035409,8.058608,2.197802,9.523810,-7.081807,-1.221001,0.209402,3.665446,0
0.011458,158.180223,-56.290111,-182.232971,29.091575,-10.012210,5.128205,6.105006,10.012210,-4.151404,-5.128205,0.209402,3.650794,0
0.012499,143.815388,48.272529,-193.591213,2.087912,-8.547009,1.221001,8.547009,9.523810,-0.244200,-8.058608,0.209402,3.650794,0
0.013541,99.050552,137.468135,-177.221982,-19.347985,-6.105006,-2.686203,10.012210,7.081807,3.663004,-9.035409,0.209402,3.650794,0
0.014583,20.545055,186.241762,-157.512091,-13.780220,-3.174603,-6.105006,10.500611,3.663004,7.081807,-9.035409,0.209402,3.650794,0
0.015624,-83.015386,193.257147,-132.791212,10.996337,0.732601,-8.547009,8.547009,0.244200,9.035409,-7.570208,0.209402,3.660562,0
0.016666,-166.197806,166.865938,-77.002200,28.534799,4.639805,-9.523810,6.105006,-3.663004,10.012210,-4.639805,0.697802,3.641026,0
0.017708,-189.248356,149.494509,15.868132,10.161172,7.570208,-9.035409,2.686203,-7.081807,9.523810,-1.221001,0.697802,3.641026,0
0.018749,-187.912092,117.090113,115.419783,-13.223443,9.523810,-7.081807,-1.221001,-8.547009,7.570208,2.686203,0.697802,3.665446,0
0.019791,-158.848355,55.621979,181.564839,-24.915751,10.500611,-4.151404,-5.128205,-9.523810,4.639805,6.105006,0.209402,3.660562,0
0.020833,-144.483520,-48.940660,192.923081,2.087912,9.523810,-0.244200,-8.058608,-8.058608,1.221001,8.547009,0.209402,3.655678,0
0.021874,-99.718684,-138.136267,176.887916,23.802198,7.570208,3.174603,-9.035409,-6.105006,-2.686203,9.523810,0.697802,3.655678,0
0.022916,-21.213187,-186.909894,156.509894,18.234432,3.663004,7.081807,-9.523810,-2.686203,-6.105006,10.012210,0.209402,3.645910,0
0.023958,82.681321,-193.925279,132.123080,-6.542125,0.244200,9.523810,-8.058608,0.732601,-8.058608,8.547009,0.209402,3.660562,0
0.025000,165.863740,-167.534070,76.000002,-23.802198,-3.663004,10.012210,-5.128205,4.151404,-9.035409,5.616606,0.209402,3.636142,0
0.026041,188.914290,-150.496707,-17.204396,-4.871795,-7.081807,10.012210,-1.709402,7.570208,-9.035409,2.197802,0.209402,3.636142,0
0.027082,187.912092,-117.090113,-116.421981,17.120879,-8.547009,8.058608,2.197802,9.523810,-7.081807,-1.221001,0.209402,3.665446,0
0.028124,158.180223,-55.956045,-182.232971,30.483516,-9.523810,5.128205,5.616606,10.012210,-3.663004,-5.128205,0.209402,3.655678,0
0.029166,143.815388,48.606594,-193.591213,2.366300,-8.547009,1.221001,9.035409,9.035409,0.244200,-7.570208,0.209402,3.650794,0
0.030208,99.050552,137.802201,-177.221982,-19.347985,-6.105006,-2.197802,10.012210,6.593407,3.663004,-9.035409,0.209402,3.650794,0
0.031250,20.545055,186.575828,-157.512091,-13.501832,-2.686203,-6.105006,10.500611,3.663004,7.081807,-9.035409,0.697802,3.645910,0
0.032291,-83.015386,193.257147,-132.791212,10.717949,0.732601,-8.547009,8.547009,0.244200,9.035409,-7.570208,0.697802,3.655678,0
0.033333,-165.863740,166.865938,-76.668134,28.534799,4.151404,-9.523810,6.105006,-3.663004,10.012210,-4.639805,0.209402,3.636142,0
0.034374,-189.248356,149.828575,16.202198,9.326007,8.058608,-9.035409,2.197802,-7.081807,9.523810,-1.221001,0.697802,3.636142,0
0.035416,-188.246158,116.756047,115.419783,-13.223443,9.523810,-7.081807,-1.221001,-8.547009,8.058608,2.197802,0.209402,3.665446,0
0.036458,-158.848355,55.287913,181.564839,-24.358974,10.500611,-4.151404,-5.128205,-9.523810,4.639805,6.105006,0.209402,3.660562,0
0.037500,-144.149454,-49.274726,192.923081,2.087912,9.523810,-0.244200,-7.570208,-8.058608,0.732601,8.547009,0.209402,3.660562,0
0.038541,-99.718684,-138.470333,176.887916,24.915751,7.081807,3.174603,-9.035409,-5.616606,-2.686203,9.523810,0.209402,3.650794,0
0.039583,-20.879121,-186.909894,156.509894,18.234432,3.663004,7.081807,-9.523810,-2.686203,-6.105006,10.012210,0.209402,3.650794,0
0.040625,82.681321,-193.925279,132.123080,-6.542125,0.244200,9.035409,-7.570208,0.732601,-8.058608,8.058608,0.209402,3.655678,0
0.041667,166.197806,-167.200004,75.665936,-24.358974,-3.663004,10.500611,-5.128205,4.151404,-9.035409,5.616606,0.209402,3.636142,0
0.042708,188.914290,-150.496707,-16.870330,-4.593407,-7.081807,10.012210,-1.709402,7.570208,-8.547009,2.197802,0.209402,3.636142,0
0.043749,187.578026,-117.424178,-116.087915,17.677656,-8.547009,8.058608,2.197802,9.523810,-6.593407,-1.221001,0.209402,3.660562,0
0.044791,158.180223,-55.621979,-182.232971,29.369963,-9.523810,5.128205,5.616606,10.500611,-3.663004,-5.128205,0.209402,3.655678,0
0.045833,143.481322,48.940660,-193.925279,2.087912,-8.547009,1.221001,8.547009,9.035409,-0.244200,-8.058608,0.209402,3.645910,0
0.046874,98.716486,138.136267,-177.556048,-19.347985,-6.105006,-2.686203,10.012210,7.081807,3.174603,-9.035409,0.209402,3.645910,0
0.047916,20.210989,186.575828,-157.512091,-14.058608,-2.686203,-6.105006,10.012210,3.663004,7.081807,-9.523810,0.697802,3.645910,0
0.048958,-83.683518,193.257147,-132.457146,10.996337,0.732601,-8.547009,9.035409,-0.244200,9.035409,-7.570208,0.209402,3.655678,0
0.049999,-166.197806,166.865938,-76.668134,28.813187,4.639805,-9.035409,5.616606,-3.663004,10.012210,-4.639805,0.209402,3.636142,0
0.051042,-189.248356,149.828575,16.870330,9.604396,8.058608,-9.035409,2.686203,-7.081807,10.012210,-1.221001,0.697802,3.641026,0
0.052083,-187.912092,116.756047,115.419783,-13.223443,9.523810,-7.081807,-1.221001,-8.547009,7.570208,2.197802,0.209402,3.665446,0
0.053124,-158.514289,55.287913,181.564839,-24.637363,10.500611,-4.151404,-5.128205,-9.523810,4.639805,6.105006,0.209402,3.655678,0
0.054166,-144.149454,-48.940660,192.923081,2.644689,9.523810,-0.244200,-8.058608,-8.547009,0.732601,9.035409,0.209402,3.650794,0
0.055208,-99.718684,-138.804399,176.553850,24.080586,7.081807,3.663004,-9.035409,-6.105006,-2.686203,9.523810,0.209402,3.650794,0
0.056249,-20.879121,-186.909894,156.509894,18.512821,4.151404,7.081807,-9.523810,-2.686203,-6.105006,10.012210,0.209402,3.645910,0
0.057291,82.681321,-193.925279,132.123080,-6.263736,0.244200,9.035409,-8.058608,1.221001,-8.058608,8.547009,0.209402,3.660562,0
0.058333,166.197806,-167.200004,75.665936,-24.637363,-3.663004,10.012210,-5.128205,4.151404,-9.035409,5.616606,0.209402,3.636142,0
0.059374,188.914290,-150.496707,-16.870330,-5.985348,-7.081807,10.012210,-1.709402,8.058608,-9.035409,2.197802,0.209402,3.641026,0
0.060416,187.578026,-117.424178,-116.421981,17.120879,-9.035409,8.058608,2.197802,9.523810,-6.593407,-1.221001,0.209402,3.665446,0
0.061458,158.180223,-55.287913,-182.232971,28.813187,-10.012210,5.128205,6.105006,10.500611,-4.151404,-5.128205,0.209402,3.650794,0
0.062501,143.481322,49.274726,-193.925279,1.531136,-9.035409,1.221001,9.035409,9.523810,-0.244200,-8.058608,0.209402,3.650794,0
0.063541,99.050552,138.136267,-177.556048,-20.183150,-6.105006,-2.686203,10.012210,6.593407,3.663004,-9.035409,0.209402,3.650794,0
0.064583,20.545055,186.241762,-157.512091,-14.336996,-2.686203,-6.105006,10.012210,3.663004,7.081807,-9.035409,0.209402,3.650794,0
0.065625,-83.683518,193.257147,-132.791212,10.717949,0.732601,-8.547009,9.035409,-0.244200,9.035409,-7.570208,0.209402,3.655678,0
0.066666,-166.531872,166.865938,-76.668134,29.091575,4.151404,-9.523810,6.105006,-3.663004,10.012210,-4.639805,0.209402,3.636142,0
0.067707,-189.248356,149.828575,16.870330,9.326007,8.058608,-9.035409,2.197802,-7.081807,9.523810,-1.221001,0.209402,3.641026,0
0.068749,-187.912092,116.756047,115.419783,-12.945055,9.523810,-7.081807,-0.732601,-8.547009,7.570208,2.686203,0.209402,3.665446,0
0.069792,-158.848355,54.953847,181.564839,-24.358974,10.500611,-4.151404,-5.128205,-9.523810,4.639805,6.105006,0.209402,3.655678,0
0.070833,-143.815388,-49.274726,192.923081,2.644689,9.523810,-0.244200,-7.570208,-8.547009,0.732601,8.547009,0.697802,3.655678,0
0.071875,-99.384618,-138.804399,176.553850,24.080586,7.081807,3.174603,-9.035409,-6.105006,-2.686203,10.012210,0.209402,3.655678,0
0.072916,-20.545055,-186.909894,156.509894,17.956044,4.151404,7.081807,-9.523810,-2.686203,-6.593407,10.012210,0.209402,3.650794,0
0.073957,83.015386,-193.591213,132.123080,-6.542125,0.244200,9.523810,-8.058608,0.732601,-8.058608,8.547009,0.209402,3.655678,0
0.074999,166.197806,-167.200004,75.665936,-23.802198,-3.174603,10.012210,-5.128205,4.639805,-9.523810,5.128205,0.209402,3.636142,0
