1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-43.595605,-195.595609,164.193410,23.802198,4.151404,6.593407,-9.035409,-2.686203,-5.616606,9.523810,0.209402,3.658120,0
0.001042,73.995606,-201.608796,141.142860,-0.139194,0.244200,8.547009,-7.570208,0.732601,-8.058608,8.058608,0.209402,3.648352,0
0.002083,158.180223,-190.250554,91.367035,-22.131868,-3.174603,10.012210,-5.128205,3.663004,-8.547009,5.616606,0.209402,3.628816,0
0.003125,196.931873,-158.180223,-6.180220,-11.274725,-6.593407,9.523810,-1.709402,7.081807,-8.547009,2.197802,0.697802,3.648352,0
0.004167,198.602202,-127.446157,-110.408794,11.553114,-8.547009,8.058608,1.709402,9.035409,-7.081807,-1.221001,0.209402,3.726496,0
0.005208,170.540663,-66.980221,-181.564839,10.996337,-9.035409,5.128205,5.128205,10.012210,-4.151404,-4.639805,0.209402,3.648352,0
0.006250,151.164839,35.912089,-201.942862,6.263736,-8.547009,1.709402,8.058608,9.523810,-0.732601,-7.570208,0.209402,3.648352,0
0.007292,109.072530,130.786816,-190.918686,-16.285714,-6.593407,-2.197802,9.523810,6.593407,2.686203,-8.547009,0.209402,3.658120,0
0.008333,36.914287,193.925279,-165.529674,-18.234432,-3.174603,-5.616606,10.012210,3.663004,6.593407,-9.035409,0.209402,3.658120,0
0.009375,-73.327474,203.613191,-141.142860,5.706960,0.732601,-8.058608,8.547009,0.244200,8.547009,-7.570208,0.209402,3.648352,0
0.010417,-158.180223,179.894510,-84.017584,25.750916,3.663004,-8.547009,6.105006,-3.174603,9.523810,-4.639805,0.209402,3.648352,0
0.011458,-170.206597,157.512091,5.846154,14.336996,7.570208,-9.035409,2.686203,-6.105006,9.035409,-1.221001,0.209402,3.638584,0
0.012500,-199.938466,143.481322,107.068134,-9.604396,9.035409,-7.081807,-0.732601,-8.058608,7.570208,1.709402,0.209402,3.667888,0
0.013542,-171.542861,65.643958,179.560444,-29.648352,10.012210,-4.151404,-4.151404,-9.035409,5.128205,5.128205,0.697802,3.677656,0
0.014584,-152.501102,-37.248352,200.272532,-8.490842,9.035409,-0.732601,-7.570208,-8.547009,1.221001,8.058608,0.209402,3.951160,0
0.015625,-109.072530,-132.791212,189.248356,-1.809524,7.081807,2.686203,-8.547009,-6.105006,-2.197802,9.035409,0.209402,3.667888,0
0.016667,-36.580221,-195.595609,163.859344,24.637363,4.151404,6.105006,-9.035409,-3.174603,-5.616606,9.523810,0.209402,3.658120,0
0.017708,70.654947,-205.283521,138.470333,-0.974359,0.732601,8.547009,-8.058608,0.732601,-7.570208,8.058608,0.209402,3.648352,0
0.018750,158.514289,-181.564839,83.349452,-20.183150,-2.686203,9.523810,-5.616606,3.663004,-8.547009,5.616606,0.209402,3.638584,0
0.019792,195.261543,-158.514289,-3.173626,-10.161172,-6.593407,9.523810,-1.709402,7.081807,-10.012210,2.686203,0.209402,3.638584,0
0.020833,195.595609,-128.114289,-111.745057,14.336996,-8.058608,8.058608,1.221001,9.035409,-7.081807,-1.221001,0.209402,3.677656,0
0.021875,180.228575,-65.643958,-176.553850,29.369963,-9.035409,5.128205,5.128205,9.523810,-4.151404,-4.639805,0.209402,3.658120,0
0.022917,151.164839,39.586814,-197.934070,3.758242,-8.547009,1.709402,8.058608,9.035409,-0.732601,-7.570208,0.209402,3.667888,0
0.023958,107.736266,130.786816,-164.527476,-14.893773,-6.105006,-2.197802,9.523810,6.593407,2.686203,-8.058608,0.697802,3.677656,0
0.025000,36.246155,193.925279,-165.529674,-14.336996,-3.174603,-5.616606,10.012210,3.663004,6.593407,-9.035409,0.697802,4.185592,0
0.026042,-71.323079,203.947257,-140.808794,-7.655678,0.732601,-7.570208,8.547009,0.244200,8.547009,-7.570208,0.697802,3.658120,0
0.027084,-159.850553,180.228575,-85.353848,25.194139,3.663004,-8.547009,6.105006,-2.686203,9.035409,-4.639805,0.209402,3.648352,0
0.028125,-197.600004,157.178025,2.171429,15.450549,7.081807,-8.547009,5.616606,-6.105006,9.523810,-1.221001,0.697802,3.648352,0
0.029167,-198.936268,126.109893,108.070332,-9.604396,9.035409,-7.081807,-0.732601,-8.058608,8.058608,1.709402,0.209402,3.667888,0
0.030209,-171.876927,65.978023,179.894510,-24.637363,10.012210,-4.151404,-4.639805,-9.035409,4.639805,5.128205,0.209402,3.658120,0
0.031250,-167.200004,-37.582418,202.610994,-0.695971,9.523810,-0.732601,-7.081807,-8.547009,1.221001,8.058608,0.209402,3.658120,0
0.032292,-118.092310,-133.125278,188.246158,21.575092,7.081807,2.686203,-8.547009,-6.105006,-1.709402,9.035409,0.209402,3.658120,0
0.033334,-37.582418,-190.584620,146.821981,22.967033,4.151404,6.105006,-9.523810,-3.174603,-5.616606,10.012210,0.209402,3.658120,0
0.034375,69.652749,-205.283521,139.138465,-1.531136,0.244200,9.035409,-7.570208,0.732601,-7.570208,8.058608,-0.767399,3.667888,0
0.035417,158.514289,-181.898905,83.683518,-12.666667,-3.174603,9.523810,-5.128205,3.663004,-8.547009,5.616606,0.209402,3.540904,0
0.036458,196.931873,-158.514289,-3.507692,-5.985348,-6.593407,9.523810,-2.197802,7.081807,-8.547009,2.197802,0.209402,3.638584,0
0.037500,198.602202,-128.114289,-109.072530,14.893773,-8.058608,7.570208,1.709402,9.035409,-7.081807,-0.732601,0.209402,3.667888,0
0.038542,169.872531,-67.314287,-181.230773,29.091575,-9.035409,5.128205,7.081807,9.523810,-4.639805,-4.639805,0.209402,3.648352,0
0.039583,150.162641,34.909891,-201.274730,5.428571,-8.547009,1.709402,8.547009,8.547009,-0.732601,-7.570208,0.209402,3.648352,0
0.040625,108.404398,130.118684,-191.920883,-15.172161,-6.593407,-2.197802,9.523810,6.593407,2.686203,-8.547009,0.209402,3.658120,0
0.041667,48.606594,193.591213,-167.534070,-18.512821,-3.174603,-5.616606,10.012210,3.663004,6.593407,-9.523810,0.209402,3.658120,0
0.042709,-57.626375,206.953851,-140.140662,5.985348,0.244200,-8.058608,8.547009,0.244200,8.547009,-7.570208,0.209402,3.648352,0
0.043750,-159.182421,180.562641,-82.013189,26.586081,3.663004,-8.547009,6.105006,-3.174603,9.523810,-5.128205,0.209402,3.648352,0
0.044792,-197.600004,156.843960,1.837363,14.336996,7.081807,-9.035409,2.686203,-6.105006,9.523810,-1.221001,-1.744200,3.697192,0
0.045833,-199.938466,126.443959,107.068134,-24.080586,9.035409,-7.081807,-0.732601,-8.058608,7.570208,1.709402,0.697802,3.667888,0
0.046876,-171.208795,65.978023,179.226378,-24.080586,10.012210,-4.151404,-4.151404,-9.035409,4.639805,5.128205,0.209402,3.658120,0
0.047917,-153.169234,-36.580221,199.938466,0.139194,9.523810,-0.732601,-7.570208,-8.547009,1.709402,8.058608,0.209402,3.658120,0
0.048958,-111.076926,-131.789014,189.582422,21.296703,7.081807,2.686203,-9.035409,-6.105006,-2.197802,9.035409,0.209402,3.667888,0
0.050000,-38.584616,-195.595609,163.859344,23.802198,4.151404,6.593407,-9.035409,-3.174603,-5.616606,9.523810,0.209402,3.658120,0
0.051042,69.652749,-205.283521,138.470333,-0.695971,0.732601,9.035409,-8.058608,0.244200,-7.081807,8.058608,0.209402,3.658120,0
0.052083,181.898905,-184.237367,81.679123,-19.347985,-3.174603,9.523810,-5.616606,3.663004,-8.547009,5.616606,-0.278999,3.648352,0
0.053125,196.931873,-161.186817,-9.520879,-11.831502,-6.593407,9.523810,-1.709402,7.081807,-8.547009,2.197802,0.697802,3.648352,0
0.054167,198.936268,-125.107695,-103.393409,13.223443,-8.547009,7.570208,1.221001,9.035409,-7.081807,-0.732601,-0.278999,3.667888,0
0.055209,170.540663,-67.314287,-180.562641,28.813187,-9.035409,5.128205,5.128205,9.523810,-4.151404,-4.639805,-15.907814,3.755800,0
0.056250,151.164839,34.575825,-201.608796,-5.706960,-8.547009,1.709402,8.058608,9.035409,-0.732601,-7.081807,0.209402,3.648352,0
0.057292,108.070332,130.452750,-191.586817,-16.007326,-8.547009,-2.197802,9.523810,7.081807,2.686203,-8.547009,0.209402,3.667888,0
0.058333,36.246155,193.925279,-165.529674,-18.512821,-3.174603,-5.128205,10.012210,3.663004,6.105006,-8.547009,0.209402,3.658120,0
0.059376,-70.654947,203.947257,-140.808794,6.263736,0.732601,-6.105006,8.547009,0.244200,8.547009,-7.570208,0.697802,3.658120,0
0.060417,-159.182421,180.562641,-85.687914,24.915751,3.663004,-8.547009,6.105006,-2.686203,9.035409,-5.128205,0.209402,3.648352,0
0.061458,-192.254949,157.512091,1.169231,14.893773,7.081807,-8.547009,2.686203,-6.105006,9.523810,-1.709402,0.209402,3.638584,0
0.062500,-196.597807,125.775827,105.063739,-8.769231,9.035409,-7.081807,-0.732601,-8.058608,7.570208,1.709402,0.697802,3.667888,0
0.063542,-171.542861,67.648353,182.567037,-30.205128,10.012210,-4.639805,-4.151404,-9.035409,5.128205,5.128205,0.209402,3.648352,0
0.064583,-152.835168,-35.578023,209.626378,1.531136,9.035409,-0.732601,-7.570208,-8.547009,1.221001,8.058608,-0.767399,3.658120,0
0.065625,-109.740662,-131.120882,189.916488,25.194139,7.081807,2.686203,-8.547009,-6.105006,-1.709402,9.035409,-7.116606,3.736264,0
0.066667,-38.918682,-195.261543,163.859344,24.637363,4.151404,6.593407,-9.035409,-3.174603,-5.616606,10.012210,0.209402,3.638584,0
0.067708,68.316485,-205.283521,139.472531,-0.695971,0.244200,8.547009,-7.570208,0.244200,-7.570208,8.547009,0.209402,3.648352,0
0.068750,157.178025,-181.898905,83.683518,-19.069597,-2.686203,9.035409,-5.128205,3.663004,-8.547009,5.616606,0.209402,3.628816,0
0.069792,196.597807,-158.848355,-2.505495,-10.161172,-6.593407,9.523810,-2.197802,7.081807,-8.547009,2.197802,0.209402,3.628816,0
0.070834,199.938466,-128.114289,-109.406596,14.058608,-8.058608,8.058608,1.221001,9.035409,-4.151404,-0.732601,0.209402,3.658120,0
0.071875,174.215389,-68.316485,-180.896707,29.369963,-9.035409,5.128205,5.128205,10.012210,-4.151404,-5.616606,0.209402,3.648352,0
0.072917,169.872531,30.901100,-201.608796,6.263736,-8.547009,1.709402,8.058608,9.035409,-0.732601,-7.570208,0.209402,3.648352,0
0.073958,108.738464,127.780223,-191.586817,-14.893773,-6.593407,-2.197802,9.523810,7.081807,2.686203,-8.547009,0.209402,3.658120,0
0.075001,37.582418,194.259345,-159.182421,-21.296703,-3.174603,-5.616606,10.012210,3.663004,6.593407,-8.547009,0.209402,3.667888,0
0.076042,-69.986815,203.613191,-141.142860,0.695971,0.244200,-8.058608,8.547009,0.244200,8.058608,-7.570208,7.047009,3.736264,0
0.077083,-158.848355,180.562641,-86.021980,14.615385,3.663004,-8.547009,6.105006,-2.686203,9.035409,-5.128205,0.209402,3.638584,0
0.078125,-197.934070,157.512091,0.501099,15.450549,7.081807,-8.547009,2.686203,-6.593407,9.035409,-1.709402,0.209402,3.638584,0
0.079167,-200.940664,126.778025,106.400002,-9.604396,9.035409,-7.081807,-0.732601,-8.058608,7.570208,1.709402,0.697802,3.658120,0
0.080208,-171.208795,66.646155,178.558246,-24.358974,10.012210,-4.151404,-4.151404,-9.035409,5.128205,5.128205,0.209402,3.648352,0
0.081250,-151.832970,-34.909891,200.272532,-1.531136,9.523810,-0.732601,-7.081807,-8.058608,1.221001,8.058608,0.209402,3.648352,0
0.082292,-104.729673,-131.120882,188.914290,21.018315,7.081807,2.686203,-8.547009,-6.105006,-1.709402,9.035409,0.209402,3.667888,0
0.083334,-50.945056,-192.589015,167.868136,25.194139,4.151404,6.105006,-9.035409,-3.174603,-5.616606,9.523810,0.209402,3.648352,0
0.084375,68.984617,-207.287917,145.485718,-0.695971,0.732601,8.547009,-8.058608,0.244200,-7.570208,8.058608,0.209402,3.648352,0
0.085417,157.178025,-182.232971,86.021980,-26.029304,-3.174603,9.523810,-5.616606,3.663004,-8.547009,5.616606,-0.767399,3.667888,0
0.086459,196.263741,-158.514289,-2.171429,-12.666667,-6.593407,9.523810,-1.709402,7.081807,-9.035409,2.197802,-0.278999,3.726496,0
0.087500,198.602202,-128.114289,-108.070332,-0.139194,-8.547009,8.058608,1.221001,9.035409,-7.081807,-0.732601,0.209402,3.677656,0
0.088542,170.874729,-67.982419,-180.228575,29.648352,-10.012210,5.128205,5.128205,10.012210,-4.151404,-4.639805,0.209402,3.658120,0
