1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-161.520883,83.015386,151.164839,-23.523810,8.058608,-2.197802,-4.151404,-7.081807,2.686203,5.128205,0.209402,2.639805,0
0.001042,-151.832970,-6.180220,171.876927,-2.366300,7.570208,0.732601,-6.593407,-6.105006,-0.244200,7.081807,0.209402,2.639805,0
0.002084,-121.098904,-101.054947,173.881323,18.791209,4.639805,3.663004,-7.081807,-3.663004,-2.686203,7.570208,0.209402,2.644689,0
0.003126,-53.283518,-160.518685,159.182421,18.791209,1.709402,6.105006,-6.593407,-0.732601,-5.616606,7.570208,0.209402,2.634921,0
0.004167,36.914287,-179.894510,143.815388,-1.252747,-1.221001,7.570208,-5.616606,1.709402,-7.081807,5.616606,0.209402,2.649573,0
0.005209,126.109893,-169.204399,102.725277,-19.904762,-3.663004,7.570208,-2.686203,4.151404,-7.081807,3.174603,-0.278999,2.630037,0
0.006251,167.534070,-155.173630,20.879121,-8.212454,-6.105006,7.081807,-0.244200,6.593407,-6.105006,0.732601,0.209402,2.630037,0
0.007292,177.556048,-132.457146,-75.331870,12.109890,-7.081807,5.616606,2.686203,7.570208,-4.639805,-2.197802,0.209402,2.654457,0
0.008334,161.520883,-83.349452,-151.498904,26.307692,-7.081807,3.174603,5.128205,7.570208,-1.709402,-4.639805,-0.278999,2.644689,0
0.009376,151.498904,6.180220,-172.879125,5.428571,-6.105006,-0.244200,7.570208,7.081807,1.221001,-6.593407,0.209402,2.644689,0
0.010417,121.098904,100.052749,-174.549454,-15.450549,-4.151404,-2.686203,7.570208,4.151404,3.663004,-7.081807,0.209402,2.649573,0
0.011459,53.951650,160.518685,-159.850553,-16.564103,-1.221001,-5.128205,7.570208,1.709402,6.105006,-6.593407,0.209402,2.639805,0
0.012500,-37.248352,179.560444,-144.149454,3.758242,1.709402,-6.593407,6.105006,-0.732601,7.570208,-5.128205,0.209402,2.644689,0
0.013543,-126.443959,169.204399,-103.393409,22.967033,4.151404,-7.081807,3.663004,-3.174603,7.570208,-2.686203,0.209402,2.634921,0
0.014584,-167.534070,154.839564,-21.213187,12.388278,6.593407,-6.593407,1.221001,-5.616606,7.081807,-0.244200,0.209402,2.625153,0
0.015625,-177.890114,132.457146,74.329672,-7.934066,8.058608,-5.128205,-1.709402,-6.593407,5.616606,2.686203,0.209402,2.649573,0
0.016667,-161.520883,83.015386,151.164839,-22.967033,8.058608,-2.686203,-4.639805,-7.081807,2.686203,5.128205,0.209402,2.639805,0
0.017709,-151.832970,-5.512088,171.876927,-2.923077,7.081807,0.732601,-6.105006,-6.105006,-0.244200,7.081807,0.209402,2.644689,0
0.018750,-121.432970,-100.386815,173.881323,18.791209,5.128205,3.663004,-7.081807,-3.663004,-2.686203,7.570208,0.209402,2.644689,0
0.019792,-54.285715,-160.518685,159.182421,19.626374,1.709402,6.105006,-6.593407,-1.221001,-5.616606,7.081807,0.209402,2.639805,0
0.020834,36.580221,-179.894510,143.815388,-0.417582,-0.732601,7.570208,-5.616606,1.709402,-7.081807,6.105006,0.209402,2.649573,0
0.021876,126.443959,-168.870333,103.059343,-19.904762,-3.174603,7.570208,-3.174603,4.151404,-7.081807,3.174603,0.209402,2.630037,0
0.022917,167.534070,-155.507696,20.879121,-9.326007,-6.105006,7.081807,-0.244200,6.105006,-6.105006,0.732601,-0.278999,2.625153,0
0.023959,177.890114,-132.457146,-74.997804,11.274725,-7.081807,5.616606,2.686203,7.570208,-4.639805,-2.197802,0.209402,2.644689,0
0.025000,161.520883,-83.349452,-151.498904,26.586081,-7.081807,3.174603,5.616606,8.058608,-1.709402,-4.639805,0.209402,2.639805,0
0.026043,151.498904,5.512088,-172.545059,6.263736,-6.105006,0.244200,7.570208,6.593407,0.732601,-6.593407,-0.278999,2.644689,0
0.027084,121.098904,100.052749,-174.549454,-15.172161,-4.151404,-2.686203,7.570208,4.151404,3.663004,-7.081807,0.209402,2.639805,0
0.028126,54.285715,160.518685,-159.850553,-16.285714,-1.221001,-5.616606,7.570208,2.197802,6.105006,-6.593407,0.209402,2.634921,0
0.029167,-36.914287,179.560444,-144.149454,3.479853,1.709402,-7.081807,6.105006,-0.732601,7.570208,-5.128205,0.209402,2.644689,0
0.030209,-126.109893,169.204399,-103.393409,22.688645,4.151404,-7.081807,3.663004,-3.663004,7.081807,-2.686203,0.209402,2.630037,0
0.031250,-167.534070,154.839564,-21.547253,12.666667,6.593407,-6.593407,1.221001,-6.105006,7.081807,0.244200,0.209402,2.625153,0
0.032292,-177.890114,132.457146,74.663738,-8.212454,7.570208,-5.128205,-1.709402,-7.081807,5.616606,2.686203,0.209402,2.644689,0
