1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,178.558246,-177.556048,45.265935,-14.893773,-0.732601,9.035409,-7.081807,1.709402,-7.570208,7.570208,0.209402,4.246642,0
0.001042,219.648357,-136.465937,-45.265935,-10.996337,-4.639805,10.012210,-4.151404,5.616606,-9.035409,4.639805,0.697802,4.241758,0
0.002083,202.610994,-87.024178,-137.468135,11.553114,-7.081807,9.523810,-0.732601,8.058608,-8.058608,1.709402,0.209402,4.256410,0
0.003125,165.195608,-25.556045,-198.936268,23.802198,-8.547009,7.081807,2.686203,9.523810,-5.616606,-2.197802,0.697802,4.246642,0
0.004167,123.771431,74.329672,-217.643961,6.263736,-9.035409,3.663004,6.105006,9.523810,-2.686203,-5.616606,0.697802,4.241758,0
0.005208,68.650551,157.512091,-189.582422,-11.553114,-8.058608,0.244200,8.547009,8.547009,0.732601,-7.570208,0.697802,4.251526,0
0.006250,-3.507692,217.643961,-149.494509,-19.904762,-5.128205,-3.174603,10.012210,5.616606,4.639805,-8.547009,0.697802,4.231990,0
0.007291,-106.065936,208.624180,-111.076926,7.377289,-2.197802,-5.616606,9.523810,3.174603,6.593407,-8.058608,0.697802,4.231990,0
0.008335,-178.558246,177.221982,-46.268133,20.183150,1.221001,-8.058608,8.058608,-0.732601,9.035409,-6.593407,0.697802,4.246642,0
0.009375,-219.982422,135.797805,44.263737,16.564103,5.128205,-9.035409,5.128205,-4.151404,10.012210,-3.663004,1.186203,4.246642,0
0.010416,-202.945059,86.356046,136.800003,-5.985348,8.058608,-8.547009,2.197802,-6.593407,9.035409,-0.732601,0.697802,4.256410,0
0.011458,-165.529674,25.556045,198.268136,-19.069597,9.523810,-6.105006,-2.197802,-8.547009,6.593407,3.174603,0.697802,4.246642,0
0.012500,-124.439563,-75.331870,216.641763,-1.252747,10.012210,-3.174603,-5.128205,-8.547009,3.663004,6.593407,0.697802,4.241758,0
0.013542,-68.984617,-157.846157,188.580224,16.842491,8.547009,0.244200,-7.570208,-7.570208,0.244200,8.547009,0.697802,4.251526,0
0.014583,3.173626,-218.312093,148.826377,25.194139,6.105006,4.151404,-9.035409,-5.128205,-3.663004,9.523810,0.209402,4.231990,0
0.015625,105.731870,-209.626378,110.408794,-2.923077,3.174603,7.081807,-8.547009,-2.197802,-6.105006,9.035409,0.697802,4.236874,0
0.016667,178.224180,-177.890114,45.600001,-14.893773,-0.244200,9.035409,-7.081807,1.709402,-8.058608,7.570208,0.209402,4.251526,0
0.017708,219.648357,-136.465937,-45.265935,-10.717949,-4.639805,10.012210,-4.151404,5.128205,-9.035409,4.639805,0.209402,4.246642,0
0.018750,202.610994,-87.024178,-137.802201,11.553114,-7.081807,9.523810,-1.221001,8.058608,-8.058608,1.709402,0.209402,4.261294,0
0.019792,165.195608,-25.556045,-199.270334,24.358974,-8.547009,7.081807,3.174603,9.035409,-6.105006,-1.709402,0.697802,4.256410,0
0.020834,123.771431,74.329672,-217.643961,6.820513,-9.035409,3.663004,6.105006,9.523810,-2.686203,-5.616606,0.697802,4.241758,0
0.021875,68.984617,157.512091,-189.582422,-11.553114,-8.058608,0.732601,8.547009,8.547009,0.244200,-7.570208,0.697802,4.256410,0
0.022916,-2.839561,217.309895,-149.494509,-19.626374,-5.128205,-3.663004,10.012210,5.616606,4.639805,-8.547009,0.697802,4.231990,0
0.023959,-106.065936,208.958246,-111.410991,7.098901,-2.197802,-5.616606,9.523810,2.686203,7.081807,-8.547009,0.697802,4.236874,0
0.025001,-178.558246,177.221982,-46.268133,19.626374,1.709402,-8.058608,8.058608,-0.732601,9.035409,-6.593407,0.697802,4.251526,0
0.026042,-219.982422,136.131871,43.929671,17.120879,5.128205,-9.035409,5.128205,-4.639805,10.012210,-3.663004,0.697802,4.246642,0
0.027083,-202.945059,86.690112,137.134069,-6.263736,8.058608,-8.058608,1.709402,-7.081807,9.523810,-0.732601,0.697802,4.256410,0
0.028127,-165.529674,25.556045,198.268136,-19.069597,9.523810,-6.105006,-2.197802,-8.547009,7.081807,3.174603,0.697802,4.246642,0
0.029167,-124.105497,-74.663738,216.975829,-1.531136,9.523810,-3.174603,-5.128205,-8.547009,3.663004,6.593407,0.697802,4.241758,0
0.030208,-69.318683,-157.512091,188.914290,16.285714,8.547009,0.244200,-7.570208,-7.570208,0.244200,8.547009,0.697802,4.256410,0
0.031250,2.505495,-217.978027,149.160443,24.915751,6.105006,4.639805,-9.035409,-4.639805,-3.663004,9.523810,0.697802,4.231990,0
0.032292,105.731870,-209.626378,110.742860,-2.366300,2.686203,7.081807,-8.547009,-2.197802,-5.616606,9.035409,0.209402,4.231990,0
0.033333,177.890114,-177.890114,45.934067,-14.615385,-0.732601,9.035409,-7.081807,1.709402,-8.058608,7.570208,0.209402,4.246642,0
0.034375,219.648357,-136.800003,-44.597803,-10.717949,-4.639805,10.012210,-4.151404,5.128205,-9.035409,4.151404,0.209402,4.246642,0
0.035416,202.610994,-87.358244,-137.134069,11.274725,-7.081807,9.523810,-0.732601,7.570208,-8.058608,1.709402,0.697802,4.256410,0
0.036459,165.529674,-26.224176,-198.602202,24.915751,-8.547009,7.081807,3.174603,9.523810,-5.616606,-2.197802,0.697802,4.246642,0
0.037500,124.105497,74.329672,-217.978027,6.542125,-9.035409,4.151404,6.105006,9.523810,-2.686203,-5.616606,0.697802,4.241758,0
0.038541,68.984617,157.178025,-189.916488,-10.717949,-8.058608,0.732601,8.547009,8.547009,0.732601,-7.570208,0.697802,4.251526,0
0.039583,-2.839561,217.309895,-149.828575,-20.461538,-5.128205,-3.663004,10.012210,5.616606,4.151404,-8.547009,0.697802,4.231990,0
0.040626,-105.731870,208.958246,-111.410991,6.820513,-2.197802,-6.105006,9.523810,3.174603,7.081807,-8.058608,0.697802,4.231990,0
0.041667,-178.224180,177.221982,-46.602199,20.183150,1.709402,-8.058608,7.570208,-0.244200,9.035409,-6.593407,0.209402,4.251526,0
