1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-147.156047,142.813190,82.347255,-25.194139,11.965812,-4.639805,-6.105006,-10.500611,5.128205,6.593407,0.209402,2.874237,0
0.001051,-165.195608,62.971430,124.105497,-4.593407,10.500611,-0.732601,-9.035409,-9.523810,0.732601,9.523810,0.209402,2.879121,0
0.002093,-162.523081,-21.547253,137.134069,17.399267,7.570208,4.151404,-10.500611,-6.593407,-3.174603,10.989011,0.209402,2.884005,0
0.003129,-120.764838,-96.043958,158.180223,20.739927,4.151404,8.058608,-10.500611,-2.686203,-7.570208,10.989011,0.209402,2.879121,0
0.004177,-35.578023,-131.120882,164.193410,0.695971,-0.244200,10.500611,-9.035409,1.221001,-9.523810,9.035409,-0.278999,2.893773,0
0.005217,50.276924,-146.153849,155.841762,-18.234432,-4.639805,11.477411,-5.616606,5.616606,-10.989011,6.105006,0.209402,2.888889,0
0.006255,110.408794,-166.197806,90.698903,-9.604396,-8.058608,10.500611,-1.221001,8.547009,-9.523810,1.709402,-0.278999,2.874237,0
0.007300,133.793410,-164.193410,3.841758,10.439560,-10.012210,8.547009,2.686203,10.989011,-7.570208,-2.197802,0.209402,2.879121,0
0.008341,146.821981,-142.145058,-84.351650,28.256410,-10.989011,5.128205,6.593407,11.477411,-4.151404,-6.593407,0.209402,2.879121,0
0.009382,165.195608,-63.973628,-124.439563,8.212454,-10.012210,1.221001,10.012210,10.012210,-0.244200,-9.035409,0.209402,2.884005,0
0.010424,161.854949,20.879121,-137.802201,-12.945055,-7.081807,-3.174603,10.989011,7.570208,4.151404,-10.500611,-0.278999,2.888889,0
0.011458,121.098904,95.375826,-158.848355,-16.285714,-3.174603,-7.081807,11.477411,3.174603,8.058608,-10.012210,0.209402,2.884005,0
0.012500,36.580221,131.454948,-164.861542,2.087912,1.221001,-9.523810,10.012210,-0.244200,10.500611,-8.547009,-0.278999,2.898657,0
0.013542,-48.940660,145.151652,-157.178025,22.410256,5.128205,-10.989011,6.593407,-4.639805,11.477411,-5.128205,0.209402,2.888889,0
0.014584,-110.074728,165.863740,-92.703299,13.780220,9.035409,-10.012210,2.197802,-8.058608,10.500611,-1.221001,-0.278999,2.874237,0
0.015625,-133.793410,164.193410,-5.846154,-6.820513,10.989011,-8.058608,-2.197802,-10.012210,8.547009,2.686203,0.209402,2.879121,0
0.016667,-147.156047,142.145058,83.015386,-24.915751,11.965812,-4.639805,-6.105006,-10.500611,5.128205,7.081807,0.209402,2.879121,0
0.017708,-165.529674,65.309892,123.103299,-5.150183,10.500611,-0.244200,-9.035409,-9.523810,0.732601,9.523810,-0.278999,2.884005,0
0.018750,-162.857146,-19.876924,136.800003,17.399267,8.058608,3.663004,-10.500611,-6.593407,-3.663004,10.989011,0.209402,2.884005,0
0.019792,-121.432970,-95.709892,157.846157,20.461538,3.663004,8.058608,-10.500611,-2.686203,-7.081807,10.989011,-0.278999,2.884005,0
0.020834,-37.248352,-131.789014,163.525278,0.695971,-0.244200,10.500611,-9.035409,1.221001,-9.523810,9.523810,0.209402,2.893773,0
0.021875,48.940660,-145.485718,156.175828,-19.347985,-4.639805,11.477411,-5.616606,5.616606,-10.500611,6.105006,-0.278999,2.884005,0
0.022917,109.740662,-165.863740,92.035167,-9.882784,-8.058608,10.500611,-1.221001,9.035409,-9.523810,2.197802,0.209402,2.869353,0
0.023959,133.459344,-164.527476,4.843956,10.439560,-10.012210,8.547009,2.686203,10.500611,-7.570208,-2.197802,0.209402,2.874237,0
