1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,128.997049,-173.392992,29.630790,0.911012,-5.843417,4.396369,2.225602,6.252831,-4.316453,-2.813734,0.022683,0.323024,0.003860,134.003048,188.269458,1512.331463,-893.372040,0
0.001042,185.926073,-123.981735,-21.479141,-0.091066,-6.023221,2.373866,4.131603,6.315821,-2.142627,-4.580572,-0.042949,0.333910,0.015011,167.789280,188.194083,1512.336901,-893.898563,0
0.002083,193.293624,-61.580496,-83.464818,-1.284552,-5.043472,-0.472620,5.770840,5.422851,0.635285,-6.263638,-0.108580,0.330120,0.018727,173.880034,188.420209,1511.456295,-894.054837,0
0.003125,169.699380,-9.761512,-154.199699,-2.703224,-3.619717,-2.773946,6.366224,3.962976,2.906118,-6.709156,-0.086703,0.331498,0.003860,161.405810,188.344919,1511.055177,-894.522746,0
0.004167,107.843589,38.956790,-196.645488,-3.570190,-1.351982,-4.758995,5.832698,1.636069,4.903568,-6.195097,-0.075764,0.348172,0.015011,118.038744,188.269498,1510.625173,-894.724710,0
0.005208,51.536061,106.467108,-192.999987,-3.457597,1.176284,-6.369507,4.788844,-0.846460,6.385121,-4.965164,-0.083057,0.333290,0.007577,57.896774,188.194067,1509.873623,-894.857026,0
0.006250,0.539498,167.729081,-145.377585,-2.568112,3.491722,-6.664976,2.743663,-3.228947,6.768738,-3.004126,0.015390,0.333083,0.007577,-11.251856,188.344842,1509.785956,-895.481426,0
0.007292,-53.779243,201.484240,-82.529139,-1.352108,5.410856,-5.907577,0.149492,-5.066759,5.873633,-0.369099,0.029975,0.325917,0.015011,-74.805099,188.344798,1509.516329,-895.177606,0
0.008333,-129.556542,173.096550,-29.499244,-0.316252,6.482342,-4.355327,-2.371222,-6.144992,4.273027,2.109806,0.073729,0.320957,0.026161,-133.978853,188.269413,1509.315619,-895.775612,0
0.009375,-185.638072,123.779253,22.133209,0.674567,6.555731,-2.353631,-4.172837,-6.144992,2.182979,3.823335,0.124775,0.328742,0.007577,-167.089586,188.194000,1509.124418,-894.973762,0
0.010417,-193.581919,60.814254,83.888004,1.879312,5.620016,0.534470,-5.800476,-5.266843,-0.678711,5.491169,0.157591,0.325573,0.015011,-173.112789,188.344876,1508.379879,-895.278941,0
0.011458,-169.230580,8.501979,154.076060,3.252946,4.240294,2.877411,-6.376529,-3.836610,-2.905450,5.921456,0.179468,0.313309,0.000144,-159.839224,188.420292,1507.900749,-895.093210,0
0.012500,-106.436895,-39.288467,197.044371,4.131172,1.847798,4.750099,-5.812075,-1.491176,-4.938176,5.384550,0.175822,0.326951,0.022444,-116.945008,188.269389,1508.450847,-895.174601,0
0.013542,-49.519171,-106.352475,192.839893,4.052357,-0.614418,6.373096,-4.756622,0.965415,-6.362407,4.154617,0.132068,0.328673,0.018727,-56.712971,188.194022,1507.776901,-894.936337,0
0.014583,0.867196,-167.966798,145.302553,3.106575,-2.860136,6.672726,-2.746236,3.292323,-6.701929,2.189771,0.077375,0.300355,0.026161,12.131684,188.344833,1507.411888,-895.273715,0
0.015625,54.067244,-201.627996,82.454107,1.879312,-4.841651,5.931974,-0.190727,5.156072,-5.833281,-0.380523,0.055498,0.329707,0.015011,75.223335,188.420330,1507.053403,-895.267171,0
0.016667,129.415146,-173.439972,29.898127,0.888493,-5.821400,4.300654,2.287460,6.234305,-4.267949,-2.836581,-0.028364,0.323919,0.026161,134.239473,188.269630,1506.466518,-895.629351,0
0.017708,185.609675,-124.228380,-21.552051,-0.113585,-5.964510,2.319766,4.158666,6.226894,-2.102942,-4.588188,-0.021072,0.331912,-0.014723,167.710472,188.194061,1505.128155,-895.714002,0
0.018750,193.643922,-61.815396,-83.829368,-1.295811,-5.017786,-0.485104,5.790171,5.400620,0.644104,-6.248407,-0.079410,0.331360,0.029877,174.093942,188.344945,1504.978348,-895.777933,0
0.019792,169.495981,-9.538356,-154.418429,-2.703224,-3.656411,-2.748976,6.319830,3.940745,2.879661,-6.671077,-0.101287,0.335770,0.026161,161.000511,188.420323,1504.483224,-895.194936,0
0.020833,107.956588,39.132965,-196.876370,-3.547671,-1.293271,-4.721541,5.766974,1.580490,4.930025,-6.099901,-0.086703,0.341213,0.026161,117.926161,188.269462,1503.228284,-895.754519,0
0.021875,51.072764,106.795968,-192.781257,-3.457597,1.216649,-6.332053,4.730852,-0.850165,6.380712,-4.919470,-0.057533,0.333634,0.018727,57.412666,188.269382,1502.761441,-895.574882,0
