1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,162.874225,-156.996958,-30.580743,-0.271215,-4.801287,4.829168,0.539971,4.922640,-4.810304,-1.054511,0.019036,0.459859,0.029877,166.809806,188.495584,1567.176568,13.280760,0
0.001042,190.852840,-85.493337,-83.209633,-1.295811,-5.311344,3.031388,2.724333,5.511778,-2.953953,-3.301137,-0.017425,0.462546,-0.014723,180.094629,188.495644,1567.586798,13.351757,0
0.002083,184.445783,-18.229664,-140.346793,-2.421741,-5.116862,1.137892,4.139335,5.274641,-1.049099,-4.588188,-0.057533,0.470676,-0.003573,169.106504,188.495703,1567.505730,13.000926,0
0.003125,137.618892,44.277280,-182.610307,-3.254929,-4.133443,-1.121818,5.214118,4.303861,1.283465,-5.692462,-0.075764,0.475844,0.015011,132.111650,188.495626,1568.228723,12.568063,0
0.004167,66.124264,96.636535,-197.253072,-3.480115,-2.386774,-3.402337,5.453818,2.554975,3.492566,-5.829544,-0.083057,0.471916,-0.018440,71.496830,188.495573,1569.117667,12.735344,0
0.005208,3.703477,156.312931,-167.736661,-3.007225,-0.324530,-4.904649,4.796576,0.450383,5.013803,-5.159364,-0.046595,0.461650,-0.037023,0.817068,188.495579,1568.436445,12.831347,0
0.006250,-59.203207,184.536190,-117.817594,-2.027666,1.785417,-5.707824,3.385440,-1.628271,5.661982,-3.617188,-0.032010,0.464682,-0.037023,-63.006374,188.495604,1567.628491,12.832301,0
0.007292,-117.352623,188.752649,-38.163386,-0.507660,3.693543,-5.670370,1.402117,-3.592063,5.635526,-1.675189,-0.021072,0.458894,0.037311,-128.405982,188.495611,1566.431863,13.021804,0
0.008333,-163.411119,157.205552,30.663682,0.877234,5.021892,-4.871356,-0.585072,-4.811095,4.753649,0.251579,0.008098,0.462133,0.015011,-166.661769,188.495655,1565.730949,14.059166,0
0.009375,-190.350141,85.678440,83.790791,1.890571,5.550296,-3.081899,-2.777165,-5.444696,2.945802,2.471551,0.091960,0.462270,0.011294,-179.439968,188.495738,1564.828430,15.354631,0
0.010417,-184.519379,17.510402,140.624160,3.027760,5.407186,-1.192564,-4.192168,-5.148275,1.098270,3.777641,0.113837,0.447181,-0.003573,-168.282968,188.495723,1563.921590,16.894860,0
0.011458,-137.217892,-45.102247,182.243635,3.827171,4.361387,1.087954,-5.255353,-4.207137,-1.260750,4.881915,0.110191,0.453520,-0.014723,-130.781489,188.495622,1563.008173,17.651017,0
0.012500,-64.514172,-96.592371,197.700562,4.119912,2.629396,3.397602,-5.533714,-2.436019,-3.518354,4.996150,0.128422,0.450902,0.029877,-70.234219,188.495749,1563.414703,18.713227,0
0.013542,-1.844786,-156.033867,167.698084,3.568207,0.563482,4.899914,-4.830079,-0.435175,-4.999907,4.360240,0.099252,0.459928,0.015011,0.276668,188.495682,1562.748984,19.910402,0
0.014583,59.898006,-184.914847,117.402315,2.588648,-1.517109,5.707251,-3.473068,1.695353,-5.665724,2.844719,0.077375,0.465922,0.007577,63.627261,188.495600,1562.603756,20.216103,0
0.015625,117.267727,-188.908151,38.319236,1.091161,-3.483946,5.661474,-1.466549,3.670260,-5.674543,0.925567,0.044560,0.463855,0.000144,128.565277,188.497696,1562.421809,20.381787,0
0.016667,163.337522,-157.384543,-29.815188,-0.248696,-4.771931,4.866622,0.497444,4.881882,-4.788257,-1.050703,0.008098,0.469023,-0.007290,167.102523,188.495636,1562.003449,20.205989,0
0.017708,190.220044,-86.550388,-83.501273,-1.295811,-5.278318,3.060518,2.677939,5.519188,-3.020094,-3.263059,-0.035656,0.467438,-0.033307,180.173437,188.495620,1562.299022,20.990042,0
0.018750,184.728281,-19.051815,-140.638433,-2.444260,-5.179243,1.229446,4.147067,5.300577,-1.075556,-4.553917,-0.032010,0.470676,0.011294,169.275379,188.495756,1562.527543,21.379484,0
0.019792,137.867490,44.077615,-182.440184,-3.266189,-4.133443,-1.117657,5.214118,4.266808,1.279055,-5.715309,-0.119518,0.477222,0.011294,131.740125,188.495575,1562.453155,20.926490,0
0.020833,66.214664,96.483850,-197.447499,-3.570190,-2.397782,-3.464759,5.484747,2.517922,3.483747,-5.814313,-0.075764,0.469574,0.011294,71.023980,188.495736,1562.081088,20.515616,0
0.021875,2.867283,156.301186,-167.530083,-2.984706,-0.350216,-4.975395,4.784978,0.442973,5.066716,-5.159364,-0.083057,0.479151,0.000144,0.074019,188.495629,1562.514724,20.432168,0
0.022917,-59.711704,184.618405,-117.003432,-2.027666,1.825781,-5.757762,3.366110,-1.646798,5.697258,-3.651459,-0.035656,0.464682,-0.014723,-63.625582,188.495607,1563.157253,20.880395,0
0.023958,-117.488222,189.034529,-37.106191,-0.496401,3.697212,-5.637078,1.398251,-3.592063,5.688439,-1.717075,0.008098,0.458963,0.003860,-128.800023,188.495756,1563.922433,21.863211,0
0.025000,-163.083421,157.052867,31.161901,0.865975,5.054917,-4.879679,-0.616001,-4.866674,4.762468,0.282042,0.029975,0.462202,0.007577,-166.582961,188.420307,1564.510843,21.445886,0
0.026042,-190.869937,84.832800,83.790791,1.901830,5.616346,-3.052768,-2.842890,-5.437286,2.919346,2.528668,0.084667,0.457103,-0.011006,-179.676392,188.495683,1564.616165,20.877874,0
0.027083,-184.315981,17.439932,140.794283,3.005242,5.414525,-1.242503,-4.219231,-5.229791,1.089452,3.834758,0.088314,0.455725,-0.014723,-168.440584,188.495613,1565.994596,20.771202,0
0.028125,-137.127492,-44.550232,182.997039,3.849689,4.368726,1.100438,-5.324943,-4.244190,-1.296025,4.939032,0.124775,0.469849,-0.003573,-131.524538,188.495555,1567.236918,20.376090,0
0.029167,-65.598965,-96.615861,197.348163,4.153690,2.614718,3.426733,-5.583973,-2.432314,-3.535992,5.045652,0.179468,0.458963,-0.011006,-70.887202,188.420249,1567.976519,19.936664,0
0.030208,-3.200777,-156.703333,168.026179,3.568207,0.548804,4.941530,-4.888070,-0.387007,-5.066048,4.432589,0.102898,0.470056,0.015011,-0.297506,188.495541,1569.692936,19.012775,0
0.031250,59.547708,-184.421557,118.046354,2.611166,-1.535456,5.736382,-3.449871,1.710174,-5.731865,2.852335,0.073729,0.469574,0.007577,63.447128,188.420256,1570.481901,18.487845,0
0.032292,117.618024,-189.354461,38.586572,1.057383,-3.502294,5.665636,-1.493611,3.722134,-5.723046,0.921759,0.040913,0.461857,-0.022156,128.981835,188.495673,1571.682809,18.102762,0
0.033333,163.348822,-157.278838,-30.106828,-0.282474,-4.874676,4.849976,0.536105,4.941167,-4.766210,-1.081166,0.022683,0.466336,0.000144,166.978681,188.420271,1572.130360,17.428420,0
0.034375,191.044939,-85.763472,-83.379756,-1.284552,-5.340699,3.048034,2.751395,5.556241,-2.962772,-3.304945,-0.053887,0.463786,-0.003573,180.117146,188.495626,1572.572611,16.643763,0
0.035417,184.332783,-17.877314,-140.456158,-2.399222,-5.171904,1.183669,4.181862,5.278346,-1.071146,-4.641498,-0.032010,0.461857,-0.003573,168.577363,188.420365,1572.892545,16.300186,0
0.036458,137.166895,44.805805,-182.889796,-3.266189,-4.104087,-1.175918,5.279842,4.259397,1.327558,-5.749580,-0.108580,0.446079,-0.003573,131.222242,188.495740,1573.381799,16.045568,0
0.037500,64.779573,96.683515,-197.313830,-3.513893,-2.320723,-3.493890,5.511810,2.499396,3.519022,-5.833352,-0.104934,0.446561,-0.014723,70.438547,188.420296,1573.530514,16.058607,0
0.038542,1.884189,156.289441,-167.675903,-3.018484,-0.284166,-4.967072,4.827505,0.442973,5.066716,-5.212674,-0.061180,0.445183,0.003860,0.051502,188.495638,1574.091060,16.682136,0
0.039583,-59.937702,184.500955,-116.918370,-2.005147,1.822112,-5.820185,3.393172,-1.672735,5.723714,-3.628612,-0.050241,0.448766,0.003860,-63.344124,188.495714,1574.296573,16.232201,0
0.040625,-117.409123,189.069764,-37.458589,-0.462623,3.807296,-5.741116,1.390519,-3.651347,5.763398,-1.724691,-0.017425,0.462546,-0.011006,-128.642407,188.495720,1575.653386,15.883220,0
0.041667,-163.298119,157.182062,30.396346,0.865975,5.084273,-4.900487,-0.608268,-4.866674,4.771287,0.301081,0.008098,0.465095,0.000144,-166.627994,188.420334,1575.831852,15.466232,0
0.042708,-190.937737,85.936831,83.644971,1.890571,5.642033,-3.069414,-2.811961,-5.485454,2.981077,2.543900,0.084667,0.466267,-0.014723,-180.014142,188.495700,1577.058109,15.513487,0
0.043750,-184.541979,18.849333,141.085923,3.005242,5.425534,-1.213372,-4.238561,-5.244612,1.071814,3.827143,0.091960,0.471916,-0.011006,-168.879659,188.420238,1577.354141,14.950224,0
0.044792,-137.681189,-43.986471,183.191466,3.838430,4.423768,1.092115,-5.340407,-4.210842,-1.309253,4.999958,0.121129,0.473915,0.000144,-131.569571,188.495687,1577.963916,14.039202,0
0.045833,-66.197861,-96.662841,197.469680,4.119912,2.600040,3.468348,-5.583973,-2.436019,-3.562448,5.064691,0.146652,0.473088,-0.033307,-70.662035,188.420188,1578.531758,13.682164,0
0.046875,-3.053878,-156.773803,168.135544,3.579466,0.552474,4.949853,-4.926732,-0.368481,-5.145417,4.424974,0.143006,0.467920,0.007577,0.321702,188.495656,1579.282478,12.992138,0
0.047917,59.762407,-184.856122,117.207888,2.611166,-1.594168,5.736382,-3.438273,1.750932,-5.767140,2.856143,0.102898,0.464751,-0.007290,63.931236,188.495647,1579.885365,12.849170,0
0.048958,117.437225,-189.460166,37.517225,1.057383,-3.586691,5.715574,-1.431753,3.722134,-5.731865,0.876065,0.037267,0.457516,0.003860,129.173227,188.495674,1579.747867,12.652103,0
0.050000,163.235823,-156.985213,-30.763018,-0.282474,-4.867337,4.849976,0.547703,5.000451,-4.832351,-1.081166,0.022683,0.461719,-0.007290,166.944906,188.344889,1580.897900,13.087343,0
0.051042,191.270937,-84.553736,-83.391908,-1.295811,-5.399411,3.068842,2.782325,5.571062,-2.971591,-3.335408,-0.053887,0.461719,-0.029590,180.083371,188.495636,1581.147369,13.244800,0
0.052083,184.423183,-17.337043,-140.529068,-2.410482,-5.219607,1.171184,4.247586,5.315399,-1.097603,-4.694807,-0.050241,0.460066,-0.011006,168.723721,188.420311,1582.112548,13.512389,0
0.053125,136.714898,44.629630,-183.290801,-3.209892,-4.144451,-1.196726,5.322370,4.307566,1.283465,-5.806697,-0.086703,0.459032,0.003860,131.740125,188.495662,1583.051231,14.282630,0
0.054167,65.152471,96.601300,-197.313830,-3.502634,-2.372096,-3.560475,5.542739,2.510512,3.532250,-5.863815,-0.061180,0.471159,0.052178,71.147822,188.344844,1583.593909,14.181292,0
0.055208,2.641284,156.900182,-167.821723,-2.984706,-0.291505,-5.096079,4.850702,0.446678,5.154903,-5.239329,-0.061180,0.461030,0.015011,0.490577,188.495629,1584.998756,13.682742,0
0.056250,-59.497005,184.453975,-117.513802,-2.027666,1.840459,-5.861800,3.424102,-1.713492,5.785445,-3.674306,-0.050241,0.468885,-0.003573,-63.107699,188.420108,1586.257345,13.247139,0
0.057292,-118.053218,189.480840,-38.284903,-0.473882,3.825644,-5.786893,1.425314,-3.688400,5.758989,-1.682805,-0.010133,0.463304,-0.018440,-128.912607,188.495772,1586.732997,12.299462,0
0.058333,-163.388519,157.052867,30.043947,0.843456,5.124637,-4.925456,-0.673993,-4.944485,4.775696,0.354391,0.044560,0.468058,0.007577,-166.470378,188.420197,1587.643130,11.247480,0
0.059375,-191.999930,85.467030,83.414089,1.868052,5.700744,-3.073576,-2.924078,-5.570675,2.972258,2.642904,0.084667,0.465233,0.007577,-180.250567,188.495727,1589.394588,10.208830,0
0.060417,-184.022182,18.262082,140.976558,3.027760,5.484245,-1.188403,-4.308152,-5.259433,0.970398,3.937570,0.102898,0.469023,-0.007290,-168.170385,188.420307,1590.175356,8.554692,0
0.061458,-136.607696,-44.303586,184.078538,3.905986,4.368726,1.179507,-5.417730,-4.244190,-1.437125,5.026613,0.124775,0.478462,0.015011,-131.006655,188.495702,1591.162267,7.728847,0
0.062500,-64.627171,-96.604116,197.178040,4.131172,2.600040,3.534933,-5.626501,-2.395262,-3.624179,5.137040,0.146652,0.457241,0.018727,-69.603753,188.420274,1591.879875,7.320000,0
0.063542,-1.641388,-157.149643,168.050483,3.613244,0.504771,5.078860,-4.930598,-0.346249,-5.185101,4.428782,0.095606,0.462615,-0.014723,0.929651,188.495716,1592.361645,7.427353,0
0.064583,60.259603,-184.339342,116.588153,2.599907,-1.601507,5.827935,-3.484667,1.787985,-5.820052,2.859951,0.110191,0.441600,-0.018440,64.021302,188.420314,1592.882071,7.277771,0
0.065625,117.900522,-189.965201,37.079765,1.057383,-3.619717,5.765513,-1.458816,3.796239,-5.837690,0.883681,0.077375,0.460617,-0.011006,129.510977,188.495738,1594.931107,7.255746,0
0.066667,162.930725,-156.656353,-30.519985,-0.271215,-4.900363,4.870784,0.601829,5.007861,-4.832351,-1.164938,-0.010133,0.468196,-0.014723,166.742256,188.420307,1594.927269,6.178592,0
0.067708,192.299231,-84.870851,-83.075965,-1.262033,-5.469131,3.085488,2.844183,5.641462,-3.024503,-3.442028,-0.057533,0.466473,-0.003573,180.691320,188.495712,1597.047272,5.408418,0
0.068750,183.925986,-18.523289,-140.845012,-2.444260,-5.256302,1.125407,4.290114,5.333925,-1.035871,-4.713847,-0.079410,0.473983,-0.022156,168.937630,188.420216,1597.310318,4.321862,0
0.069792,137.121695,43.572579,-184.250783,-3.299967,-4.177477,-1.217534,5.361031,4.300155,1.345196,-5.837160,-0.097641,0.463855,-0.011006,132.381849,188.495584,1598.104504,3.078067,0
0.070833,66.225964,96.589555,-196.912825,-3.558930,-2.386774,-3.547990,5.573668,2.484575,3.624847,-5.890470,-0.064826,0.469849,0.003860,70.978947,188.420285,1598.954794,1.661090,0
0.071875,3.206280,157.217297,-168.064756,-3.029743,-0.254810,-5.125210,4.897096,0.376278,5.212225,-5.250752,-0.072118,0.469712,-0.014723,0.141568,188.495763,1599.796183,0.389049,0
0.072917,-59.463106,184.336525,-117.027735,-2.005147,1.902840,-5.865962,3.385440,-1.761661,5.807492,-3.647651,-0.010133,0.466404,-0.029590,-63.456707,188.420349,1599.901809,-0.303681,0
0.073958,-118.030619,189.762720,-36.972522,-0.462623,3.862338,-5.774408,1.355724,-3.732863,5.820720,-1.648534,-0.039302,0.461306,0.003860,-129.385456,188.495703,1600.828206,-0.489386,0
0.075000,-163.106021,156.630046,31.052536,0.877234,5.176010,-4.942102,-0.654662,-4.970422,4.819790,0.362006,0.022683,0.461857,0.026161,-166.447861,188.344880,1601.361626,-0.004519,0
0.076042,-192.440627,83.975414,83.486999,1.868052,5.715422,-3.036122,-2.974338,-5.604023,2.910527,2.642904,0.088314,0.461719,0.000144,-180.014142,188.495812,1601.257822,-0.122886,0
0.077083,-183.830084,17.181541,140.952255,3.005242,5.454890,-1.175918,-4.292687,-5.266843,0.983626,3.968033,0.095606,0.482458,-0.011006,-167.933960,188.420222,1601.515768,0.254221,0
0.078125,-136.042700,-44.620702,184.309419,3.883467,4.405420,1.212799,-5.456391,-4.266421,-1.384213,5.079922,0.117483,0.452693,-0.033307,-131.119238,188.495645,1602.123117,1.124104,0
0.079167,-64.242974,-96.686331,197.372466,4.086135,2.596370,3.559902,-5.653564,-2.406377,-3.655045,5.140848,0.121129,0.455725,-0.014723,-70.121636,188.344878,1602.459685,1.094663,0
0.080208,-1.743087,-157.361053,168.111241,3.579466,0.464407,5.095506,-4.953795,-0.316607,-5.198329,4.455436,0.128422,0.459928,0.018727,0.501835,188.495638,1602.939396,0.823632,0
0.081250,59.785006,-184.715182,117.232192,2.622425,-1.667557,5.873712,-3.480800,1.795395,-5.881784,2.837104,0.066437,0.466473,0.003860,63.672294,188.420283,1603.729345,0.104955,0
0.082292,118.149121,-190.094397,38.258477,1.057383,-3.645403,5.777997,-1.454950,3.829587,-5.837690,0.891296,0.062790,0.468747,-0.007290,129.634818,188.495667,1604.217271,-0.436901,0
0.083333,163.473121,-156.973468,-29.681519,-0.282474,-4.896693,4.920722,0.582499,5.063440,-4.827941,-1.183977,-0.035656,0.467645,0.007577,166.888614,188.344889,1605.011490,-1.235384,0
0.084375,192.593029,-85.129241,-83.027358,-1.284552,-5.483809,3.110457,2.851915,5.708157,-2.971591,-3.453451,-0.035656,0.471296,-0.029590,180.826420,188.495752,1605.678775,-1.998919,0
0.085417,183.846887,-18.617249,-140.978680,-2.433000,-5.270979,1.133730,4.305578,5.396914,-1.031462,-4.767156,-0.061180,0.472881,-0.007290,168.599880,188.420188,1606.871163,-2.180871,0
0.086458,136.432400,43.877949,-184.724698,-3.322485,-4.199493,-1.263310,5.395826,4.318682,1.451021,-5.917125,-0.108580,0.477084,-0.003573,131.638800,188.495792,1608.243893,-3.164225,0
0.087500,64.960372,96.671770,-197.155858,-3.570190,-2.390443,-3.635382,5.627794,2.473459,3.686579,-5.974242,-0.093995,0.473570,0.015011,70.179606,188.344941,1609.504986,-3.319143,0
0.088542,1.714690,157.569647,-168.125515,-3.007225,-0.207107,-5.183471,4.920292,0.331815,5.269547,-5.292639,-0.072118,0.478531,0.003860,-0.736581,188.420385,1610.584418,-3.348331,0
0.089583,-59.937702,184.465720,-116.092057,-1.982628,1.983568,-5.920062,3.404771,-1.820945,5.855995,-3.632420,-0.042949,0.451798,-0.011006,-63.816974,188.420301,1611.178674,-3.787419,0
0.090625,-118.245317,190.162050,-36.389242,-0.462623,3.957745,-5.857639,1.309330,-3.806968,5.847177,-1.644726,-0.002841,0.458757,-0.014723,-129.610623,188.495725,1612.196554,-4.166517,0
