1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-129.929440,183.537864,-30.920990,-0.316252,1.605613,-6.494353,4.127737,-1.628271,6.565906,-4.401604,0.004452,0.614677,-0.025873,-130.522547,188.420242,1606.952443,892.734100,0
0.001042,-169.648677,156.935417,45.768210,1.147457,3.858669,-6.744045,2.082556,-3.788442,6.746691,-2.326330,-0.010133,0.616124,-0.018440,-164.049838,188.495674,1606.973145,893.580764,0
0.002083,-181.242401,87.698582,106.125564,2.284646,5.480576,-5.691178,-0.465222,-5.466928,5.587023,0.293465,0.029975,0.617089,-0.025873,-180.059175,188.269518,1607.333281,893.612230,0
0.003125,-184.078682,8.443254,149.859430,3.162872,6.331894,-4.051535,-2.726906,-6.300613,3.937913,2.429665,0.117483,0.619638,-0.018440,-176.141278,188.420236,1608.067529,893.832118,0
0.004167,-140.980767,-63.060367,176.167799,3.714578,6.027327,-1.571264,-4.663835,-5.974549,1.362833,4.413550,0.124775,0.620327,-0.048173,-131.558313,188.420260,1608.272510,893.947313,0
0.005208,-60.502699,-114.256866,197.068675,4.119912,4.952172,1.300192,-6.198687,-4.940780,-1.423897,5.734871,0.146652,0.626390,-0.025873,-53.301699,188.495711,1608.983756,894.162864,0
0.006250,7.816650,-161.495297,163.991824,3.455614,3.128444,3.530771,-6.276010,-3.106673,-3.730005,5.898608,0.172176,0.610337,-0.033307,14.068116,188.269483,1609.045707,894.056871,0
0.007292,78.508983,-183.775581,114.643886,2.509832,0.669897,5.582405,-5.734752,-0.631555,-5.687771,5.236044,0.146652,0.614195,0.000144,82.327338,188.420240,1608.810858,894.142057,0
0.008333,129.889743,-183.646386,30.967474,0.933530,-1.685905,6.518749,-4.172837,1.728700,-6.552010,3.636750,0.132068,0.612128,-0.025873,130.805684,188.420267,1607.727063,894.659740,0
0.009375,169.586381,-156.949978,-46.098428,-0.586475,-3.924283,6.747633,-2.119924,3.966681,-6.706339,1.614786,0.091960,0.612197,-0.037023,164.434300,188.420298,1607.991351,895.751523,0
0.010417,181.247904,-87.043678,-106.091231,-1.678627,-5.494817,5.669797,0.431720,5.589588,-5.648086,-1.039279,0.066437,0.603929,-0.033307,180.398604,188.269442,1608.240934,895.969547,0
0.011458,184.231084,-7.588685,-149.205362,-2.556853,-6.415855,4.005186,2.697270,6.356578,-3.976930,-3.221173,-0.028364,0.621636,-0.033307,176.672099,188.344945,1608.314961,896.259198,0
0.012500,140.489073,63.550841,-176.121315,-3.153596,-6.045238,1.529076,4.638065,6.097210,-1.344528,-5.170788,-0.053887,0.617984,-0.033307,131.762642,188.420327,1607.793179,896.950601,0
0.013542,60.451702,114.066130,-196.864218,-3.491375,-5.069158,-1.321572,6.207713,5.022682,1.433384,-6.522572,-0.061180,0.622050,-0.029590,54.327885,188.495729,1608.213743,896.679747,0
0.014583,-7.539949,161.715636,-163.702306,-2.905891,-3.197727,-3.564636,6.343027,3.170049,3.721854,-6.705348,-0.108580,0.621636,-0.048173,-12.704180,188.269445,1609.390486,896.367976,0
0.015625,-78.153182,183.302964,-115.338653,-1.982628,-0.757528,-5.653724,5.728313,0.769036,5.697258,-5.970435,-0.064826,0.615297,-0.018440,-81.447510,188.344883,1609.593626,895.936131,0
0.016667,-130.166738,183.514374,-31.698697,-0.350030,1.598274,-6.506837,4.143201,-1.650503,6.596772,-4.355910,0.019036,0.617984,-0.022156,-130.680164,188.420336,1610.232017,895.180265,0
0.017708,-169.479179,157.252532,45.756059,1.102420,3.843991,-6.698268,2.090288,-3.821789,6.671731,-2.280636,-0.010133,0.615573,-0.018440,-163.835930,188.495698,1610.112128,893.850825,0
0.018750,-181.581399,87.146567,106.125564,2.250869,5.476906,-5.678693,-0.492285,-5.500275,5.582614,0.308697,0.044560,0.614746,-0.051890,-180.408184,188.269505,1610.501425,893.853965,0
0.019792,-184.135182,7.104323,149.446273,3.106575,6.390605,-4.047374,-2.746236,-6.278381,3.911457,2.479167,0.055498,0.588357,-0.011006,-175.983662,188.344883,1610.350877,893.438223,0
0.020833,-140.008973,-63.788558,176.544501,3.635763,5.986963,-1.537971,-4.702496,-5.933791,1.314330,4.417358,0.161237,0.616744,-0.055607,-130.860297,188.420260,1609.915159,893.041915,0
0.021875,-59.056308,-114.162906,197.080826,4.074875,4.948502,1.312676,-6.194821,-4.944485,-1.463581,5.780565,0.172176,0.607787,-0.025873,-52.817591,188.495598,1610.314835,893.141807,0
0.022917,8.686744,-161.730197,163.979673,3.444354,3.135783,3.555740,-6.361065,-3.099262,-3.721186,5.925263,0.150299,0.615435,-0.018440,13.662816,188.269507,1610.372342,893.661662,0
0.023958,78.588082,-183.399741,115.239317,2.532351,0.655219,5.632344,-5.742484,-0.646376,-5.696590,5.239852,0.128422,0.619156,-0.022156,82.012105,188.344883,1610.504465,893.682401,0
0.025000,130.070542,-183.799071,32.012518,0.933530,-1.682235,6.531234,-4.168971,1.736111,-6.600513,3.625327,0.117483,0.617295,-0.018440,131.019592,188.420200,1611.433512,893.422729,0
0.026042,169.608981,-157.337563,-44.931867,-0.563957,-3.916944,6.714341,-2.123790,3.948155,-6.715157,1.584324,0.095606,0.623152,-0.007290,164.400525,188.495664,1611.683638,892.746180,0
0.027083,181.586901,-88.159454,-105.738832,-1.712405,-5.502156,5.661474,0.420121,5.578472,-5.612811,-1.035471,0.040913,0.614815,-0.025873,180.725095,188.269472,1611.833990,892.076848,0
0.028125,184.140685,-8.563521,-149.351182,-2.568112,-6.393838,4.075932,2.670207,6.360284,-3.950474,-3.190710,-0.057533,0.618467,-0.003573,176.503224,188.420282,1611.766807,891.690280,0
0.029167,140.952370,63.151511,-176.169921,-3.074780,-6.015882,1.516591,4.641931,6.060157,-1.296025,-5.186019,-0.064826,0.594765,0.000144,131.683833,188.420188,1612.036025,890.589624,0
0.030208,59.909306,114.066130,-196.779157,-3.491375,-5.054481,-1.325733,6.111059,5.033798,1.442202,-6.492109,-0.079410,0.627355,-0.040740,53.044436,188.495645,1611.592593,890.685715,0
0.031250,-8.613442,161.257580,-163.799520,-2.905891,-3.234422,-3.527182,6.261838,3.203396,3.695397,-6.663462,-0.072118,0.611921,-0.025873,-13.863787,188.269478,1610.613500,891.153089,0
0.032292,-78.672979,183.561354,-114.330064,-1.937591,-0.750189,-5.628755,5.720581,0.754215,5.661982,-5.974242,-0.079410,0.608959,-0.055607,-81.728968,188.420247,1610.008080,891.519079,0
0.033333,-129.895540,183.608334,-30.872383,-0.327511,1.605613,-6.486030,4.108406,-1.568987,6.570315,-4.397796,-0.042949,0.611301,-0.018440,-130.409964,188.420320,1608.922586,892.737410,0
0.034375,-169.659977,156.794476,45.695300,1.181235,3.836652,-6.685783,2.094154,-3.806968,6.645275,-2.383448,0.015390,0.614953,-0.018440,-164.038580,188.495656,1608.150457,893.878600,0
0.035417,-181.016402,87.909992,106.186322,2.295906,5.399848,-5.657885,-0.430427,-5.437286,5.591432,0.263003,0.055498,0.617020,-0.040740,-179.777717,188.269391,1607.236248,894.147935,0
0.036458,-184.146482,8.372784,149.762217,3.162872,6.324555,-4.076504,-2.668914,-6.274676,3.924685,2.403010,0.084667,0.618122,-0.051890,-176.253862,188.420227,1606.819861,894.460762,0
0.037500,-141.240665,-63.036877,175.803249,3.658281,6.027327,-1.617040,-4.613576,-5.930086,1.345196,4.367856,0.139360,0.622876,-0.011006,-131.952354,188.420249,1606.409846,894.265257,0
0.038542,-60.706097,-114.174651,197.141585,4.041097,5.021892,1.271061,-6.179357,-4.944485,-1.406259,5.753910,0.110191,0.621292,-0.022156,-53.729515,188.495595,1606.201833,894.337605,0
0.039583,7.466352,-161.330867,163.967521,3.455614,3.165139,3.476671,-6.330136,-3.136315,-3.641817,5.883377,0.150299,0.622325,-0.040740,13.617783,188.269472,1605.087379,894.376570,0
0.040625,78.113485,-183.881286,114.996284,2.521092,0.691914,5.565759,-5.742484,-0.661197,-5.643677,5.228428,0.153945,0.616262,-0.048173,81.955813,188.344771,1604.426981,894.454421,0
0.041667,129.675045,-183.587661,31.429238,0.933530,-1.630862,6.485457,-4.211498,1.695353,-6.538782,3.632943,0.117483,0.612679,-0.029590,130.546743,188.420323,1603.127474,894.670237,0
0.042708,169.902779,-156.902998,-45.818939,-0.586475,-3.872910,6.735149,-2.135388,3.881460,-6.679882,1.618594,0.073729,0.613575,-0.040740,164.558141,188.495738,1601.785107,895.555705,0
0.043750,180.920206,-87.443008,-106.127686,-1.723664,-5.454453,5.686443,0.408523,5.526599,-5.626040,-0.978354,0.022683,0.598348,-0.025873,179.982046,188.269579,1600.404319,896.444336,0
0.044792,184.264984,-7.459490,-149.132452,-2.579371,-6.331457,4.021832,2.701136,6.326936,-3.946064,-3.137400,-0.053887,0.623634,-0.007290,176.807198,188.344825,1599.260327,896.910771,0
0.045833,140.816771,63.609566,-175.659551,-3.108558,-6.045238,1.587337,4.603270,6.074978,-1.406259,-5.121286,-0.046595,0.602826,-0.040740,132.111650,188.420215,1597.996019,898.507243,0
0.046875,60.429102,114.077875,-196.791308,-3.468856,-5.025125,-1.271634,6.141988,5.070851,1.402518,-6.553034,-0.068472,0.620672,-0.033307,54.417951,188.495810,1598.738643,899.290295,0
0.047917,-7.438249,161.398520,-163.702306,-2.838335,-3.263778,-3.481406,6.288901,3.240449,3.660122,-6.636807,-0.083057,0.621292,-0.033307,-12.400205,188.276530,1598.322506,899.395675,0
0.048958,-77.972383,183.420414,-115.387260,-1.926332,-0.797892,-5.574655,5.674187,0.846847,5.661982,-5.978050,-0.053887,0.617295,-0.018440,-81.166052,188.344789,1598.273648,899.936310,0
0.050000,-129.940740,183.279474,-32.221219,-0.361289,1.568918,-6.506837,4.189595,-1.576398,6.517403,-4.397796,-0.042949,0.612748,-0.077907,-130.364931,188.420273,1597.952548,899.274149,0
0.051042,-169.795576,157.264277,45.221385,1.113679,3.807296,-6.744045,2.132815,-3.795852,6.614409,-2.364408,-0.042949,0.617640,-0.011006,-164.027321,188.495698,1597.878603,898.693705,0
0.052083,-181.118102,88.015697,106.113412,2.295906,5.421864,-5.707824,-0.422694,-5.422464,5.569385,0.285850,0.044560,0.600759,0.003860,-179.777717,188.344827,1597.802565,898.199951,0
0.053125,-184.135182,7.515398,149.300453,3.174131,6.309877,-4.068181,-2.726906,-6.226507,3.977598,2.383970,0.088314,0.575611,-0.007290,-176.197570,188.269496,1596.860048,898.862694,0
0.054167,-140.415771,-63.823793,175.997676,3.692059,5.964946,-1.567102,-4.617442,-5.937497,1.380471,4.390703,0.106545,0.632798,-0.007290,-131.231822,188.420231,1596.741632,899.727175,0
0.055208,-59.316207,-114.151161,196.935006,4.187468,4.941163,1.271061,-6.113633,-4.955601,-1.401850,5.712024,0.139360,0.600828,-0.044457,-52.907657,188.495756,1595.752919,900.094739,0
0.056250,8.709344,-161.342612,163.943218,3.444354,3.194494,3.460025,-6.295341,-3.117789,-3.624179,5.906224,0.168530,0.590838,-0.044457,13.595266,188.344943,1595.549707,900.552754,0
0.057292,78.407283,-183.470211,115.178559,2.509832,0.735948,5.557436,-5.738618,-0.664902,-5.670133,5.255083,0.161237,0.619707,-0.014723,81.753164,188.269425,1595.927706,900.811472,0
0.058333,129.742844,-183.658131,32.304158,0.922271,-1.594168,6.431357,-4.223097,1.669416,-6.560829,3.659597,0.128422,0.616951,-0.044457,130.636809,188.420349,1596.281189,901.181230,0
0.059375,169.857579,-157.161388,-44.591620,-0.575216,-3.850893,6.722664,-2.216577,3.855523,-6.706339,1.641441,0.055498,0.619156,-0.051890,164.591916,188.495727,1596.431674,901.265886,0
0.060417,180.852406,-88.781940,-105.836046,-1.701146,-5.443445,5.707251,0.350531,5.511778,-5.603993,-0.936468,0.026329,0.618949,-0.048173,179.880721,188.344798,1596.304167,901.012792,0
0.061458,184.231084,-8.962851,-149.314727,-2.556853,-6.360813,4.088416,2.596750,6.360284,-3.954883,-3.110745,-0.013779,0.621705,-0.022156,176.728390,188.269496,1596.788167,900.988089,0
0.062500,141.709465,63.092786,-175.513731,-3.063521,-6.048908,1.641437,4.576207,6.063862,-1.401850,-5.102247,-0.068472,0.620603,-0.048173,132.359333,188.420233,1596.830118,900.548139,0
0.063542,60.722900,114.160090,-196.791308,-3.491375,-5.010447,-1.238341,6.114926,5.052325,1.371652,-6.454030,-0.097641,0.595247,-0.029590,53.562319,188.495680,1595.454248,900.370529,0
0.064583,-8.003246,160.799525,-163.835975,-2.928410,-3.238092,-3.431467,6.196114,3.255270,3.532250,-6.556842,-0.072118,0.596074,-0.029590,-13.435971,188.344923,1593.121740,900.703578,0
0.065625,-78.311381,183.655315,-114.172092,-1.960110,-0.823578,-5.516393,5.666455,0.839436,5.569385,-5.955203,-0.072118,0.621843,-0.033307,-81.492543,188.269485,1591.554499,900.905348,0
0.066667,-129.522643,183.455649,-31.164023,-0.350030,1.473512,-6.436091,4.158666,-1.505998,6.460081,-4.420643,-0.050241,0.610474,-0.040740,-130.060956,188.420164,1590.129666,901.721223,0
