1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,144.850844,-184.750417,11.913653,0.561974,-2.298706,6.701857,-3.759162,2.303017,-6.688701,3.168386,0.117483,0.628182,-0.003573,143.550107,188.571011,1636.493991,881.129210,0
0.001042,170.818073,-141.399585,-61.518899,-0.856698,-4.265544,6.285704,-1.350565,4.300155,-6.234535,0.765638,0.066437,0.620396,-0.003573,170.187304,188.495683,1637.155135,881.353100,0
0.002083,196.785301,-60.464720,-113.953362,-1.937591,-5.931485,5.124637,1.417582,5.911946,-5.039592,-1.884620,0.029975,0.584361,-0.037023,191.837062,188.646391,1635.803700,881.422024,0
0.003125,167.156897,8.877819,-161.891707,-2.860854,-6.316779,3.281080,3.424102,6.341757,-3.090644,-3.967510,-0.024718,0.605307,-0.029590,159.818387,188.646543,1634.011837,880.650484,0
0.004167,120.081408,75.918337,-186.839089,-3.311226,-5.993866,0.551116,5.496345,6.034220,-0.374464,-5.959011,-0.061180,0.616193,0.026161,113.602964,188.571098,1633.351518,880.508190,0
0.005208,40.642933,128.571217,-188.115015,-3.378782,-4.643500,-1.983255,6.350759,4.644745,2.121247,-6.811968,-0.075764,0.632385,-0.018440,34.918533,188.495673,1633.084858,881.380901,0
0.006250,-34.603270,170.324728,-160.506417,-2.860854,-2.786746,-4.280419,6.544066,2.751354,4.422946,-6.872893,-0.079410,0.643822,-0.018440,-39.566542,188.646509,1632.563729,882.018843,0
0.007292,-98.233149,179.826441,-96.090405,-1.588553,-0.232793,-5.857639,5.461550,0.231773,5.983867,-5.681039,-0.057533,0.633280,-0.025873,-98.909172,188.571049,1631.808850,883.397448,0
0.008333,-144.517644,184.888541,-11.611983,0.021527,2.214745,-6.681622,3.779785,-2.195177,6.724644,-3.990357,-0.024718,0.626390,-0.018440,-143.199421,188.571047,1631.772310,883.880081,0
0.009375,-170.168474,141.772609,61.942085,1.440199,4.177913,-6.286276,1.398251,-4.214548,6.221974,-1.545722,0.059144,0.623083,-0.003573,-169.251184,188.495738,1631.848395,884.676062,0
0.010417,-196.745898,61.260564,114.376549,2.464795,5.917243,-5.066948,-1.358297,-5.863391,5.018212,1.070265,0.099252,0.619983,-0.014723,-191.677766,188.720596,1631.735621,885.201026,0
0.011458,-167.490392,-7.659155,161.986798,3.455614,6.269513,-3.302460,-3.380281,-6.263560,3.122178,3.107460,0.121129,0.629491,-0.033307,-159.670350,188.571350,1631.348121,885.591499,0
0.012500,-121.047699,-74.958063,187.359489,3.894726,5.975955,-0.539204,-5.502785,-5.918970,0.383950,5.152271,0.161237,0.629629,-0.011006,-113.781418,188.571417,1630.975342,885.324506,0
0.013542,-41.677023,-128.468329,188.295168,3.973542,4.537521,1.907775,-6.322403,-4.559137,-2.107351,5.929071,0.201345,0.631764,-0.003573,-34.624138,188.495897,1630.485667,885.194977,0
0.014583,33.874278,-170.773855,160.504295,3.410576,2.684438,4.246554,-6.515710,-2.702799,-4.404640,6.054730,0.161237,0.615504,0.003860,40.041071,188.722212,1629.922638,886.352550,0
0.015625,98.249952,-179.723553,96.464985,2.183313,0.222221,5.840420,-5.390667,-0.153575,-5.912650,4.904762,0.128422,0.631558,-0.014723,99.608866,188.571469,1628.238705,887.391147,0
0.016667,144.455347,-185.020552,11.427586,0.561974,-2.214309,6.651918,-3.782358,2.228911,-6.710748,3.244543,0.139360,0.624668,0.022444,143.302424,188.571328,1627.829760,888.957564,0
0.017708,169.857579,-142.116030,-61.944208,-0.879217,-4.210502,6.306511,-1.431753,4.218640,-6.247763,0.799908,0.029975,0.622256,-0.051890,169.016438,188.495930,1626.883970,889.502050,0
0.018750,196.548003,-61.134186,-113.977666,-1.926332,-5.909468,5.162091,1.301598,5.930473,-5.070457,-1.835118,0.029975,0.621292,-0.040740,191.825803,188.722121,1626.992352,890.121058,0
0.019792,167.552394,7.644593,-161.697280,-2.849594,-6.349804,3.385118,3.331314,6.363989,-3.178832,-3.887545,0.000805,0.630249,0.007577,160.201170,188.495937,1626.710248,891.235168,0
0.020833,121.245300,74.673366,-186.960606,-3.345004,-6.001205,0.617701,5.449952,6.052747,-0.445014,-5.924740,-0.053887,0.630455,-0.033307,114.920188,188.571592,1626.622108,891.566847,0
0.021875,42.857718,128.054437,-188.054256,-3.423819,-4.724228,-1.870894,6.312098,4.711440,2.015422,-6.728195,-0.042949,0.635003,0.003860,36.393374,188.496044,1625.522165,892.115934,0
0.022917,-32.467584,170.383453,-160.603630,-2.894632,-2.808763,-4.230481,6.505404,2.788407,4.339167,-6.850046,-0.090349,0.629077,-0.022156,-38.654618,188.646897,1624.747130,891.987853,0
0.023958,-97.724653,179.650266,-96.819505,-1.622331,-0.298844,-5.811862,5.430621,0.276236,5.948592,-5.688654,-0.061180,0.632729,-0.037023,-98.830363,188.496033,1624.299468,892.116860,0
0.025000,-144.189946,184.970756,-11.247433,0.021527,2.167042,-6.631683,3.779785,-2.106251,6.680550,-4.051282,-0.042949,0.618536,-0.003573,-142.433855,188.571422,1622.975997,893.285082,0
0.026042,-169.761677,141.866569,62.330939,1.440199,4.137549,-6.257146,1.402117,-4.125621,6.160243,-1.595224,0.019036,0.618467,-0.025873,-168.519393,188.496179,1621.183749,893.633610,0
0.027083,-196.384301,60.732039,113.951240,2.442277,5.836515,-5.100241,-1.319636,-5.796696,5.062306,1.028379,0.062790,0.617089,-0.022156,-191.486375,188.646728,1619.950858,894.314430,0
0.028125,-167.682490,-8.211170,161.488580,3.410576,6.258504,-3.327429,-3.360951,-6.233918,3.161862,3.027496,0.121129,0.620327,0.000144,-159.749158,188.496091,1618.661140,895.110264,0
0.029167,-121.183298,-74.852358,186.946332,3.928504,5.939260,-0.614112,-5.444793,-5.896739,0.467729,5.091346,0.172176,0.622325,-0.029590,-114.625793,188.571505,1617.304512,895.734523,0
0.030208,-42.332419,-128.221683,188.222258,3.939764,4.603572,1.936906,-6.303073,-4.581369,-1.992707,5.925263,0.157591,0.635416,0.022444,-36.290370,188.496121,1616.500082,896.641843,0
0.031250,32.247088,-170.820835,160.625811,3.466873,2.721132,4.188293,-6.558237,-2.717620,-4.325271,6.073769,0.161237,0.641755,0.022444,38.183447,188.646792,1616.126784,896.728944,0
0.032292,97.718856,-179.371202,98.202674,2.228350,0.244238,5.807128,-5.444793,-0.220270,-5.908240,4.885723,0.146652,0.632178,-0.044457,99.000917,188.496007,1616.031494,896.536903,0
0.033333,144.376247,-184.961827,12.691360,0.539455,-2.129911,6.614465,-3.817153,2.169627,-6.684292,3.252158,0.102898,0.629353,0.022444,143.032225,188.571453,1615.446444,896.472471,0
0.034375,169.744580,-142.891201,-61.713326,-0.867958,-4.137112,6.289865,-1.466549,4.159355,-6.208078,0.826563,0.062790,0.622532,-0.007290,168.521072,188.495716,1614.648363,896.405159,0
