1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,152.229695,-144.488522,10.795699,0.505677,-5.406750,1.000561,4.966686,5.886010,-0.797765,-5.441144,-0.097641,0.190736,0.003860,144.450773,188.571058,990.764204,-1273.886192,0
0.001042,199.757181,-85.187966,-40.484355,-0.485141,-4.331594,-1.483872,6.041469,4.741082,1.649443,-6.377874,-0.083057,0.198177,0.015011,169.703196,188.495700,990.830784,-1273.744900,0
0.002083,174.321050,-38.020006,-118.291509,-2.027666,-2.551900,-3.531344,6.026005,2.984786,3.646894,-6.404528,-0.101287,0.208650,-0.003573,164.152842,188.721875,991.475603,-1273.459532,0
0.003125,129.087448,3.991895,-185.101400,-3.356263,-0.581393,-4.996202,5.411291,0.991352,5.044669,-5.570611,-0.075764,0.226495,0.003860,140.532876,188.721875,991.350020,-1274.001073,0
0.004167,75.717901,62.482045,-194.336671,-3.480115,2.031271,-5.895093,3.567148,-1.646798,6.014733,-3.876121,-0.050241,0.216297,-0.029590,89.127366,188.571152,991.700276,-1273.923392,0
0.005208,28.698912,141.619923,-169.608019,-3.041003,4.203599,-6.148946,1.723006,-3.736568,6.133787,-1.899852,-0.006487,0.204240,0.003860,25.180082,188.495734,991.408615,-1274.059552,0
0.006250,-14.579802,184.912031,-108.229925,-1.847517,5.590660,-4.758995,-0.929157,-5.185327,4.758059,0.773253,0.044560,0.198728,0.048461,-37.078453,188.721809,991.835229,-1275.262181,0
0.007292,-88.164916,189.011039,-55.151423,-0.834180,6.753883,-3.364883,-3.341620,-6.252444,3.214775,3.084613,0.095606,0.184879,-0.029590,-101.768786,188.721750,992.380458,-1276.071031,0
0.008333,-152.811789,143.827985,-10.737063,-0.000992,6.320885,-1.026103,-5.034983,-5.870802,0.846936,4.779103,0.146652,0.190598,-0.033307,-144.381545,188.570982,993.012787,-1277.189328,0
0.009375,-199.842078,85.114680,41.259940,1.057383,5.139315,1.495783,-6.063373,-4.640653,-1.609091,5.719640,0.157591,0.198590,0.003860,-169.420059,188.495622,992.725177,-1277.474618,0
0.010417,-174.270347,37.864504,119.079246,2.577388,3.344943,3.484994,-6.109766,-2.913999,-3.694730,5.742487,0.146652,0.208374,-0.011006,-163.892221,188.721804,993.312596,-1278.812799,0
0.011458,-129.262744,-4.029947,185.026368,3.872208,1.422139,4.999791,-5.460257,-0.898334,-5.008726,4.836221,0.124775,0.223050,0.007577,-140.125898,188.571046,992.832530,-1279.292944,0
0.012500,-75.576799,-62.672782,194.310245,4.029838,-1.260246,5.927812,-3.639312,1.784279,-6.014065,3.134115,0.095606,0.211543,-0.003573,-88.495221,188.571042,993.596824,-1280.427396,0
0.013542,-28.320511,-141.986835,169.545138,3.579466,-3.359184,6.156696,-1.729445,3.811060,-6.102253,1.188308,0.070083,0.200657,-0.007290,-24.469129,188.495620,994.073286,-1280.519221,0
0.014583,15.082502,-185.173237,108.385775,2.363462,-4.727897,4.783392,0.860860,5.241293,-4.752982,-1.454334,-0.010133,0.199072,-0.018440,37.856956,188.721871,994.550438,-1281.622407,0
0.015625,88.181719,-188.908151,55.683974,1.417680,-5.854426,3.314372,3.296519,6.293589,-3.165604,-3.784733,-0.072118,0.187497,-0.014723,101.995631,188.646471,994.291370,-1282.052731,0
0.016667,152.930291,-143.948252,11.038733,0.539455,-5.417758,0.983915,4.989883,5.956410,-0.855087,-5.448760,-0.061180,0.193354,-0.029590,144.991173,188.571131,995.636272,-1282.169447,0
0.017708,199.666782,-85.516827,-40.836754,-0.496401,-4.331594,-1.517164,6.014406,4.729966,1.658262,-6.396913,-0.061180,0.200175,-0.025873,169.804521,188.495649,995.611277,-1282.493130,0
0.018750,174.275850,-38.360611,-118.728969,-2.050184,-2.566578,-3.543829,6.103327,2.981080,3.690988,-6.438799,-0.083057,0.208787,-0.007290,164.445558,188.721878,995.791087,-1283.358912,0
0.019792,129.008349,3.956660,-185.137855,-3.345004,-0.596071,-4.996202,5.422889,0.983942,5.031441,-5.521109,-0.090349,0.222361,-0.003573,140.521618,188.646440,995.193269,-1283.026170,0
0.020833,75.717901,62.799161,-194.336671,-3.525153,2.034941,-5.932546,3.613542,-1.672735,6.010324,-3.879929,-0.035656,0.211474,-0.011006,88.935975,188.571154,995.179446,-1283.207339,0
0.021875,28.778011,142.077979,-169.243469,-3.018484,4.214608,-6.165592,1.730738,-3.706926,6.142605,-1.907467,-0.017425,0.208856,-0.029590,25.022466,188.495658,995.510754,-1282.844250,0
0.022917,-14.771901,184.900286,-108.120560,-1.813739,5.579652,-4.825580,-0.902094,-5.126043,4.709556,0.750406,0.084667,0.197419,0.000144,-37.269844,188.721884,995.113746,-1281.807746,0
0.023958,-88.650813,188.693924,-55.224333,-0.845439,6.735536,-3.319106,-3.337754,-6.263560,3.223593,3.073190,0.084667,0.187497,0.003860,-102.016469,188.721969,995.437545,-1281.675458,0
0.025000,-152.936088,143.980670,-10.773518,0.032786,6.346572,-1.001134,-5.023385,-5.852275,0.868982,4.733409,0.121129,0.194801,-0.003573,-144.527903,188.571036,995.525803,-1281.013622,0
0.026042,-199.909877,85.420050,41.357154,1.046123,5.150323,1.512430,-6.094302,-4.674001,-1.626729,5.696793,0.150299,0.200933,-0.011006,-169.566417,188.495689,995.700522,-1281.109593,0
0.027083,-174.225147,38.134639,119.176459,2.566129,3.359621,3.505802,-6.125231,-2.906588,-3.672683,5.738679,0.153945,0.207478,0.022444,-164.004805,188.721820,995.623431,-1280.939052,0
0.028125,-128.822047,-3.959477,185.633952,3.815911,1.400122,4.949853,-5.448659,-0.920565,-4.995498,4.843836,0.113837,0.213886,-0.011006,-140.148415,188.646467,996.039510,-1280.662991,0
0.029167,-75.802798,-62.884192,194.188728,4.029838,-1.245568,5.919489,-3.658642,1.743521,-5.965562,3.156962,0.081021,0.216504,-0.025873,-88.495221,188.571102,996.307284,-1279.862590,0
0.030208,-28.614309,-142.538851,169.532987,3.545688,-3.337167,6.165019,-1.779705,3.796239,-6.128709,1.211155,0.055498,0.200864,-0.029590,-24.412838,188.495669,996.934089,-1279.922089,0
0.031250,15.218101,-184.997062,108.385775,2.385980,-4.713220,4.750099,0.868592,5.211651,-4.748572,-1.450526,-0.006487,0.196041,-0.022156,37.856956,188.721837,996.839644,-1279.496460,0
0.032292,88.791915,-188.872916,55.683974,1.406421,-5.810392,3.339341,3.281055,6.300999,-3.143557,-3.750463,-0.028364,0.188600,-0.022156,102.378414,188.646558,997.024913,-1279.196945,0
0.033333,152.930291,-143.819057,10.953671,0.516936,-5.480139,1.004723,4.978284,5.941589,-0.828630,-5.437337,-0.093995,0.195007,-0.011006,145.013690,188.571078,996.658413,-1279.054774,0
0.034375,199.745881,-85.446357,-41.055484,-0.563957,-4.313247,-1.483872,6.018272,4.741082,1.614168,-6.412144,-0.097641,0.203413,-0.048173,169.939620,188.495674,997.251961,-1278.831558,0
0.035417,174.072451,-38.172691,-119.275795,-2.061443,-2.566578,-3.547990,6.056934,2.999607,3.616028,-6.442607,-0.075764,0.208443,-0.040740,164.524366,188.721786,997.914071,-1277.943671,0
0.036458,129.064849,4.156325,-185.283675,-3.333744,-0.618088,-4.971233,5.419023,1.006173,5.004984,-5.623921,-0.057533,0.235107,-0.011006,140.589168,188.646462,999.257210,-1277.988211,0
0.037500,75.695301,62.951846,-194.348822,-3.480115,2.112000,-5.945031,3.629006,-1.687556,6.045599,-3.868506,-0.053887,0.204998,0.007577,89.037300,188.570955,999.292092,-1278.445664,0
0.038542,28.687612,141.831334,-169.413592,-3.041003,4.229286,-6.178077,1.692077,-3.758800,6.169062,-1.880812,-0.021072,0.199004,-0.011006,25.258891,188.495613,999.086518,-1279.308603,0
0.039583,-15.031799,185.358341,-107.828920,-1.847517,5.634694,-4.846387,-0.948488,-5.192738,4.766878,0.746598,0.055498,0.190529,0.018727,-37.708919,188.721875,1000.122630,-1280.104126,0
0.040625,-88.718612,188.635199,-55.321546,-0.845439,6.739205,-3.335752,-3.341620,-6.248739,3.197137,3.069382,0.091960,0.187704,0.011294,-102.027728,188.646437,999.754212,-1279.975598,0
0.041667,-153.534984,143.358185,-10.980096,-0.000992,6.350241,-0.996973,-4.988590,-5.867096,0.899848,4.801950,0.121129,0.193698,-0.007290,-144.865653,188.571136,1000.294826,-1280.541933,0
0.042708,-199.819478,85.220385,41.575884,1.079901,5.172340,1.491622,-6.074971,-4.696232,-1.626729,5.692985,0.132068,0.201071,-0.018440,-169.532642,188.495732,1000.593286,-1280.430726,0
0.043750,-173.965249,37.688329,120.112138,2.611166,3.374299,3.534933,-6.160026,-2.925115,-3.659454,5.753910,0.139360,0.210028,-0.018440,-164.184938,188.721844,1001.360470,-1280.210464,0
0.044792,-128.822047,-4.488002,185.318008,3.905986,1.444156,4.983145,-5.456391,-0.916860,-5.021954,4.828605,0.139360,0.211681,-0.011006,-140.137156,188.646413,1001.273057,-1280.283276,0
0.045833,-75.023103,-63.224798,194.322397,4.041097,-1.274924,5.965266,-3.662508,1.754637,-6.031703,3.179809,0.073729,0.217882,-0.007290,-88.281313,188.571158,1002.055726,-1280.752918,0
0.046875,-27.812015,-142.280461,169.387167,3.556947,-3.337167,6.185827,-1.737177,3.818471,-6.119891,1.184500,0.051852,0.209545,0.015011,-24.334029,188.495703,1001.740643,-1280.722414,0
0.047917,15.523199,-185.772233,107.693129,2.385980,-4.731567,4.800038,0.856994,5.293167,-4.752982,-1.454334,-0.002841,0.182054,-0.014723,38.498680,188.721933,1002.336227,-1281.489826,0
0.048958,88.746715,-188.532310,55.513851,1.417680,-5.850756,3.297726,3.288787,6.260242,-3.161194,-3.761886,-0.032010,0.189426,0.000144,102.322123,188.646563,1002.171085,-1281.054515,0
0.050000,153.495287,-143.384491,10.953671,0.561974,-5.480139,1.021369,4.989883,5.963820,-0.872724,-5.452568,-0.083057,0.195076,-0.029590,145.362698,188.571089,1002.977876,-1281.014322,0
0.051042,199.587683,-84.917831,-41.201304,-0.496401,-4.294900,-1.496356,6.053068,4.767019,1.653853,-6.408336,-0.112226,0.198866,0.003860,169.613129,188.495783,1003.032158,-1281.118373,0
