1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,149.303015,-162.035567,8.450427,0.471899,-6.144314,3.539094,3.242394,6.449210,-3.377254,-3.769502,-0.075764,0.319372,-0.011006,147.625621,188.420394,1494.589861,-907.634702,0
0.001042,194.751314,-96.474921,-40.946119,-0.507660,-5.711316,1.004723,5.136796,6.093505,-0.881543,-5.612497,-0.075764,0.323230,-0.007290,193.908594,188.495694,1495.338585,-907.727042,0
0.002083,187.632362,-42.835460,-113.710329,-1.937591,-4.749914,-1.367349,6.172917,4.996746,1.525981,-6.518764,-0.079410,0.331223,-0.022156,179.509196,188.269593,1494.776107,-908.143954,0
0.003125,142.116262,6.493582,-177.956217,-3.164855,-2.977559,-3.556313,6.443546,3.310849,3.690988,-6.773889,-0.115872,0.342798,-0.051890,134.205698,188.495716,1495.442712,-907.592031,0
0.004167,83.695648,60.144788,-201.566915,-3.615227,-0.460301,-5.391548,5.492479,0.754215,5.485607,-5.715309,-0.093995,0.340111,-0.044457,77.722683,188.420249,1495.411676,-907.483216,0
0.005208,31.546493,136.628294,-176.352197,-3.119818,2.078975,-6.461061,3.922832,-1.735724,6.587953,-4.207404,-0.086703,0.331567,0.011294,26.609890,188.495703,1495.845114,-907.376877,0
0.006250,-18.783374,183.901960,-123.771913,-2.117740,4.170574,-6.307084,1.723006,-3.814379,6.226384,-1.865581,-0.021072,0.327433,-0.014723,-21.598256,188.269451,1496.366829,-907.017359,0
0.007292,-81.373661,194.331529,-59.039958,-0.901736,6.030997,-5.254217,-1.091534,-5.741117,5.234272,0.868449,0.033621,0.310415,-0.011006,-85.331632,188.495691,1496.130163,-906.902104,0
0.008333,-149.523510,161.868321,-7.431808,0.111601,6.808925,-3.518859,-3.357084,-6.356192,3.347056,3.080806,0.070083,0.312757,0.007577,-147.117318,188.495645,1496.033530,-907.349939,0
0.009375,-194.802311,95.027468,41.454367,1.068642,6.350241,-0.955357,-5.220557,-6.011602,0.846936,4.919993,0.102898,0.320474,-0.007290,-193.704265,188.495645,1496.296315,-906.897828,0
0.010417,-187.457360,41.388007,113.902634,2.487314,5.311780,1.412553,-6.252813,-4.877790,-1.503266,5.833875,0.132068,0.336735,0.007577,-179.012151,188.269425,1495.629909,-907.121925,0
0.011458,-140.969467,-7.623920,178.245735,3.748356,3.568781,3.647294,-6.457718,-3.210420,-3.699139,6.085193,0.124775,0.337424,0.000144,-132.943087,188.495691,1495.905514,-906.744174,0
0.012500,-81.904757,-60.347270,201.880737,4.221246,1.036844,5.445075,-5.572375,-0.642670,-5.467302,5.022805,0.132068,0.296704,0.015011,-76.538881,188.420249,1496.145648,-906.478593,0
0.013542,-29.959001,-137.065676,176.556653,3.714578,-1.447389,6.485457,-3.994995,1.858385,-6.538782,3.526323,0.070083,0.293948,-0.011006,-25.651253,188.495691,1495.746578,-905.929466,0
0.014583,19.308674,-184.257127,123.684729,2.701241,-3.579352,6.314834,-1.760374,3.899987,-6.221306,1.195924,0.062790,0.332394,-0.014723,22.151593,188.269460,1496.400843,-906.326597,0
0.015625,81.831161,-194.416560,59.390234,1.473977,-5.436106,5.303583,0.996174,5.830431,-5.286517,-1.534299,-0.028364,0.318821,-0.029590,86.357818,188.495602,1497.140014,-906.158217,0
0.016667,149.755012,-161.753687,7.952208,0.505677,-6.129636,3.547417,3.273323,6.471442,-3.372845,-3.754271,-0.050241,0.316271,0.007577,147.963371,188.495649,1497.536623,-905.858095,0
0.017708,195.327611,-95.864181,-41.262062,-0.473882,-5.729664,1.025531,5.167725,6.126852,-0.846268,-5.642960,-0.083057,0.325917,-0.003573,194.325152,188.495736,1498.056166,-906.312744,0
0.018750,187.440263,-42.553580,-114.184244,-1.903813,-4.779270,-1.346541,6.230909,5.074556,1.512752,-6.526379,-0.119518,0.330258,-0.022156,179.284030,188.269436,1499.171472,-905.871028,0
0.019792,141.460867,6.493582,-178.952654,-3.153596,-2.981228,-3.622898,6.474475,3.307144,3.726263,-6.850046,-0.137749,0.337148,-0.037023,133.789140,188.495580,1500.234909,-906.493825,0
0.020833,83.311451,60.579354,-201.712735,-3.592708,-0.445623,-5.449809,5.531140,0.720868,5.534110,-5.764811,-0.083057,0.340731,0.003860,77.407450,188.420374,1501.027962,-907.097448,0
0.021875,31.410894,137.638365,-176.291438,-3.164855,2.093653,-6.477707,4.000154,-1.802419,6.649684,-4.215019,-0.068472,0.332738,-0.018440,26.373465,188.495720,1501.894912,-908.112456,0
0.022917,-18.907674,183.890215,-123.419515,-2.151518,4.207269,-6.323730,1.742336,-3.844021,6.252840,-1.842734,-0.002841,0.327847,-0.022156,-21.677065,188.269548,1502.041860,-908.528137,0
0.023958,-82.503653,194.378509,-58.724015,-0.935513,6.097047,-5.283348,-1.087668,-5.770760,5.265138,0.895104,0.059144,0.311448,-0.029590,-86.277331,188.495638,1502.875775,-908.719995,0
0.025000,-149.625210,161.093150,-7.103713,0.122861,6.830942,-3.498052,-3.364817,-6.382129,3.408787,3.076998,0.066437,0.314273,-0.007290,-147.477584,188.420424,1503.682467,-908.133415,0
0.026042,-195.943604,94.581158,41.746007,1.068642,6.328224,-0.922065,-5.290148,-6.037539,0.846936,5.018997,0.081021,0.319923,-0.011006,-194.458573,188.495721,1504.870961,-909.141888,0
0.027083,-186.847164,41.047402,114.425155,2.498573,5.311780,1.441684,-6.299207,-4.937075,-1.542950,5.864338,0.143006,0.333496,-0.040740,-178.212810,188.344871,1505.675294,-909.365548,0
0.028125,-140.336671,-7.623920,179.473054,3.725837,3.535755,3.680586,-6.511844,-3.184483,-3.734414,6.123271,0.153945,0.326606,0.007577,-132.515271,188.495569,1506.231940,-909.964159,0
0.029167,-81.565760,-60.711365,201.504035,4.209987,1.011158,5.495013,-5.541446,-0.613028,-5.480530,5.038036,0.062790,0.284577,-0.022156,-76.032256,188.420263,1506.270937,-910.084951,0
0.030208,-29.653903,-138.146217,176.568805,3.737096,-1.524448,6.568688,-4.029790,1.895437,-6.635788,3.549170,0.084667,0.314687,-0.014723,-25.212179,188.495598,1507.741790,-910.921838,0
0.031250,19.715471,-183.951756,123.222966,2.678722,-3.641734,6.343965,-1.783571,3.951860,-6.225716,1.146422,0.022683,0.344520,-0.033307,22.421793,188.344851,1507.419740,-911.555180,0
0.032292,82.633455,-195.074281,58.867712,1.473977,-5.454453,5.311906,1.050300,5.874894,-5.312973,-1.553338,-0.010133,0.312275,-0.044457,87.168418,188.420377,1508.433872,-911.938335,0
0.033333,149.472514,-160.990262,7.709175,0.494418,-6.192017,3.539094,3.284921,6.471442,-3.403710,-3.746655,-0.053887,0.319785,-0.011006,148.132246,188.420274,1508.523228,-911.353249,0
0.034375,196.107306,-95.206460,-41.480792,-0.496401,-5.766358,1.013046,5.187055,6.160199,-0.828630,-5.711501,-0.115872,0.324953,-0.011006,194.921843,188.495687,1509.370050,-912.092840,0
0.035417,186.739667,-42.107269,-114.767524,-1.971369,-4.749914,-1.363187,6.238642,5.026388,1.517162,-6.545419,-0.141395,0.334116,-0.025873,178.608530,188.344938,1509.026594,-911.997394,0
