1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-74.842304,-86.338977,200.191654,4.097394,3.106427,3.218657,-5.831405,-2.891767,-3.311113,5.624444,0.146652,0.445045,-0.033307,-45.983788,188.492707,1572.537529,-20.755013,0
0.001042,-14.365104,-144.230132,174.551627,3.658281,1.190962,4.558669,-5.085243,-0.931681,-4.629519,4.771487,0.088314,0.428992,-0.040740,3.642907,188.571246,1571.275152,-19.699270,0
0.002083,47.422888,-186.981969,125.410267,2.689981,-1.051086,5.648990,-3.805555,1.276658,-5.630449,3.514899,0.099252,0.427269,-0.025873,49.216605,188.495580,1570.281885,-18.356829,0
0.003125,102.363125,-189.507146,50.325087,1.248791,-3.083974,5.528305,-1.729445,3.273797,-5.529033,1.462473,0.048206,0.455794,-0.011006,96.051236,188.721824,1570.160715,-16.462200,0
0.004167,161.552134,-163.069128,-15.281788,-0.000992,-4.632491,4.929045,0.381460,4.822598,-4.902901,-0.597570,0.022683,0.454829,-0.048173,136.344780,188.571129,1569.373135,-14.393429,0
0.005208,181.846800,-101.325610,-71.932882,-1.093144,-5.208598,3.222818,2.438239,5.374683,-3.095053,-2.764232,-0.046595,0.456345,-0.029590,150.699144,188.571107,1568.323022,-12.262934,0
0.006250,190.061845,-27.942787,-130.200147,-2.162777,-5.304005,1.304353,4.243720,5.504367,-1.291615,-4.401604,-0.090349,0.456827,-0.063040,148.886553,188.495702,1567.967466,-9.485380,0
0.007292,149.732412,37.007119,-169.279924,-2.995965,-4.434340,-0.747281,5.167725,4.566935,0.868982,-5.376411,-0.101287,0.456552,-0.022156,107.782410,188.721933,1567.574395,-7.803495,0
0.008333,76.113398,86.559316,-199.440373,-3.570190,-2.797755,-3.127676,5.759242,2.969965,3.192728,-5.844776,-0.104934,0.469574,-0.007290,47.358982,188.495736,1566.087083,-5.783762,0
0.009375,16.099495,143.980670,-174.274261,-3.074780,-0.893298,-4.476011,4.982150,1.028405,4.577274,-5.022282,-0.079410,0.472537,-0.011006,-1.367047,188.571042,1565.142456,-4.492458,0
0.010417,-46.682890,186.802977,-125.764787,-2.219074,1.323063,-5.578816,3.772053,-1.168818,5.609070,-3.723808,-0.042949,0.467851,0.007577,-49.113602,188.495658,1564.127412,-3.609486,0
0.011458,-102.933918,188.952314,-51.457315,-0.777883,3.315587,-5.533040,1.715274,-3.140020,5.472379,-1.713267,-0.017425,0.460341,-0.018440,-95.441608,188.721934,1562.542464,-1.705224,0
0.012500,-162.134227,162.925372,14.319684,0.494418,4.919147,-4.912972,-0.391765,-4.707348,4.872703,0.365814,0.000805,0.459790,-0.018440,-137.142442,188.495598,1561.848164,0.447249,0
0.013542,-181.660498,102.415080,72.586950,1.620348,5.484245,-3.256683,-2.448545,-5.285370,3.082493,2.437280,0.070083,0.458963,-0.033307,-149.729249,188.571098,1560.080534,2.513008,0
0.014583,-189.943343,28.773866,131.060794,2.768796,5.612677,-1.392318,-4.219231,-5.378001,1.257008,4.097499,0.095606,0.455932,-0.063040,-148.074275,188.495772,1558.500355,3.793842,0
0.015625,-150.303205,-36.998190,169.265650,3.489392,4.687970,0.646831,-5.178030,-4.492443,-0.850677,5.030421,0.121129,0.486799,-0.044457,-107.803248,188.721875,1556.872765,4.894814,0
0.016667,-76.333894,-86.914483,199.693436,4.074875,3.135783,3.073003,-5.765681,-2.917704,-3.156785,5.525440,0.106545,0.471227,-0.025873,-45.601004,188.495743,1555.115002,6.358339,0
0.017708,-15.495096,-144.194897,174.490869,3.590725,1.220318,4.429662,-4.988590,-1.002081,-4.492828,4.744832,0.091960,0.475499,-0.025873,3.361449,188.571040,1553.667782,7.555777,0
0.018750,47.592387,-187.075929,125.288750,2.667463,-0.988705,5.536628,-3.763028,1.202552,-5.564308,3.507284,0.088314,0.469849,-0.007290,49.734488,188.495669,1552.645777,8.574060,0
0.019792,103.108920,-189.248756,50.434452,1.260050,-2.973889,5.461721,-1.787437,3.192281,-5.436436,1.458665,0.040913,0.457516,-0.022156,96.175077,188.721876,1551.061594,9.273205,0
0.020833,162.083230,-162.740268,-15.585580,-0.012251,-4.555432,4.879107,0.300271,4.748493,-4.827941,-0.612801,0.019036,0.452900,-0.011006,137.279221,188.571131,1549.658718,9.311594,0
0.021875,181.541702,-101.149435,-73.002229,-1.126922,-5.116862,3.202010,2.418909,5.296872,-3.073006,-2.695691,-0.053887,0.452693,-0.011006,149.753444,188.495624,1548.312710,10.291672,0
0.022917,189.734148,-27.014931,-130.601153,-2.241592,-5.223276,1.350130,4.154799,5.404325,-1.256340,-4.344486,-0.086703,0.461788,-0.018440,149.044170,188.495736,1546.547257,10.458783,0
0.023958,149.495114,38.310815,-169.061194,-3.007225,-4.404984,-0.693181,5.113599,4.540998,0.868982,-5.258368,-0.119518,0.483285,-0.029590,107.669827,188.721735,1544.956955,11.212549,0
0.025000,74.780007,87.357977,-199.440373,-3.558930,-2.812433,-3.086060,5.705116,3.007017,3.214775,-5.814313,-0.108580,0.430163,-0.007290,45.962950,188.571096,1544.853044,11.975705,0
0.026042,13.952509,144.391746,-174.116289,-3.097299,-0.863943,-4.446880,4.982150,1.054342,4.524361,-5.003243,-0.101287,0.425064,-0.025873,-1.524664,188.495644,1544.123314,13.362130,0
0.027083,-48.400479,186.744252,-124.804805,-2.140259,1.271691,-5.533040,3.752722,-1.120650,5.551748,-3.761886,-0.028364,0.473226,-0.018440,-50.498376,188.495671,1543.511660,15.193242,0
0.028125,-103.318116,189.198959,-49.549502,-0.732846,3.282562,-5.466455,1.734604,-3.132610,5.406238,-1.736114,-0.021072,0.457241,-0.040740,-95.745582,188.721866,1542.754462,16.097880,0
0.029167,-161.580531,162.702217,16.130283,0.561974,4.915477,-4.925456,-0.403364,-4.699937,4.828609,0.346775,0.029975,0.452004,0.007577,-136.939792,188.571085,1542.065832,16.648274,0
0.030208,-181.592699,100.629838,73.437567,1.620348,5.454890,-3.194260,-2.440812,-5.274254,3.139815,2.448704,0.055498,0.454554,0.011294,-149.830574,188.495667,1542.128868,17.859000,0
0.031250,-189.728645,27.070840,131.340282,2.768796,5.583321,-1.396479,-4.234695,-5.385412,1.305511,4.162233,0.091960,0.442221,-0.011006,-147.882884,188.571022,1542.763509,18.588320,0
0.032292,-149.274912,-37.890811,169.812475,3.523169,4.676961,0.663478,-5.139369,-4.492443,-0.824221,5.060883,0.121129,0.453382,0.011294,-108.850272,188.721809,1542.987996,19.338455,0
0.033333,-75.294301,-87.572204,199.438251,4.074875,3.117435,3.077165,-5.788878,-2.939936,-3.209697,5.517824,0.132068,0.470125,-0.029590,-47.008295,188.571105,1543.198766,19.545719,0
0.034375,-14.658902,-145.040538,174.029105,3.568207,1.271691,4.413016,-5.042716,-0.994671,-4.475190,4.794334,0.110191,0.458550,-0.025873,3.406483,188.495763,1543.591359,20.352857,0
0.035417,48.134783,-186.829284,125.847727,2.689981,-0.981366,5.524144,-3.840350,1.191437,-5.577536,3.511092,0.081021,0.469643,-0.037023,50.083496,188.571103,1543.815458,20.491640,0
0.036458,104.069414,-188.896406,51.017733,1.260050,-2.970220,5.519982,-1.799035,3.155228,-5.476121,1.492935,0.059144,0.461857,-0.014723,97.222102,188.571207,1544.262155,21.384696,0
0.037500,162.490028,-162.775503,-15.306092,-0.057288,-4.570110,4.937368,0.284807,4.696619,-4.854397,-0.574723,0.004452,0.463028,-0.037023,136.637496,188.571118,1544.092609,22.255738,0
0.038542,181.632101,-101.854136,-73.524751,-1.126922,-5.109523,3.218657,2.403444,5.319104,-3.108282,-2.710922,-0.050241,0.466267,-0.033307,150.338877,188.495703,1544.911963,22.367430,0
0.039583,189.609848,-28.259903,-131.318101,-2.252852,-5.274649,1.370938,4.104540,5.430262,-1.309253,-4.340678,-0.061180,0.461513,-0.011006,148.413704,188.570971,1545.538997,22.822006,0
0.040625,149.935811,37.594369,-169.401440,-2.995965,-4.419662,-0.651566,5.094268,4.566935,0.816070,-5.269792,-0.112226,0.476188,-0.014723,107.287044,188.721837,1545.982277,23.269006,0
0.041667,75.785701,87.886502,-199.039368,-3.570190,-2.871144,-3.073576,5.743777,3.040365,3.175090,-5.783850,-0.101287,0.481631,-0.007290,45.996725,188.571053,1545.711841,23.851699,0
0.042708,14.901703,144.732351,-173.666677,-3.074780,-0.922654,-4.409427,4.962820,1.069163,4.515543,-5.029898,-0.086703,0.462408,-0.007290,-3.269704,188.495678,1545.945496,24.033519,0
0.043750,-48.298779,186.826467,-124.987080,-2.162777,1.257013,-5.516393,3.783651,-1.079892,5.534110,-3.773310,-0.053887,0.469436,0.003860,-50.577184,188.571071,1545.766479,24.550997,0
0.044792,-103.939612,188.975804,-49.270014,-0.732846,3.267884,-5.503909,1.738470,-3.062210,5.419466,-1.709459,-0.028364,0.455105,0.026161,-96.027040,188.646400,1545.322477,25.201938,0
0.045833,-162.292426,162.338121,16.592047,0.561974,4.823740,-4.912972,-0.329907,-4.644358,4.819790,0.312505,0.019036,0.454209,-0.033307,-137.153700,188.571064,1544.764514,26.217101,0
0.046875,-181.445799,100.453663,74.227425,1.620348,5.396178,-3.231714,-2.394419,-5.226085,3.073674,2.441088,0.062790,0.451040,-0.007290,-149.605407,188.495700,1543.778923,26.013506,0
0.047917,-189.559146,26.319159,131.656226,2.735018,5.590660,-1.371510,-4.176703,-5.344654,1.239371,4.063229,0.091960,0.431610,-0.022156,-147.533876,188.646505,1542.275452,26.245229,0
0.048958,-149.161913,-39.171017,169.314257,3.534429,4.687970,0.621862,-5.135503,-4.455390,-0.810993,4.996150,0.110191,0.461926,-0.018440,-106.846290,188.649075,1541.082201,26.792161,0
0.050000,-73.927010,-88.406099,199.620526,4.108653,3.121105,3.039711,-5.781146,-2.936231,-3.192060,5.525440,0.091960,0.453451,-0.003573,-44.036097,188.575684,1541.003353,27.565292,0
0.051042,-12.941313,-144.934833,173.846830,3.579466,1.297377,4.375562,-5.011787,-1.016902,-4.453144,4.779103,0.110191,0.420104,-0.014723,4.791257,188.495986,1540.466671,28.473470,0
0.052083,49.366475,-187.158144,124.596105,2.656203,-0.915315,5.495013,-3.821020,1.135858,-5.537852,3.511092,0.077375,0.422033,-0.018440,50.871579,188.646418,1539.757050,29.952811,0
