1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,163.665220,-162.681543,-13.434734,0.111601,-4.709550,4.861009,0.373728,5.011581,-4.828757,-0.596924,-0.032010,0.461719,-0.022156,-1.817380,188.495655,1585.744975,11.786108,0
0.001042,184.626581,-105.436364,-73.950059,-1.025588,-5.252632,3.262550,2.387980,5.505309,-3.150704,-2.645543,-0.050241,0.464889,-0.029590,0.096535,188.571163,1586.289969,11.678335,0
0.002083,190.513843,-29.634069,-131.439618,-2.185296,-5.414089,1.312511,4.282382,5.710396,-1.278531,-4.454268,-0.086703,0.470194,-0.029590,1.053493,188.495589,1586.758386,11.421582,0
0.003125,152.410494,37.465174,-170.069782,-2.984706,-4.647169,-0.600735,5.202520,4.848271,0.748937,-5.394805,-0.093995,0.482389,-0.014723,2.595883,188.495799,1587.926229,11.172000,0
0.004167,79.887574,87.769052,-201.226669,-3.592708,-2.915178,-3.029086,5.705116,3.105033,3.117192,-5.794628,-0.126811,0.479840,-0.014723,3.564099,188.495734,1588.437462,11.083173,0
0.005208,16.268994,145.002486,-175.185636,-3.074780,-0.970357,-4.464021,5.055607,1.080749,4.510537,-5.063523,-0.119518,0.481631,0.015011,4.104499,188.570993,1589.759058,10.185387,0
0.006250,-48.253580,188.881844,-127.259443,-2.140259,1.271691,-5.547376,3.849375,-1.156217,5.519957,-3.791703,-0.079410,0.475706,-0.029590,4.746223,188.495577,1591.188165,9.279904,0
0.007292,-102.628820,190.972456,-53.924104,-0.732846,3.399985,-5.424732,1.587691,-3.290640,5.321524,-1.529845,-0.028364,0.461168,-0.029590,4.172049,188.495776,1591.977102,8.753954,0
0.008333,-163.411119,162.960607,13.821465,0.573233,5.010883,-4.864657,-0.492285,-4.954123,4.760735,0.553044,-0.006487,0.462753,-0.033307,2.111775,188.495640,1592.372746,7.809514,0
0.009375,-184.790577,104.928512,74.057302,1.755459,5.531949,-3.237581,-2.483340,-5.527607,3.061113,2.635934,0.055498,0.466267,0.000144,0.456802,188.571038,1593.566051,6.164800,0
