1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-75.881897,-64.751649,196.363878,4.176209,-1.370330,5.891219,-3.531060,1.946671,-5.928766,3.416541,0.095606,0.197694,-0.018440,-13.244580,188.495801,1007.646209,-1300.657812,0
0.001042,-26.410824,-143.384491,168.913251,3.613244,-3.491285,6.161036,-1.690784,4.069701,-6.071120,1.470734,0.048206,0.203138,-0.029590,-18.761159,188.420256,1007.654668,-1301.338244,0
0.002083,17.749284,-186.359483,107.887556,2.431017,-4.753584,4.783335,0.880190,5.406564,-4.664834,-1.137638,-0.013779,0.199555,0.022444,-18.626059,188.495541,1008.325834,-1301.844737,0
0.003125,90.159206,-190.270572,55.635368,1.451458,-5.847087,3.217580,3.404771,6.481371,-3.025604,-3.597503,-0.035656,0.184535,-0.014723,-12.782988,188.495676,1008.051019,-1302.735258,0
0.004167,154.105483,-143.701607,8.717763,0.539455,-5.472800,0.989548,5.005347,6.116772,-0.765193,-5.200605,-0.079410,0.194112,0.011294,-7.739259,188.495685,1007.683497,-1303.239462,0
0.005208,201.565169,-85.739982,-43.838217,-0.496401,-4.232519,-1.471508,5.995076,4.825484,1.611689,-6.095448,-0.126811,0.201760,0.018727,-3.663745,188.495586,1008.246168,-1303.555927,0
0.006250,175.112044,-38.431081,-119.919833,-1.982628,-2.412460,-3.597336,6.072398,2.987298,3.708177,-6.171604,-0.137749,0.206376,0.033594,0.423027,188.495642,1008.795427,-1303.230051,0
0.007292,129.437746,5.413041,-186.498842,-3.232411,-0.456631,-4.975037,5.388094,0.959216,4.980737,-5.322456,-0.097641,0.213197,0.026161,6.558813,188.495465,1009.289665,-1303.524999,0
0.008333,77.096492,64.513932,-196.208028,-3.435078,2.240431,-5.849897,3.505290,-1.813255,5.912509,-3.475652,-0.083057,0.217607,0.015011,14.045599,188.495655,1009.290418,-1302.977073,0
0.009375,27.286421,143.311205,-168.684492,-2.950928,4.346709,-6.131979,1.661148,-3.917295,6.072119,-1.529845,-0.021072,0.204860,0.003860,18.852904,188.420296,1009.239692,-1302.796431,0
0.010417,-17.303084,185.851631,-108.011195,-1.757442,5.590660,-4.721573,-0.894362,-5.250360,4.678774,1.078526,0.026329,0.180745,0.029877,19.111845,188.495676,1008.892184,-1302.702141,0
0.011458,-89.769505,190.349970,-55.151423,-0.755365,6.702510,-3.155818,-3.388013,-6.363146,3.026603,3.496506,0.055498,0.182881,-0.014723,12.458176,188.495671,1008.400578,-1302.767582,0
0.012500,-153.489784,143.722280,-8.185212,0.134120,6.317216,-0.935962,-5.050448,-5.983355,0.822271,5.118647,0.117483,0.191493,0.003860,6.581330,188.495714,1007.950339,-1302.155510,0
0.013542,-201.616166,85.044210,44.030521,1.169976,5.109959,1.516917,-6.040176,-4.718653,-1.610691,6.047760,0.139360,0.196248,-0.025873,3.811782,188.420292,1007.854400,-1302.242192,0
0.014583,-175.095241,37.711819,119.626071,2.622425,3.260545,3.585512,-6.105900,-2.853881,-3.698551,6.082031,0.117483,0.193009,0.007577,0.332960,188.495781,1006.861947,-1301.530083,0
0.015625,-128.686448,-5.815188,186.764057,3.917245,1.341411,5.012270,-5.421596,-0.856183,-5.014248,5.213843,0.110191,0.217744,0.044744,-5.836602,188.495709,1006.531838,-1301.589803,0
0.016667,-76.559893,-64.246613,196.278816,4.176209,-1.370330,5.883043,-3.515596,1.939076,-5.859746,3.359424,0.102898,0.208512,0.015011,-13.222063,188.495604,1005.274584,-1301.111017,0
0.017708,-27.066220,-143.642882,168.901100,3.624503,-3.465599,6.193741,-1.694650,4.069701,-6.062493,1.463118,0.015390,0.201071,-0.003573,-18.637317,188.420209,1005.051692,-1301.306074,0
0.018750,17.353787,-185.666528,108.689566,2.487314,-4.735236,4.742454,0.876324,5.368584,-4.621696,-1.122406,0.000805,0.200450,0.003860,-18.198242,188.495571,1004.225222,-1300.876062,0
