1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,103.797674,70.459699,-183.321526,-0.668532,-3.396601,-2.404083,5.928420,3.628095,2.265927,-5.797138,0.014027,0.458603,-0.024490,-135.344429,188.495852,0
0.001042,31.863536,130.011303,-185.921526,-0.781632,-1.532705,-4.068983,5.540544,1.738759,4.030553,-5.622021,0.006721,0.457950,-0.050629,-77.742600,188.497327,0
0.002083,-30.917205,172.076284,-140.870617,0.134478,0.828230,-4.910958,4.028220,-0.554909,4.892721,-4.057386,-0.066339,0.446387,-0.028224,-16.793011,188.572021,0
0.003125,-82.865857,199.058015,-68.011527,1.525608,3.238869,-5.402427,2.010481,-3.013986,5.505103,-2.150132,-0.091910,0.439594,-0.009553,48.590097,188.495691,0
0.004167,-142.493382,166.618373,-8.447891,2.690538,4.978505,-5.006204,-0.222744,-4.719534,5.094162,0.046447,-0.113828,0.438222,-0.043161,123.959936,188.495620,0
0.005208,-185.265951,120.610911,49.354836,3.878088,6.064891,-3.806104,-2.452051,-5.910477,4.022495,2.311550,-0.164970,0.444101,-0.028224,173.622145,188.495671,0
0.006250,-189.564759,46.650896,106.247563,5.009088,5.997435,-1.771649,-4.426692,-5.818583,1.911391,4.211192,-0.179582,0.451679,-0.013287,196.083804,188.495740,0
0.007292,-167.957296,-17.435154,160.150289,6.038298,5.180871,0.285665,-5.421848,-5.072406,-0.030503,5.360874,-0.223418,0.463437,-0.013287,190.971684,188.495687,0
0.008333,-103.010138,-70.498830,182.983016,6.547248,3.547743,2.640146,-6.068308,-3.410967,-2.351107,5.912874,-0.205153,0.448804,-0.024490,138.866515,188.495738,0
0.009375,-30.418135,-129.861006,186.008471,6.603798,1.612842,4.251709,-5.668678,-1.495901,-4.099617,5.638777,-0.245336,0.414901,-0.013287,81.445647,188.495698,0
0.010417,31.874878,-171.712879,140.496653,5.676378,-0.723241,5.112733,-4.136764,0.761010,-4.973872,4.146474,-0.216112,0.466507,-0.028224,20.134138,188.571161,0
0.011458,82.485115,-199.345771,67.105745,4.228698,-3.165833,5.661350,-2.103354,3.304629,-5.622513,2.178309,-0.150358,0.437111,-0.020755,-43.054831,188.495609,0
0.012500,141.647598,-166.503594,7.943927,3.097698,-4.891268,5.204169,0.137707,4.955041,-5.135025,0.019799,-0.143052,0.436915,0.005384,-119.340779,188.495615,0
0.013542,184.726415,-120.105435,-49.137890,1.966698,-5.977653,3.996449,2.331752,6.193768,-4.031127,-2.260531,-0.040768,0.444885,-0.035692,-168.810718,188.495825,0
0.014583,189.127305,-45.861278,-106.089708,0.813078,-5.935050,1.977234,4.357327,6.098199,-2.000599,-4.194435,-0.029809,0.450372,-0.046895,-191.294997,188.571138,0
0.015625,167.746692,17.869594,-160.157889,-0.238752,-5.122036,-0.068650,5.399498,5.307913,-0.006330,-5.313662,-0.029809,0.458930,-0.005818,-185.922747,188.495743,0
0.016667,102.697451,70.838556,-183.510616,-0.725082,-3.428553,-2.449801,6.022451,3.657501,2.286071,-5.869469,-0.015197,0.450176,-0.039427,-135.796829,188.495689,0
0.017708,31.069561,129.916589,-186.063344,-0.804252,-1.518504,-4.080413,5.599313,1.757138,4.062783,-5.618214,-0.044421,0.460759,-0.020755,-76.973520,188.495749,0
0.018750,-31.053315,172.490659,-140.716980,0.168408,0.835331,-5.002394,4.083071,-0.584315,4.981355,-4.076421,-0.022503,0.447563,-0.039427,-16.498951,188.420300,0
0.019792,-82.673034,199.058015,-68.153345,1.559538,3.263721,-5.471005,2.053579,-3.036040,5.549420,-2.138711,-0.040768,0.441031,-0.013287,49.811577,188.495718,0
0.020833,-142.776944,166.630212,-9.097891,2.679228,5.042410,-5.040493,-0.218826,-4.767318,5.126393,0.069289,-0.139399,0.441684,-0.043161,125.633816,188.495743,0
0.021875,-185.163869,121.439661,49.035745,3.878088,6.146547,-3.817534,-2.440297,-5.954586,4.006380,2.307744,-0.132093,0.454292,-0.039427,173.237605,188.495716,0
0.022917,-189.632814,47.763789,106.554835,5.031708,6.068441,-1.703072,-4.481543,-5.881071,1.903333,4.260681,-0.208806,0.454096,-0.043161,197.045154,188.495653,0
0.023958,-168.671873,-16.511690,160.091198,6.060918,5.163120,0.258996,-5.492371,-5.120190,-0.070791,5.398943,-0.205153,0.458995,0.001650,191.050854,188.495830,0
0.025000,-103.486523,-70.013420,183.597562,6.524628,3.501590,2.663005,-6.127077,-3.403615,-2.375279,5.912874,-0.219765,0.467161,-0.050629,139.895725,188.495725,0
0.026042,-31.801920,-129.505828,185.878471,6.626418,1.634143,4.266948,-5.680432,-1.540010,-4.176164,5.692074,-0.216112,0.458407,-0.050629,81.626607,188.495676,0
