1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-186.025899,132.566652,13.196591,3.188178,6.437670,-2.053577,-4.524640,-6.145725,2.225639,4.397729,-0.197847,0.315084,-0.024490,2.875078,188.646538,0
0.001042,-193.908937,71.328549,72.767614,4.341798,5.525248,0.544734,-6.205436,-5.237814,-0.320579,5.977591,-0.208806,0.317632,-0.031958,2.761978,188.495636,0
0.002083,-171.927171,18.160491,153.660607,5.846028,4.275550,2.640146,-6.847978,-4.021141,-2.492115,6.746584,-0.270907,0.332265,-0.031958,2.637568,188.495649,0
0.003125,-117.868813,-33.400807,194.494887,6.615108,1.943018,4.213610,-6.036964,-1.764231,-4.015011,5.958557,-0.256295,0.333310,-0.043161,2.445298,188.495588,0
0.004167,-57.118381,-101.078032,200.428599,6.694278,-0.570579,5.832793,-4.983039,0.863931,-5.735320,5.018253,-0.238030,0.321943,-0.043161,2.535778,188.571116,0
0.005208,-6.224581,-163.475901,157.858523,5.936508,-2.867609,6.023285,-2.781157,3.153923,-5.956905,2.859743,-0.208806,0.309205,-0.017021,2.467918,188.495694,0
0.006250,44.521766,-210.144433,92.230682,4.715028,-4.997776,5.383231,-0.038600,5.260128,-5.437187,0.164461,-0.124787,0.306331,-0.024490,2.230408,188.495754,0
0.007292,118.338759,-181.609338,38.519508,3.731058,-6.126765,3.988830,2.570747,6.458423,-4.019040,-2.359511,-0.073645,0.305351,-0.061832,2.117308,188.495758,0
0.008333,185.894692,-132.403816,-13.135795,2.701848,-6.336231,2.221064,4.404342,6.730428,-2.302761,-4.361938,-0.026156,0.314823,-0.024490,1.992898,188.495647,0
0.009375,193.777730,-71.129471,-73.051515,1.525608,-5.452212,-0.384867,6.073384,5.767381,0.299860,-5.915152,-0.004238,0.317632,-0.046895,2.060758,188.495611,0
0.010417,171.705224,-17.224477,-153.772160,0.055308,-4.170562,-2.468850,6.704172,4.528654,2.382763,-6.691758,-0.015197,0.325210,-0.028224,2.332198,188.495736,0
0.011458,117.590154,34.131446,-194.741857,-0.736392,-1.788325,-4.072793,5.912748,2.242337,3.949976,-5.854241,-0.004238,0.340561,-0.046895,2.479228,188.495658,0
0.012500,56.351994,101.301272,-200.207766,-0.860802,0.718172,-5.714834,4.843151,-0.356418,5.714602,-4.940586,-0.062686,0.323315,-0.009553,2.332198,188.571042,0
