1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-136.583939,-64.593702,180.817804,6.332358,6.189150,-0.890456,-5.218125,-6.186158,1.193093,4.933279,-0.238030,0.604801,-0.050629,-57.542940,188.571346,0
0.001042,-55.417006,-117.266443,197.547917,6.649038,5.131167,1.629594,-6.397238,-5.179002,-1.442430,6.239009,-0.274560,0.598921,-0.043161,-23.884381,188.495951,0
0.002083,12.388462,-167.559246,164.641667,6.015678,3.288573,3.832158,-6.553955,-3.370533,-3.570153,6.381323,-0.270907,0.589384,-0.031958,7.127638,188.571353,0
0.003125,80.159903,-186.260486,115.337690,5.076948,0.732373,5.649770,-5.654695,-0.779130,-5.458665,5.609270,-0.263601,0.599509,-0.039427,36.612808,188.571377,0
0.004167,129.817370,-189.401521,29.963636,3.493548,-1.742171,6.491109,-3.927071,1.683623,-6.356757,3.954871,-0.219765,0.601992,-0.039427,57.841677,188.571377,0
0.005208,166.941374,-161.820817,-46.903788,2.034558,-3.957545,6.387926,-1.774070,3.951561,-6.394527,1.877089,-0.164970,0.600946,-0.061832,73.834017,188.495890,0
0.006250,183.887070,-85.107077,-104.837500,0.914868,-5.665229,5.233068,1.039383,5.587270,-5.253027,-0.784181,-0.106522,0.588273,-0.024490,83.515377,188.571681,0
0.007292,181.448432,-5.892589,-150.669887,-0.012552,-6.382385,3.633729,3.099099,6.498856,-3.641497,-2.897541,-0.084604,0.580630,-0.065566,81.852807,188.571190,0
0.008333,135.908293,64.961913,-181.397160,-0.566742,-6.048659,1.034307,5.132695,6.131281,-1.186431,-4.783200,-0.037115,0.548817,-0.039427,61.517427,188.571388,0
0.009375,55.047607,117.876273,-197.425569,-0.849492,-4.976475,-1.485744,6.278226,5.080016,1.503649,-6.049794,-0.029809,0.575404,-0.031958,29.510128,188.496053,0
0.010417,-12.746519,168.277804,-164.507008,-0.306612,-3.165833,-3.743868,6.468526,3.234790,3.610388,-6.209897,-0.011544,0.605323,-0.039427,-2.214422,188.646605,0
0.011458,-80.744809,186.072976,-114.956819,0.677358,-0.552828,-5.541637,5.543146,0.654413,5.549260,-5.402266,-0.015197,0.604670,-0.046895,-32.468671,188.497222,0
0.012500,-130.651811,189.467710,-29.078030,2.317308,1.957219,-6.359165,3.834179,-1.812015,6.367616,-3.765656,-0.066339,0.597549,-0.046895,-53.086800,188.570984,0
0.013542,-166.981841,161.862844,47.567803,3.742368,4.098036,-6.232170,1.658790,-4.035844,6.409582,-1.677200,-0.110175,0.597811,-0.024490,-69.972630,188.495629,0
0.014584,-185.027759,84.702110,104.885985,4.828128,5.827022,-5.029689,-1.206902,-5.734041,5.230312,1.016090,-0.164970,0.586967,-0.035692,-78.161070,188.646632,0
0.015625,-181.386816,6.152072,150.779925,5.721618,6.469622,-3.418444,-3.233036,-6.480218,3.639765,3.058294,-0.212459,0.566063,-0.013287,-78.590850,188.495738,0
0.016666,-135.631169,-64.472893,181.827273,6.298428,6.221103,-0.874582,-5.259170,-6.127346,1.176307,4.968858,-0.292825,0.581022,-0.043161,-57.882240,188.571096,0
0.017708,-54.895251,-117.677194,197.153978,6.603798,5.106315,1.712934,-6.382312,-5.156948,-1.446626,6.231893,-0.307437,0.621197,-0.031958,-25.264201,188.495700,0
0.018750,12.989615,-168.308262,164.518561,6.060918,3.253070,3.891687,-6.591269,-3.330100,-3.603727,6.363534,-0.281866,0.607022,-0.050629,6.946678,188.570986,0
0.019792,80.829110,-185.451065,114.943750,5.110878,0.721722,5.645801,-5.636038,-0.771778,-5.488042,5.559460,-0.230724,0.600032,-0.058098,37.766428,188.571107,0
0.020833,130.361810,-189.631058,29.114205,3.459618,-1.795425,6.530795,-3.956922,1.709353,-6.381937,3.940640,-0.234377,0.602971,-0.017021,57.389277,188.571042,0
0.021875,166.464989,-161.265095,-47.667046,2.011938,-3.922042,6.348240,-1.703174,3.929506,-6.348364,1.855742,-0.179582,0.598987,-0.039427,74.716197,188.495740,0
0.022917,184.726415,-84.188928,-104.899053,0.926178,-5.718483,5.217194,1.065502,5.638730,-5.215257,-0.823317,-0.080951,0.591997,-0.046895,83.311797,188.571102,0
0.023958,180.767882,-5.445596,-150.977652,0.010068,-6.339782,3.629760,3.121487,6.414313,-3.675070,-2.890426,-0.069992,0.598007,-0.009553,83.470137,188.495712,0
0.025000,135.465935,65.046479,-181.754167,-0.578052,-6.041558,1.050181,5.110307,6.061441,-1.178038,-4.761853,-0.055380,0.595786,-0.050629,62.501397,188.571080,0
0.026042,54.877469,118.069567,-196.957766,-0.849492,-4.983575,-1.529398,6.211061,5.087368,1.478468,-6.032004,-0.015197,0.551299,-0.076769,29.736328,188.495649,0
0.027083,-13.268274,168.398613,-164.519319,-0.250062,-3.101928,-3.763711,6.461063,3.238465,3.585208,-6.131624,-0.029809,0.572530,-0.046895,-2.632891,188.571172,0
0.028125,-81.073742,185.819277,-114.661364,0.688668,-0.606082,-5.430516,5.517027,0.680143,5.507294,-5.370245,-0.018850,0.601600,-0.046895,-31.959721,188.571170,0
0.029166,-130.787921,189.395224,-28.597917,2.339928,1.911065,-6.335354,3.834179,-1.800988,6.371812,-3.811908,-0.037115,0.598856,-0.054364,-52.713570,188.571120,0
0.030208,-167.106608,161.560821,48.134091,3.742368,4.041232,-6.263919,1.677447,-3.988059,6.409582,-1.680758,-0.102869,0.600032,-0.020755,-69.067830,188.495720,0
0.031250,-184.902991,84.520897,105.439962,4.850748,5.780868,-5.089218,-1.128543,-5.664201,5.268082,0.962722,-0.168623,0.590494,-0.076769,-79.235520,188.571165,0
0.032291,-181.069226,5.717160,151.235417,5.687688,6.473173,-3.450193,-3.188260,-6.450812,3.673339,3.054736,-0.194194,0.580369,-0.054364,-77.143170,188.495709,0
0.033333,-135.529087,-65.040695,181.581061,6.332358,6.192701,-0.918237,-5.210662,-6.134697,1.163716,4.915490,-0.278213,0.577625,-0.054364,-57.147090,188.571098,0
0.034375,-54.498263,-118.148349,197.141667,6.626418,5.092114,1.645469,-6.359924,-5.120190,-1.429840,6.210546,-0.270907,0.586967,-0.046895,-23.409361,188.495852,0
0.035416,13.670165,-168.223696,164.272349,6.038298,3.320526,3.848033,-6.583806,-3.359506,-3.561760,6.345744,-0.300131,0.601012,-0.046895,7.681828,188.571219,0
0.036458,81.294153,-185.753088,114.599053,5.099568,0.711071,5.649770,-5.609919,-0.790157,-5.467058,5.545229,-0.285519,0.606107,-0.017021,37.076518,188.495664,0
0.037500,130.792825,-189.316955,28.646402,3.470928,-1.806076,6.491109,-3.930802,1.635838,-6.323183,3.965545,-0.219765,0.598921,-0.035692,58.226217,188.571152,0
0.038542,166.635127,-161.035558,-48.085606,1.989318,-3.922042,6.368083,-1.751682,3.933182,-6.377740,1.841510,-0.186888,0.595132,-0.031958,73.879257,188.495682,0
0.039583,184.624332,-83.766096,-105.379167,0.880938,-5.704282,5.233068,1.046845,5.616676,-5.248830,-0.791296,-0.128440,0.590756,-0.058098,83.820747,188.571127,0
