1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,141.863105,-161.325500,24.903977,3.369138,-6.240374,1.411322,4.938664,6.829673,-1.467610,-4.687138,-0.051727,0.176399,-0.050629,123.767666,188.267593,972.786515,-1339.818987,0
0.001043,193.709675,-97.006767,-22.048674,2.475648,-4.980025,-1.120634,5.998373,5.473321,1.096569,-5.686893,-0.000585,0.185741,-0.061832,159.654295,188.262138,972.438584,-1339.562247,0
0.002084,183.614850,-52.065804,-99.334659,0.948798,-3.268791,-3.263670,6.196136,3.885397,3.262063,-6.024889,0.024986,0.200243,-0.054364,137.973025,188.185545,972.590173,-1338.984565,0
0.003126,139.832798,-9.746397,-176.546781,-0.487572,-1.188328,-4.775700,5.502101,1.735084,4.789659,-5.359571,-0.007891,0.211021,-0.065566,96.340916,188.268209,972.259570,-1338.273447,0
0.004169,87.816091,44.134434,-202.989963,-0.962592,1.541836,-5.692443,3.677461,-0.896754,5.780079,-3.644689,-0.066339,0.178816,-0.035692,59.888787,188.269794,972.714301,-1337.569949,0
0.005209,42.060444,128.193365,-177.396213,-0.498882,3.782062,-6.113113,1.785657,-3.186746,6.149388,-1.794609,-0.055380,0.170128,-0.046895,28.650568,188.264618,973.085157,-1336.231948,0
0.006251,1.851279,185.722629,-123.623485,0.507708,5.255427,-4.866977,-0.755406,-4.734237,5.104411,0.603380,-0.132093,0.192534,-0.065566,-7.982521,188.189267,973.048247,-1336.006673,0
0.007293,-63.515551,197.030356,-68.595076,1.559538,6.569030,-3.323198,-3.419604,-5.939883,3.505471,3.207724,-0.168623,0.168103,-0.061832,-66.319500,188.412005,972.986867,-1335.394468,0
0.008333,-142.708889,162.140705,-24.498485,2.385168,6.338262,-1.168257,-5.012899,-5.917828,1.503649,4.819428,-0.263601,0.177836,-0.024490,-119.261609,188.196401,973.546230,-1334.647537,0
0.009373,-193.307784,98.027347,22.232576,3.301278,5.063712,1.312108,-6.065146,-4.579855,-1.052137,5.790720,-0.278213,0.187112,-0.039427,-154.005928,188.268637,972.945855,-1334.078306,0
0.010415,-184.585401,52.772281,99.432387,4.748958,3.402182,3.427363,-6.244251,-3.047067,-3.200844,6.125158,-0.267254,0.193906,-0.043161,-133.218149,188.186703,973.432631,-1333.606376,0
0.011457,-140.644554,9.957557,175.610417,6.196638,1.367873,4.915582,-5.561411,-0.882051,-4.657096,5.481188,-0.259948,0.205534,-0.061832,-92.366430,188.192580,972.209466,-1331.539474,0
0.012499,-88.049380,-43.440039,203.383145,6.705588,-1.394244,5.875979,-3.755428,1.768165,-5.693680,3.776979,-0.190541,0.195082,-0.058098,-54.862470,188.339741,972.560945,-1330.559694,0
0.013540,-41.885403,-127.100299,177.370834,6.264498,-3.620268,6.249026,-1.908400,4.076536,-6.096562,1.941130,-0.154011,0.205338,-0.054364,-22.923031,188.263566,971.614238,-1328.712082,0
0.014582,-1.653553,-185.704764,123.511932,5.235288,-5.054581,5.038608,0.636395,5.568891,-5.072569,-0.417722,-0.113828,0.171369,-0.054364,12.669538,188.191669,972.874076,-1327.997996,0
0.015624,62.476945,-196.601740,68.606629,4.217388,-6.357533,3.522609,3.263279,6.800267,-3.435859,-2.979372,-0.055380,0.164249,-0.043161,70.282677,188.188195,972.132397,-1325.872167,0
0.016665,142.214723,-162.304053,24.817803,3.357828,-6.176469,1.423228,4.886425,6.792916,-1.438233,-4.626655,-0.033462,0.178686,-0.009553,124.140896,188.342782,971.845646,-1325.434373,0
0.017707,192.518713,-98.214857,-21.999432,2.453028,-4.923221,-1.088886,5.949865,5.410834,1.037816,-5.619294,0.003068,0.189138,-0.035692,158.873905,188.265247,970.956628,-1324.219585,0
0.018756,183.807672,-52.367827,-100.417993,0.982728,-3.219087,-3.251764,6.121508,3.855991,3.241079,-5.978637,0.028639,0.192992,-0.050629,138.753415,188.204393,970.789810,-1323.826417,0
0.019790,140.638115,-9.794721,-175.685038,-0.476262,-1.191878,-4.751889,5.483444,1.742435,4.793856,-5.291972,0.010374,0.204097,-0.065566,96.917726,188.200221,969.946854,-1323.628823,0
0.020832,88.315161,43.796169,-203.703978,-0.939972,1.538286,-5.684506,3.610296,-0.926160,5.822045,-3.598437,-0.059033,0.196062,-0.043161,61.223367,188.348769,969.416883,-1324.681396,0
0.021874,42.332664,127.613481,-177.322349,-0.476262,3.835316,-6.049615,1.748343,-3.205125,6.145191,-1.744799,-0.095563,0.175093,-0.069301,29.238688,188.199874,968.498183,-1325.023532,0
0.022915,1.318182,185.903843,-123.598864,0.485088,5.266078,-4.831260,-0.751675,-4.730561,5.121198,0.603380,-0.084604,0.187112,-0.039427,-7.756321,188.200992,968.904121,-1324.963402,0
0.023957,-63.277358,196.824980,-68.004167,1.548228,6.544178,-3.323198,-3.386022,-5.921504,3.463504,3.175703,-0.197847,0.162289,-0.065566,-65.380770,188.198340,968.485114,-1324.235053,0
0.024999,-142.311902,162.249433,-23.858333,2.430408,6.338262,-1.200006,-4.990511,-5.881071,1.474272,4.805197,-0.223418,0.172741,-0.084238,-119.725319,188.271545,967.933417,-1323.807623,0
0.026040,-193.148989,97.749486,22.601894,3.312588,5.045961,1.272422,-6.012907,-4.524719,-1.018564,5.751584,-0.278213,0.185675,-0.046895,-153.949378,188.200488,967.592982,-1322.763190,0
0.027082,-184.596744,52.772281,99.715531,4.782888,3.430584,3.435300,-6.203206,-3.017661,-3.163074,6.103811,-0.248989,0.195213,-0.084238,-134.462249,188.197100,967.387010,-1322.230459,0
0.028131,-140.621869,9.570968,177.013826,6.219258,1.311068,4.939393,-5.531560,-0.830590,-4.749424,5.420704,-0.248989,0.200961,-0.069301,-93.327780,188.196968,966.892881,-1323.355602,0
