1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,131.915733,-187.021583,20.755303,3.278658,-3.098378,4.133771,-0.583763,3.330359,-4.082150,0.638958,-0.154011,0.391645,-0.091706,134.161556,188.496214,1169.125421,19.472405,0
0.001042,164.911067,-141.102067,-45.180303,2.102418,-3.815534,3.165436,1.054308,4.039779,-3.150484,-0.908705,-0.099216,0.393278,-0.065566,167.559985,188.496154,1169.122853,18.810540,0
0.002083,193.063153,-64.207113,-97.118750,1.039278,-4.351626,1.875646,2.628946,4.672008,-1.870492,-2.513294,-0.059033,0.373877,-0.073035,191.016924,188.549127,1169.885185,19.516502,0
0.003125,166.260824,-0.540749,-152.848864,0.055308,-3.829735,0.462831,3.457310,4.116970,-0.472994,-3.221306,-0.048074,0.391906,-0.031958,162.527035,188.556001,1169.594018,20.248223,0
0.004167,120.516520,59.199322,-187.737122,-0.589362,-2.920864,-1.350812,4.177465,3.212735,1.407125,-4.004032,-0.029809,0.389228,-0.054364,117.728126,188.495423,1169.256527,20.086611,0
0.005208,47.913174,116.027894,-188.598864,-0.679842,-1.451048,-2.819188,4.028210,1.753462,2.813017,-3.858160,-0.044421,0.402489,-0.013287,45.355437,188.495702,1168.748885,20.115209,0
0.006250,-18.077494,167.069714,-161.343182,-0.182202,0.082672,-3.787523,3.364026,0.180241,3.832813,-3.285347,-0.059033,0.409609,-0.054364,-20.796751,188.571205,1168.003439,20.952548,0
0.007292,-75.221011,182.726565,-97.204925,1.039278,1.928816,-4.164538,1.830433,-1.547361,4.164352,-1.869324,-0.069992,0.397982,-0.061832,-74.790690,188.495705,1167.690454,21.332218,0
0.008333,-132.217076,187.148176,-20.694508,2.464338,3.245970,-3.989920,0.483408,-2.955174,4.151762,-0.471090,-0.124787,0.393931,-0.039427,-129.519779,188.495779,1167.919665,21.690229,0
0.009375,-165.110328,141.494440,45.635038,3.731058,3.934724,-2.962057,-1.173320,-3.690324,3.186522,1.073015,-0.157664,0.392560,-0.073035,-162.578908,188.495756,1168.077997,22.117952,0
0.010417,-193.455237,64.490758,97.659659,4.771578,4.513419,-1.723859,-2.811391,-4.223307,1.830991,2.706067,-0.164970,0.381585,-0.050629,-186.375147,188.571129,1167.494873,22.166483,0
0.011458,-166.607538,0.788151,152.897349,5.812098,3.956025,-0.251515,-3.565128,-3.686648,0.471262,3.396289,-0.208806,0.379364,-0.054364,-157.613818,188.495808,1167.450120,21.888529,0
0.012500,-120.364163,-59.072728,187.970266,6.445458,3.075556,1.554191,-4.285282,-2.844901,-1.354299,4.129206,-0.241683,0.395891,-0.024490,-112.577399,188.495803,1167.190537,22.344157,0
0.013542,-47.522625,-116.022110,188.499622,6.479388,1.612842,2.963038,-4.132296,-1.389304,-2.789568,4.001123,-0.234377,0.393866,-0.054364,-40.125541,188.495774,1166.517631,22.182400,0
0.014583,18.286563,-167.015606,161.305493,5.959128,0.032968,3.982964,-3.471844,0.205972,-3.897495,3.456773,-0.227071,0.402881,-0.084238,25.709968,188.495803,1167.199398,22.206822,0
0.015625,75.237258,-182.394597,97.425758,4.715028,-1.763473,4.300451,-1.971833,1.940926,-4.233230,2.037192,-0.135746,0.396479,-0.065566,79.941417,188.495812,1167.698838,22.066144,0
0.016667,132.528228,-186.840369,21.087689,3.312588,-3.101928,4.157582,-0.609883,3.352414,-4.098936,0.688768,-0.150358,0.397002,-0.028224,134.670505,188.495740,1168.253668,22.591839,0
0.017708,165.126574,-141.283280,-45.352652,2.045868,-3.811983,3.157499,1.054308,4.069185,-3.142090,-0.890916,-0.106522,0.395303,-0.061832,167.627845,188.495767,1168.554908,22.656648,0
