1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-157.522195,149.866506,-2.240909,2.837568,6.505125,-2.632673,-4.136764,-6.164103,2.809819,3.902833,-0.179582,0.303718,-0.031958,-5.268121,188.495700,0
0.001042,-203.153075,88.314300,49.672917,3.832848,6.025838,-0.194375,-5.829314,-5.689932,0.485186,5.692074,-0.227071,0.309074,-0.017021,-0.450062,188.495743,0
0.002083,-176.747733,34.747572,127.697538,5.314458,4.719335,2.000093,-6.714768,-4.377689,-1.726639,6.552432,-0.252642,0.320702,-0.020755,3.236998,188.495604,0
0.003125,-132.228419,-13.696853,189.964584,6.479388,2.919344,3.775479,-6.483609,-2.730953,-3.612129,6.514364,-0.241683,0.327104,-0.039427,9.717628,188.495716,0
0.004167,-73.939309,-71.950972,199.628410,6.694278,0.118175,5.459428,-5.339571,0.158187,-5.227688,5.307578,-0.227071,0.313190,-0.013287,16.367908,188.495573,0
0.005208,-20.720297,-149.957369,174.600948,6.207948,-2.228559,6.236636,-3.588253,2.551100,-6.146260,3.704874,-0.172276,0.317566,-0.043161,21.751468,188.495653,0
0.006250,25.398310,-193.146601,111.521402,5.054328,-4.259318,5.638491,-0.951480,4.499248,-5.574167,1.074309,-0.146705,0.309401,-0.028224,21.683608,188.495743,0
0.007292,94.893811,-197.362837,52.393561,3.923328,-5.988304,4.621263,1.806749,6.337123,-4.651566,-1.628587,-0.099216,0.296271,-0.017021,15.779788,188.495682,0
0.008333,156.551644,-149.848641,1.969318,2.973288,-6.396586,2.834448,3.992958,6.752483,-2.806364,-3.828973,-0.055380,0.302934,-0.054364,10.407538,188.495664,0
0.009375,202.783676,-87.221235,-49.316667,1.978008,-5.853393,0.407580,5.712934,6.267283,-0.477703,-5.656283,-0.018850,0.307702,-0.035692,5.238868,188.495655,0
0.010417,176.593842,-33.884044,-127.045834,0.485088,-4.546891,-1.756410,6.582716,4.925635,1.738151,-6.387207,0.003068,0.327561,-0.069301,1.359538,188.495669,0
0.011458,131.416663,14.270440,-190.113069,-0.713772,-2.807255,-3.527986,6.437752,3.212735,3.555151,-6.429082,0.014027,0.327169,-0.031958,-4.804411,188.495783,0
