1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-131.457129,188.368347,-28.647159,2.328618,1.730001,-6.212327,3.916269,-1.595146,6.224928,-3.840371,-0.037115,0.595590,-0.084238,108.895016,188.495653,0
0.001042,-166.074440,159.917818,48.404924,3.764988,3.902771,-6.148830,1.763268,-3.870435,6.359222,-1.815956,-0.095563,0.595394,-0.061832,86.625627,188.495978,0
0.002083,-183.246986,81.718127,106.757197,4.895988,5.702762,-5.212244,-0.960632,-5.590686,5.352016,0.763483,-0.154011,0.592258,-0.046895,38.852188,188.571196,0
0.003125,-180.354649,3.578840,150.644508,5.744238,6.412818,-3.616874,-2.979303,-6.403027,3.832813,2.841265,-0.197847,0.582982,-0.054364,-1.784642,188.495714,0
0.004167,-134.077247,-66.768264,178.454167,6.287118,6.210452,-1.124603,-5.053944,-6.226591,1.398731,4.769618,-0.256295,0.610027,-0.035692,-41.030341,188.495776,0
0.005208,-54.407523,-119.175226,196.944698,6.592488,5.187972,1.399416,-6.266640,-5.256193,-1.152858,6.071790,-0.241683,0.603233,-0.058098,-70.492890,188.495761,0
0.006250,13.386602,-167.945835,164.063069,5.993058,3.398632,3.625792,-6.531567,-3.477130,-3.372908,6.263914,-0.303784,0.616494,-0.039427,-97.512479,188.571053,0
0.007292,82.314978,-184.786616,114.303599,5.099568,0.920537,5.483089,-5.647232,-0.966593,-5.362141,5.605712,-0.274560,0.608132,-0.054364,-104.909219,188.495870,0
0.008333,131.178470,-187.975974,29.803599,3.482238,-1.546906,6.391895,-4.072594,1.481457,-6.222463,4.004681,-0.230724,0.599575,-0.050629,-102.839489,188.495796,0
0.009375,166.340222,-160.057005,-47.445455,2.057178,-3.748078,6.383958,-1.900937,3.771449,-6.344167,2.022961,-0.161317,0.601992,-0.061832,-83.759520,188.495736,0
0.010417,182.900272,-83.186213,-106.548675,0.937488,-5.576472,5.379906,0.811769,5.506403,-5.366338,-0.581383,-0.135746,0.592977,-0.054364,-34.368751,188.571073,0
