1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-103.134905,-46.617316,206.386932,6.818688,1.250713,4.647932,-5.719611,-1.043784,-4.442067,5.642584,-0.234377,0.332265,0.005384,-19.948501,188.722014,0
0.001042,-46.774020,-116.771126,192.131251,6.569868,-1.110222,5.764216,-4.332661,1.363833,-5.662801,4.397729,-0.234377,0.323903,-0.043161,-23.601631,188.495671,0
0.002083,5.764442,-182.732862,142.273296,5.608518,-3.251039,5.939468,-2.330595,3.528850,-5.880357,2.387688,-0.175929,0.303652,-0.017021,-24.246301,188.571085,0
0.003125,58.767947,-205.118777,80.289394,4.432278,-5.082983,4.937480,0.553008,5.436564,-4.994016,-0.456063,-0.146705,0.307702,-0.035692,-14.621491,188.495647,0
0.004167,138.562438,-175.919232,24.497727,3.391758,-6.236823,3.600226,2.942951,6.495180,-3.600042,-2.846793,-0.088257,0.301235,-0.076769,-6.862831,188.721788,0
0.005208,187.391902,-122.243776,-28.856439,2.396478,-5.817891,1.600060,4.510126,6.270959,-1.746783,-4.441883,-0.040768,0.313516,-0.039427,-1.671542,188.571151,0
0.006250,194.378883,-57.526373,-92.970076,1.141068,-5.114936,-0.910625,6.261445,5.451267,0.791377,-6.128338,-0.029809,0.311557,-0.046895,4.073938,188.571123,0
0.007292,165.682357,-1.785082,-160.690720,-0.091722,-3.552813,-2.697441,6.328050,3.977291,2.656723,-6.371979,0.003068,0.339646,-0.043161,14.580928,188.495638,0
0.008333,101.790051,47.468764,-206.892425,-1.030452,-1.198979,-4.507115,5.654164,1.628487,4.421349,-5.652476,-0.029809,0.311949,-0.035692,24.929578,188.721886,0
0.009375,45.860181,117.199742,-191.898107,-0.770322,1.197459,-5.615778,4.271132,-0.819563,5.658198,-4.380972,-0.062686,0.322792,-0.050629,27.791008,188.495709,0
0.010417,-6.224581,183.680957,-141.621591,0.202338,3.391531,-5.829130,2.269065,-2.944146,5.867697,-2.313828,-0.077298,0.305481,0.001650,29.804188,188.571152,0
0.011458,-58.785728,205.088319,-79.600758,1.378578,5.219924,-4.819522,-0.661553,-4.866564,4.957182,0.503275,-0.154011,0.307506,-0.039427,19.218028,188.495740,0
0.012500,-139.328824,176.166634,-23.956818,2.430408,6.359564,-3.508937,-3.059331,-5.895774,3.599468,2.863550,-0.197847,0.302280,-0.020755,10.859938,188.721962,0
0.013542,-187.375656,122.177074,29.188068,3.436998,5.954832,-1.459242,-4.650014,-5.741392,1.681748,4.431991,-0.216112,0.318742,-0.013287,6.901438,188.495649,0
0.014583,-194.986474,57.942908,93.547917,4.658478,5.301581,1.051443,-6.405251,-4.914348,-0.880585,6.202198,-0.248989,0.316456,-0.028224,0.805348,188.571161,0
0.015625,-165.484630,2.274102,160.874622,5.947818,3.703956,2.872546,-6.491445,-3.466103,-2.733845,6.449646,-0.318396,0.316783,-0.028224,-9.441511,188.495642,0
0.016667,-102.148108,-46.798530,207.334849,6.829998,1.303967,4.686031,-5.813642,-1.047459,-4.498470,5.733950,-0.278213,0.330762,-0.069301,-20.106841,188.721795,0
0.017708,-46.581198,-117.085229,191.478788,6.502008,-1.074719,5.783265,-4.383594,1.389563,-5.707118,4.405343,-0.256295,0.319592,-0.031958,-22.923031,188.495712,0
0.018750,5.685045,-184.049680,142.199432,5.631138,-3.247489,5.950898,-2.416789,3.550904,-5.964963,2.425757,-0.183235,0.314496,-0.061832,-24.393331,188.571053,0
0.019792,58.858687,-204.357680,81.040341,4.488828,-5.122036,4.987008,0.517747,5.454943,-5.078621,-0.391346,-0.143052,0.301170,-0.005818,-14.711971,188.495671,0
0.020833,139.742058,-176.317902,25.125568,3.425688,-6.268776,3.691662,2.939033,6.565019,-3.684648,-2.846793,-0.073645,0.307637,-0.043161,-7.303921,188.721817,0
0.021875,187.062970,-122.727012,-28.819508,2.373858,-5.849843,1.634348,4.506208,6.296689,-1.750812,-4.380972,-0.048074,0.323642,-0.017021,-2.033462,188.495770,0
