1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,116.138314,83.675233,-184.868751,-0.623292,-5.800139,0.224716,5.606579,5.885005,-0.258962,-5.363129,-0.004238,0.604343,-0.043161,42.211258,188.495631,0
0.001042,33.701021,136.565431,-188.611175,-0.713772,-4.433282,-2.319147,6.446138,4.458814,2.170923,-6.160087,0.003068,0.611202,-0.031958,49.336557,188.420365,0
0.002083,-43.371270,171.684619,-161.047728,-0.204822,-2.438026,-4.307407,6.278226,2.554776,4.328023,-6.170761,0.014027,0.610810,-0.046895,53.238507,188.495752,0
0.003125,-100.435390,189.733490,-85.657576,1.254168,0.277937,-5.922621,5.046874,-0.124846,5.893389,-4.939746,-0.015197,0.603755,-0.039427,34.961548,188.495636,0
0.004167,-146.565340,184.707834,-4.382955,2.758398,2.511062,-6.454411,3.311787,-2.447920,6.531287,-3.306694,-0.095563,0.596112,-0.061832,18.053098,188.495656,0
0.005208,-176.475513,137.145314,64.384091,4.081668,4.630578,-5.815469,0.703559,-4.454880,5.935356,-0.816201,-0.102869,0.584484,-0.054364,-2.678131,188.344844,0
0.006250,-195.077214,53.291760,117.258144,5.110878,6.075541,-4.561397,-1.856160,-6.090588,4.747692,1.695639,-0.175929,0.588600,-0.069301,-17.562091,188.495484,0
0.007292,-162.308730,-16.862050,168.297917,6.106158,6.505125,-2.668382,-3.986773,-6.421406,2.905344,3.702264,-0.201500,0.549862,-0.046895,-32.242471,188.495779,0
0.008333,-115.407491,-84.188928,185.200379,6.411528,5.954832,-0.029274,-5.733054,-6.017073,0.299198,5.491861,-0.270907,0.607414,-0.035692,-37.840921,188.495707,0
0.009375,-32.346360,-136.330110,188.745834,6.490698,4.548922,2.407437,-6.572612,-4.528395,-2.185244,6.285261,-0.267254,0.587228,-0.013287,-45.599581,188.344883,0
