1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-185.889789,128.326255,15.917235,3.176868,6.544178,-1.958006,-4.479314,-6.252321,2.292627,4.374697,-0.208806,0.310315,-0.050629,-19.416931,188.495660,1506.868764,-908.502235,0
0.001042,-193.262414,65.324340,78.061174,4.375728,5.716963,0.720789,-6.124848,-5.281923,-0.405847,5.886782,-0.238030,0.311753,-0.028224,-26.474371,188.721846,1506.477426,-908.288503,0
0.002083,-170.373248,13.412696,154.522349,5.857338,4.254249,2.812232,-6.524104,-3.962329,-2.596520,6.413343,-0.245336,0.332657,-0.035692,-28.781611,188.571035,1505.445566,-908.311393,0
0.003125,-110.416791,-36.227739,198.803599,6.716898,1.889763,4.681435,-5.841264,-1.631904,-4.317164,5.712448,-0.238030,0.342586,-0.035692,-23.579011,188.571060,1505.210349,-907.388379,0
0.004167,-54.271413,-105.185539,198.311175,6.705588,-0.648686,6.153780,-4.591255,0.999934,-5.970661,4.716251,-0.216112,0.313516,-0.031958,-13.094641,188.571051,1505.332961,-906.727518,0
0.005208,-5.283153,-170.108317,152.060228,5.812098,-3.073526,6.419675,-2.512882,3.392847,-6.222463,2.610005,-0.157664,0.311034,-0.031958,-3.605551,188.721971,1503.944801,-906.301331,0
0.006250,47.073829,-208.513511,88.143561,4.590618,-5.125586,5.665644,0.211018,5.517430,-5.626532,0.055471,-0.128440,0.306265,-0.043161,0.466048,188.570941,1503.779119,-906.121983,0
0.007292,124.021352,-178.891134,35.343371,3.606648,-6.325580,4.145676,2.707305,6.686319,-4.107330,-2.388769,-0.048074,0.302215,-0.013287,9.977758,188.571152,1503.889541,-905.778491,0
0.008333,185.622472,-128.223823,-15.942614,2.633988,-6.325580,2.165353,4.386421,6.825998,-2.223015,-4.167693,-0.015197,0.313320,-0.061832,22.373518,188.646569,1504.548949,-906.164642,0
0.009375,193.119865,-65.089019,-78.295834,1.457748,-5.498366,-0.529315,6.087926,5.892357,0.534213,-5.665546,0.017680,0.314039,-0.024490,29.894668,188.721835,1503.985984,-906.154044,0
0.010417,170.208014,-12.754542,-154.301516,0.021378,-4.078254,-2.632665,6.457332,4.513951,2.712296,-6.217013,-0.004238,0.333898,-0.039427,31.432828,188.571056,1503.558357,-906.608527,0
0.011458,109.616377,36.861730,-199.358334,-0.872112,-1.671166,-4.485993,5.793148,2.161471,4.420350,-5.516117,0.021333,0.328802,-0.020755,26.592148,188.571114,1503.322361,-906.176860,0
0.012500,53.641137,105.747045,-198.139584,-0.883422,0.881484,-5.954369,4.535676,-0.404203,6.094831,-4.455878,-0.033462,0.308552,-0.046895,18.539428,188.646581,1503.349640,-906.171550,0
0.013542,5.095235,171.370515,-151.396213,0.066618,3.302774,-6.267888,2.461035,-2.833874,6.346632,-2.442137,-0.040768,0.312471,-0.065566,7.941958,188.721804,1503.641268,-906.644409,0
0.014583,-47.454570,208.374324,-87.664205,1.186308,5.351285,-5.462265,-0.330030,-4.914348,5.729718,0.208459,-0.113828,0.304567,-0.031958,4.141798,188.571103,1503.864757,-907.383556,0
0.015625,-125.196069,178.909000,-34.925568,2.204208,6.576131,-3.942297,-2.833779,-6.061182,4.172745,2.656257,-0.172276,0.300778,-0.028224,-4.306771,188.495873,1504.279996,-908.161296,0
0.016667,-185.572199,128.253769,16.421970,3.176868,6.526427,-1.914351,-4.505433,-6.248646,2.271643,4.381813,-0.205153,0.311883,-0.035692,-19.066321,188.646431,1504.070107,-908.203722,0
0.017708,-193.557319,65.227693,78.947538,4.387038,5.709863,0.752537,-6.109922,-5.318681,-0.493977,5.908129,-0.252642,0.312994,-0.035692,-24.517741,188.721820,1504.584810,-909.204229,0
0.018750,-170.429961,12.736165,154.399243,5.812098,4.229397,2.840012,-6.505447,-3.932923,-2.630094,6.452480,-0.248989,0.322792,-0.043161,-28.272661,188.571174,1504.696958,-909.765218,0
0.019792,-109.248513,-36.650571,199.850001,6.694278,1.822308,4.725090,-5.856189,-1.554713,-4.354935,5.726679,-0.230724,0.311622,-0.043161,-23.386741,188.495635,1504.744364,-910.424135,0
0.020833,-53.477438,-105.354672,197.892614,6.637728,-0.698389,6.185528,-4.624837,1.036691,-6.033612,4.662883,-0.219765,0.303522,-0.035692,-13.151191,188.646533,1504.425502,-911.001661,0
0.021875,-5.147043,-171.328488,151.309281,5.755548,-3.101928,6.471266,-2.524076,3.440632,-6.306397,2.666931,-0.183235,0.311491,-0.013287,-3.175771,188.722029,1506.248333,-911.335662,0
0.022917,47.482159,-207.873223,88.069697,4.601928,-5.161089,5.685487,0.218481,5.521106,-5.639123,0.027009,-0.139399,0.308486,0.001650,2.456608,188.570893,1506.119877,-911.414152,0
0.023958,124.996807,-178.818649,35.060227,3.595338,-6.353983,4.169488,2.729693,6.697346,-4.115723,-2.399443,-0.040768,0.302411,-0.002084,9.321778,188.495734,1506.681737,-911.357753,0
0.025000,185.282197,-127.861396,-16.410417,2.600058,-6.300728,2.177259,4.408810,6.811295,-2.134884,-4.132114,-0.037115,0.312667,-0.050629,25.868308,188.646565,1505.628201,-911.266428,0
0.026042,193.437455,-64.895724,-78.788258,1.446438,-5.455762,-0.537253,6.084195,5.851924,0.563589,-5.637084,-0.000585,0.312863,-0.028224,31.466758,188.721288,1505.135872,-911.203099,0
0.027083,169.913109,-12.500844,-154.326137,0.010068,-4.035651,-2.616790,6.434944,4.462490,2.691313,-6.177876,0.014027,0.349314,-0.043161,34.995478,188.561980,1504.221828,-910.739501,0
0.028125,109.139992,37.127510,-199.739963,-0.849492,-1.646314,-4.513774,5.767028,2.150443,4.466514,-5.498327,0.003068,0.309858,-0.039427,27.824938,188.496015,1504.257627,-911.086551,0
0.029167,52.949244,105.928258,-197.831819,-0.849492,0.881484,-5.894841,4.513288,-0.429933,6.006700,-4.466552,-0.011544,0.312667,-0.043161,19.806148,188.646904,1503.623954,-910.173125,0
0.030208,4.550794,171.298030,-151.174622,0.032688,3.281472,-6.216296,2.464766,-2.782413,6.329845,-2.392327,-0.066339,0.302999,-0.031958,7.987198,188.722255,1502.998834,-909.531767,0
0.031250,-47.874243,208.132706,-87.750379,1.242858,5.337084,-5.426548,-0.274060,-4.929051,5.624801,0.187112,-0.117481,0.309336,-0.002084,3.327478,188.571429,1502.052272,-909.273888,0
0.032292,-125.105329,178.812352,-34.937879,2.192898,6.522877,-3.906580,-2.777809,-6.061182,4.134975,2.634910,-0.175929,0.301301,-0.017021,-4.532971,188.571498,1501.631511,-909.152739,0
0.033333,-185.923816,128.265850,16.520455,3.165558,6.480273,-1.906414,-4.449463,-6.189834,2.263250,4.349792,-0.212459,0.312863,-0.028224,-19.643131,188.722290,1501.049725,-908.590721,0
0.034375,-193.319127,64.973994,79.144508,4.353108,5.660159,0.776349,-6.124848,-5.263545,-0.422633,5.858319,-0.234377,0.314758,-0.024490,-26.519611,188.722175,1500.479570,-907.194151,0
0.035417,-170.146398,12.736165,154.719319,5.834718,4.229397,2.840012,-6.471865,-3.932923,-2.583930,6.395554,-0.281866,0.333114,-0.046895,-28.770301,188.571428,1500.032317,-906.185543,0
0.036458,-109.271198,-36.964674,199.345266,6.660348,1.786805,4.685404,-5.789024,-1.536334,-4.371721,5.669754,-0.201500,0.330044,-0.039427,-23.431981,188.488800,1499.210478,-906.220585,0
