1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-136.867502,170.395105,-26.387891,2.373858,7.140625,-3.924209,-3.439371,-6.700763,4.143360,3.259468,-0.139399,0.304501,-0.028224,77.894307,188.495685,0
0.001042,-182.033339,114.726786,21.617563,3.335208,6.874354,-1.824987,-5.112331,-6.627248,2.120889,4.972571,-0.223418,0.327300,-0.069301,113.780936,188.646734,0
0.002083,-196.823959,57.874539,87.905745,4.647168,6.118145,0.815233,-6.989024,-5.825934,-0.586481,6.799881,-0.238030,0.327235,-0.020755,132.646016,188.571149,0
0.003125,-165.858933,6.409166,155.600289,6.004368,4.101587,2.876356,-6.898911,-3.929247,-2.649240,6.837950,-0.227071,0.337425,-0.031958,117.388826,188.571207,0
0.004167,-98.019437,-40.569118,200.603925,6.863928,1.630593,4.937480,-6.350400,-1.363574,-4.732142,6.297370,-0.223418,0.328606,-0.024490,76.096017,188.495622,0
0.005208,-48.248545,-112.315186,181.446653,6.502008,-1.028565,6.160439,-4.779306,1.279291,-5.981078,4.793647,-0.186888,0.316652,-0.024490,41.702308,188.646460,0
0.006250,-0.110973,-185.020236,136.029381,5.665068,-3.503109,6.320452,-2.397199,3.811882,-6.295326,2.486668,-0.146705,0.311687,-0.054364,10.034308,188.571056,0
0.007292,53.652479,-197.593557,75.733017,4.443588,-5.562271,5.364182,0.705808,5.866627,-5.308264,-0.528394,-0.088257,0.307833,-0.031958,-19.394311,188.571207,0
0.008333,136.781665,-170.161933,26.037563,3.459618,-7.056938,4.194561,3.326909,7.384712,-4.139905,-3.143731,-0.044421,0.305089,-0.035692,-73.286460,188.495694,0
0.009375,181.414405,-113.724061,-21.412436,2.520888,-6.811969,2.087719,5.133079,7.230330,-2.153694,-4.906324,0.003068,0.330305,-0.035692,-110.202299,188.646572,0
0.010417,196.556643,-57.226992,-87.972436,1.220238,-6.030907,-0.571549,6.923577,6.388583,0.521446,-6.783124,0.028639,0.334355,-0.046895,-128.094719,188.571078,0
0.011458,165.115232,-5.915530,-155.773344,-0.182202,-4.035651,-2.701250,6.915741,4.499248,2.688954,-6.817386,0.032292,0.324230,-0.035692,-113.979839,188.571058,0
0.012500,97.184996,40.849647,-201.072434,-0.985212,-1.511403,-4.796663,6.316296,1.922547,4.723511,-6.276807,0.035945,0.326908,-0.031958,-71.917950,188.495734,0
0.013542,47.913174,112.950893,-181.276980,-0.578052,1.151306,-5.973904,4.717777,-0.709290,6.016763,-4.742628,0.010374,0.314366,-0.043161,-36.099181,188.646478,0
0.014583,0.161247,185.845372,-135.776981,0.236268,3.632950,-6.103438,2.363096,-3.208800,6.234320,-2.397580,-0.040768,0.319461,-0.013287,-5.777071,188.571069,0
0.015625,-53.987851,197.613622,-75.965163,1.389888,5.745366,-5.185266,-0.771255,-5.303978,5.307690,0.587027,-0.128440,0.315280,-0.017021,24.409318,188.571082,0
0.016667,-137.752217,170.276712,-26.565163,2.362548,7.204530,-3.966117,-3.423699,-6.781629,4.151417,3.305150,-0.168623,0.307180,-0.039427,78.505047,188.495660,0
0.017708,-182.112736,114.028268,21.440291,3.357828,6.970212,-1.828797,-5.225951,-6.656654,2.161178,5.041095,-0.194194,0.333571,-0.046895,115.251236,188.721800,0
0.018750,-197.118864,58.419146,88.933926,4.669788,6.199801,0.864760,-7.008613,-5.859016,-0.562308,6.891246,-0.208806,0.334224,-0.035692,133.550816,188.571178,0
0.019792,-165.167040,7.095845,156.392108,6.026988,4.208095,2.956363,-6.996859,-3.947626,-2.681470,6.906474,-0.230724,0.340822,-0.058098,116.676296,188.571100,0
0.020833,-98.064807,-40.332332,201.242107,6.920478,1.616392,5.028916,-6.409169,-1.392980,-4.792575,6.320212,-0.219765,0.343239,-0.073035,76.435317,188.495647,0
0.021875,-49.224000,-113.143936,180.820289,6.490698,-1.056968,6.206157,-4.775388,1.301345,-6.037482,4.824102,-0.183235,0.331807,-0.046895,42.222568,188.646458,0
0.022917,-1.018373,-186.144968,135.568471,5.608518,-3.556363,6.335692,-2.373692,3.837613,-6.259067,2.498088,-0.150358,0.324034,-0.028224,11.199238,188.495658,0
0.023958,54.026782,-197.167343,76.406654,4.488828,-5.619075,5.417520,0.721480,5.907060,-5.324379,-0.558849,-0.102869,0.308356,-0.054364,-19.552651,188.571093,0
0.025000,138.380958,-170.173772,26.876654,3.448308,-7.120843,4.217420,3.373924,7.443524,-4.216453,-3.216062,-0.015197,0.308029,-0.046895,-73.399560,188.495651,0
0.026042,181.890790,-113.759579,-21.128800,2.532198,-6.822619,2.019142,5.223191,7.237682,-2.157723,-5.001497,-0.004238,0.332461,-0.024490,-110.032649,188.721886,0
0.027083,196.794835,-58.470117,-88.976981,1.163688,-6.066410,-0.605838,7.029361,6.440044,0.606051,-6.920172,0.061516,0.336249,-0.043161,-127.766729,188.495720,0
0.028125,164.446024,-7.016583,-156.931526,-0.170892,-3.982397,-2.769828,6.986264,4.473517,2.769530,-6.908751,0.035945,0.350033,0.009119,-110.982689,188.571114,0
0.029167,97.502586,40.612861,-201.651525,-1.087002,-1.468800,-4.846191,6.375065,1.885789,4.848404,-6.375786,0.035945,0.347616,-0.024490,-70.458960,188.495620,0
0.030208,48.831916,113.945393,-180.437889,-0.645912,1.254264,-6.065340,4.706023,-0.771778,6.121513,-4.780697,-0.015197,0.331481,-0.005818,-35.397961,188.721900,0
0.031250,0.603604,186.626765,-135.209708,0.247578,3.732358,-6.210114,2.233804,-3.333776,6.310868,-2.374738,-0.062686,0.322923,-0.043161,-5.471701,188.495799,0
0.032292,-54.407523,197.424193,-75.433345,1.401198,5.855424,-5.166217,-0.826106,-5.417926,5.323805,0.689813,-0.102869,0.307506,-0.039427,24.658138,188.571151,0
0.033333,-138.557534,170.608212,-26.033345,2.351238,7.342991,-3.973737,-3.517730,-6.924984,4.115158,3.358447,-0.161317,0.305416,-0.046895,78.505047,188.495776,0
0.034375,-182.396299,112.394447,21.322109,3.335208,7.027016,-1.802128,-5.378751,-6.733845,2.092688,5.159109,-0.194194,0.328672,-0.020755,114.764906,188.721849,0
0.035417,-197.311687,57.377289,89.170290,4.703718,6.270807,0.929528,-7.130069,-5.870043,-0.667058,7.032101,-0.223418,0.331023,-0.046895,132.838286,188.495682,0
0.036458,-163.408953,6.847220,157.467562,6.038298,4.176143,3.066848,-7.106562,-3.947626,-2.745931,7.001646,-0.267254,0.343958,-0.058098,116.246516,188.571071,0
0.037500,-96.556255,-40.521760,201.844834,6.886548,1.570238,5.135592,-6.444430,-1.345195,-4.877180,6.400157,-0.234377,0.337752,-0.054364,75.247767,188.495640,0
0.038542,-47.942298,-113.913489,180.028471,6.502008,-1.135074,6.289974,-4.806732,1.360157,-6.138202,4.824102,-0.227071,0.336380,-0.039427,40.921918,188.721896,0
0.039583,-0.315138,-186.594861,134.623017,5.631138,-3.577665,6.408079,-2.311005,3.955237,-6.351730,2.425757,-0.146705,0.325863,-0.028224,10.418848,188.495852,0
0.040625,54.208262,-197.143664,74.645745,4.420968,-5.711382,5.425140,0.807674,6.021008,-5.360639,-0.638794,-0.073645,0.304893,-0.028224,-19.315141,188.571132,0
0.041667,138.414985,-170.138255,25.505745,3.459618,-7.181197,4.164082,3.444447,7.483957,-4.168107,-3.364531,-0.040768,0.302280,-0.043161,-74.225190,188.495711,0
0.042708,181.947502,-111.344364,-21.376982,2.532198,-6.872323,2.019142,5.293714,7.278115,-2.048945,-5.096669,-0.033462,0.327365,-0.013287,-111.095789,188.721916,0
0.043750,196.840205,-56.729742,-89.130617,1.186308,-6.080611,-0.670605,7.017607,6.454747,0.654397,-6.874489,0.035945,0.329260,-0.020755,-128.241749,188.495664,0
0.044792,162.665251,-6.187833,-157.439708,-0.159582,-4.025000,-2.826975,7.037197,4.418381,2.789674,-6.943013,0.003068,0.334747,-0.013287,-112.475609,188.571082,0
