1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-126.988184,-79.598184,170.513826,6.207948,4.804542,-2.045314,-2.915870,-4.730561,2.191906,2.674047,-0.197847,0.513868,-0.050629,-83.499390,188.570553,0
0.001042,-46.615225,-129.238619,187.293182,6.502008,4.648330,-0.124520,-4.356178,-4.609261,0.227854,4.225268,-0.252642,0.552345,-0.058098,-40.611871,188.721411,0
0.002083,22.426575,-168.622366,152.392614,5.846028,3.615199,1.578003,-4.956929,-3.624160,-1.383676,4.783850,-0.267254,0.545812,-0.087972,2.501848,188.646007,0
0.003125,93.827616,-179.821364,102.497728,4.929918,1.967870,3.526577,-5.046482,-1.925964,-3.398089,4.876354,-0.245336,0.556395,-0.050629,53.295057,188.570738,0
0.004167,140.127703,-175.375591,20.164394,3.335208,0.157228,4.582221,-4.218118,-0.198361,-4.447262,4.157669,-0.201500,0.559465,-0.043161,81.095037,188.570673,0
0.005208,169.187189,-150.319796,-57.663258,1.830978,-1.667615,5.070356,-2.848705,1.657893,-5.055782,2.795013,-0.179582,0.551561,-0.031958,101.328626,188.721485,0
0.006250,172.147582,-79.718993,-121.887690,0.654738,-3.417903,4.804461,-0.871079,3.378144,-4.837554,1.001859,-0.150358,0.551038,-0.054364,108.001526,188.721440,0
0.007292,171.228839,4.170804,-157.132955,-0.057792,-4.451034,3.931373,0.864008,4.513951,-3.968839,-0.737929,-0.143052,0.551561,-0.054364,111.326666,188.570604,0
0.008333,127.435445,79.205299,-170.416099,-0.329232,-4.692452,2.169322,2.755813,4.778605,-2.298555,-2.531083,-0.084604,0.544375,-0.058098,89.283476,188.646150,0
0.009375,47.289336,129.630992,-187.146213,-0.657222,-4.514939,0.216778,4.162539,4.572763,-0.242176,-4.075189,-0.022503,0.539214,-0.065566,45.253647,188.721563,0
