1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,119.404955,76.245477,-185.841288,-0.645912,-6.027357,0.506635,5.759949,5.995278,-0.570366,-5.641055,-0.011544,0.594153,-0.065566,5.193628,188.495278,0
0.001042,40.937536,129.848448,-189.645266,-0.713772,-4.667600,-1.897374,6.641485,4.712441,1.774410,-6.539482,0.006721,0.605192,-0.054364,-3.843061,188.570624,0
0.002083,-33.956995,172.095370,-161.761743,-0.204822,-2.775302,-4.000406,6.782531,2.837809,3.905659,-6.745055,-0.007891,0.608916,-0.028224,-11.386831,188.570747,0
0.003125,-95.773622,182.968183,-99.962500,0.960108,-0.148096,-5.459575,5.466103,0.246405,5.408411,-5.530655,-0.048074,0.604931,-0.039427,-15.243541,188.570770,0
0.004167,-141.971627,188.295862,-14.243750,2.566128,2.248342,-6.160586,3.769636,-2.201645,6.258493,-3.806131,-0.048074,0.596635,-0.020755,-19.145491,188.492068,0
0.005208,-168.694558,144.985821,58.979735,3.968568,4.307503,-5.714834,1.148535,-4.212280,5.831437,-1.320228,-0.091910,0.586836,-0.031958,-20.581861,188.646194,0
0.006250,-194.748282,62.050415,110.548864,4.975158,6.047139,-4.533784,-1.691971,-5.983992,4.695309,1.557785,-0.150358,0.587359,-0.046895,-20.333041,188.495276,0
0.007292,-165.700138,-8.151718,159.508144,5.913888,6.462522,-2.880313,-3.811575,-6.458163,3.059606,3.594474,-0.179582,0.598856,-0.031958,-9.690331,188.570687,0
0.008333,-119.683613,-75.611486,185.815910,6.411528,6.103944,-0.358198,-5.892001,-6.134697,0.589936,5.726336,-0.234377,0.598856,-0.050629,-0.845912,188.495436,0
0.009375,-41.091428,-129.697693,189.496781,6.513318,4.758388,1.981044,-6.738275,-4.848185,-1.754840,6.620957,-0.259948,0.607871,-0.024490,9.491428,188.646150,0
0.010417,33.859816,-172.089585,161.539394,5.981748,2.901593,4.129794,-6.918501,-2.980904,-3.938464,6.841757,-0.256295,0.612052,-0.054364,15.632758,188.495361,0
0.011458,95.687786,-182.503325,100.466478,4.794198,0.206932,5.600392,-5.637335,-0.374797,-5.453302,5.619743,-0.234377,0.604082,-0.013287,20.529988,188.570631,0
0.012500,141.590885,-188.060541,14.390720,3.188178,-2.164654,6.343311,-3.858591,2.121037,-6.283240,3.891412,-0.219765,0.598464,-0.020755,24.352768,188.495383,0
0.013542,168.189049,-144.375992,-58.918940,1.797048,-4.174112,5.840412,-1.233572,4.120645,-5.827983,1.405509,-0.157664,0.588992,-0.058098,25.325428,188.721491,0
0.014583,194.367540,-61.307696,-110.475758,0.824388,-5.935050,4.735559,1.556001,5.899708,-4.736171,-1.453470,-0.095563,0.587032,-0.035692,26.105818,188.495376,0
