1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,78.923570,56.009963,-197.671781,-0.815562,1.776155,-5.994055,3.614028,-1.216544,5.960536,-3.545070,-0.062686,0.205861,-0.061832,4.797778,188.495647,0
0.001042,34.926011,140.250107,-172.607387,-0.363162,3.909872,-6.121050,1.621476,-3.425670,6.220731,-1.648737,-0.106522,0.195474,-0.017021,3.813808,188.571120,0
0.002083,-5.804908,190.083836,-111.386743,0.779148,5.482645,-4.787606,-1.124812,-4.881267,4.915560,0.955607,-0.186888,0.184369,-0.043161,2.931628,188.495783,0
0.003125,-79.950834,193.261114,-61.971970,1.706568,6.611633,-3.223984,-3.565128,-6.127346,3.392160,3.410521,-0.216112,0.176007,-0.065566,0.884518,188.495551,0
0.004167,-150.421790,147.003332,-20.571402,2.486958,6.281458,-0.949985,-5.270364,-5.811231,1.142733,5.043572,-0.230724,0.183389,-0.043161,-1.648922,188.495660,0
0.005208,-198.820239,90.198921,30.603788,3.470928,5.017559,1.597846,-6.266640,-4.568828,-1.371086,6.068232,-0.281866,0.193514,-0.058098,-3.107911,188.571120,0
0.006250,-173.753313,44.557266,111.619887,5.043018,3.228218,3.768661,-6.479328,-2.793441,-3.523989,6.253240,-0.256295,0.194037,-0.013287,-3.062671,188.571055,0
0.007292,-130.175426,4.509069,184.264773,6.411528,1.083850,5.050513,-5.460664,-0.735021,-4.946668,5.420704,-0.259948,0.212981,-0.080503,-1.479272,188.495680,0
0.008333,-78.510337,-55.593428,197.658713,6.649038,-1.710219,6.145843,-3.789010,2.098983,-6.004235,3.705822,-0.219765,0.186329,-0.043161,0.047578,188.495698,0
0.009375,-34.603517,-139.978543,172.471213,6.185328,-3.868788,6.280774,-1.733025,4.333839,-6.281217,1.866415,-0.179582,0.195474,-0.039427,1.008928,188.571189,0
