1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,54.185577,101.071735,-199.395266,-0.928662,0.668468,-5.823406,4.614035,-0.191009,5.880799,-4.523477,-0.007891,0.304110,-0.017021,3.734638,188.420327,1454.331451,-873.856965,0
0.001042,6.558417,163.590413,-159.865910,-0.159582,3.050704,-6.113113,2.505811,-2.602302,6.161978,-2.499063,-0.051727,0.306265,-0.043161,-3.187081,188.420377,1454.314312,-873.756557,0
0.002083,-44.153903,207.818603,-93.007008,1.095828,5.145369,-5.478139,-0.046446,-4.701155,5.687751,-0.044148,-0.102869,0.308486,-0.054364,-11.827921,188.420198,1454.717722,-874.033389,0
0.003125,-118.095663,179.319750,-40.305303,2.091108,6.313410,-4.009763,-2.497956,-5.873719,4.248286,2.336051,-0.161317,0.301954,-0.031958,-18.783571,188.495694,1456.107393,-874.373431,0
0.004167,-183.485179,130.416251,10.229735,3.052458,6.455421,-2.148498,-4.341253,-6.175131,2.435314,4.132764,-0.234377,0.310969,-0.043161,-21.452731,188.495649,1456.979001,-874.656742,0
0.005208,-192.094137,68.308323,69.135985,4.172148,5.628206,0.494579,-5.904697,-5.248842,-0.225389,5.591481,-0.234377,0.315476,-0.054364,-16.272751,188.420368,1457.479114,-874.928679,0
0.006250,-170.792921,16.650378,147.948485,5.710308,4.286201,2.653489,-6.456940,-4.017465,-2.453833,6.292377,-0.274560,0.327953,-0.031958,-10.221901,188.420311,1457.989371,-874.749750,0
0.007292,-113.479266,-33.098785,192.574432,6.547248,1.946568,4.455226,-5.785293,-1.745852,-4.170280,5.644849,-0.259948,0.338732,-0.058098,-0.902462,188.495638,1458.501112,-874.911858,0
0.008333,-54.180673,-100.606876,199.492993,6.649038,-0.474722,6.002974,-4.736778,0.775713,-5.895121,4.702019,-0.227071,0.321421,-0.065566,1.517878,188.495696,1458.837351,-874.968767,0
0.009375,-6.054443,-163.173878,159.815910,5.981748,-2.896012,6.328397,-2.639748,3.179653,-6.163709,2.741646,-0.172276,0.321159,-0.028224,7.466938,188.344979,1460.335171,-875.093897,0
0.010417,44.102094,-208.066518,92.649243,4.669788,-4.919670,5.649770,-0.057640,5.307913,-5.639123,0.219132,-0.117481,0.306592,-0.054364,17.136988,188.495615,1460.905471,-875.255149,0
0.011458,117.238537,-179.410613,40.070644,3.731058,-6.084162,4.189331,2.345362,6.417989,-4.212247,-2.125489,-0.077298,0.302999,-0.028224,23.391418,188.495817,1461.698344,-875.301000,0
0.012500,182.911615,-129.987635,-9.861174,2.769708,-6.275877,2.363782,4.155076,6.723077,-2.374096,-3.947106,-0.026156,0.312145,-0.031958,26.829658,188.495754,1461.775405,-874.701936,0
0.013542,191.554600,-68.290458,-68.250379,1.604778,-5.459313,-0.263420,5.714789,5.837221,0.190084,-5.388034,-0.007891,0.315803,-0.017021,23.119978,188.420260,1462.134309,-874.603856,0
0.014583,170.276069,-17.103668,-147.752273,0.111858,-4.177662,-2.438204,6.311808,4.550708,2.397544,-6.106719,0.006721,0.332526,-0.050629,14.366038,188.495711,1462.245457,-874.945392,0
0.015625,114.777214,33.092488,-192.304357,-0.770322,-1.830928,-4.172475,5.640162,2.352610,4.046844,-5.441402,-0.011544,0.337948,-0.065566,5.985328,188.495682,1462.220628,-873.990968,0
0.016667,55.331169,100.673065,-199.469129,-0.883422,0.608113,-5.736097,4.591647,-0.202037,5.784275,-4.527035,-0.059033,0.324491,-0.046895,3.836428,188.495745,1461.362088,-873.780343,0
0.017708,6.603787,162.636022,-160.555304,-0.159582,3.015202,-6.069458,2.524468,-2.543490,6.161978,-2.516852,-0.069992,0.321029,-0.031958,-3.187081,188.420269,1461.285567,-873.269362,0
0.018750,-43.893025,208.144787,-93.105493,1.107138,5.131167,-5.474171,-0.065103,-4.668073,5.628998,-0.033475,-0.117481,0.303456,-0.061832,-12.031501,188.420412,1460.440706,-873.105234,0
0.019792,-117.063496,179.742582,-40.071402,2.125038,6.249505,-3.993889,-2.520344,-5.781825,4.206319,2.268452,-0.197847,0.298753,-0.054364,-18.828811,188.495908,1459.221729,-871.907089,0
0.020833,-183.530549,129.836368,10.094318,3.097698,6.448321,-2.172309,-4.289014,-6.079561,2.376561,4.136322,-0.201500,0.306853,-0.046895,-21.633691,188.495618,1457.617656,-871.779095,0
0.021875,-192.048767,67.547226,68.249621,4.206078,5.571402,0.454893,-5.781562,-5.201057,-0.187619,5.530997,-0.216112,0.312275,-0.046895,-18.093661,188.420323,1456.623171,-870.623441,0
0.022917,-170.293851,16.372517,147.653031,5.687688,4.311053,2.597929,-6.374849,-3.947626,-2.374096,6.274587,-0.267254,0.319657,-0.035692,-10.527271,188.420332,1455.625578,-869.637122,0
0.023958,-114.159816,-32.893409,192.082008,6.569868,2.024674,4.340137,-5.781562,-1.723797,-4.094740,5.616386,-0.252642,0.315215,-0.046895,-0.947702,188.495705,1454.738094,-869.143757,0
0.025000,-54.781826,-100.425663,199.468372,6.694278,-0.432119,5.927571,-4.725584,0.772037,-5.790203,4.730482,-0.223418,0.309205,-0.035692,1.189888,188.495725,1454.238879,-868.396693,0
0.026042,-6.632911,-162.074516,160.677652,5.970438,-2.789503,6.276806,-2.665868,3.095111,-6.096562,2.713183,-0.150358,0.320310,-0.054364,7.523488,188.420321,1452.904756,-867.742486,0
0.027083,43.920614,-208.018194,93.720265,4.748958,-4.919670,5.649770,-0.083760,5.234398,-5.655909,0.283174,-0.132093,0.306331,-0.087972,16.808998,188.420307,1453.193702,-866.858039,0
0.028125,116.943632,-179.809283,40.883144,3.685818,-6.041558,4.185362,2.386407,6.351826,-4.191264,-2.089910,-0.051727,0.302084,-0.046895,23.730718,188.495736,1452.446220,-866.429863,0
0.029167,183.353972,-130.386305,-9.627273,2.735778,-6.272326,2.391562,4.181196,6.675292,-2.369899,-3.922201,-0.029809,0.310315,-0.065566,26.580838,188.495609,1452.054613,-866.179461,0
0.030208,191.565943,-68.230054,-68.004167,1.604778,-5.413159,-0.299138,5.711058,5.815166,0.185887,-5.388034,-0.026156,0.316129,-0.028224,22.837228,188.344856,1451.748614,-866.152348,0
0.031250,170.230699,-16.402975,-147.604546,0.100548,-4.181212,-2.462016,6.304346,4.565411,2.405938,-6.106719,0.035945,0.326059,-0.073035,13.857088,188.420309,1451.928181,-865.929305,0
0.032292,114.198747,33.491158,-192.205872,-0.759012,-1.845129,-4.148664,5.602848,2.356285,4.101401,-5.430728,0.014027,0.336380,-0.046895,5.815678,188.495676,1452.016556,-866.124664,0
0.033333,54.276317,100.383124,-199.555304,-0.883422,0.586811,-5.771815,4.636423,-0.146900,5.826242,-4.548382,-0.033462,0.289346,-0.058098,3.678088,188.495588,1452.761791,-865.542461,0
0.034375,6.082032,162.551456,-160.579925,-0.148272,2.990350,-6.085333,2.565513,-2.539814,6.182961,-2.516852,-0.073645,0.300647,-0.020755,-3.085291,188.344862,1453.037886,-865.437739,0
0.035417,-43.824970,208.313920,-93.068561,1.129758,5.120517,-5.478139,-0.020326,-4.657046,5.683555,-0.072611,-0.132093,0.285688,-0.058098,-11.703511,188.495671,1453.930700,-865.060348,0
0.036458,-116.870673,179.875472,-40.354546,2.091108,6.249505,-4.041512,-2.479299,-5.814907,4.239892,2.243547,-0.183235,0.303914,-0.046895,-18.659161,188.495618,1454.562232,-865.101363,0
