1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-119.037091,-62.346653,187.600948,6.445458,2.951297,1.633563,-4.311402,-2.808144,-1.522167,4.214594,-0.245336,0.384198,-0.050629,-6.218161,188.420273,0
0.001042,-44.562233,-119.259792,189.238258,6.490698,1.438878,3.169405,-4.169610,-1.264329,-3.024583,4.011797,-0.201500,0.391580,-0.058098,-9.758191,188.420365,0
0.002083,23.583510,-167.281386,160.542235,6.015678,-0.094842,4.022650,-3.445724,0.308893,-3.998216,3.442541,-0.186888,0.415031,-0.080503,-12.099361,188.495779,0
0.003125,77.789320,-185.704764,92.550758,4.669788,-1.976490,4.435383,-1.953176,2.058550,-4.266804,1.941130,-0.168623,0.393735,-0.031958,-11.386831,188.420296,0
0.004167,133.651135,-185.728926,18.391667,3.335208,-3.226188,4.137739,-0.475554,3.447983,-4.128313,0.560686,-0.143052,0.398047,-0.069301,-7.100341,188.420423,0
0.005208,168.654092,-138.613400,-46.792993,2.079798,-3.936243,3.090033,1.222220,4.131673,-3.129500,-1.043903,-0.139399,0.397524,-0.024490,-3.130531,188.420305,0
0.006250,193.868470,-62.515786,-99.777841,1.050588,-4.380028,1.740715,2.778201,4.605844,-1.820132,-2.620029,-0.062686,0.394127,-0.035692,3.768568,188.495678,0
0.007292,165.103889,1.150578,-157.009849,-0.057792,-3.854587,0.260433,3.617759,4.076536,-0.347093,-3.352946,-0.051727,0.407519,-0.039427,6.844888,188.495770,0
0.008333,119.495695,61.977930,-187.835607,-0.611982,-2.856959,-1.485744,4.192390,3.150247,1.449092,-4.028937,-0.040768,0.409871,-0.031958,11.334958,188.420283,0
0.009375,46.087031,119.313900,-188.992804,-0.736392,-1.380043,-2.958089,4.054329,1.606432,2.926327,-3.875949,-0.062686,0.414966,-0.039427,14.682718,188.420385,0
0.010417,-22.172137,167.963701,-160.678410,-0.170892,0.146577,-3.906580,3.319250,0.084672,3.954517,-3.271115,-0.033462,0.409283,-0.065566,16.503628,188.495781,0
0.011458,-77.818444,185.323960,-93.351705,1.141068,2.017573,-4.267721,1.834164,-1.709094,4.244089,-1.840861,-0.102869,0.397590,-0.024490,16.322668,188.495562,0
0.012500,-134.315439,186.012571,-18.626326,2.520888,3.320526,-3.989920,0.364005,-3.094852,4.059435,-0.389260,-0.124787,0.394454,-0.002084,11.199238,188.420211,0
0.013542,-168.853353,139.138664,47.186174,3.753678,4.023481,-2.910466,-1.315112,-3.774866,3.077408,1.204656,-0.190541,0.393148,-0.005818,6.799648,188.420191,0
0.014583,-194.510089,62.316195,100.060228,4.771578,4.453064,-1.612739,-2.908407,-4.285795,1.726073,2.802129,-0.201500,0.394389,-0.058098,1.563118,188.495721,0
0.015625,-165.223753,-2.207913,156.652084,5.902578,3.916972,-0.136426,-3.714383,-3.664593,0.307591,3.577740,-0.230724,0.353234,-0.020755,-1.750712,188.495723,0
0.016667,-118.538021,-62.588272,188.044129,6.434148,2.976149,1.589908,-4.274088,-2.786089,-1.488593,4.175458,-0.216112,0.386288,-0.046895,-6.161611,188.420343,0
0.017708,-44.494178,-119.114821,189.041288,6.513318,1.488582,3.090033,-4.128565,-1.312113,-2.923862,4.001123,-0.216112,0.421368,-0.024490,-9.803431,188.420224,0
0.018750,23.674250,-167.716298,160.394508,5.993058,-0.080641,4.018682,-3.453187,0.290514,-3.922675,3.417637,-0.201500,0.385570,-0.031958,-12.008881,188.495712,0
0.019792,78.186308,-184.895344,93.190909,4.748958,-1.873532,4.371886,-1.919594,1.988710,-4.296181,1.987382,-0.205153,0.398112,-0.017021,-11.126701,188.495633,0
0.020833,134.116178,-185.777250,18.724053,3.323898,-3.172933,4.090116,-0.497942,3.444307,-4.136707,0.582033,-0.143052,0.398961,-0.054364,-6.896761,188.495631,0
0.021875,168.370529,-139.036232,-46.903788,2.057178,-3.886539,3.050347,1.188637,4.102267,-3.095927,-0.976304,-0.102869,0.400856,-0.020755,-3.469831,188.420321,0
0.022917,194.015923,-63.023184,-100.147159,1.016658,-4.372927,1.740715,2.748350,4.602169,-1.828525,-2.584451,-0.066339,0.396936,-0.073035,3.734638,188.495756,0
0.023958,165.126574,1.066012,-157.268372,-0.012552,-3.790682,0.256464,3.614028,4.069185,-0.397453,-3.335157,-0.073645,0.406735,-0.054364,6.697858,188.495689,0
0.025000,119.699860,62.171224,-187.872538,-0.600672,-2.849858,-1.473838,4.170002,3.157599,1.449092,-3.986243,-0.018850,0.406147,-0.046895,11.470678,188.495640,0
0.026042,45.814811,119.664246,-188.771213,-0.668532,-1.351641,-2.969994,4.031941,1.613784,2.917934,-3.858160,-0.044421,0.407454,-0.054364,14.603548,188.420347,0
