1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,54.344372,103.850343,-197.647160,-0.849492,0.785627,-5.906746,4.490900,-0.356418,5.956340,-4.484341,-0.015197,0.325144,-0.005818,15.293458,188.507951,0
0.001042,4.675562,166.997228,-151.654735,0.021378,3.132361,-6.180579,2.490885,-2.672141,6.229125,-2.491947,-0.055380,0.317371,-0.050629,17.487598,188.273288,0
0.002083,-47.068925,208.048140,-87.110228,1.242858,5.145369,-5.434485,-0.162119,-4.726885,5.641588,-0.029917,-0.113828,0.309336,-0.024490,17.917378,188.290500,0
0.003125,-121.407674,178.921080,-35.147159,2.249448,6.306310,-3.958172,-2.632285,-5.836962,4.118188,2.403650,-0.197847,0.302084,-0.043161,10.441468,188.440713,0
0.004167,-184.993731,128.954462,15.498674,3.176868,6.380865,-2.001660,-4.359910,-6.138373,2.263250,4.221710,-0.263601,0.309793,-0.020755,4.820398,188.516867,0
0.005208,-192.570522,66.182084,76.571591,4.319178,5.532349,0.641417,-5.964399,-5.179002,-0.464600,5.680427,-0.285519,0.312471,-0.050629,4.266208,188.290278,0
0.006250,-170.123713,14.475815,152.835796,5.766858,4.176143,2.788421,-6.497985,-3.855732,-2.638487,6.331513,-0.252642,0.285949,-0.061832,0.624388,188.290840,0
0.007292,-111.278821,-35.684098,196.858523,6.649038,1.843610,4.534598,-5.781562,-1.598822,-4.304574,5.584365,-0.267254,0.303260,-0.050629,-5.483011,188.440561,0
0.008333,-52.989711,-103.542536,197.954167,6.682968,-0.638035,6.030754,-4.688270,0.948473,-5.941284,4.684230,-0.219765,0.312536,-0.046895,-10.595131,188.512016,0
0.009375,-3.978766,-166.435722,151.457008,5.846028,-2.981218,6.387926,-2.643480,3.267871,-6.230856,2.666931,-0.168623,0.309336,-0.054364,-12.540451,188.290186,0
0.010417,46.778924,-207.969870,87.023296,4.613238,-4.994226,5.673581,-0.050177,5.337319,-5.643319,0.172880,-0.124787,0.305677,-0.058098,-12.246391,188.364805,0
0.011458,120.936192,-178.758244,35.540341,3.640578,-6.204871,4.185362,2.487154,6.473126,-4.182870,-2.221551,-0.091910,0.304763,-0.050629,-5.958031,188.440405,0
0.012500,184.567620,-129.190295,-15.093182,2.645298,-6.300728,2.236788,4.192390,6.678968,-2.344719,-4.007590,-0.048074,0.317044,-0.061832,-0.122072,188.507508,0
0.013542,192.201123,-66.889073,-76.818561,1.480368,-5.427360,-0.461849,5.871507,5.771057,0.357951,-5.530348,-0.007891,0.316064,-0.046895,0.861898,188.271119,0
0.014583,170.276069,-15.327775,-152.775000,0.043998,-4.103106,-2.612822,6.397630,4.517626,2.565412,-6.234802,0.021333,0.329064,-0.043161,4.266208,188.426810,0
0.015625,112.259179,35.387860,-197.056251,-0.804252,-1.767023,-4.438370,5.725983,2.209255,4.323826,-5.494770,-0.015197,0.340953,-0.013287,10.396228,188.421546,0
0.016667,54.525852,103.838262,-197.610228,-0.792942,0.771426,-5.954369,4.584184,-0.396852,6.052864,-4.587519,-0.018850,0.331677,-0.046895,15.666688,188.490832,0
0.017708,5.208660,167.540869,-151.420834,-0.001242,3.139461,-6.291699,2.565513,-2.730953,6.359222,-2.555988,-0.121134,0.326581,-0.058098,17.306638,188.342169,0
0.018750,-46.842075,208.048140,-87.381061,1.231548,5.163120,-5.509888,-0.162119,-4.785697,5.725522,-0.054822,-0.106522,0.311165,-0.039427,18.007858,188.411225,0
0.019791,-121.929429,179.005647,-35.331818,2.204208,6.366664,-4.029606,-2.684525,-5.936207,4.189532,2.414324,-0.186888,0.303652,-0.043161,10.520638,188.414915,0
0.020833,-184.574059,129.316889,15.240152,3.165558,6.476723,-2.045314,-4.397223,-6.237618,2.309414,4.275078,-0.252642,0.312667,-0.065566,5.023978,188.490677,0
0.021875,-192.752002,66.254570,76.867046,4.353108,5.596254,0.693008,-6.076340,-5.230463,-0.422633,5.804952,-0.241683,0.313908,-0.035692,4.243588,188.415503,0
0.022916,-170.463988,14.342925,152.577273,5.800788,4.215196,2.776515,-6.572612,-3.954978,-2.642684,6.413343,-0.245336,0.337556,-0.061832,0.364258,188.351586,0
0.023958,-110.723038,-35.297509,197.757198,6.637728,1.847160,4.645718,-5.878577,-1.595146,-4.325558,5.698216,-0.238030,0.306200,-0.084238,-5.369911,188.431792,0
0.025000,-53.284616,-103.180109,197.732576,6.671658,-0.641585,6.098220,-4.703196,0.974203,-6.029415,4.737598,-0.234377,0.284773,-0.035692,-10.911811,188.499029,0
0.026041,-4.579918,-167.571327,150.976894,5.812098,-3.016721,6.495078,-2.714376,3.267871,-6.310593,2.748761,-0.186888,0.342259,-0.065566,-12.744031,188.274394,0
0.027083,46.461334,-207.824899,87.035606,4.601928,-5.019078,5.717236,-0.027789,5.374076,-5.723056,0.176438,-0.132093,0.309074,-0.054364,-12.653551,188.284155,0
0.028125,121.401235,-178.927377,35.675758,3.617958,-6.254575,4.213142,2.498348,6.550316,-4.216444,-2.274918,-0.099216,0.305416,-0.035692,-5.799691,188.429279,0
0.029166,184.125262,-129.081567,-14.822349,2.656608,-6.346882,2.220913,4.237167,6.789240,-2.319539,-4.064515,-0.040768,0.320245,-0.035692,-0.008972,188.501471,0
0.030208,192.598110,-66.719941,-76.695455,1.514298,-5.494815,-0.485661,5.931209,5.822518,0.399918,-5.622852,0.010374,0.320637,-0.043161,0.771418,188.477620,0
0.031250,170.264727,-15.351937,-152.762690,0.032688,-4.117307,-2.672351,6.416287,4.480869,2.598985,-6.277496,0.024986,0.334682,-0.061832,4.345378,188.345381,0
0.032291,111.975617,34.916705,-197.474811,-0.815562,-1.756372,-4.462182,5.774491,2.223958,4.328023,-5.509001,0.006721,0.337229,-0.061832,10.464088,188.416161,0
0.033333,54.695989,103.560401,-197.548675,-0.792942,0.750124,-5.990087,4.614035,-0.315985,6.073847,-4.573287,-0.026156,0.322466,-0.046895,15.338698,188.506952,0
0.034375,5.322085,167.552950,-151.297728,0.032688,3.143012,-6.343291,2.576707,-2.741980,6.359222,-2.588009,-0.062686,0.321943,-0.017021,17.544148,188.290061,0
0.035416,-46.558513,208.181030,-87.664205,1.197618,5.202173,-5.553542,-0.098685,-4.793049,5.729718,-0.001454,-0.143052,0.311426,-0.058098,17.962618,188.288188,0
0.036458,-121.611839,179.005647,-35.775000,2.181588,6.373765,-4.041512,-2.662136,-5.947234,4.193729,2.421439,-0.205153,0.302934,-0.061832,10.475398,188.441004,0
0.037500,-184.937019,129.135675,14.735417,3.176868,6.483823,-2.077063,-4.430806,-6.204537,2.347184,4.264404,-0.223418,0.312471,-0.017021,4.831708,188.442451,0
0.038541,-192.797372,66.472026,76.300758,4.341798,5.642408,0.657291,-6.065146,-5.252517,-0.422633,5.776489,-0.263601,0.313320,-0.028224,4.345378,188.296128,0
0.039583,-170.305193,14.959051,152.835796,5.778168,4.247148,2.816201,-6.553955,-3.936599,-2.604914,6.409786,-0.270907,0.323642,-0.046895,0.647008,188.290997,0
0.040625,-111.188081,-34.850516,197.461743,6.660348,1.857811,4.610001,-5.841264,-1.668661,-4.375918,5.694658,-0.248989,0.334812,-0.035692,-5.528251,188.442247,0
0.041666,-53.364013,-103.252594,197.867993,6.649038,-0.662887,6.098220,-4.740509,0.970528,-6.021022,4.723366,-0.256295,0.294507,-0.046895,-10.595131,188.440110,0
0.042708,-4.750056,-167.136415,151.100000,5.778168,-2.991869,6.431581,-2.721838,3.297277,-6.327380,2.730972,-0.194194,0.289215,-0.046895,-12.597001,188.365088,0
0.043750,46.166429,-208.211488,87.023296,4.579308,-5.051031,5.745016,-0.053909,5.340994,-5.710466,0.201343,-0.121134,0.311753,-0.061832,-12.246391,188.415895,0
0.044791,120.902165,-178.830730,35.749621,3.629268,-6.265226,4.213142,2.502080,6.546641,-4.203854,-2.235782,-0.088257,0.306592,-0.017021,-5.912791,188.428389,0
0.045833,184.431510,-128.815787,-14.625379,2.690538,-6.396586,2.272505,4.293137,6.818646,-2.369899,-4.068073,-0.029809,0.317305,-0.046895,-0.065522,188.498682,0
0.046875,192.462000,-66.574970,-76.609281,1.491678,-5.501916,-0.461849,5.972254,5.859275,0.383132,-5.647757,0.010374,0.323903,-0.009553,0.748798,188.277563,0
