1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,140.161730,-180.787836,22.047917,3.323898,-0.588331,4.963205,-3.777816,0.518410,-4.829161,3.748516,-0.219765,0.562209,-0.031958,-8.909941,188.571147,1084.317121,964.988490,0
0.001046,168.608722,-153.340022,-56.382955,1.819668,-2.477079,5.189414,-2.098700,2.481261,-5.181683,2.154601,-0.201500,0.557767,-0.046895,-5.347291,188.571201,1083.945578,965.335376,0
0.002084,177.523927,-77.677321,-118.711553,0.677358,-4.149260,4.721121,-0.009132,4.124321,-4.720047,0.204901,-0.124787,0.556264,-0.065566,3.474508,188.495560,1082.872332,966.072977,0
0.003125,174.461452,4.315775,-157.822349,-0.080412,-4.940972,3.689289,1.587894,5.021204,-3.687660,-1.463729,-0.084604,0.530003,-0.061832,7.376458,188.571042,1082.541567,966.054022,0
0.004167,127.605582,77.260273,-175.475758,-0.453642,-4.987126,1.633563,3.528206,5.010177,-1.736198,-3.271115,-0.044421,0.568741,-0.050629,13.404688,188.571076,1082.265600,965.204905,0
0.005209,47.470816,129.208160,-192.304357,-0.781632,-4.454584,-0.315012,4.681200,4.583790,0.244641,-4.466552,-0.018850,0.529415,-0.009553,14.286868,188.571078,1081.233595,965.559508,0
0.006250,-21.741122,171.672538,-157.231440,-0.136962,-3.169383,-2.096906,5.017023,3.256844,1.965285,-4.793874,-0.033462,0.562862,-0.031958,16.164328,188.495743,1080.257898,965.360420,0
0.007292,-92.677120,182.303734,-105.896212,0.869628,-1.195428,-3.870863,4.729707,1.279291,3.883173,-4.591077,-0.037115,0.561882,-0.035692,16.514938,188.646489,1080.214421,965.406810,0
0.008334,-140.587842,181.071481,-21.519318,2.453028,0.725272,-4.847135,3.643879,-0.587991,4.819036,-3.534396,-0.048074,0.560771,-0.009553,13.551718,188.571071,1080.509167,964.858216,0
0.009375,-169.012148,153.853205,56.332955,3.934638,2.574967,-5.045564,2.039390,-2.492029,5.137985,-2.022311,-0.069992,0.563646,-0.039427,8.711038,188.571064,1080.497979,964.114541,0
0.010417,-178.415081,77.562296,118.993940,5.065638,4.279101,-4.581239,-0.038983,-4.157144,4.676348,-0.037033,-0.110175,0.557571,-0.043161,1.789318,188.495785,1081.166413,964.141068,0
0.011459,-174.660713,-3.935483,157.981629,5.868648,5.049511,-3.585125,-1.710637,-4.995215,3.648159,1.638713,-0.172276,0.547249,-0.017021,-2.531101,188.571127,1081.333323,963.851147,0
0.012500,-127.453226,-76.590039,175.733523,6.207948,5.081464,-1.505587,-3.650949,-5.046675,1.738663,3.396289,-0.205153,0.540390,-0.017021,-8.514091,188.571131,1082.118635,963.767322,0
0.013542,-47.363830,-128.864111,192.155872,6.524628,4.570223,0.423145,-4.777823,-4.535746,-0.313519,4.634420,-0.230724,0.508577,-0.035692,-9.192691,188.571027,1081.804594,963.144655,0
0.014584,22.018245,-171.461378,157.144508,5.868648,3.288573,2.260599,-5.173348,-3.319073,-1.992197,4.965300,-0.238030,0.558616,-0.035692,-11.545171,188.495734,1081.968304,962.429996,0
0.015625,92.636653,-181.838875,105.957008,4.941228,1.296867,4.054399,-4.830062,-1.404007,-3.905888,4.748271,-0.205153,0.567827,-0.024490,-11.386831,188.571044,1081.303818,963.040510,0
0.016667,140.150388,-181.077778,21.752462,3.323898,-0.552828,4.923519,-3.736771,0.525762,-4.766210,3.716496,-0.205153,0.561359,-0.039427,-7.892041,188.571236,1080.632477,962.425935,0
0.017709,168.449927,-153.400427,-55.792046,1.830978,-2.423825,5.161634,-2.124819,2.451855,-5.185880,2.222200,-0.161317,0.563515,-0.069301,-5.188951,188.571147,1080.214329,963.131507,0
0.018750,177.818832,-77.810211,-118.539205,0.677358,-4.138609,4.717152,-0.031521,4.142700,-4.707457,0.197785,-0.143052,0.556591,-0.031958,3.169138,188.495673,1080.532752,962.934170,0
0.019792,174.257287,4.013752,-157.945455,-0.069102,-4.923221,3.721038,1.584163,4.999150,-3.733824,-1.481518,-0.091910,0.561882,-0.035692,7.285978,188.571046,1080.518616,963.205566,0
0.020834,127.934515,76.934089,-175.561932,-0.419712,-5.001327,1.704997,3.513281,5.046934,-1.807542,-3.189285,-0.102869,0.557440,-0.039427,13.676128,188.571055,1079.675016,964.378058,0
0.021875,47.618269,129.280646,-192.132008,-0.781632,-4.468785,-0.247546,4.640155,4.587466,0.190084,-4.477225,-0.048074,0.562993,-0.035692,14.592238,188.571140,1079.353858,964.901112,0
0.022917,-22.036027,171.418839,-157.256061,-0.103032,-3.194235,-2.077063,5.031948,3.300953,1.935908,-4.779642,-0.018850,0.557701,-0.009553,15.904198,188.495718,1078.761850,965.450610,0
0.023959,-92.858600,182.557433,-105.637690,0.880938,-1.202529,-3.847051,4.696125,1.308697,3.828616,-4.541267,-0.029809,0.561817,-0.054364,16.831618,188.571118,1077.614235,965.395275,0
0.025000,-140.292937,180.866106,-21.420833,2.453028,0.679119,-4.799512,3.692387,-0.540206,4.735102,-3.552185,-0.040768,0.561425,-0.043161,13.891018,188.646418,1076.183835,965.496616,0
0.026042,-169.261683,153.684072,56.099053,3.923328,2.489760,-5.033658,2.099092,-2.433217,5.129591,-2.097026,-0.066339,0.559726,-0.054364,9.321778,188.571122,1075.253080,966.497829,0
0.027084,-177.609763,78.468364,119.387879,5.110878,4.236497,-4.553459,0.028181,-4.076277,4.672152,-0.133095,-0.128440,0.558812,-0.043161,2.015518,188.495600,1073.669370,967.118602,0
0.028125,-174.649371,-3.295195,158.240152,5.891268,4.982056,-3.604968,-1.602427,-4.991539,3.715306,1.521304,-0.150358,0.564430,-0.013287,-2.632891,188.646446,1072.610110,968.540651,0
0.029167,-128.281229,-76.722929,174.699432,6.207948,5.085014,-1.596864,-3.516620,-5.009918,1.822597,3.293112,-0.179582,0.554958,-0.024490,-7.892041,188.571015,1070.795806,969.098480,0
0.030209,-47.704105,-129.069486,192.131251,6.569868,4.591525,0.319962,-4.703196,-4.546773,-0.208602,4.591726,-0.208806,0.522883,-0.043161,-9.351031,188.571172,1069.563454,970.014681,0
0.031250,22.108985,-170.869414,156.799811,5.925198,3.366679,2.113761,-5.132303,-3.414642,-1.883082,4.915490,-0.227071,0.557767,-0.043161,-11.443381,188.495568,1067.586813,971.131802,0
0.032292,92.613968,-182.491244,105.575379,4.929918,1.431778,3.959153,-4.803943,-1.411359,-3.834545,4.723366,-0.219765,0.569198,-0.035692,-11.669581,188.646489,1066.584303,971.149746,0
0.033334,140.297840,-180.437490,21.407765,3.346518,-0.478272,4.856053,-3.815130,0.422841,-4.724244,3.773421,-0.190541,0.563842,-0.020755,-8.921251,188.571098,1065.025163,972.442877,0
0.034375,168.824229,-153.315861,-55.792046,1.864908,-2.327967,5.173540,-2.203178,2.356285,-5.148109,2.275568,-0.190541,0.559334,-0.024490,-5.358601,188.571111,1063.510504,973.179035,0
0.035417,176.809350,-78.353851,-119.228599,0.654738,-4.056953,4.733027,-0.113611,4.003021,-4.724244,0.279616,-0.121134,0.558550,-0.039427,3.361408,188.495788,1061.289437,973.925329,0
0.036459,174.302657,3.494273,-158.080872,-0.069102,-4.891268,3.788504,1.479684,4.918283,-3.771594,-1.321415,-0.117481,0.561947,-0.061832,7.353838,188.721978,1058.971909,974.832921,0
0.037500,128.240762,77.006574,-174.847917,-0.419712,-4.965824,1.764526,3.464773,5.021204,-1.899869,-3.157264,-0.059033,0.560641,-0.031958,13.483858,188.571098,1057.950637,975.536651,0
0.038542,47.935859,129.473940,-191.947349,-0.747702,-4.507838,-0.207860,4.602841,4.550708,0.143920,-4.455878,0.003068,0.570113,-0.076769,14.298178,188.571152,1057.237636,975.455814,0
0.039584,-21.843204,171.346354,-156.911364,-0.091722,-3.208436,-1.965943,4.979709,3.411226,1.839384,-4.704928,-0.026156,0.510863,-0.035692,16.096468,188.495756,1055.272317,976.584964,0
0.040625,-93.062765,182.497028,-105.428409,0.903558,-1.255783,-3.811334,4.696125,1.338103,3.803436,-4.551940,-0.029809,0.561947,-0.065566,16.537558,188.721967,1054.782210,977.072962,0
0.041667,-140.587842,180.539922,-20.903788,2.486958,0.604563,-4.736014,3.677461,-0.499773,4.680545,-3.577090,-0.059033,0.561229,-0.031958,13.608268,188.495714,1053.645485,977.589847,0
0.042709,-169.091546,153.430373,56.591477,3.957258,2.447157,-5.057470,2.140137,-2.374405,5.091821,-2.114815,-0.080951,0.560575,-0.050629,8.677108,188.571198,1052.439227,977.770873,0
0.043750,-177.530366,78.299231,119.671023,5.122188,4.165492,-4.609020,0.061764,-4.021141,4.697332,-0.172231,-0.132093,0.557701,-0.061832,1.879798,188.495586,1051.569146,978.450514,0
0.044792,-174.592658,-3.126062,158.277084,5.868648,4.971405,-3.636717,-1.580039,-4.958457,3.732092,1.475052,-0.161317,0.565736,0.001650,-2.531101,188.722038,1050.784447,978.718362,0
0.045833,-128.394654,-76.336340,175.130304,6.219258,5.060162,-1.604802,-3.483038,-5.002566,1.851974,3.268207,-0.212459,0.562143,-0.039427,-8.593261,188.571085,1050.478711,979.002740,0
0.046875,-48.293915,-129.141972,191.737311,6.558558,4.605726,0.319962,-4.636031,-4.605585,-0.166635,4.595284,-0.216112,0.579258,-0.058098,-9.215311,188.571044,1050.433210,979.909983,0
0.047917,21.916163,-171.159356,156.762879,5.902578,3.387981,2.054233,-5.094990,-3.410967,-1.849509,4.904816,-0.234377,0.585007,-0.035692,-11.466001,188.495667,1050.032543,979.991334,0
0.048958,92.942901,-182.020089,105.341478,4.918608,1.431778,3.927404,-4.830062,-1.429737,-3.775791,4.726924,-0.234377,0.563972,-0.013287,-11.454691,188.721799,1049.043848,980.250932,0
0.050000,140.309183,-180.473733,20.989205,3.335208,-0.442769,4.879864,-3.826324,0.433868,-4.707457,3.798326,-0.223418,0.562405,-0.028224,-7.948591,188.571127,1048.910565,980.483212,0
0.051042,168.608722,-152.880948,-56.198296,1.842288,-2.274713,5.165602,-2.255417,2.268067,-5.164896,2.332493,-0.201500,0.562274,-0.039427,-5.109781,188.571064,1047.681044,981.630383,0
0.052084,176.729952,-78.184719,-119.462500,0.677358,-4.032101,4.788587,-0.191969,3.973615,-4.736834,0.354330,-0.088257,0.561947,-0.005818,3.078658,188.495705,1046.791350,982.523345,0
0.053125,174.087149,3.264736,-158.216288,-0.103032,-4.852215,3.824221,1.397594,4.855795,-3.834545,-1.296510,-0.106522,0.566324,-0.024490,7.263358,188.721989,1045.912656,983.054932,0
0.054167,128.762517,76.801199,-174.490910,-0.397092,-4.972924,1.796275,3.352832,5.021204,-1.916656,-3.093223,-0.059033,0.569198,-0.061832,13.743988,188.571017,1045.204244,983.188842,0
0.055208,48.366874,129.594749,-191.651895,-0.759012,-4.511388,-0.084834,4.565527,4.550708,0.047396,-4.388279,-0.040768,0.573510,-0.024490,14.592238,188.571015,1043.669062,983.757401,0
0.056250,-21.684409,171.044331,-156.800569,-0.091722,-3.265241,-1.890540,4.961052,3.403874,1.763844,-4.708485,-0.018850,0.550777,-0.050629,15.779788,188.495788,1042.845250,983.933278,0
0.057292,-92.824572,182.762808,-105.120644,0.892248,-1.344540,-3.720057,4.718513,1.455727,3.719502,-4.544825,-0.029809,0.556591,-0.061832,16.820308,188.721998,1041.154394,985.106823,0
0.058333,-140.258909,180.310384,-20.916099,2.486958,0.483853,-4.688391,3.759551,-0.367446,4.651168,-3.648247,-0.051727,0.558093,-0.054364,14.004118,188.571248,1039.687939,986.662653,0
0.059375,-169.556588,153.019622,56.283712,3.934638,2.337098,-5.005878,2.207301,-2.289863,5.117001,-2.203761,-0.069992,0.560249,-0.024490,9.265228,188.571123,1038.682616,988.233752,0
0.060417,-176.294033,78.830791,120.261932,5.144808,4.066084,-4.668548,0.237138,-3.907193,4.714119,-0.286082,-0.146705,0.558616,-0.054364,2.094688,188.495629,1036.473251,989.236063,0
0.061458,-174.399836,-2.848201,158.363258,5.834718,4.918151,-3.747837,-1.423322,-4.877591,3.811830,1.364759,-0.183235,0.564495,-0.058098,-2.655511,188.721862,1034.547931,990.361662,0
0.062500,-129.336081,-76.565877,173.677652,6.140088,5.042410,-1.747671,-3.337514,-5.002566,1.994662,3.147240,-0.186888,0.556852,-0.035692,-8.027761,188.495644,1032.490594,991.859247,0
0.063542,-48.849698,-129.419832,191.577273,6.547248,4.641229,0.181061,-4.565135,-4.646019,-0.028144,4.474317,-0.208806,0.563319,-0.009553,-9.373651,188.571176,1030.205291,993.131576,0
0.064584,21.235613,-170.458663,156.504357,5.891268,3.480288,1.891521,-5.009168,-3.480806,-1.723608,4.840775,-0.248989,0.555872,-0.065566,-11.318971,188.495816,1028.122402,993.706690,0
0.065625,92.772763,-182.599972,104.873675,4.941228,1.577339,3.840095,-4.852451,-1.580443,-3.654087,4.762503,-0.208806,0.559465,-0.054364,-11.669581,188.721896,1026.077659,995.776933,0
0.066667,140.116360,-179.724717,21.001515,3.346518,-0.265255,4.784618,-3.878563,0.198620,-4.581556,3.816115,-0.201500,0.558616,-0.024490,-9.000421,188.571096,1022.381953,997.026689,0
0.067709,169.175847,-152.578925,-56.075190,1.864908,-2.157554,5.161634,-2.408403,2.157795,-5.072569,2.446344,-0.183235,0.559922,-0.024490,-5.279431,188.571118,1020.021502,998.082024,0
0.068750,175.289454,-78.825007,-120.151894,0.643428,-3.868788,4.796524,-0.322567,3.867019,-4.741030,0.510876,-0.135746,0.554958,-0.020755,3.270928,188.495687,1017.512802,999.331439,0
0.069792,173.939697,3.300979,-158.130114,-0.103032,-4.759908,3.903593,1.308041,4.796983,-3.868118,-1.154197,-0.117481,0.551887,-0.046895,7.319908,188.721933,1015.398334,1000.240848,0
0.070833,129.046080,77.211950,-173.506061,-0.329232,-4.919670,1.911364,3.207309,4.969744,-2.046754,-2.997161,-0.044421,0.563972,-0.024490,13.551718,188.570966,1013.172643,1001.275699,0
0.071875,49.104136,129.715558,-191.184091,-0.781632,-4.511388,-0.025305,4.490900,4.569087,-0.028144,-4.274428,-0.044421,0.565736,-0.035692,14.320798,188.571114,1011.385933,1001.659921,0
0.072917,-20.992517,170.838956,-156.492804,-0.114342,-3.300743,-1.727828,4.890156,3.488416,1.616959,-4.680023,-0.022503,0.527064,-0.017021,15.949438,188.571080,1009.447636,1002.906553,0
0.073959,-92.937997,182.497028,-105.046781,0.869628,-1.387143,-3.656559,4.688662,1.532917,3.597798,-4.562614,-0.040768,0.563254,-0.028224,16.548868,188.721936,1007.590715,1003.894924,0
0.075000,-140.349649,179.935876,-20.842235,2.453028,0.402197,-4.565365,3.718506,-0.279227,4.558841,-3.644689,-0.048074,0.555741,-0.031958,13.789228,188.571091,1005.644255,1004.103092,0
0.076042,-169.261683,152.778004,56.591477,3.968568,2.280294,-4.986035,2.267003,-2.168563,5.028871,-2.246456,-0.051727,0.558746,-0.031958,8.654488,188.495725,1003.249254,1004.279440,0
0.077084,-175.999128,78.709982,120.545076,5.133498,3.966676,-4.652674,0.274452,-3.899841,4.709922,-0.325218,-0.124787,0.561229,-0.046895,1.925038,188.495729,1002.748412,1004.633500,0
0.078125,-174.207013,-3.138143,158.301705,5.879958,4.857796,-3.727994,-1.378545,-4.844509,3.799240,1.304276,-0.197847,0.562013,-0.061832,-2.565031,188.646598,1001.655047,1004.693655,0
0.079167,-129.143259,-76.710848,173.739205,6.162708,5.010458,-1.799262,-3.277812,-4.987863,1.990465,3.093872,-0.179582,0.565410,-0.050629,-8.751601,188.571102,1000.867275,1004.662900,0
0.080209,-49.496220,-129.504399,191.121781,6.547248,4.623478,0.117564,-4.553941,-4.638667,0.026413,4.406718,-0.216112,0.573183,-0.050629,-9.260551,188.571236,999.677201,1004.722419,0
0.081250,20.804598,-170.651958,156.319697,5.868648,3.441235,1.835961,-4.997974,-3.513888,-1.690035,4.808755,-0.227071,0.563319,-0.050629,-11.307661,188.570998,999.029270,1004.985454,0
0.082292,92.852161,-182.152978,104.947538,4.895988,1.545386,3.744849,-4.811405,-1.587795,-3.616317,4.716251,-0.248989,0.558354,-0.009553,-11.466001,188.718782,998.175633,1004.511377,0
