1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-99.527990,-105.004325,179.180493,6.298428,5.408089,-0.259452,-5.076333,-5.451008,0.492246,4.801639,-0.241683,0.576253,-0.031958,-17.166241,188.344825,0
0.001039,-16.353434,-148.108991,184.461743,6.445458,4.222296,1.883584,-5.815144,-4.193901,-1.732002,5.580807,-0.256295,0.585987,-0.065566,-20.457451,188.420235,0
0.002077,58.132767,-170.023751,148.477841,5.721618,2.294495,3.760724,-5.520366,-2.370729,-3.540776,5.338874,-0.252642,0.584615,-0.005818,-16.442401,188.495736,0
0.003115,112.463344,-194.306368,64.851894,4.138218,-0.077091,5.387843,-4.677076,0.007481,-5.278207,4.588168,-0.267254,0.581218,-0.031958,-8.932561,188.420330,0
0.004157,155.088461,-167.957916,-8.457765,2.758398,-2.033294,5.796607,-3.083781,1.974007,-5.731450,3.140124,-0.212459,0.574098,-0.005818,1.732768,188.344976,0
0.005199,180.960705,-117.495980,-77.864962,1.446438,-4.174112,5.558492,-0.774063,4.087564,-5.475452,0.845313,-0.161317,0.565736,-0.028224,8.326498,188.420296,0
0.006240,184.306742,-35.708260,-130.542046,0.439848,-5.253396,4.415540,1.218488,5.289534,-4.518606,-1.107945,-0.106522,0.565214,-0.031958,18.109648,188.495718,0
0.007282,155.201886,36.124795,-172.459660,-0.340542,-5.817891,2.752703,3.311787,5.818842,-2.848322,-3.082550,-0.033462,0.588404,-0.058098,20.518678,188.495774,0
0.008324,99.714374,104.551035,-179.489016,-0.476262,-5.317301,0.391396,4.912545,5.407158,-0.573714,-4.669349,-0.055380,0.566259,-0.039427,21.717538,188.269509,0
0.009365,16.120145,147.885238,-184.413258,-0.600672,-4.110207,-1.787356,5.673744,4.172106,1.684106,-5.416497,-0.000585,0.565214,-0.054364,25.280188,188.420330,0
0.010407,-58.502166,170.319477,-148.786364,0.066618,-2.182406,-3.644654,5.382697,2.308501,3.539045,-5.249278,-0.011544,0.581414,-0.043161,23.911678,188.495644,0
0.011448,-112.719318,194.348395,-64.544887,1.661328,0.199831,-5.295585,4.569259,-0.106467,5.289065,-4.477225,-0.026156,0.581022,-0.065566,13.110628,188.420339,0
0.012490,-155.843505,167.987862,8.407765,3.041148,2.116981,-5.644820,2.983426,-2.054615,5.733915,-2.979372,-0.066339,0.577299,-0.031958,3.825118,188.269411,0
0.013532,-181.466214,118.347428,77.864205,4.364418,4.236497,-5.402736,0.662514,-4.153468,5.473720,-0.727255,-0.110175,0.566912,-0.024490,-4.114501,188.420321,0
0.014573,-184.506004,37.091267,130.812122,5.348388,5.376137,-4.323282,-1.378545,-5.315005,4.483300,1.204656,-0.146705,0.571746,-0.031958,-12.823201,188.495721,0
0.015615,-156.059013,-35.007568,172.458902,6.128778,5.898028,-2.596948,-3.464381,-5.914152,2.792033,3.250418,-0.175929,0.604539,-0.046895,-15.277471,188.495647,0
0.016657,-100.253910,-104.231148,179.328220,6.287118,5.418740,-0.283263,-5.016631,-5.403223,0.521622,4.766060,-0.238030,0.555154,-0.028224,-17.573401,188.269527,0
0.017699,-15.843021,-147.589512,184.498675,6.388908,4.200995,1.899458,-5.796487,-4.157144,-1.694231,5.580807,-0.245336,0.547380,-0.028224,-20.366971,188.422762,0
