1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,71.378730,68.248845,-196.475365,-3.547671,2.317434,-6.350622,3.591878,-1.691525,6.314543,-3.531164,-0.014286,0.202311,-0.097156,4.903840,188.495179,1017.439455,-1315.673211,0
0.001042,26.744025,144.497451,-164.953929,-2.950928,4.298950,-6.097190,1.370120,-3.646478,6.208856,-1.434276,-0.068979,0.203482,-0.056273,120.616900,188.570664,1016.497171,-1315.915423,0
0.002083,-17.755081,194.202334,-99.942485,-1.667368,5.840128,-4.733487,-1.233918,-4.970333,4.843378,1.268210,-0.123671,0.195490,-0.048839,217.967633,188.721543,1016.305895,-1316.129884,0
0.003125,-92.865685,183.831490,-53.292217,-0.766624,6.592370,-2.891080,-3.637353,-5.848067,3.152384,3.664112,-0.171072,0.182812,-0.089723,275.700322,188.570680,1016.093234,-1316.067599,0
0.004167,-165.027008,136.381649,-9.886446,0.010268,6.188728,-0.682606,-5.170253,-5.409200,0.916043,5.272735,-0.229410,0.195421,-0.086006,303.587192,188.570644,1016.719139,-1315.307850,0
0.005208,-198.644286,82.436818,45.051262,1.091161,4.588838,2.016641,-6.014294,-4.001924,-1.768410,6.215198,-0.236703,0.196799,-0.089723,275.114889,188.570696,1016.766905,-1315.188262,0
0.006250,-172.202461,34.904762,129.444622,2.746278,2.827491,4.112479,-6.184616,-2.246456,-3.877926,6.377953,-0.229410,0.201966,-0.074856,204.086119,188.721485,1016.811914,-1314.265280,0
0.007292,-124.923573,-6.308479,187.019242,3.894726,0.468020,5.246887,-4.875028,-0.124661,-5.070077,5.261380,-0.200241,0.209545,-0.067423,112.769848,188.570689,1016.399984,-1313.862684,0
0.008333,-70.480533,-68.803677,196.339574,4.086135,-2.284085,6.417499,-3.334558,2.599216,-6.207271,3.546777,-0.145548,0.179574,-0.059989,-5.532627,188.495379,1015.718184,-1313.564497,0
0.009375,-25.823228,-145.111008,164.745228,3.444354,-4.225236,6.115795,-1.131724,4.561423,-6.135404,1.483955,-0.105440,0.169790,-0.097156,-121.088071,188.646029,1015.888145,-1313.649639,0
0.010417,18.754978,-194.604480,99.478599,2.250869,-5.726050,4.816456,1.498807,5.903413,-4.744561,-1.233672,-0.079917,0.192803,-0.022822,-218.528871,188.721456,1016.115121,-1313.876415,0
0.011458,93.345785,-183.528936,53.229337,1.395162,-6.522326,2.974049,3.815189,6.763012,-3.049339,-3.595509,0.007591,0.186877,-0.086006,-275.541027,188.570696,1016.006652,-1313.072300,0
0.012500,165.846106,-135.891175,9.908627,0.494418,-6.115014,0.769597,5.367014,6.298756,-0.821454,-5.196561,0.007591,0.197419,-0.074856,-306.332544,188.495403,1016.783064,-1312.162601,0
0.013542,198.276891,-81.958089,-45.101991,-0.541438,-4.518793,-1.925627,6.199700,4.884226,1.799588,-6.123885,0.040407,0.200037,-0.082290,-274.662877,188.646159,1017.279799,-1311.364285,0
0.014583,171.981965,-35.013283,-130.236602,-2.162777,-2.775794,-3.993306,6.396517,3.128758,3.955606,-6.305565,0.022176,0.213748,-0.071140,-204.365898,188.721520,1017.637086,-1311.166046,0
0.015625,124.838676,6.904658,-186.802634,-3.243670,-0.390637,-5.167941,5.113423,0.970693,5.164667,-5.181421,0.022176,0.209545,-0.071140,-112.239028,188.570649,1017.485601,-1311.603998,0
0.016667,70.587735,69.810932,-196.268786,-3.525153,2.332112,-6.374758,3.603233,-1.742303,6.301861,-3.576584,-0.003348,0.213197,-0.086006,6.333647,188.495200,1018.298108,-1311.526636,0
0.017708,26.009530,144.920271,-164.322042,-2.905891,4.346653,-6.069031,1.404184,-3.646478,6.213084,-1.426706,-0.079917,0.202586,-0.086006,121.337433,188.646062,1018.553323,-1311.173430,0
0.018750,-18.941573,195.141934,-99.565783,-1.734924,5.869484,-4.745555,-1.298262,-4.995722,4.830696,1.328770,-0.127317,0.195903,-0.063706,219.678899,188.646038,1018.744066,-1311.779839,0
0.019792,-93.747079,182.739204,-53.656767,-0.789143,6.643743,-2.899126,-3.625998,-5.895218,3.110109,3.679252,-0.171072,0.189909,-0.067423,275.790389,188.570560,1018.588049,-1312.155672,0
0.020833,-167.343493,135.618223,-9.935053,0.055305,6.177720,-0.646401,-5.211887,-5.420081,0.856859,5.359789,-0.211179,0.195283,-0.089723,304.881899,188.495235,1018.948871,-1313.541570,0
0.021875,-197.819391,82.507288,46.096306,1.181235,4.596177,2.052845,-6.010509,-3.998297,-1.827595,6.226553,-0.251287,0.199899,-0.056273,274.247998,188.646103,1018.741913,-1313.904244,0
0.022917,-172.202461,35.374562,131.595468,2.836352,2.816483,4.096388,-6.237606,-2.231948,-3.886381,6.404448,-0.240349,0.202449,-0.052556,204.491419,188.646094,1019.510152,-1314.549066,0
0.023958,-124.855773,-6.790024,186.764057,3.872208,0.457012,5.230796,-4.848533,-0.092018,-5.040485,5.189465,-0.229410,0.212301,-0.074856,111.891699,188.570533,1018.495376,-1313.976489,0
0.025000,-70.876030,-70.447979,196.570456,4.097394,-2.313440,6.433590,-3.376193,2.613724,-6.249546,3.588412,-0.200241,0.199004,-0.089723,-6.939918,188.495237,1019.758557,-1314.642368,0
0.026042,-26.060526,-145.369398,163.821701,3.466873,-4.291286,6.131886,-1.097660,4.557796,-6.084674,1.419610,-0.130964,0.200864,-0.071140,-121.594696,188.645928,1018.615636,-1314.300165,0
0.027083,19.489473,-196.002137,99.259869,2.205831,-5.792101,4.776229,1.563151,5.932429,-4.727651,-1.279092,-0.083563,0.196661,-0.086006,-220.454044,188.570580,1018.862126,-1315.061380,0
0.028125,94.261079,-182.213495,53.363005,1.361384,-6.529665,2.909685,3.871964,6.781147,-3.019746,-3.625789,0.000299,0.188944,-0.074856,-275.146985,188.570638,1018.611439,-1315.167605,0
0.029167,167.823592,-135.421375,9.507622,0.449381,-6.074650,0.713279,5.393509,6.327772,-0.749586,-5.291186,0.000299,0.196179,-0.093440,-307.447119,188.495215,1019.071727,-1316.785445,0
0.030208,197.350297,-81.746678,-46.134883,-0.597734,-4.456412,-2.014127,6.248904,4.837075,1.867228,-6.123885,0.007591,0.199761,-0.041406,-272.692670,188.646076,1018.279877,-1316.910113,0
0.031250,172.117564,-34.672678,-131.512528,-2.252852,-2.728091,-4.065715,6.423012,3.132385,3.976744,-6.347200,0.047699,0.207409,-0.071140,-203.240066,188.570738,1019.207986,-1317.491531,0
0.032292,124.330180,7.397948,-186.681117,-3.333744,-0.357611,-5.171964,5.060434,0.945304,5.168895,-5.086797,0.011237,0.217607,-0.104590,-110.178755,188.570765,1018.112737,-1317.001193,0
0.033333,70.101838,70.856238,-196.536123,-3.558930,2.405502,-6.406940,3.572953,-1.738676,6.314543,-3.466819,0.011237,0.183639,-0.059989,8.720412,188.495370,1017.491639,-1316.973948,0
0.034375,25.659232,145.296112,-163.337756,-2.894632,4.405364,-6.036849,1.267926,-3.621089,6.149672,-1.343437,-0.058040,0.183019,-0.071140,122.519557,188.570671,1016.266550,-1316.219287,0
0.035417,-19.563069,196.022810,-98.265554,-1.644849,5.909848,-4.665101,-1.343681,-5.042873,4.792648,1.381760,-0.160133,0.192458,-0.067423,221.210031,188.570798,1016.169829,-1316.656407,0
0.036458,-94.413775,181.999268,-52.295780,-0.777883,6.566684,-2.794535,-3.656278,-5.848067,3.004422,3.754952,-0.185656,0.184672,-0.056273,275.542705,188.570638,1014.828169,-1316.499567,0
0.037500,-168.010188,134.655132,-9.011526,0.077824,6.144695,-0.578015,-5.200533,-5.412827,0.776536,5.359789,-0.214826,0.193698,-0.093440,304.454083,188.495289,1014.519490,-1316.426625,0
0.038542,-197.389994,80.921711,46.959074,1.147457,4.515449,2.076982,-5.987800,-3.962027,-1.810685,6.226553,-0.233057,0.197350,-0.100873,272.367858,188.570727,1014.614707,-1315.456460,0
0.039583,-171.829563,33.730261,132.336720,2.802574,2.790796,4.132593,-6.161907,-2.177543,-3.890609,6.404448,-0.236703,0.190115,-0.082290,202.633795,188.646002,1014.646749,-1315.084409,0
0.040625,-123.635382,-7.811840,187.116456,3.894726,0.427656,5.226773,-4.787974,-0.066629,-5.108125,5.147830,-0.229410,0.211130,-0.059989,109.898975,188.570714,1014.539365,-1315.228756,0
0.041667,-69.169741,-71.305365,196.691973,4.097394,-2.372152,6.530136,-3.315634,2.689891,-6.241091,3.546777,-0.200241,0.173648,-0.056273,-9.202841,188.495218,1014.175440,-1315.270063,0
0.042708,-24.749735,-145.897924,163.238421,3.466873,-4.302295,6.059477,-1.025746,4.575931,-6.012807,1.400685,-0.101794,0.195627,-0.082290,-123.058278,188.646018,1013.811372,-1314.547905,0
0.043750,20.291767,-196.507172,97.996095,2.194572,-5.792101,4.748069,1.589646,5.950564,-4.706513,-1.305587,-0.083563,0.204998,-0.048839,-221.782527,188.570635,1013.967589,-1314.399547,0
0.044792,95.018174,-181.943360,52.062776,1.316347,-6.500309,2.893594,3.853039,6.752131,-3.023974,-3.656068,-0.032517,0.188875,-0.078573,-275.732418,188.570758,1014.228977,-1313.920694,0
0.045833,168.716287,-134.188149,8.851432,0.483158,-6.059972,0.701211,5.378369,6.316891,-0.732676,-5.260906,0.007591,0.196592,-0.059989,-307.593477,188.495229,1014.449187,-1313.113112,0
0.046875,197.124299,-80.525197,-46.900438,-0.597734,-4.467421,-2.014127,6.192130,4.818940,1.875683,-6.131455,0.047699,0.198935,-0.048839,-271.769488,188.646127,1014.597584,-1312.668889,0
0.047917,171.597768,-33.639117,-132.824909,-2.241592,-2.735430,-4.001352,6.381377,3.067099,3.993653,-6.354770,0.076868,0.201277,-0.074856,-202.542050,188.495249,1014.596935,-1312.704391,0
0.048958,123.347086,8.501979,-186.899848,-3.288707,-0.317247,-5.143805,5.068004,0.894526,5.168895,-5.098152,0.018530,0.207203,-0.030256,-109.041664,188.570575,1014.699538,-1312.554395,0
0.050000,69.096145,72.218659,-196.536123,-3.480115,2.376146,-6.374758,3.550244,-1.774946,6.348363,-3.531164,-0.050748,0.217400,-0.048839,10.127702,188.495273,1016.074300,-1312.769989,0
0.051042,24.800438,145.801147,-162.912448,-2.894632,4.346653,-6.004667,1.267926,-3.671867,6.145444,-1.339652,-0.072625,0.209476,-0.059989,123.386448,188.721364,1016.303933,-1312.958110,0
0.052083,-20.681762,196.762746,-98.010369,-1.656109,5.939204,-4.697283,-1.377745,-5.042873,4.792648,1.377975,-0.098148,0.197901,-0.089723,222.572288,188.495135,1016.968727,-1312.822413,0
0.053125,-95.295169,181.271077,-52.368690,-0.766624,6.592370,-2.814649,-3.637353,-5.848067,3.021332,3.732242,-0.182010,0.192182,-0.071140,276.083105,188.570099,1017.428948,-1312.314201,0
0.054167,-169.727777,134.220567,-8.732037,0.100342,6.188728,-0.586060,-5.211887,-5.401946,0.827266,5.352219,-0.200241,0.199141,-0.089723,305.681240,188.487465,1018.489828,-1311.873009,0
0.055208,-196.678099,81.121376,47.761085,1.147457,4.478754,2.125254,-5.987800,-3.936638,-1.861415,6.203843,-0.262226,0.202449,-0.086006,271.895008,188.646130,1017.874784,-1311.881536,0
0.056250,-171.829563,34.117846,134.123015,2.903908,2.787127,4.116502,-6.184616,-2.235575,-3.882154,6.415803,-0.214826,0.209270,-0.071140,203.005320,188.495658,1019.211592,-1311.973582,0
0.057292,-123.793580,-8.340365,186.849119,3.849689,0.394631,5.234819,-4.750125,-0.044867,-5.040485,5.109980,-0.203887,0.216435,-0.056273,109.268509,188.571038,1018.596561,-1311.143239,0
0.058333,-69.621738,-72.820471,196.606911,4.086135,-2.357474,6.481863,-3.326988,2.671756,-6.291821,3.497572,-0.203887,0.187911,-0.093440,-10.249865,188.495781,1018.939503,-1311.524825,0
0.059375,-25.043533,-146.226784,162.557927,3.421836,-4.283947,6.071545,-1.029531,4.561423,-6.025489,1.328770,-0.101794,0.205273,-0.089723,-123.519869,188.646491,1018.328251,-1311.631224,0
0.060417,21.240961,-197.329323,98.178370,2.183313,-5.839804,4.711865,1.642635,5.957818,-4.693831,-1.351007,-0.079917,0.195214,-0.067423,-223.032201,188.495660,1018.428813,-1312.163345,0
0.061458,95.820468,-180.945034,52.281506,1.327606,-6.492970,2.845322,3.864394,6.726742,-2.947879,-3.656068,0.011237,0.190736,-0.082290,-275.766193,188.571009,1017.511713,-1311.795352,0
0.062500,170.004478,-134.176404,8.426123,0.494418,-6.070981,0.665006,5.401078,6.229843,-0.703084,-5.272261,0.007591,0.198659,-0.056273,-308.516659,188.495696,1017.015388,-1311.685820,0
0.063542,196.401104,-80.783588,-47.860420,-0.676550,-4.383023,-2.002059,6.211055,4.786297,1.892593,-6.112530,0.029468,0.203138,-0.041406,-270.778755,188.716476,1016.604763,-1311.433018,0
0.064583,171.823766,-33.533412,-133.894256,-2.320407,-2.731760,-4.017443,6.362453,3.056218,3.993653,-6.297995,0.033114,0.216642,-0.052556,-201.641384,188.495211,1016.501650,-1311.159250,0
0.065625,123.234087,8.936544,-186.717573,-3.311226,-0.324586,-5.163918,4.996090,0.858256,5.139302,-5.037592,0.040407,0.219742,-0.059989,-107.364173,188.495265,1015.578022,-1310.678171,0
0.066667,68.757147,73.087790,-196.378152,-3.547671,2.398163,-6.378781,3.493470,-1.753184,6.327226,-3.485744,-0.006994,0.204516,-0.052556,12.120426,188.495361,1015.407892,-1310.076934,0
0.067708,24.450140,146.094772,-162.195499,-2.815817,4.387017,-5.932258,1.199797,-3.679121,6.086259,-1.271522,-0.068979,0.191907,-0.063706,124.658639,188.646114,1014.319229,-1309.748883,0
0.068750,-21.348457,197.126841,-96.977477,-1.588553,5.906179,-4.636942,-1.419380,-5.024738,4.699644,1.446105,-0.130964,0.180332,-0.082290,223.664346,188.495275,1013.179204,-1309.464076,0
0.069792,-96.131363,181.000942,-51.189978,-0.755365,6.596040,-2.718103,-3.678988,-5.775527,2.974829,3.770092,-0.145548,0.185430,-0.059989,276.330788,188.495446,1012.573808,-1308.820370,0
0.070833,-169.840776,133.598081,-7.820662,0.111601,6.104330,-0.541810,-5.200533,-5.322152,0.742716,5.325724,-0.214826,0.195076,-0.078573,305.062033,188.495289,1011.335035,-1308.151681,0
0.071875,-196.418201,79.547545,48.672460,1.215013,4.434720,2.177550,-5.968875,-3.842336,-1.869870,6.177348,-0.229410,0.194801,-0.074856,270.206260,188.721527,1010.577831,-1307.107769,0
0.072917,-171.388866,32.544015,134.475414,2.870130,2.669704,4.180866,-6.059714,-2.123138,-3.911746,6.294683,-0.222118,0.196248,-0.078573,200.978821,188.495289,1008.756684,-1306.219617,0
0.073958,-122.561889,-9.385671,187.067849,3.928504,0.332250,5.202637,-4.651717,0.063943,-5.061622,5.056990,-0.207533,0.202724,-0.082290,107.039361,188.495284,1007.691899,-1306.358301,0
0.075000,-67.926750,-73.384231,196.376029,4.074875,-2.394169,6.389340,-3.221010,2.744296,-6.211499,3.471077,-0.156487,0.190942,-0.100873,-12.445238,188.495284,1006.921724,-1305.614791,0
0.076042,-23.472843,-146.637859,161.950343,3.365539,-4.305964,6.003159,-0.953832,4.572304,-6.000124,1.290920,-0.112733,0.190942,-0.100873,-125.219876,188.721474,1006.809875,-1305.117306,0
0.077083,22.156255,-197.258853,96.695866,2.160794,-5.792101,4.675660,1.650205,5.914294,-4.571234,-1.396427,-0.079917,0.192389,-0.082290,-223.944125,188.495235,1005.450676,-1303.994497,0
0.078125,96.487164,-180.780604,50.859761,1.305087,-6.448936,2.724640,3.894673,6.701353,-2.876012,-3.712843,-0.017932,0.184603,-0.074856,-276.182751,188.474324,1004.827638,-1303.976027,0
0.079167,170.592074,-132.943177,7.502596,0.426862,-6.008599,0.620756,5.378369,6.215335,-0.669264,-5.260906,-0.010640,0.194663,-0.100873,-307.829902,188.628783,1004.841755,-1303.374145,0
0.080208,196.197705,-79.256736,-48.601672,-0.654031,-4.342659,-2.046309,6.180776,4.717384,1.964460,-6.074680,0.014883,0.196592,-0.074856,-269.585373,188.620539,1003.857587,-1302.865207,0
0.081250,171.157070,-32.241461,-134.829934,-2.342926,-2.669379,-4.057670,6.362453,3.038083,4.031701,-6.256360,0.058637,0.192734,-0.063706,-200.436743,188.556608,1003.799692,-1302.465809,0
0.082292,122.149294,10.099300,-186.814786,-3.345004,-0.236519,-5.147828,4.927961,0.829240,5.084345,-4.965677,0.033114,0.220983,-0.093440,-106.046949,188.480401,1003.095555,-1301.187552,0
0.083333,67.581955,74.297526,-196.147270,-3.547671,2.398163,-6.310394,3.463190,-1.785827,6.293406,-3.413829,0.007591,0.200795,-0.093440,13.505200,188.489081,1002.481193,-1300.675634,0
0.084375,23.421847,146.470613,-161.429944,-2.838335,4.416373,-5.904099,1.184658,-3.686375,6.082032,-1.203392,-0.083563,0.193836,-0.056273,125.570563,188.641228,1002.089042,-1300.504541,0
0.085417,-22.467150,197.655367,-96.552169,-1.566034,5.887831,-4.588669,-1.461014,-5.035619,4.725009,1.514235,-0.105440,0.172615,-0.078573,225.004086,188.495606,1002.451209,-1301.029134,0
0.086458,-96.933658,180.073086,-50.910490,-0.710327,6.504303,-2.685921,-3.682773,-5.797289,2.924099,3.762522,-0.192949,0.187773,-0.093440,276.679796,188.495664,1002.285706,-1300.817789,0
0.087500,-171.366266,132.928616,-7.334595,0.134120,6.126347,-0.509629,-5.181608,-5.351168,0.708897,5.356004,-0.189302,0.195352,-0.097156,305.883890,188.497462,1002.949735,-1301.357192,0
0.088542,-195.672405,79.547545,49.668897,1.215013,4.449398,2.161459,-5.995370,-3.831455,-1.929055,6.188703,-0.247641,0.201071,-0.086006,269.598310,188.571717,1002.692462,-1301.724540,0
0.089583,-171.422766,32.708445,136.237406,2.858871,2.724746,4.148684,-6.097563,-2.155781,-3.928656,6.359028,-0.240349,0.211061,-0.059989,201.406638,188.495519,1004.176155,-1302.511275,0
0.090625,-122.414990,-9.949432,186.909877,3.872208,0.280877,5.254933,-4.651717,0.060316,-5.015120,5.022925,-0.200241,0.208374,-0.037689,106.375120,188.496138,1003.897835,-1301.660842,0
0.091667,-68.265747,-75.040278,196.363878,4.097394,-2.386830,6.413477,-3.262644,2.715280,-6.232636,3.463507,-0.178364,0.196799,-0.093440,-13.492263,188.496243,1004.678245,-1301.633802,0
0.092708,-23.924840,-146.954975,161.111878,3.444354,-4.291286,6.015227,-0.915983,4.623082,-5.966304,1.249285,-0.134610,0.197901,-0.082290,-125.523851,188.571598,1003.825951,-1302.011162,0
0.093750,23.037649,-198.186709,96.683715,2.194572,-5.788431,4.663592,1.653990,5.957818,-4.621964,-1.388857,-0.076271,0.200037,-0.071140,-225.418965,188.496206,1005.136824,-1302.611342,0
0.094792,97.594557,-179.664828,51.114946,1.248791,-6.434258,2.776936,3.909813,6.712234,-2.850647,-3.701488,-0.025225,0.189151,-0.104590,-276.509243,188.496047,1005.146708,-1302.322928,0
0.095833,172.128864,-132.907942,7.077288,0.415603,-6.037955,0.616734,5.401078,6.229843,-0.665037,-5.260906,-0.003348,0.198452,-0.082290,-309.338517,188.496136,1005.940021,-1302.527709,0
0.096875,195.293711,-79.585597,-49.719626,-0.676550,-4.309634,-2.094581,6.150496,4.706503,1.951778,-6.074680,0.033114,0.202104,-0.082290,-268.752257,188.571647,1006.044545,-1302.209857,0
0.097917,171.405669,-32.405891,-136.373197,-2.320407,-2.647362,-4.101920,6.317033,3.019948,3.993653,-6.256360,0.014883,0.210372,-0.078573,-200.087735,188.496150,1006.535694,-1302.128242,0
0.098959,122.024995,10.627826,-186.972758,-3.266189,-0.232849,-5.139782,4.905252,0.796597,5.177350,-4.969462,0.003945,0.237036,-0.067423,-104.279392,188.496174,1006.697287,-1303.256562,0
0.100000,67.559355,75.542497,-196.414607,-3.525153,2.427519,-6.346599,3.455620,-1.811216,6.318771,-3.444109,-0.025225,0.205342,-0.082290,15.464148,188.496076,1007.586406,-1303.754418,0
0.101042,23.568746,146.952158,-160.640085,-2.905891,4.379678,-5.952372,1.150593,-3.711764,6.039757,-1.188252,-0.098148,0.204584,-0.097156,126.606329,188.571500,1007.105828,-1303.628485,0
0.102083,-23.235545,198.313087,-95.689400,-1.622331,5.869484,-4.592692,-1.426950,-5.068262,4.720781,1.491525,-0.112733,0.194249,-0.067423,226.265019,188.496129,1007.870051,-1303.483096,0
0.103125,-97.826352,179.450601,-50.011266,-0.721587,6.537328,-2.657762,-3.728192,-5.779154,2.886052,3.758737,-0.203887,0.188393,-0.097156,276.826154,188.496107,1007.785383,-1302.844938,0
0.104167,-172.439759,131.942035,-6.593343,0.100342,6.096991,-0.533765,-5.204318,-5.307644,0.742716,5.390069,-0.225764,0.196385,-0.056273,305.568657,188.496170,1008.287103,-1302.405027,0
0.105208,-195.310808,78.572709,50.568121,1.226272,4.431051,2.201686,-5.976445,-3.824201,-1.920600,6.162208,-0.225764,0.199624,-0.067423,267.875786,188.646851,1008.491661,-1301.535351,0
0.106250,-171.072468,31.416494,137.148782,2.915167,2.706399,4.164775,-6.131627,-2.137646,-3.949793,6.336318,-0.251287,0.208512,-0.078573,199.413914,188.496027,1008.671703,-1301.214640,0
0.107292,-121.160698,-10.971248,187.225821,3.860949,0.266199,5.222751,-4.681996,0.100213,-5.032030,4.996430,-0.203887,0.218227,-0.082290,103.954580,188.496118,1008.510278,-1300.974225,0
0.108333,-66.502959,-76.144309,196.388181,4.119912,-2.434533,6.429567,-3.205870,2.697145,-6.279138,3.490002,-0.167425,0.199761,-0.100873,-16.171744,188.493559,1009.845645,-1300.547130,0
0.109375,-22.625349,-147.471755,160.273413,3.388058,-4.357337,5.975000,-0.919768,4.615828,-5.940940,1.211435,-0.130964,0.186257,-0.063706,-127.235116,188.646730,1009.713876,-1299.859060,0
0.110417,24.077242,-198.973624,95.334879,2.183313,-5.861821,4.631411,1.653990,6.001342,-4.647329,-1.426706,-0.065333,0.187428,-0.045123,-226.837514,188.496112,1010.541848,-1300.202268,0
0.111458,98.272552,-179.171537,49.753959,1.305087,-6.474623,2.720617,3.947662,6.694099,-2.829510,-3.735553,0.000299,0.184397,-0.082290,-276.655601,188.496136,1010.539410,-1299.832268,0
0.112500,173.586554,-131.486796,6.408946,0.438121,-6.019608,0.648915,5.374584,6.251605,-0.631217,-5.268476,-0.025225,0.197832,-0.048839,-309.034542,188.496194,1011.136817,-1299.744846,0
0.113542,194.988613,-78.000020,-50.570243,-0.732846,-4.335320,-2.062400,6.192130,4.713757,2.040555,-6.120100,0.036760,0.201277,-0.052556,-267.029733,188.571504,1011.308984,-1300.291911,0
0.114583,170.863272,-31.219645,-137.612667,-2.399222,-2.676718,-4.093874,6.381377,3.045337,4.061293,-6.320705,0.054991,0.191562,-0.071140,-198.826803,188.496045,1012.644282,-1300.988912,0
0.115625,120.601205,11.590917,-186.997061,-3.345004,-0.181477,-5.163918,4.935531,0.811105,5.126620,-4.958107,0.018530,0.190598,-0.097156,-102.534352,188.496101,1012.865916,-1299.589377,0
0.116667,66.192064,77.081093,-196.256635,-3.502634,2.486230,-6.414985,3.489685,-1.818470,6.369501,-3.436539,-0.006994,0.171995,-0.056273,17.434355,188.496111,1013.783291,-1299.527397,0
0.117708,22.483953,147.621624,-159.412766,-2.793298,4.416373,-5.956395,1.173303,-3.715391,6.073577,-1.233672,-0.090856,0.178678,-0.052556,128.069911,188.571527,1014.993351,-1298.851011,0
0.118750,-24.388137,199.381883,-94.838783,-1.622331,5.957551,-4.592692,-1.479939,-5.158937,4.737691,1.480170,-0.127317,0.195283,-0.063706,227.706084,188.496145,1016.333511,-1299.506850,0
0.119792,-98.685146,178.334825,-49.634564,-0.687809,6.544667,-2.669831,-3.766041,-5.793662,2.890280,3.800372,-0.196595,0.189909,-0.048839,277.152646,188.496147,1016.534572,-1299.551477,0
0.120833,-174.462446,131.202099,-6.228793,0.145379,6.122678,-0.513651,-5.249737,-5.369303,0.713124,5.412779,-0.214826,0.201139,-0.086006,306.593165,188.496127,1017.697064,-1300.222012,0
0.121875,-194.293815,77.926734,51.528103,1.305087,4.420042,2.193641,-6.048359,-3.838709,-1.958647,6.218983,-0.218472,0.201897,-0.056273,267.211545,188.571509,1018.058237,-1300.589275,0
0.122917,-171.219367,31.522199,139.068746,2.960204,2.735754,4.172820,-6.112703,-2.177543,-3.996296,6.393093,-0.251287,0.207685,-0.067423,200.078155,188.496132,1019.591750,-1301.640675,0
0.123958,-120.448803,-11.523263,187.310882,3.894726,0.225835,5.275046,-4.666856,0.136483,-5.082760,5.004000,-0.196595,0.195972,-0.067423,102.862522,188.496174,1019.668439,-1302.109924,0
0.125000,-66.751557,-77.847335,196.315271,4.108653,-2.445541,6.453704,-3.247505,2.758804,-6.338323,3.508927,-0.163779,0.210441,-0.056273,-17.106185,188.496192,1020.513589,-1303.241001,0
