1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-162.032528,162.455571,11.670620,0.449381,3.410937,-6.547735,2.702418,-3.102428,6.606240,-2.762810,-0.039809,0.637759,-0.074856,318.493214,188.570702,1602.483055,889.375657,0
0.001042,-186.745464,115.393316,82.308287,1.811756,5.454834,-5.787440,0.170294,-5.133548,5.976345,-0.117098,-0.061686,0.627424,-0.071140,305.197132,188.571075,1604.206532,888.943736,0
0.002083,-186.508166,31.815824,135.459699,2.858871,6.368532,-4.290988,-2.183937,-6.076568,4.488269,2.172824,-0.134610,0.633831,-0.108307,213.666953,188.721956,1606.667302,889.031720,0
0.003125,-161.863029,-41.555254,172.121293,3.545688,6.618057,-2.126763,-4.224019,-6.265172,2.328024,4.394616,-0.182010,0.612128,-0.093440,114.075814,188.571103,1607.903134,887.647968,0
0.004167,-94.255576,-102.453131,185.390918,3.905986,5.553909,0.761552,-5.813693,-5.267747,-0.449435,5.938894,-0.222118,0.575198,-0.071140,-17.173735,188.571105,1609.312644,887.182124,0
0.005208,-12.545816,-147.095915,185.986350,3.894726,3.943011,3.054503,-6.267885,-3.744407,-2.867557,6.502858,-0.189302,0.614264,-0.108307,-138.729866,188.646413,1609.716615,885.796873,0
0.006250,59.626807,-173.921518,139.105201,3.039020,1.466117,5.077933,-5.677435,-1.492040,-4.765698,5.950249,-0.207533,0.622670,-0.097156,-237.859414,188.721867,1610.609641,885.789204,0
0.007292,112.499158,-195.755491,55.708278,1.451458,-1.179573,6.514045,-4.420835,1.148416,-6.376371,4.720125,-0.203887,0.626321,-0.086006,-312.986214,188.571107,1612.015775,885.482632,0
0.008333,162.252729,-162.352683,-12.523359,0.100342,-3.355571,6.678976,-2.460238,3.132385,-6.549698,2.740573,-0.152841,0.629491,-0.071140,-331.832650,188.495750,1613.389413,884.853180,0
0.009375,186.423270,-115.219957,-82.346864,-1.284552,-5.414145,5.938795,0.117305,5.134489,-5.924030,0.132711,-0.105440,0.623083,-0.063706,-295.186803,188.646496,1615.227123,883.889162,0
0.010417,186.513669,-32.382401,-135.777765,-2.331667,-6.357199,4.361888,2.437472,6.052120,-4.397907,-2.119361,-0.028871,0.631764,-0.112023,-214.363291,188.721963,1615.569673,882.385692,0
0.011458,162.331829,41.258812,-171.758865,-3.018484,-6.525995,2.169504,4.485123,6.309637,-2.279936,-4.352508,0.011237,0.634658,-0.071140,-114.119168,188.571196,1617.118808,881.598523,0
0.012500,94.306278,102.180180,-186.037079,-3.367522,-5.454509,-0.734901,6.086152,5.315839,0.577844,-5.908140,0.018530,0.600002,-0.134323,17.940980,188.495812,1618.774050,880.350600,0
0.013542,13.240614,146.999138,-185.380889,-3.345004,-3.854619,-2.983603,6.544130,3.774364,2.919872,-6.479675,0.011237,0.606960,-0.093440,139.328236,188.646578,1619.576317,879.139461,0
0.014583,-58.977209,174.823067,-137.928611,-2.399222,-1.308005,-5.043237,5.923400,1.405933,4.940610,-5.893000,0.029468,0.604756,-0.071140,239.358450,188.646596,1620.510718,878.588242,0
0.015625,-112.425856,195.635225,-54.325109,-0.766624,1.297321,-6.370735,4.610026,-1.209134,6.466733,-4.590962,-0.017932,0.623359,-0.056273,308.428272,188.571069,1621.289277,877.361777,0
0.016667,-162.507125,161.880066,14.100954,0.584492,3.528360,-6.624167,2.630504,-3.312794,6.602013,-2.630335,-0.025225,0.625495,-0.071140,318.414406,188.495673,1622.967261,875.587315,0
0.017708,-185.796271,114.242305,83.341179,1.868052,5.531893,-5.831690,0.064316,-5.213342,5.908705,-0.030043,-0.090856,0.626941,-0.093440,303.677259,188.646572,1623.150353,874.283025,0
0.018750,-186.553366,31.169849,136.431833,2.892649,6.460269,-4.282942,-2.259636,-6.094703,4.433312,2.275019,-0.149195,0.627630,-0.063706,214.691461,188.646567,1624.096634,873.452424,0
0.019792,-162.337626,-41.743174,171.550164,3.590725,6.651082,-2.030218,-4.299717,-6.334085,2.289976,4.477886,-0.196595,0.635692,-0.078573,114.875155,188.571047,1625.758940,873.057303,0
0.020833,-94.108677,-101.936351,186.812664,3.905986,5.531893,0.878211,-5.889391,-5.289509,-0.533984,6.037304,-0.218472,0.629560,-0.071140,-16.971085,188.495640,1628.059159,872.544594,0
0.021875,-14.093905,-147.131150,185.293705,3.905986,3.876960,3.159094,-6.290595,-3.740780,-2.892922,6.529353,-0.251287,0.614471,-0.086006,-138.257016,188.646554,1628.670361,871.972860,0
0.022917,58.361216,-175.753739,137.999399,2.892649,1.311999,5.218728,-5.662295,-1.354214,-4.930570,5.972959,-0.200241,0.621981,-0.059989,-239.739554,188.646542,1631.469882,870.345815,0
0.023958,112.589557,-195.497101,54.408049,1.338865,-1.278649,6.510022,-4.337567,1.220956,-6.405963,4.644425,-0.182010,0.620396,-0.086006,-312.524623,188.571170,1631.565801,869.237596,0
0.025000,162.795126,-162.176508,-14.649901,0.044046,-3.517027,6.735294,-2.350474,3.259330,-6.541243,2.661088,-0.152841,0.622118,-0.089723,-332.046558,188.494958,1632.543609,868.460371,0
0.026042,185.688774,-113.528676,-83.877975,-1.284552,-5.447170,5.942818,0.185434,5.221537,-5.873300,0.015377,-0.087210,0.623083,-0.074856,-292.203347,188.646489,1632.948598,867.335550,0
0.027083,186.931766,-29.692794,-136.239528,-2.297889,-6.437928,4.341775,2.516956,6.128287,-4.389452,-2.266975,-0.058040,0.640032,-0.100873,-213.372558,188.646411,1634.597965,867.347059,0
0.028125,161.891132,42.985329,-171.236343,-3.029743,-6.581037,2.161459,4.579747,6.342280,-2.203842,-4.420637,0.022176,0.620051,-0.097156,-113.409894,188.571109,1635.283012,866.987321,0
0.029167,93.210186,102.050984,-187.082123,-3.345004,-5.491204,-0.807310,6.161851,5.268688,0.683532,-6.006550,0.054991,0.631351,-0.086006,17.535680,188.495712,1636.874038,865.849411,0
0.030208,14.133308,147.492428,-184.749002,-3.345004,-3.843610,-3.076126,6.570624,3.748975,3.046697,-6.551590,0.029468,0.635830,-0.056273,138.551411,188.646411,1638.887601,864.953715,0
0.031250,-57.643818,176.044548,-137.770639,-2.342926,-1.267641,-5.103578,5.915830,1.358782,5.029388,-5.858936,0.018530,0.631627,-0.067423,239.887591,188.571042,1640.231171,863.732828,0
0.032292,-112.764853,195.306365,-54.641053,-0.834180,1.378049,-6.455212,4.526758,-1.267166,6.492098,-4.621242,0.003945,0.629215,-0.093440,308.394497,188.571129,1641.062811,863.581013,0
0.033333,-163.196420,161.880066,14.635627,0.505677,3.609089,-6.616121,2.528311,-3.323675,6.644287,-2.577345,-0.028871,0.626735,-0.082290,318.481955,188.495716,1641.684604,863.585787,0
0.034375,-185.762371,113.243979,84.361920,1.868052,5.561248,-5.795486,-0.030307,-5.253239,5.963662,0.083507,-0.079917,0.625839,-0.071140,301.504402,188.646511,1642.712634,863.427819,0
0.035417,-186.722865,28.538966,136.504743,2.960204,6.493294,-4.222601,-2.339120,-6.091076,4.357217,2.346933,-0.134610,0.593525,-0.086006,212.045755,188.646558,1642.476968,862.831036,0
0.036458,-161.512731,-44.162646,171.234221,3.635763,6.684107,-1.998036,-4.314857,-6.294188,2.209654,4.519521,-0.167425,0.605031,-0.115740,112.364548,188.571094,1642.015132,862.358622,0
0.037500,-91.453194,-102.500111,187.505309,3.951023,5.517215,0.902347,-5.931026,-5.267747,-0.622762,6.082723,-0.222118,0.615573,-0.059989,-18.558509,188.495767,1642.391231,862.190332,0
0.038542,-12.749214,-147.753635,184.759031,3.883467,3.898977,3.219435,-6.324659,-3.729899,-2.985927,6.593698,-0.251287,0.636656,-0.082290,-138.639799,188.721838,1643.573849,862.434914,0
0.039583,58.496815,-176.364480,137.537635,2.982723,1.337685,5.246887,-5.703929,-1.365095,-4.947480,5.942679,-0.222118,0.633487,-0.071140,-239.874654,188.571053,1643.498618,862.540059,0
0.040625,112.894655,-195.309181,55.331576,1.361384,-1.311674,6.606567,-4.333782,1.249972,-6.439783,4.621715,-0.178364,0.632109,-0.089723,-312.614690,188.571158,1644.228685,861.920355,0
0.041667,163.766919,-161.871137,-13.823588,0.010268,-3.583078,6.763453,-2.270991,3.317362,-6.625792,2.630808,-0.130964,0.631144,-0.093440,-332.091591,188.495718,1645.898744,861.794765,0
0.042708,185.722674,-113.822301,-84.011643,-1.397145,-5.516890,5.882477,0.264918,5.275942,-5.852162,0.000237,-0.109087,0.623910,-0.089723,-291.651689,188.721911,1646.601894,861.355815,0
0.043750,186.920466,-29.070308,-136.628382,-2.376704,-6.430589,4.261320,2.656998,6.218962,-4.241490,-2.319965,-0.065333,0.590838,-0.078573,-211.582484,188.495651,1647.642875,859.858379,0
0.044792,161.608634,44.429965,-170.835338,-2.984706,-6.548012,2.056868,4.621381,6.316891,-2.148884,-4.481197,0.029468,0.629491,-0.067423,-110.527763,188.571143,1647.795814,859.263927,0
0.045833,90.351304,102.649980,-188.102863,-3.423819,-5.417814,-0.871674,6.211055,5.254180,0.763854,-6.051970,0.036760,0.588151,-0.041406,20.958211,188.495662,1648.219913,859.368251,0
0.046875,11.398726,147.621624,-184.250783,-3.322485,-3.788568,-3.144512,6.600904,3.625657,3.076289,-6.574300,0.018530,0.648025,-0.067423,140.510360,188.721918,1647.791744,858.759406,0
0.047917,-58.920709,177.066364,-136.239528,-2.354185,-1.172234,-5.180009,5.923400,1.260853,5.097027,-5.900570,0.007591,0.615297,-0.112023,241.103490,188.495584,1648.876106,858.843584,0
0.048958,-112.923052,195.083209,-54.616750,-0.732846,1.440430,-6.515553,4.553252,-1.299809,6.555510,-4.545542,-0.006994,0.633694,-0.100873,308.315688,188.571156,1649.465243,857.869724,0
0.050000,-164.315113,161.480735,14.052347,0.516936,3.700826,-6.640258,2.532095,-3.399842,6.690790,-2.528140,-0.050748,0.634520,-0.071140,318.369372,188.495731,1650.916895,857.313265,0
0.051042,-185.412073,113.972170,84.264706,1.845534,5.590604,-5.731122,-0.083297,-5.304017,5.883340,0.102431,-0.098148,0.618053,-0.078573,300.975261,188.721895,1651.240235,855.998216,0
0.052083,-186.903663,29.936622,137.294602,2.915167,6.507972,-4.126056,-2.441313,-6.178124,4.340307,2.456698,-0.156487,0.623359,-0.059989,212.901387,188.495729,1653.737309,855.075221,0
0.053125,-161.908229,-44.197881,170.821064,3.545688,6.621726,-1.905513,-4.420835,-6.348593,2.184289,4.557370,-0.200241,0.626873,-0.089723,110.878449,188.571116,1654.759213,854.899898,0
0.054167,-90.018104,-102.629306,188.890600,3.984801,5.476851,0.974756,-5.968875,-5.231477,-0.677719,6.101648,-0.214826,0.626666,-0.086006,-21.508190,188.495700,1655.176919,854.570111,0
0.055208,-11.189825,-147.600950,184.321571,3.838430,3.825588,3.235526,-6.301950,-3.646478,-3.019746,6.555848,-0.203887,0.628251,-0.074856,-141.004047,188.721951,1654.431495,853.615266,0
0.056250,59.649407,-177.597706,135.799946,2.870130,1.238609,5.307228,-5.715284,-1.245404,-5.032030,5.942679,-0.222118,0.602964,-0.086006,-241.867378,188.495671,1655.459594,853.085073,0
0.057292,113.143254,-194.992066,53.350854,1.383902,-1.355708,6.542204,-4.333782,1.311631,-6.422873,4.633070,-0.222118,0.627286,-0.059989,-312.051773,188.571141,1655.091508,853.223261,0
0.058333,164.173717,-161.753687,-14.880783,0.077824,-3.590417,6.755408,-2.278561,3.393529,-6.617337,2.604313,-0.167425,0.635554,-0.097156,-332.294241,188.495723,1655.696892,852.949922,0
0.059375,185.112478,-113.728341,-84.570620,-1.284552,-5.505882,5.902591,0.245993,5.265061,-5.877527,-0.030043,-0.105440,0.627079,-0.089723,-291.831822,188.721956,1655.654070,852.994836,0
0.060417,187.225564,-30.174339,-137.223814,-2.331667,-6.489300,4.273388,2.622934,6.211708,-4.275310,-2.399450,-0.028871,0.610888,-0.086006,-213.507658,188.495685,1656.863692,852.620221,0
0.061458,162.128430,43.725264,-170.920399,-3.007225,-6.592046,2.024686,4.613811,6.298756,-2.106609,-4.492552,0.033114,0.633349,-0.086006,-111.000612,188.571109,1657.231579,851.651459,0
0.062500,90.825901,102.485550,-189.038542,-3.423819,-5.428823,-0.968219,6.241335,5.217910,0.768081,-6.067110,0.022176,0.636243,-0.093440,21.667485,188.495718,1657.733179,851.211696,0
