1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,165.168110,-142.480126,-4.515407,0.212935,-6.456275,2.696481,4.061210,6.530884,-2.715367,-3.883168,-0.006994,0.319372,-0.078573,-311.522632,188.495513,1474.207110,-872.144014,0
0.001042,202.457864,-81.406073,-57.703274,-0.789143,-5.825126,0.134007,5.673594,6.004969,-0.238060,-5.631836,0.000299,0.322679,-0.030256,-277.691367,188.269293,1474.965784,-872.041292,0
0.002083,175.405842,-27.320302,-136.640533,-2.320407,-4.522463,-2.122740,6.457076,4.699249,2.010962,-6.373695,0.058637,0.338044,-0.074856,-197.959912,188.344509,1476.178384,-872.063672,0
0.003129,128.985749,22.090956,-190.205102,-3.333744,-2.570303,-3.924920,6.131571,2.925646,3.900649,-6.229865,0.058637,0.345209,-0.071140,-100.744278,188.420075,1476.729805,-871.958028,0
0.004168,67.796653,80.698556,-198.334571,-3.513893,0.167123,-5.759281,5.151273,0.241666,5.646601,-5.139786,0.003945,0.350239,-0.041406,21.307219,188.495416,1477.863630,-872.319712,0
0.005208,13.703911,151.403517,-170.956854,-2.939669,2.548611,-6.354644,3.395061,-1.999820,6.416003,-3.455464,-0.050748,0.293328,-0.048839,140.183868,188.269283,1478.681526,-872.049342,0
0.006250,-33.495877,193.309713,-105.374282,-1.734924,4.687914,-5.767327,0.760745,-3.940265,5.790335,-0.847602,-0.061686,0.302905,-0.037689,232.378289,188.420037,1479.366303,-872.198709,0
0.007292,-104.651507,190.467420,-47.495870,-0.620253,6.236431,-4.600737,-1.729745,-5.601431,4.775738,1.680774,-0.141902,0.317649,-0.063706,294.535499,188.420052,1480.345646,-872.340372,0
0.008333,-165.840603,142.453819,3.832791,0.381825,6.614387,-2.617535,-3.845525,-5.898845,2.788820,3.842006,-0.189302,0.320888,-0.041406,310.094504,188.495421,1481.149400,-873.001281,0
0.009375,-202.395861,82.331112,58.223674,1.395162,5.997916,-0.063106,-5.473048,-5.423708,0.315740,5.575534,-0.214826,0.327020,-0.037689,278.582453,188.269254,1482.390007,-873.522449,0
0.010417,-175.513339,28.597691,137.719910,2.971464,4.640211,2.229845,-6.252745,-4.063583,-1.954420,6.336318,-0.236703,0.336046,-0.056273,199.571531,188.344621,1483.548648,-874.394471,0
0.011458,-130.042439,-21.060211,190.251587,3.917245,2.688051,4.052139,-5.847757,-2.333504,-3.818741,6.139498,-0.214826,0.328811,-0.059989,102.828747,188.419999,1483.977430,-874.730629,0
0.012500,-68.649945,-80.677883,198.490420,4.097394,-0.111757,5.874432,-4.871243,0.390373,-5.636560,5.030495,-0.203887,0.337837,-0.048839,-20.461166,188.495530,1485.127511,-875.290984,0
0.013542,-14.048706,-151.500293,170.808912,3.635763,-2.452880,6.449681,-3.111247,2.642740,-6.363688,3.353742,-0.141902,0.331981,-0.030256,-139.844440,188.269351,1484.652127,-875.494707,0
0.014583,33.716079,-193.805820,105.238492,2.340943,-4.581175,5.886500,-0.507210,4.633963,-5.712655,0.757236,-0.130964,0.321921,-0.063706,-232.725618,188.269227,1485.220826,-876.129687,0
0.015625,104.781309,-190.446747,46.886164,1.260050,-6.126023,4.667615,1.960570,6.255232,-4.660011,-1.793851,-0.079917,0.312137,-0.063706,-294.184812,188.419961,1484.991765,-876.380240,0
0.016667,165.744406,-141.963345,-4.588317,0.212935,-6.511317,2.756822,4.076350,6.559900,-2.715367,-3.932373,-0.025225,0.320750,-0.037689,-312.175615,188.495461,1485.470644,-876.900474,0
0.017708,202.299665,-80.889293,-57.593909,-0.822920,-5.913193,0.162166,5.684949,6.019477,-0.216923,-5.616696,0.025822,0.326744,-0.078573,-277.353617,188.344560,1485.316189,-876.753481,0
0.018750,175.405842,-27.238087,-136.822809,-2.331667,-4.566497,-2.118718,6.426797,4.710130,2.027872,-6.434255,0.040407,0.321577,-0.052556,-198.995677,188.344581,1486.006741,-877.331906,0
0.019792,129.087448,21.398000,-190.083586,-3.311226,-2.654701,-3.920897,6.131571,2.940154,3.866829,-6.248790,-0.010640,0.362641,-0.056273,-102.601902,188.420061,1486.058685,-877.151635,0
