1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,130.635538,-184.268872,35.755233,1.057383,-0.115426,4.655547,-3.887159,0.107467,-4.575461,4.203743,-0.211179,0.586290,-0.126890,-317.331928,188.570714,1051.423990,974.401579,0
0.001042,173.891652,-151.512038,-35.526473,-0.350030,-2.034560,5.142296,-2.490517,1.855681,-5.082760,2.757875,-0.196595,0.588013,-0.086006,-331.371058,188.646172,1051.909421,974.698278,0
0.002083,177.824026,-97.120897,-107.440066,-1.746183,-3.766552,4.820478,-0.560199,3.654673,-4.850248,0.766967,-0.145548,0.581054,-0.082290,-268.786032,188.721532,1052.466776,974.662264,0
0.003125,178.038725,-12.909174,-151.878730,-2.669446,-4.863724,3.879161,1.309561,4.623082,-3.911746,-1.121745,-0.101794,0.583534,-0.097156,-186.543970,188.646116,1053.723115,973.714764,0
0.004167,148.591120,63.938427,-170.689518,-3.029743,-5.054537,2.221800,2.982503,4.931377,-2.322211,-2.821208,-0.094502,0.582639,-0.078573,-76.572656,188.570779,1053.232816,973.228338,0
0.005208,69.276944,121.395016,-186.887696,-3.367522,-4.749970,0.033439,4.632736,4.594066,-0.136601,-4.494176,-0.025225,0.563071,-0.123173,60.204730,188.645966,1053.558170,973.794528,0
0.006250,-7.110552,158.838108,-168.076908,-3.018484,-3.685823,-1.615877,5.015015,3.636538,1.550166,-4.959730,-0.036163,0.540334,-0.086006,170.727703,188.721433,1052.563395,973.963121,0
0.007292,-78.842478,180.178792,-116.760399,-1.993888,-1.741003,-3.550807,4.912821,1.765006,3.439853,-4.849965,-0.047102,0.568032,-0.108307,262.775765,188.646105,1052.997813,974.878494,0
0.008333,-131.149832,183.901960,-36.121905,-0.395067,0.068048,-4.628896,4.121769,-0.048494,4.615094,-4.145956,-0.065333,0.590493,-0.089723,313.652134,188.570845,1053.106197,975.556555,0
0.009375,-174.315547,151.262577,35.208408,0.933530,2.012868,-5.135759,2.713773,-1.840232,5.118165,-2.669808,-0.109087,0.596832,-0.078573,318.132947,188.721463,1053.994482,976.067898,0
0.010417,-177.897623,96.847945,107.838949,2.352202,3.759537,-4.773714,0.703970,-3.563057,4.826468,-0.656191,-0.109087,0.584430,-0.078573,267.909561,188.721590,1053.416724,976.051284,0
0.011458,-177.841123,11.520447,152.010276,3.140353,4.831023,-3.836420,-1.211208,-4.538720,3.909104,1.224952,-0.134610,0.591940,-0.089723,185.363525,188.721453,1053.098433,976.227394,0
0.012500,-147.952821,-65.127489,170.833215,3.568207,5.029175,-2.211240,-2.831161,-4.850642,2.332251,2.913059,-0.182010,0.605651,-0.097156,75.594860,188.523850,1051.342063,976.147262,0
0.013542,-67.802450,-121.961593,187.128607,3.951023,4.742956,-0.022879,-4.496534,-4.535093,0.155096,4.650372,-0.236703,0.595592,-0.119457,-60.338151,188.723895,1050.908324,977.488909,0
