1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-160.664068,149.262461,-3.632008,2.837568,6.544178,-2.958089,-3.781547,-6.237618,3.085802,3.545719,-0.201500,0.307506,-0.039427,-56.163120,188.495269,1491.505503,-906.840480,0
0.001051,-200.725779,84.822919,48.786553,3.776298,5.990335,-0.235640,-5.505440,-5.700959,0.475459,5.274833,-0.227071,0.309989,-0.043161,-57.633420,188.344500,1489.909676,-906.803009,0
0.002083,-176.929213,34.928786,128.362311,5.371008,4.637679,2.066138,-6.371118,-4.377689,-1.874689,6.071790,-0.245336,0.319134,-0.043161,-41.708941,188.495293,1490.476556,-906.397132,0
0.003125,-133.317299,-12.669976,190.740152,6.558558,2.582068,4.014713,-5.927085,-2.322945,-3.872315,5.808510,-0.263601,0.324426,-0.043161,-21.972991,188.438361,1490.050021,-907.446934,0
0.004167,-71.943029,-71.044904,199.554546,6.716898,-0.144546,5.860105,-4.994243,0.426517,-5.647516,4.812312,-0.208806,0.289999,-0.028224,-5.324671,188.482147,1489.750315,-907.645903,0
0.005220,-20.652242,-144.895471,168.482576,6.117468,-2.583587,6.947497,-3.483038,2.870890,-6.898130,3.517256,-0.190541,0.329325,-0.031958,5.725198,188.420850,1489.008328,-907.634469,0
0.006258,23.594853,-192.989549,105.403031,4.975158,-4.589494,6.495078,-1.165857,4.822714,-6.419707,1.265139,-0.146705,0.315215,-0.031958,23.877748,188.496150,1490.686909,-907.779152,0
0.007292,94.088493,-195.586944,52.528977,4.002498,-6.144516,5.241006,1.487147,6.539289,-5.357944,-1.335647,-0.113828,0.302411,-0.039427,45.389367,188.420732,1491.062594,-908.206439,0
0.008333,160.158559,-149.051301,3.483523,3.029838,-6.439189,3.137656,3.666267,6.837025,-3.150484,-3.416987,-0.037115,0.306723,-0.028224,60.838827,188.496168,1491.761664,-908.679700,0
0.009375,200.707998,-85.227886,-47.654735,2.023248,-5.871145,0.542202,5.371503,6.267283,-0.598895,-5.178121,-0.004238,0.308682,-0.013287,62.467467,188.420721,1491.064444,-908.912424,0
0.010417,176.729952,-34.270633,-128.067614,0.507708,-4.525589,-1.906414,6.248375,4.914607,1.830991,-5.989310,0.024986,0.325471,-0.013287,45.796527,188.496168,1490.979028,-909.269845,0
0.011466,132.142583,13.956336,-190.728599,-0.679842,-2.367020,-3.823240,5.725983,2.867215,3.803436,-5.686893,0.017680,0.289542,-0.024490,23.934298,188.496141,1490.807001,-908.577558,0
0.012500,71.346780,71.292307,-199.493751,-0.838182,0.299239,-5.700380,4.908813,0.161863,5.641588,-4.747622,-0.033462,0.286406,-0.020755,10.475398,188.496120,1490.699242,-908.489647,0
0.013542,21.371723,144.985821,-169.234281,-0.317922,2.628221,-6.756023,3.494624,-2.242078,6.846039,-3.498818,-0.051727,0.299537,-0.039427,-0.246482,188.285717,1490.523182,-907.551655,0
0.014583,-23.317729,191.654353,-106.388637,0.869628,4.627028,-6.343291,1.076696,-4.226983,6.363419,-1.179102,-0.095563,0.338470,-0.020755,-19.066321,188.479996,1490.573942,-907.449149,0
0.015625,-94.548632,196.063883,-52.037311,1.955388,6.253055,-5.093187,-1.546457,-5.925180,5.251295,1.403895,-0.132093,0.300582,-0.043161,-40.159471,188.495711,1490.012096,-907.046230,0
0.016667,-160.199025,149.407432,-2.967235,2.916738,6.519326,-2.942214,-3.744234,-6.182482,3.106785,3.474562,-0.154011,0.307898,-0.020755,-55.450590,188.495667,1489.646373,-905.638566,0
0.017708,-201.145452,85.426964,47.961743,3.821538,5.969033,-0.315012,-5.468127,-5.697283,0.555196,5.253485,-0.201500,0.310054,-0.017021,-56.457180,188.495785,1489.967894,-905.170227,0
0.018750,-177.099351,34.409307,127.992993,5.348388,4.623478,2.046296,-6.330073,-4.348283,-1.866296,6.029096,-0.256295,0.329456,-0.024490,-40.102921,188.495712,1489.287975,-904.689273,0
0.019792,-132.670777,-12.814947,191.158713,6.535938,2.532364,3.955184,-5.912160,-2.297214,-3.830348,5.765815,-0.238030,0.286080,-0.028224,-21.837271,188.495828,1488.622822,-903.957542,0
0.020833,-71.557384,-71.129471,199.246781,6.682968,-0.126795,5.820419,-4.956929,0.433868,-5.609746,4.840775,-0.190541,0.264000,-0.028224,-5.505631,188.495712,1488.624742,-903.413958,0
0.021884,-20.822379,-145.402868,168.630304,6.174018,-2.491280,6.883999,-3.516620,2.819430,-6.818393,3.542161,-0.212459,0.339646,-0.035692,5.566858,188.420278,1488.454827,-902.278874,0
0.022917,23.243235,-191.249899,107.175758,5.043018,-4.511388,6.447455,-1.165857,4.723468,-6.428101,1.272255,-0.124787,0.314366,-0.039427,23.617618,188.495673,1487.650218,-901.734002,0
0.023958,94.292658,-195.756076,52.713637,3.979878,-6.105463,5.244974,1.431176,6.495180,-5.286600,-1.264490,-0.099216,0.303260,-0.028224,46.803117,188.513068,1486.971242,-900.775207,0
0.025000,159.840969,-149.027140,3.360417,3.075078,-6.407237,3.125750,3.655073,6.752483,-3.158877,-3.413429,-0.033462,0.310381,-0.005818,59.877477,188.479227,1486.128116,-900.159143,0
0.026042,200.730683,-85.433261,-47.925568,2.045868,-5.835642,0.558077,5.296876,6.252580,-0.619878,-5.149658,-0.029809,0.315999,-0.035692,63.191307,188.420084,1486.078702,-899.678681,0
0.027083,176.548472,-34.705545,-128.375379,0.496398,-4.511388,-1.874665,6.222255,4.888877,1.797417,-5.921711,0.010374,0.318546,0.009119,46.395957,188.495671,1485.343497,-898.945128,0
0.028125,133.038640,12.832812,-190.864016,-0.725082,-2.427375,-3.767680,5.755834,2.900296,3.774059,-5.647757,0.010374,0.305873,-0.020755,26.252848,188.495812,1485.072321,-898.944702,0
0.029167,71.970617,71.546006,-198.976705,-0.815562,0.285038,-5.716254,4.882694,0.194944,5.603817,-4.736948,-0.015197,0.292874,-0.031958,11.233168,188.495839,1484.848779,-898.355578,0
0.030208,22.029588,144.985821,-169.443561,-0.272682,2.649523,-6.759992,3.498355,-2.297214,6.799875,-3.463239,-0.033462,0.316456,-0.043161,-0.947702,188.495508,1483.909911,-899.135015,0
0.031250,-23.295044,191.545625,-107.114962,0.847008,4.680282,-6.279793,1.031920,-4.157144,6.334042,-1.196891,-0.066339,0.290653,-0.017021,-19.315141,188.495752,1483.534549,-898.413218,0
0.032301,-95.955102,194.771227,-52.357387,1.921458,6.260156,-5.013815,-1.594965,-5.961937,5.200935,1.418127,-0.164970,0.305939,-0.017021,-42.025621,188.495711,1483.247991,-898.547100,0
0.033333,-161.027028,149.347027,-3.693561,2.871498,6.537078,-2.910466,-3.740502,-6.189834,3.098392,3.517256,-0.208806,0.307572,-0.017021,-56.219670,188.495682,1483.418644,-899.333300,0
0.034375,-200.986657,86.610893,48.171023,3.810228,5.937081,-0.322949,-5.453201,-5.689932,0.542606,5.281948,-0.212459,0.311230,-0.046895,-57.803070,188.362963,1483.447948,-900.152284,0
0.035417,-176.951898,35.762368,128.743940,5.303148,4.630578,2.070107,-6.326342,-4.326228,-1.832722,6.061117,-0.227071,0.320049,-0.050629,-41.799421,188.478652,1483.652991,-900.545008,0
0.036458,-133.805027,-12.452520,190.777084,6.535938,2.550115,3.943279,-5.856189,-2.322945,-3.800971,5.772931,-0.256295,0.323446,-0.005818,-22.346221,188.493096,1483.854682,-900.588266,0
0.037500,-73.145334,-71.443574,199.160607,6.739518,-0.151647,5.852167,-4.986780,0.408138,-5.597156,4.780292,-0.212459,0.301431,-0.031958,-5.743141,188.495655,1483.317086,-900.798968,0
0.038542,-22.591809,-144.762581,169.430493,6.185328,-2.501931,6.872093,-3.520351,2.823106,-6.856163,3.542161,-0.234377,0.311295,-0.024490,5.351968,188.495649,1483.277362,-902.046037,0
0.039583,23.107125,-191.527760,107.631250,4.997778,-4.522039,6.419675,-1.143469,4.749199,-6.394527,1.247350,-0.154011,0.307637,-0.046895,23.651548,188.495732,1482.885202,-902.678946,0
0.040625,94.803071,-195.321164,53.464583,3.968568,-6.133865,5.189414,1.472222,6.509883,-5.282404,-1.317858,-0.099216,0.309009,-0.039427,45.615567,188.493329,1482.705986,-903.477355,0
0.041667,160.453464,-149.619104,3.815909,3.018528,-6.382385,3.062253,3.617759,6.730428,-3.142090,-3.420545,-0.051727,0.311361,-0.039427,60.793587,188.494424,1482.603279,-903.884509,0
