1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,167.224937,-163.753762,-21.371591,2.577438,-3.375299,6.510952,-2.412135,3.256844,-6.394527,2.457018,-0.208806,0.602057,-0.050629,221.067594,188.472924,1586.752626,906.208319,0
0.001042,184.011837,-113.303907,-91.406629,1.242858,-5.090084,5.621990,0.125197,5.149855,-5.639123,0.030566,-0.146705,0.598856,-0.035692,201.094134,188.481934,1587.726016,906.335082,0
0.002083,185.338910,-24.678395,-141.350758,0.270198,-6.183569,3.986933,2.591632,6.190093,-4.094740,-2.349633,-0.069992,0.569852,-0.043161,154.949335,188.473376,1587.775140,907.154599,0
0.003125,157.617839,53.690430,-173.062879,-0.340542,-6.290078,1.998673,4.431198,6.366529,-2.088720,-4.274428,-0.040768,0.585660,-0.046895,83.515377,188.554845,1587.926871,906.640248,0
0.004167,83.562653,109.806229,-193.966288,-0.736392,-5.313751,-0.735682,5.990910,5.399806,0.655917,-5.697567,-0.022503,0.602057,-0.046895,-6.048511,188.473827,1588.775195,907.213798,0
0.005208,7.091515,155.339156,-181.335607,-0.498882,-3.712576,-2.934277,6.345391,3.844964,2.867574,-6.163645,-0.011544,0.617082,-0.039427,-88.441860,188.487050,1588.966016,907.332583,0
0.006250,-64.604431,188.609966,-133.238069,0.383298,-1.404895,-4.922538,5.722252,1.514539,4.793856,-5.576600,-0.011544,0.614273,-0.050629,-156.935218,188.478310,1588.933831,906.727395,0
0.007292,-117.029468,199.192837,-49.796780,2.000628,1.204560,-5.974212,4.199853,-1.135677,6.040274,-4.174808,-0.026156,0.597941,-0.031958,-200.139417,188.625471,1588.819265,905.881783,0
0.008333,-167.787158,164.025326,21.653977,3.357828,3.558394,-6.371071,2.252078,-3.377885,6.392796,-2.282034,-0.069992,0.600032,-0.061832,-216.572847,188.475627,1589.125507,906.145122,0
0.009375,-183.916194,113.454662,91.553599,4.624548,5.273179,-5.410673,-0.285254,-5.226787,5.616408,0.119513,-0.110175,0.600946,-0.039427,-198.126237,188.470796,1589.215626,905.523512,0
0.010417,-185.889789,25.276143,141.214584,5.585898,6.316960,-3.878800,-2.759152,-6.189834,4.067828,2.492596,-0.186888,0.555676,-0.054364,-149.877778,188.475362,1589.612562,905.440895,0
0.011458,-157.953210,-53.430946,172.988258,6.185328,6.455421,-1.850854,-4.606180,-6.439785,2.066005,4.388929,-0.234377,0.578409,-0.069301,-80.411760,188.622641,1590.284937,905.707451,0
0.012500,-83.614462,-109.148076,194.384092,6.660348,5.454243,0.962872,-6.173355,-5.473062,-0.674435,5.861877,-0.241683,0.604539,-0.061832,9.118198,188.475145,1591.695331,906.019724,0
0.013542,-7.279434,-155.043430,181.371781,6.411528,3.828215,3.105907,-6.468134,-3.962329,-2.940649,6.327955,-0.285519,0.620479,-0.054364,95.175986,188.477971,1593.038644,906.076465,0
0.014583,64.416512,-188.712909,133.385038,5.484108,1.488582,5.054482,-5.878577,-1.609849,-4.862734,5.740910,-0.248989,0.600750,-0.069301,160.887085,188.473624,1594.852956,906.152611,0
0.015625,116.728124,-198.909192,50.165341,3.923328,-1.039216,6.157748,-4.363641,1.051394,-6.046202,4.299983,-0.234377,0.602318,-0.065566,205.765164,188.560820,1594.966539,905.368140,0
0.016667,167.224937,-164.104108,-21.396212,2.600058,-3.407252,6.526827,-2.386015,3.319332,-6.419707,2.375187,-0.186888,0.603167,-0.028224,221.429514,188.475893,1596.098330,904.219284,0
0.017709,183.546795,-113.243502,-91.542046,1.242858,-5.161089,5.637864,0.132660,5.179261,-5.651713,0.002104,-0.146705,0.601338,-0.069301,201.874524,188.482618,1596.515548,903.968742,0
0.018750,185.769925,-24.992498,-141.203031,0.292818,-6.219072,4.022650,2.602827,6.201120,-4.027593,-2.388769,-0.062686,0.589710,-0.043161,155.899375,188.485516,1597.085179,902.785187,0
0.019792,157.685894,53.642106,-172.902841,-0.329232,-6.318480,2.050264,4.446123,6.465774,-2.097114,-4.238850,-0.048074,0.564364,-0.061832,83.436207,188.635099,1597.544163,903.719654,0
0.020834,83.755475,109.516287,-194.138637,-0.759012,-5.338603,-0.787273,6.013299,5.385103,0.639130,-5.740261,0.006721,0.603625,-0.087972,-4.272841,188.478728,1597.978209,903.642993,0
0.021875,7.261652,155.109619,-181.557198,-0.532812,-3.744528,-2.926340,6.308077,3.833937,2.901147,-6.177876,-0.004238,0.617147,-0.020755,-88.679370,188.476618,1598.552134,903.231595,0
0.022917,-64.207444,188.489156,-135.133902,0.394608,-1.401345,-4.863009,5.733446,1.470430,4.831626,-5.590831,-0.011544,0.615579,-0.058098,-156.946528,188.475048,1599.955948,902.307370,0
0.023958,-116.847988,202.164740,-49.809091,2.023248,1.161956,-5.998024,4.229704,-1.154056,6.069650,-4.171251,-0.040768,0.597680,-0.035692,-198.657807,188.552526,1601.557115,902.460886,0
0.025000,-167.378828,164.109892,21.321591,3.335208,3.505140,-6.347259,2.214764,-3.388912,6.380206,-2.303381,-0.077298,0.601404,-0.043161,-218.156247,188.479348,1601.522631,902.306739,0
0.026046,-184.211099,113.358014,91.627462,4.635858,5.227025,-5.482108,-0.251671,-5.215760,5.633194,0.115955,-0.161317,0.596635,-0.065566,-195.083847,188.474500,1601.544973,902.645815,0
0.027084,-185.855761,25.505681,141.103788,5.585898,6.324061,-3.886737,-2.714376,-6.237618,4.046844,2.471249,-0.205153,0.600097,-0.058098,-149.934328,188.473029,1601.875203,902.621844,0
0.028125,-158.066635,-52.935629,173.049811,5.608518,6.434120,-1.878634,-4.565135,-6.480218,2.107972,4.385371,-0.241683,0.572922,-0.039427,-79.993290,188.698028,1602.212229,903.272513,0
0.029167,-84.136217,-109.268885,193.731629,6.603798,5.440042,0.911281,-6.128579,-5.414250,-0.712205,5.822741,-0.274560,0.602514,-0.061832,9.875968,188.477239,1601.637491,902.074334,0
0.030208,-7.347489,-154.983025,181.864205,6.400218,3.874369,3.078127,-6.434551,-3.995411,-2.877699,6.256798,-0.274560,0.618584,-0.050629,93.920576,188.475281,1600.446941,902.447216,0
0.031250,64.121607,-187.915570,133.902084,5.472798,1.531185,5.014796,-5.878577,-1.613525,-4.774604,5.730237,-0.248989,0.611660,-0.009553,161.294245,188.469253,1599.252908,902.180499,0
0.032291,116.365164,-199.368267,50.633144,3.912018,-1.056968,6.153780,-4.367372,1.007285,-6.054595,4.292867,-0.238030,0.600816,-0.035692,203.503164,188.560977,1599.263794,902.304201,0
0.033333,166.782579,-163.959137,-20.953030,2.577438,-3.371749,6.491109,-2.386015,3.293602,-6.428101,2.428555,-0.197847,0.599836,-0.020755,220.864014,188.510633,1598.938030,902.840001,0
0.034375,184.091235,-113.569686,-90.889584,1.276788,-5.153989,5.633895,0.084152,5.138828,-5.672696,0.016335,-0.154011,0.599901,-0.031958,201.614394,188.446237,1598.808424,903.068406,0
0.035416,185.554417,-25.644867,-141.018372,0.281508,-6.204871,4.046462,2.576707,6.168038,-4.094740,-2.381654,-0.080951,0.601730,-0.050629,155.707105,188.497128,1598.567178,903.531217,0
0.036458,158.173621,52.893090,-173.112122,-0.329232,-6.336231,2.062170,4.453586,6.410638,-2.105507,-4.260197,-0.048074,0.599183,-0.050629,84.024327,188.420202,1598.631944,902.868757,0
0.037500,83.902928,109.649177,-193.695455,-0.713772,-5.313751,-0.779336,5.994642,5.385103,0.643327,-5.704683,0.003068,0.589972,-0.046895,-5.607421,188.495674,1598.129734,902.750856,0
0.038541,7.272995,155.097538,-181.889584,-0.487572,-3.780031,-2.914434,6.364047,3.844964,2.884361,-6.188550,-0.011544,0.615253,-0.035692,-87.978150,188.420356,1598.210133,903.042443,0
0.039583,-64.150731,188.162972,-133.792046,0.338058,-1.376493,-4.882852,5.778222,1.507187,4.798052,-5.608621,-0.018850,0.613097,-0.043161,-156.324478,188.495626,1597.239717,903.791043,0
0.040625,-116.621138,199.494860,-50.498485,1.932768,1.151306,-5.994055,4.218510,-1.106271,6.048667,-4.185482,-0.066339,0.599770,-0.050629,-199.969767,188.495655,1595.833421,903.727635,0
0.041666,-167.254061,164.170297,21.210796,3.346518,3.537093,-6.382977,2.248346,-3.385236,6.380206,-2.257129,-0.080951,0.600881,-0.031958,-216.369267,188.495797,1595.852037,903.106461,0
0.042708,-184.313181,113.756684,90.962690,4.647168,5.280279,-5.482108,-0.221820,-5.208408,5.637391,0.083934,-0.150358,0.597876,-0.009553,-198.567327,188.415054,1595.789131,903.197289,0
0.043750,-185.969186,26.230535,141.017614,5.574588,6.334712,-3.866894,-2.718107,-6.233943,4.059435,2.535291,-0.205153,0.595982,-0.031958,-150.612928,188.473877,1596.580207,902.593991,0
0.044791,-158.543020,-52.464474,173.037501,6.185328,6.405717,-1.803231,-4.598717,-6.491245,2.066005,4.403160,-0.248989,0.606303,-0.050629,-80.988570,188.559694,1597.238876,901.899176,0
0.045833,-84.170244,-109.003105,193.854735,6.626418,5.411639,0.923186,-6.132310,-5.414250,-0.708009,5.819183,-0.259948,0.600424,-0.054364,8.552698,188.479044,1597.213822,901.843266,0
0.046875,-7.426886,-154.717245,181.913448,6.354978,3.888570,3.066222,-6.453208,-3.936599,-2.915469,6.274587,-0.274560,0.615840,-0.024490,94.633106,188.481290,1597.727399,900.871375,0
0.047916,63.735962,-188.060541,134.099053,5.450178,1.524085,4.994953,-5.859920,-1.602498,-4.816571,5.716006,-0.252642,0.610222,-0.039427,160.197175,188.476705,1598.313272,900.381876,0
0.048958,116.240397,-199.090406,50.854735,3.923328,-1.028565,6.137905,-4.333790,1.021988,-6.058792,4.307098,-0.212459,0.601992,-0.024490,205.538964,188.551306,1598.477005,900.277973,0
0.050000,166.703182,-164.067865,-20.842235,2.600058,-3.346897,6.455392,-2.344970,3.289926,-6.411314,2.375187,-0.179582,0.599966,-0.065566,221.056284,188.472339,1598.361614,899.467491,0
0.051041,183.898412,-113.666334,-90.791099,1.254168,-5.132687,5.661675,0.117734,5.160883,-5.639123,0.051913,-0.157664,0.599248,-0.050629,202.541814,188.551846,1598.178523,899.380724,0
0.052083,185.667842,-26.152265,-140.722917,0.281508,-6.201321,4.046462,2.606558,6.142308,-4.056969,-2.356749,-0.066339,0.602971,-0.028224,156.589285,188.476593,1597.706465,898.778536,0
0.053125,158.082881,52.615229,-172.989016,-0.374472,-6.311379,2.010578,4.438661,6.399610,-2.080327,-4.224618,-0.044421,0.588077,-0.043161,84.137427,188.552302,1597.227537,898.392125,0
0.054166,84.549450,109.395478,-193.461554,-0.781632,-5.324402,-0.719807,5.972254,5.363049,0.626540,-5.697567,0.006721,0.602318,-0.069301,-3.673411,188.471686,1597.034189,898.051104,0
0.055208,7.216282,154.759272,-182.111175,-0.521502,-3.829735,-2.890623,6.326734,3.852316,2.838197,-6.128066,-0.011544,0.615187,-0.043161,-88.147800,188.470948,1595.924537,898.011457,0
0.056250,-63.821798,187.462280,-134.432197,0.326748,-1.411995,-4.827292,5.752103,1.569675,4.764479,-5.594389,-0.015197,0.612901,-0.073035,-156.086968,188.479715,1595.226061,898.258868,0
0.057291,-116.416973,199.567345,-51.040152,1.921458,1.158406,-6.001992,4.233435,-1.069514,6.019290,-4.235292,-0.040768,0.598399,-0.046895,-198.341127,188.551449,1594.939030,898.867357,0
0.058333,-166.789018,164.025326,20.804546,3.346518,3.451886,-6.339322,2.278197,-3.322749,6.359222,-2.310497,-0.084604,0.601012,-0.031958,-217.715157,188.476392,1593.920738,899.404105,0
0.059375,-184.664799,114.070788,90.654925,4.635858,5.191522,-5.486077,-0.165850,-5.182678,5.624801,0.073261,-0.117481,0.596831,-0.095440,-196.033887,188.475158,1593.697117,899.322992,0
0.060416,-185.685624,26.641285,140.660606,5.551968,6.270807,-3.878800,-2.650942,-6.226591,4.059435,2.421439,-0.168623,0.601796,-0.020755,-150.726028,188.488339,1592.512185,899.913024,0
0.061458,-158.758528,-51.739620,173.332955,6.241878,6.423469,-1.950068,-4.509164,-6.476542,2.154136,4.310656,-0.208806,0.601926,-0.080503,-80.965950,188.483253,1591.341859,900.995589,0
0.062500,-85.383892,-109.220561,192.832955,6.649038,5.479095,0.875563,-6.091265,-5.451008,-0.603091,5.733795,-0.252642,0.570244,-0.058098,9.027718,188.436107,1589.843539,902.048304,0
0.063541,-7.528969,-154.487708,182.590531,6.422838,3.934724,3.038441,-6.460671,-3.999087,-2.839928,6.295935,-0.278213,0.612640,-0.076769,93.332456,188.420786,1589.600091,903.293086,0
0.064583,63.758647,-186.840369,134.948485,5.529348,1.598641,4.943362,-5.852458,-1.701743,-4.707457,5.730237,-0.263601,0.614469,-0.073035,160.491235,188.496123,1587.968498,904.357233,0
0.065625,116.138314,-199.634047,51.470265,3.934638,-0.993063,6.066471,-4.378567,0.966852,-6.021022,4.346235,-0.208806,0.603559,-0.073035,203.616264,188.496045,1587.604720,905.069477,0
0.066666,166.090687,-163.862490,-20.374432,2.554818,-3.322045,6.443486,-2.404672,3.205384,-6.323183,2.496154,-0.205153,0.600097,-0.043161,220.275894,188.420680,1585.573936,906.001996,0
0.067708,184.442852,-113.932114,-90.310985,1.276788,-5.068782,5.653738,0.031913,5.054286,-5.672696,0.119513,-0.088257,0.599640,-0.069301,202.179894,188.420734,1584.430213,907.082066,0
0.068750,185.191457,-26.550935,-140.489016,0.315438,-6.176469,4.078210,2.498348,6.094523,-4.115723,-2.285592,-0.095563,0.600489,-0.039427,156.125575,188.496177,1583.247549,907.927497,0
0.069791,158.695376,51.817889,-173.358334,-0.329232,-6.300728,2.113761,4.360302,6.410638,-2.181048,-4.192598,-0.044421,0.591148,-0.039427,84.793407,188.420745,1583.161814,909.104688,0
0.070833,85.150603,109.649177,-192.759849,-0.759012,-5.345704,-0.695996,5.942403,5.392455,0.538409,-5.651315,-0.033462,0.582459,-0.024490,-4.736551,188.420696,1582.117474,910.135170,0
0.071875,7.465817,154.529735,-182.615910,-0.510192,-3.851036,-2.819188,6.345391,3.874370,2.800427,-6.174318,-0.015197,0.608328,-0.065566,-87.525750,188.407286,1582.462603,910.738575,0
0.072916,-63.923881,187.063610,-134.875379,0.360678,-1.443948,-4.827292,5.763297,1.595405,4.760282,-5.615736,-0.011544,0.612705,-0.054364,-155.363128,188.474764,1582.515439,911.107273,0
0.073958,-116.178781,199.796883,-51.397159,1.910148,1.130004,-5.986118,4.274480,-1.040108,6.044470,-4.196156,-0.022503,0.599575,-0.058098,-199.879287,188.550611,1582.612413,910.829463,0
0.075000,-166.369345,164.146135,20.558333,3.312588,3.469637,-6.331385,2.281929,-3.319073,6.325649,-2.292708,-0.066339,0.596308,-0.050629,-215.882937,188.476298,1582.249866,910.165719,0
0.076041,-184.630771,114.239920,90.359470,4.647168,5.180871,-5.482108,-0.173313,-5.167975,5.633194,-0.012128,-0.106522,0.596112,-0.024490,-199.098897,188.477959,1581.716412,911.036384,0
0.077083,-185.606226,27.124522,140.488258,5.574588,6.263706,-3.910549,-2.647211,-6.208212,4.113992,2.424997,-0.194194,0.597353,-0.031958,-151.189738,188.476996,1581.729073,911.385575,0
0.078125,-159.053433,-51.389274,173.246781,6.219258,6.473173,-1.934194,-4.516627,-6.469191,2.141546,4.335561,-0.201500,0.596047,-0.073035,-81.701100,188.472012,1582.117904,910.912326,0
0.079180,-83.444324,-109.631312,194.322538,6.660348,5.422290,0.943029,-6.098728,-5.417926,-0.636665,5.812067,-0.256295,0.601404,-0.017021,9.966448,188.473371,1582.983801,911.072142,0
0.080219,-6.757679,-155.055511,181.224054,6.388908,3.909872,3.042410,-6.419626,-3.929247,-2.865109,6.267472,-0.256295,0.614795,-0.069301,95.424806,188.404150,1582.255801,910.367028,0
0.081257,63.996840,-188.108864,133.963637,5.472798,1.563138,4.994953,-5.826338,-1.664985,-4.791391,5.687543,-0.241683,0.612248,-0.050629,160.502545,188.474187,1583.070975,909.940618,0
0.082292,116.047574,-199.440752,51.790341,3.923328,-0.985962,6.070440,-4.344984,0.974203,-6.004235,4.349792,-0.245336,0.601600,-0.035692,205.561584,188.472318,1582.949223,909.724122,0
0.083333,166.022632,-164.116189,-20.251326,2.600058,-3.268791,6.479204,-2.404672,3.198032,-6.352560,2.453460,-0.212459,0.601142,-0.039427,220.683054,188.478885,1583.310208,909.381116,0
0.084375,184.250030,-114.113327,-90.237121,1.231548,-5.026179,5.641832,-0.001670,5.061637,-5.643319,0.091050,-0.150358,0.597680,-0.035692,203.062074,188.487405,1583.359572,908.657435,0
0.085416,185.372937,-26.913362,-140.304356,0.304128,-6.123215,4.094085,2.475960,6.090847,-4.115723,-2.246456,-0.048074,0.599117,-0.065566,157.075615,188.480068,1583.097476,908.796213,0
0.086458,158.718061,51.467543,-173.185985,-0.317922,-6.279427,2.085981,4.315525,6.417989,-2.168458,-4.153461,-0.037115,0.593042,-0.054364,85.030917,188.495159,1582.754552,908.669907,0
0.087500,85.763098,109.455882,-192.378220,-0.759012,-5.331503,-0.620593,5.897626,5.352022,0.496442,-5.615736,-0.037115,0.620674,-0.076769,-3.017431,188.345218,1581.882875,908.374694,0
0.088542,7.454475,154.384764,-182.739016,-0.487572,-3.840386,-2.827125,6.352853,3.885397,2.783640,-6.131624,0.006721,0.617016,-0.043161,-87.797190,188.420743,1581.279648,908.337982,0
0.089583,-63.821798,186.435403,-135.478599,0.360678,-1.532705,-4.779669,5.808073,1.665244,4.667955,-5.601505,-0.007891,0.614403,-0.050629,-155.419678,188.496221,1579.836968,908.914044,0
0.090625,-116.133411,199.869368,-51.963447,1.955388,1.055448,-5.938495,4.311794,-1.010702,5.981520,-4.235292,-0.051727,0.598987,-0.043161,-198.284577,188.496226,1579.183346,909.306162,0
0.091667,-165.995043,164.073649,20.139773,3.301278,3.366679,-6.315511,2.371482,-3.252909,6.296272,-2.367422,-0.110175,0.596374,-0.058098,-217.093107,188.345290,1578.077526,910.087825,0
0.092708,-185.016416,114.421134,90.187121,4.635858,5.148919,-5.509888,-0.102417,-5.145921,5.687751,-0.015686,-0.157664,0.596112,-0.050629,-196.622007,188.420784,1578.346466,910.704677,0
0.093750,-185.311321,27.474868,140.032766,5.574588,6.249505,-3.950235,-2.568852,-6.138373,4.088811,2.318262,-0.216112,0.607544,-0.039427,-150.997468,188.496136,1576.433875,910.694361,0
0.094792,-159.166858,-50.567772,173.468372,6.230568,6.423469,-1.958006,-4.456925,-6.469191,2.179316,4.282193,-0.205153,0.611137,-0.065566,-81.983850,188.496225,1575.933024,911.095641,0
0.095833,-86.699622,-109.160156,191.786554,6.603798,5.464894,0.780317,-6.024101,-5.487765,-0.510764,5.676869,-0.281866,0.606107,-0.054364,8.269948,188.345359,1574.029459,911.762123,0
