1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,53.988145,101.393264,-187.045668,-3.367522,3.088024,-6.004667,2.463967,-2.337131,6.052439,-2.495698,-0.025225,0.169445,-0.074856,-52.761299,188.496100,998.024282,-1305.196062,0
0.001042,10.302633,172.791180,-138.451133,-2.387963,4.955785,-5.489759,0.302767,-4.183274,5.608553,-0.220916,-0.076271,0.192803,-0.026539,-168.035285,188.571453,997.319332,-1305.273470,0
0.002083,-44.355105,196.938921,-82.213196,-1.307070,6.111669,-3.659420,-2.460238,-5.333033,3.926014,2.515635,-0.138256,0.183019,-0.067423,-240.775320,188.571420,996.046426,-1305.449095,0
0.003125,-127.951953,169.302912,-34.359913,-0.395067,6.552006,-1.772763,-4.470040,-5.659463,2.027872,4.661727,-0.174718,0.178747,-0.059989,-303.213989,188.496107,994.379434,-1305.552280,0
0.004167,-182.745291,115.863116,10.917216,0.460640,5.355758,0.451802,-5.393564,-4.788983,-0.187331,5.600406,-0.229410,0.195696,-0.089723,-293.543088,188.571522,993.259805,-1304.532656,0
0.005208,-191.525333,61.871305,79.586313,1.811756,3.976036,2.897617,-6.252745,-3.294659,-2.660410,6.501235,-0.243995,0.196730,-0.071140,-251.132979,188.571473,992.059013,-1303.670028,0
0.006250,-162.043828,16.065766,153.116078,3.207909,1.873428,4.426252,-5.503328,-1.437635,-4.194988,5.933485,-0.214826,0.213610,-0.052556,-171.424040,188.571411,990.404612,-1303.073804,0
0.007292,-101.024231,-30.374004,201.941495,4.209987,-0.618144,5.621000,-4.174814,1.003336,-5.357546,4.476262,-0.163779,0.213817,-0.048839,-63.411674,188.496038,988.867554,-1301.943460,0
0.008333,-54.039141,-101.807156,187.408096,3.894726,-3.014310,6.035341,-2.168797,3.371767,-5.995897,2.617830,-0.156487,0.195765,-0.056273,53.506027,188.571585,987.811433,-1302.381673,0
0.009375,-9.992033,-172.700037,138.728499,2.993982,-4.904088,5.504341,-0.018953,5.156251,-5.446324,0.297628,-0.116379,0.192596,-0.063706,168.599880,188.496092,985.825487,-1302.058463,0
