1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-170.767370,159.801199,28.804477,0.832197,3.876960,-6.435099,2.108182,-3.577565,6.437141,-2.109629,-0.058040,0.619225,-0.056273,-332.418083,188.721929,1645.021517,879.311725,0
0.001042,-180.914703,102.544275,95.893856,2.172053,5.634638,-5.501827,-0.454220,-5.354795,5.540913,0.464168,-0.123671,0.618122,-0.033973,-277.612558,188.721965,1643.561860,879.860185,0
0.002083,-186.801964,18.356042,143.941566,3.117835,6.669429,-3.896761,-2.770602,-6.225275,4.027473,2.913059,-0.160133,0.597866,-0.052556,-202.373175,188.571047,1641.839352,880.739828,0
0.003131,-153.727083,-55.590541,171.671681,3.545688,6.507972,-1.640014,-4.640362,-6.225275,1.871455,4.790417,-0.203887,0.616675,-0.052556,-91.647552,188.495810,1640.763123,881.470485,0
0.004168,-75.203902,-109.230002,196.606911,4.153690,5.509876,1.204051,-6.192186,-5.289509,-0.944051,6.425535,-0.229410,0.639550,-0.086006,41.448361,188.721971,1639.768922,882.436382,0
0.005208,-4.138671,-154.988561,175.232121,3.737096,3.759537,3.243571,-6.279240,-3.639224,-3.057794,6.603430,-0.236703,0.643340,-0.037689,156.970030,188.797264,1639.123015,883.612756,0
0.006250,66.757060,-187.440024,126.066457,2.802574,1.132195,5.327342,-5.688790,-1.161983,-5.137717,5.933485,-0.240349,0.618536,-0.030256,258.238660,188.571002,1637.133355,884.269434,0
0.007292,121.369599,-190.916547,43.580909,1.169976,-1.341030,6.288772,-4.087761,1.304377,-6.164996,4.400562,-0.207533,0.622394,-0.056273,311.749477,188.495687,1635.800977,885.292743,0
0.008333,170.727673,-159.627840,-28.369139,-0.259955,-3.795907,6.522090,-1.971981,3.603895,-6.427100,2.292320,-0.138256,0.622670,-0.033973,318.324339,188.723185,1634.050965,886.043558,0
0.009375,181.134904,-103.463202,-95.519276,-1.520997,-5.560924,5.600887,0.529863,5.294077,-5.602741,-0.232271,-0.083563,0.637070,-0.037689,279.753319,188.586248,1633.221536,888.404814,0
0.010417,186.581468,-19.744770,-143.919385,-2.466778,-6.581037,4.028002,2.948439,6.316891,-4.017433,-2.703873,-0.017932,0.629215,-0.030256,203.692078,188.591520,1632.250181,888.677910,0
0.011458,154.760879,54.331008,-171.309253,-3.052262,-6.474623,1.739073,4.799273,6.320518,-1.878325,-4.611510,-0.010640,0.639412,-0.048839,93.270430,188.590906,1631.778568,889.752236,0
0.012500,75.593602,109.180206,-195.879933,-3.558930,-5.465517,-1.133151,6.404087,5.312212,0.937181,-6.265553,0.047699,0.639343,-0.019106,-41.548008,188.730811,1629.440687,890.750083,0
0.013542,3.115881,154.656885,-175.246394,-3.142336,-3.689493,-3.160603,6.506280,3.680062,3.097426,-6.496438,0.036760,0.630938,-0.067423,-157.486235,188.663467,1628.763373,891.671455,0
0.014583,-67.271354,186.849957,-125.764787,-2.185296,-1.157556,-5.232305,5.896905,1.275361,5.139302,-5.818924,0.014883,0.590356,-0.026539,-257.876715,188.578721,1625.745341,893.325679,0
0.015625,-121.318897,190.901986,-43.692397,-0.552697,1.381719,-6.205804,4.326156,-1.256285,6.208856,-4.335206,-0.032517,0.629835,-0.037689,-316.408745,188.574719,1625.333410,894.409222,0
