1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-172.278788,135.888900,-8.445455,2.713158,6.022287,-0.517410,-5.356185,-5.561280,0.723064,5.146750,-0.216112,0.194037,-0.013287,-144.007888,188.400992,1016.248767,-1295.835497,0
0.001042,-195.519572,81.585237,49.599053,3.844158,4.389159,2.078044,-6.121116,-4.039520,-1.815935,5.861877,-0.216112,0.199132,-0.005818,-169.919098,188.412958,1015.226692,-1295.426459,0
0.002083,-171.745691,34.034799,136.979735,5.461488,2.759582,4.062336,-6.247983,-2.315593,-3.868118,6.071790,-0.263601,0.203444,-0.061832,-177.247978,188.344616,1013.881112,-1295.160387,0
0.003125,-122.337759,-10.169229,189.779925,6.502008,0.395096,5.086231,-4.759166,-0.040304,-4.929881,4.751829,-0.205153,0.207755,-0.009553,-151.404628,188.261789,1012.885234,-1295.065191,0
0.004167,-67.576166,-76.227612,199.259092,6.660348,-2.228559,6.292680,-3.348708,2.679751,-6.121742,3.282438,-0.146705,0.192926,-0.028224,-109.546319,188.344256,1011.237730,-1295.057638,0
0.005208,-24.451979,-149.993612,163.164394,5.970438,-4.138609,5.907728,-1.027796,4.609520,-5.844761,1.137057,-0.143052,0.199328,-0.073035,-70.289310,188.419826,1009.875351,-1293.844709,0
0.006250,21.462463,-203.644907,97.339584,4.760268,-5.665229,4.637781,1.531923,6.098199,-4.606736,-1.289395,-0.099216,0.170585,-0.024490,-15.605461,188.344180,1009.065767,-1293.548806,0
0.007292,95.619731,-184.025519,51.975000,3.923328,-6.304279,2.780484,3.796865,6.859079,-2.860912,-3.505933,-0.055380,0.182278,-0.065566,68.393907,188.269964,1008.390883,-1293.520675,0
0.008333,171.682539,-135.544851,8.666288,3.086388,-5.913748,0.720789,5.222248,6.399610,-0.728992,-4.993113,-0.000585,0.192534,0.016587,148.615735,188.270024,1007.245395,-1292.412167,0
0.009375,195.150173,-80.782113,-49.107387,1.978008,-4.273520,-1.942131,6.009567,4.863147,1.843581,-5.750935,0.028639,0.195866,-0.031958,173.961445,188.423581,1007.044504,-1292.459042,0
