1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-129.381451,186.991124,-34.371591,2.272068,0.306339,-4.616957,3.886418,-0.213064,4.672152,-3.783445,-0.069992,0.550646,-0.043161,-92.208090,188.644463,1064.422775,966.265824,0
0.001047,-172.154021,154.396845,39.652083,3.674508,2.187987,-5.152716,2.449840,-2.095048,5.125394,-2.424348,-0.051727,0.552149,-0.024490,-148.599748,188.567671,1064.048223,966.126142,0
0.002081,-175.851676,97.604516,108.689962,4.941228,3.828215,-4.775700,0.539379,-3.760163,4.810643,-0.538689,-0.117481,0.549536,-0.031958,-170.247088,188.493615,1063.174536,965.812494,0
0.003120,-177.734531,12.337495,151.838637,5.766858,4.857796,-3.775617,-1.333769,-4.745264,3.837010,1.243792,-0.135746,0.555611,-0.039427,-191.272377,188.644062,1063.123194,965.369213,0
0.004162,-146.916957,-65.052776,170.452273,6.106158,5.006908,-2.108812,-3.024079,-5.039324,2.250660,2.880402,-0.212459,0.546400,0.005384,-167.317798,188.646062,1063.265543,965.215807,0
0.005204,-67.587509,-122.485394,189.324432,6.513318,4.644779,0.105658,-4.628568,-4.609261,0.085166,4.417391,-0.234377,0.527064,-0.050629,-104.343719,188.572552,1063.179798,964.157238,0
0.006245,7.851462,-161.325500,167.423864,6.049608,3.608098,1.728809,-5.020362,-3.675621,-1.580921,4.844333,-0.234377,0.564952,-0.020755,-35.906911,188.495761,1061.895335,964.428788,0
0.007287,77.823348,-183.493959,116.617993,5.144808,1.719350,3.677383,-4.912152,-1.749528,-3.503006,4.730482,-0.230724,0.559661,-0.002084,32.541208,188.721835,1060.554379,964.093829,0
0.008329,129.318300,-186.526266,36.032765,3.674508,-0.130345,4.736995,-4.053937,0.106726,-4.652900,4.015355,-0.216112,0.560249,-0.050629,94.248566,188.646476,1059.375936,964.709666,0
0.009370,171.773279,-154.258171,-36.489015,2.283378,-1.990691,5.276723,-2.602434,1.922547,-5.198470,2.677604,-0.190541,0.561490,-0.046895,153.049255,188.571151,1059.069190,965.737098,0
0.010412,175.470934,-98.130291,-108.296781,0.903558,-3.648671,4.887802,-0.658391,3.661177,-4.929881,0.799061,-0.132093,0.550515,0.001650,175.771045,188.495642,1057.979152,966.787279,0
0.011454,177.036200,-11.002811,-151.494697,0.089238,-4.692452,3.919467,1.181175,4.686711,-3.926872,-1.008325,-0.102869,0.527717,-0.028224,196.140354,188.721907,1057.066588,966.942851,0
0.012495,145.957748,66.967343,-169.751326,-0.261372,-4.909019,2.288379,2.789395,5.013853,-2.369899,-2.620029,-0.044421,0.553390,-0.009553,170.930365,188.646589,1055.067881,967.294716,0
0.013537,67.070657,123.288518,-188.438826,-0.645912,-4.568193,0.093752,4.427466,4.635250,-0.200209,-4.181924,-0.040768,0.552149,-0.031958,109.268246,188.571205,1052.684494,967.654474,0
0.014579,-7.234064,161.391689,-167.510796,-0.250062,-3.563464,-1.497650,4.849111,3.620743,1.432305,-4.697812,-0.022503,0.562470,-0.013287,43.048198,188.495779,1050.733848,968.826482,0
0.015620,-77.262662,183.040669,-116.938826,0.699978,-1.706668,-3.462099,4.774484,1.757138,3.345997,-4.583961,-0.000585,0.558550,-0.043161,-25.083241,188.721905,1048.546230,969.445905,0
