1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,139.257381,-185.455118,21.185379,0.674567,-2.005205,6.385318,-3.682773,1.801276,-6.266456,3.807941,-0.196595,0.631764,-0.071140,-146.239168,188.269472,1572.597578,922.005922,0
0.001042,169.518581,-153.532180,-55.965585,-0.822920,-4.038093,6.240499,-1.544283,3.865039,-6.215726,1.680774,-0.130964,0.629491,-0.056273,-176.287637,188.420276,1572.384111,921.706833,0
0.002083,189.994046,-73.807052,-110.611653,-1.824998,-5.902185,5.106092,1.271711,5.547967,-5.125035,-1.150402,-0.123671,0.613161,-0.104590,-182.986340,188.420215,1572.185083,921.290017,0
0.003125,177.801427,1.419738,-156.897370,-2.737001,-6.489300,3.521139,3.164180,6.244351,-3.586230,-3.152664,-0.072625,0.596763,-0.056273,-162.327314,188.269463,1572.542980,921.407588,0
0.004167,130.669438,69.153211,-186.596056,-3.299967,-6.184734,0.862120,5.287530,5.845381,-1.062420,-5.223056,-0.014286,0.618398,-0.086006,-118.982764,188.269472,1572.899938,921.151156,0
0.005208,51.253563,122.546027,-194.506794,-3.435078,-4.951791,-1.656105,6.271614,4.789924,1.524801,-6.358555,-0.021578,0.620327,-0.078573,-51.455333,188.420283,1573.315026,921.182047,0
0.006250,-19.427470,171.428759,-162.013224,-2.928410,-3.084030,-3.888715,6.491141,2.987305,3.701957,-6.559160,0.003945,0.650161,-0.078573,21.521127,188.420235,1574.625536,921.069687,0
0.007292,-88.842911,181.529468,-110.149889,-1.903813,-0.456687,-5.534009,5.446498,0.495556,5.439454,-5.601556,-0.003348,0.640859,-0.100873,84.860461,188.269472,1575.845590,920.691444,0
0.008333,-139.455277,185.099951,-21.831539,-0.192400,2.082588,-6.427053,3.834114,-1.901891,6.339908,-3.939943,-0.039809,0.635623,-0.078573,146.646147,188.269512,1577.349080,919.664149,0
0.009375,-169.795576,153.787754,55.295121,1.305087,4.141162,-6.201781,1.619925,-3.962027,6.263814,-1.801421,-0.090856,0.634314,-0.100873,176.784682,188.420316,1579.328717,919.234715,0
0.010417,-190.655239,74.626386,110.621682,2.385980,5.942874,-5.043237,-1.165789,-5.619566,5.151985,1.052465,-0.160133,0.615435,-0.067423,183.742326,188.495788,1581.273024,918.545376,0
0.011458,-177.705524,-0.753089,157.065371,3.275465,6.500633,-3.466330,-3.050688,-6.232529,3.621635,3.035803,-0.207533,0.609303,-0.082290,162.520384,188.269583,1582.149280,917.258553,0
0.012500,-130.663935,-68.885892,186.751905,3.905986,6.166711,-0.811333,-5.128619,-5.848067,0.983683,5.094840,-0.247641,0.600691,-0.067423,119.029476,188.194159,1583.003416,915.422971,0
0.013542,-49.835569,-122.525354,194.589734,4.074875,4.919091,1.694823,-6.135412,-4.759967,-1.573946,6.230338,-0.284103,0.626046,-0.115740,51.220587,188.420311,1582.717509,914.199522,0
0.014583,20.800264,-171.349360,162.205529,3.421836,3.102702,3.943525,-6.366293,-3.019007,-3.742647,6.408233,-0.298688,0.659876,-0.093440,-21.474415,188.495571,1584.143408,913.533606,0
0.015625,89.390811,-181.473559,110.099160,2.487314,0.508384,5.580773,-5.306511,-0.523631,-5.454779,5.469554,-0.262226,0.634314,-0.104590,-84.262091,188.269456,1585.930072,912.570277,0
0.016667,139.166982,-185.666528,22.400546,0.775900,-2.060247,6.501976,-3.667633,1.855681,-6.372143,3.857146,-0.233057,0.642375,-0.052556,-146.025260,188.269545,1588.065368,912.763586,0
0.017708,169.699380,-153.872785,-54.373716,-0.777883,-4.133499,6.252568,-1.438304,3.930325,-6.270683,1.673204,-0.192949,0.638723,-0.078573,-176.400220,188.420263,1589.644601,912.277522,0
0.018750,190.615542,-76.038604,-109.979766,-1.836257,-5.986583,5.085978,1.336055,5.587864,-5.133490,-1.180682,-0.149195,0.629077,-0.071140,-183.819456,188.495788,1591.284140,911.444034,0
0.019792,178.050025,-0.835304,-156.958129,-2.782039,-6.544343,3.460798,3.285298,6.229843,-3.590457,-3.194299,-0.083563,0.640032,-0.086006,-162.755131,188.269539,1592.153013,910.410370,0
0.020833,131.539532,68.013945,-186.778331,-3.378782,-6.133362,0.801779,5.291315,5.874397,-0.956733,-5.249551,-0.047102,0.633418,-0.089723,-119.061573,188.344910,1593.582062,908.927632,0
0.021875,51.400462,122.181932,-194.555401,-3.468856,-4.904088,-1.700354,6.256474,4.742773,1.605124,-6.392620,0.003945,0.604204,-0.112023,-50.892417,188.420343,1594.486400,907.611085,0
0.022917,-20.195865,171.029429,-162.219802,-2.917150,-3.003301,-3.932965,6.487356,2.958289,3.807644,-6.536450,-0.021578,0.588289,-0.115740,22.174110,188.495781,1595.279492,906.696919,0
0.023958,-89.114110,181.799603,-109.189907,-1.824998,-0.397976,-5.554123,5.408648,0.448405,5.464819,-5.559921,-0.006994,0.609716,-0.048839,84.995561,188.269485,1595.317146,906.114373,0
0.025000,-138.698182,185.558006,-20.993074,-0.113585,2.108274,-6.475326,3.834114,-1.923653,6.348363,-3.924803,-0.090856,0.630318,-0.093440,146.488530,188.345010,1595.467850,905.818670,0
0.026042,-169.354879,153.822989,55.173604,1.350125,4.163179,-6.217872,1.653990,-3.994670,6.242676,-1.778711,-0.098148,0.633694,-0.063706,176.762165,188.420312,1595.629179,905.078093,0
0.027083,-190.530939,75.389811,110.232829,2.442277,6.005255,-5.063350,-1.143079,-5.677598,5.173122,1.060035,-0.156487,0.632660,-0.071140,184.260209,188.495606,1596.659927,904.926215,0
0.028125,-178.157521,1.149603,157.284102,3.309243,6.552006,-3.474375,-3.084752,-6.308696,3.600497,3.081222,-0.192949,0.615297,-0.052556,163.905158,188.269527,1598.546097,904.232145,0
0.029167,-132.076426,-67.088906,186.836967,3.905986,6.144695,-0.734901,-5.162683,-5.953250,1.009048,5.094840,-0.218472,0.641755,-0.104590,120.380475,188.344898,1599.924892,904.601717,0
0.030208,-52.445852,-122.008573,194.699099,4.063616,4.908082,1.763209,-6.124057,-4.788983,-1.611993,6.211413,-0.295042,0.643960,-0.071140,52.166287,188.420374,1600.890900,903.691049,0
