1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-128.663848,186.074787,-27.141820,-0.214918,3.403598,-4.238692,0.601777,-3.029888,4.205028,-0.643213,-0.098148,0.413558,-0.071140,129.859985,188.571460,1224.908417,-23.129856,0
0.001042,-165.942302,148.091424,40.846783,1.068642,4.133823,-3.257148,-0.976542,-3.787931,3.384895,0.927560,-0.152841,0.418243,-0.100873,163.848867,188.571587,1225.977779,-23.889302,0
0.002083,-192.440627,74.497191,92.673663,2.093238,4.735617,-1.764718,-2.831161,-4.223171,1.846090,2.831413,-0.207533,0.430921,-0.071140,190.339705,188.646964,1227.182237,-25.046499,0
0.003125,-175.445539,8.760369,149.810823,3.151613,4.163179,-0.392970,-3.557870,-3.864098,0.544025,3.558132,-0.229410,0.421688,-0.093440,167.383981,188.722308,1227.690309,-25.407477,0
0.004167,-129.398343,-52.666034,187.942769,3.928504,3.216455,1.473573,-4.277008,-2.902943,-1.316069,4.334056,-0.192949,0.429405,-0.067423,122.969890,188.571560,1228.483508,-26.414138,0
0.005208,-57.293520,-107.879326,192.110793,4.007319,1.623904,3.078640,-4.129395,-1.372349,-2.985927,4.281066,-0.258580,0.425340,-0.056273,51.513304,188.571581,1229.726096,-26.897558,0
0.006250,8.585045,-164.525510,163.092601,3.444354,-0.053045,4.100411,-3.467031,0.180007,-3.979386,3.573272,-0.214826,0.418932,-0.048839,-14.325379,188.722357,1230.709354,-27.238810,0
0.007292,69.909739,-181.450069,108.203500,2.329684,-1.862095,4.345797,-1.915207,1.917340,-4.287992,2.085769,-0.178364,0.412731,-0.067423,-71.911709,188.722313,1230.209994,-27.067278,0
0.008333,128.816250,-186.371228,28.087528,0.798419,-3.428960,4.265343,-0.393661,3.429799,-4.233035,0.473361,-0.152841,0.412662,-0.052556,-129.295390,188.571558,1230.705184,-27.523875,0
0.009375,166.173803,-148.246926,-40.618024,-0.518919,-4.129829,3.303912,1.188443,4.158826,-3.332580,-1.063347,-0.112733,0.416107,-0.089723,-163.250497,188.571585,1230.412306,-27.960589,0
0.010417,192.434830,-74.159402,-92.250477,-1.520997,-4.632547,1.835618,3.001428,4.608574,-1.840278,-2.993694,-0.087210,0.411147,-0.048839,-190.045309,188.722291,1230.418747,-28.609831,0
0.011458,175.417142,-7.529960,-149.071694,-2.601890,-4.137168,0.451802,3.675147,4.234993,-0.495937,-3.731768,-0.061686,0.403912,-0.086006,-166.785611,188.722387,1229.713147,-28.478209,0
0.012500,128.465953,53.849463,-187.616796,-3.423819,-3.208792,-1.430832,4.439704,3.281092,1.334565,-4.439562,-0.065333,0.395369,-0.059989,-121.290721,188.571545,1230.140193,-28.512370,0
0.013542,55.389335,107.946979,-192.307341,-3.468856,-1.619910,-2.963489,4.242887,1.783141,2.987512,-4.390357,-0.054394,0.420517,-0.063706,-49.912943,188.571475,1230.532122,-28.790375,0
0.014583,-9.958133,164.146853,-162.778779,-2.928410,0.013005,-4.041579,3.644867,0.219904,3.926014,-3.671208,-0.058040,0.396540,-0.067423,15.013815,188.722367,1229.898563,-28.672643,0
