1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,81.232265,66.064273,-201.226669,-3.603968,-0.284222,-5.622509,5.329165,0.695041,5.524004,-5.393381,0.011237,0.346932,-0.078573,-74.636224,188.495993,1530.357602,-917.647274,0
0.001042,26.246828,146.411888,-176.449410,-3.198633,2.236706,-6.583939,3.803835,-1.785827,6.500553,-3.879383,-0.050748,0.338802,-0.067423,-20.843949,188.495772,1530.541758,-918.535137,0
0.002083,-23.348544,186.802977,-120.247928,-2.083962,4.273263,-5.976508,1.271711,-3.682748,6.132762,-1.403996,-0.090856,0.325780,-0.093440,26.384723,188.571185,1531.392610,-917.794599,0
0.003125,-90.413601,197.103351,-56.196467,-0.811661,6.302482,-4.998987,-1.445874,-5.626820,5.122392,1.446105,-0.141902,0.312413,-0.056273,94.587654,188.495736,1531.299634,-917.037464,0
0.004167,-154.348579,156.888437,-2.510381,0.303010,6.680438,-3.076126,-3.535160,-6.098330,3.283436,3.577057,-0.192949,0.321301,-0.063706,154.110416,188.495879,1531.320245,-916.324924,0
0.005208,-202.407161,91.915041,46.460856,1.215013,6.258448,-0.509629,-5.450339,-5.597804,0.713124,5.541469,-0.233057,0.328536,-0.059989,199.796697,188.495866,1530.600189,-916.285524,0
0.006250,-184.496779,38.510480,122.190074,2.656203,5.003489,1.771255,-6.146767,-4.542347,-1.573946,6.381738,-0.251287,0.355475,-0.067423,177.246273,188.571246,1530.390697,-915.493810,0
0.007292,-138.291385,-10.560172,188.428836,3.939764,3.179761,3.822843,-6.298165,-2.768744,-3.569320,6.536923,-0.254934,0.354373,-0.056273,132.381849,188.495772,1529.876425,-914.621304,0
0.008333,-81.554460,-66.149305,201.054423,4.164950,0.365275,5.604909,-5.151328,-0.139169,-5.404049,5.393854,-0.240349,0.343211,-0.052556,75.887577,188.495835,1529.758917,-913.782646,0
0.009375,-26.693322,-146.896249,176.508046,3.737096,-2.155653,6.618635,-3.644923,2.330818,-6.465148,3.887426,-0.211179,0.340180,-0.059989,21.802585,188.495839,1529.539953,-913.595591,0
0.010417,23.444447,-186.899754,120.804783,2.633685,-4.221566,6.051432,-1.131724,4.278517,-6.021262,1.412040,-0.145548,0.324402,-0.089723,-26.045295,188.495897,1528.975503,-913.867584,0
0.011458,91.074500,-197.082678,56.826232,1.361384,-6.236107,5.098046,1.623710,6.237097,-5.040485,-1.407781,-0.090856,0.317029,-0.056273,-94.394583,188.495899,1528.980402,-913.202477,0
0.012500,154.546180,-156.949978,2.872809,0.303010,-6.617732,3.147026,3.697856,6.719488,-3.239576,-3.557659,-0.054394,0.322817,-0.052556,-153.849796,188.495834,1528.708271,-912.769021,0
0.013542,202.559563,-91.906112,-46.049821,-0.642772,-6.232437,0.552370,5.658454,6.247978,-0.686174,-5.510716,-0.025225,0.325573,-0.056273,-199.671177,188.495915,1528.831273,-912.326168,0
0.014583,184.264984,-37.820341,-121.973466,-2.072703,-4.915097,-1.756673,6.404087,5.119981,1.676991,-6.426685,-0.010640,0.330327,-0.093440,-176.388962,188.495808,1529.201343,-911.735089,0
0.015625,137.494593,11.391252,-188.358048,-3.401300,-3.186775,-3.816306,6.498710,3.418918,3.744232,-6.532665,0.018530,0.311311,-0.086006,-131.164272,188.495917,1529.565649,-910.823130,0
0.016667,79.819774,66.369644,-201.178062,-3.649005,-0.265874,-5.594350,5.332950,0.720430,5.528231,-5.435016,-0.010640,0.319647,-0.082290,-74.658740,188.495808,1530.275384,-909.988900,0
