1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-180.207196,111.316342,8.777083,3.063768,5.574952,0.284244,-5.699471,-5.190030,-0.057521,5.434936,-0.263601,0.205403,-0.065566,-5.222881,188.496020,1057.153601,-1297.798362,0
0.001042,-192.060109,62.461166,82.566856,4.454898,4.279101,2.724923,-6.632314,-3.881463,-2.562947,6.359976,-0.300131,0.206906,-0.084238,1.201198,188.495924,1058.048433,-1298.642194,0
0.002083,-154.879392,19.151125,155.211743,5.823408,2.113431,4.486975,-6.031563,-1.720122,-4.291984,5.851204,-0.281866,0.209584,-0.076769,13.427308,188.495997,1059.449141,-1299.400522,0
0.003125,-95.456032,-29.087925,206.990152,6.796068,-0.506674,5.808513,-4.658419,0.838201,-5.685286,4.556147,-0.256295,0.216705,-0.065566,24.669448,188.495861,1060.846722,-1300.096585,0
0.004167,-54.055906,-104.279471,183.021402,6.332358,-3.069975,6.344272,-2.613629,3.396523,-6.230856,2.588658,-0.216112,0.204424,-0.069301,28.661878,188.495872,1060.835399,-1300.052995,0
0.005208,-14.130304,-182.213383,133.606629,5.427558,-4.958723,5.868042,-0.352418,5.432888,-5.916104,0.432603,-0.150358,0.186329,-0.084238,29.521438,188.495966,1061.756043,-1301.752727,0
0.006250,42.196554,-195.804400,79.366099,4.409658,-6.279427,4.177425,2.490885,6.649562,-4.174477,-2.314055,-0.099216,0.199720,-0.061832,18.437638,188.495991,1061.340866,-1302.359202,0
0.007292,132.426145,-170.869414,35.540341,3.629268,-6.758714,2.367751,4.494631,7.292818,-2.470619,-4.295775,-0.051727,0.190705,-0.061832,9.299158,188.496071,1062.943925,-1302.971104,0
0.008333,179.928537,-110.223276,-8.482386,2.814948,-5.572921,-0.156268,5.595385,6.065117,-0.015554,-5.352456,-0.048074,0.205991,-0.058098,9.016408,188.495826,1063.298726,-1303.002355,0
0.009375,191.906218,-62.080874,-82.284470,1.378578,-4.262869,-2.648539,6.483451,4.749199,2.519248,-6.323748,0.003068,0.203640,-0.050629,3.270928,188.495908,1064.378462,-1303.675378,0
0.010417,154.215089,-19.773548,-155.778788,-0.001242,-2.036844,-4.446308,5.927477,2.543749,4.328023,-5.779397,-0.029809,0.214876,-0.024490,-9.068281,188.571196,1065.175556,-1304.723442,0
0.011458,96.005376,29.045385,-206.990910,-0.962592,0.558409,-5.724192,4.513288,-0.003546,5.683555,-4.502130,-0.059033,0.212916,-0.039427,-18.794881,188.495893,1066.690113,-1305.778432,0
0.012500,54.525852,105.275890,-182.615910,-0.521502,3.143012,-6.347259,2.505811,-2.587599,6.304665,-2.563104,-0.106522,0.203444,-0.073035,-23.386741,188.495653,1068.173750,-1306.776617,0
0.013542,14.441455,182.327895,-133.681250,0.371988,5.060162,-5.839281,0.214750,-4.601910,5.901783,-0.314545,-0.135746,0.199198,-0.054364,-26.055901,188.495873,1067.189491,-1308.515613,0
0.014583,-42.429843,196.293420,-79.391478,1.389888,6.416368,-4.112947,-2.673330,-5.884746,4.227302,2.442786,-0.172276,0.186067,-0.080503,-13.422631,188.495794,1068.267106,-1310.861404,0
0.015625,-132.500639,171.334273,-35.381061,2.226828,6.920508,-2.239775,-4.729315,-6.461839,2.447904,4.499222,-0.263601,0.186459,-0.076769,-4.193671,188.495797,1069.084715,-1312.411023,0
0.016667,-181.023856,109.516287,8.296970,3.052458,5.681461,0.272339,-5.856189,-5.278248,-0.091095,5.523882,-0.270907,0.202660,-0.080503,-5.121091,188.495743,1070.020005,-1313.525063,0
0.017708,-192.162192,61.772554,82.505303,4.454898,4.357207,2.736829,-6.692016,-3.954978,-2.567143,6.495174,-0.285519,0.193972,-0.054364,0.794038,188.495825,1071.744196,-1314.615412,0
0.018750,-153.370840,19.863898,156.615152,5.879958,2.141833,4.594126,-6.165893,-1.778934,-4.371721,5.943708,-0.256295,0.230423,-0.043161,13.777918,188.495962,1073.253340,-1315.626530,0
0.019792,-95.410662,-28.822145,207.002463,6.739518,-0.485373,5.848199,-4.688270,0.874958,-5.756630,4.648651,-0.219765,0.196062,-0.050629,24.126568,188.495892,1074.155375,-1316.903097,0
0.020833,-54.464236,-105.366753,182.590531,6.332358,-3.087727,6.383958,-2.703181,3.400198,-6.360954,2.663373,-0.205153,0.198936,-0.050629,28.413058,188.495911,1076.195663,-1317.874600,0
0.021875,-14.958306,-182.128817,133.778978,5.461488,-4.980025,5.883916,-0.337493,5.399806,-5.970661,0.475297,-0.183235,0.202203,-0.080503,28.978558,188.495855,1076.847740,-1317.799505,0
0.022917,42.355349,-196.082261,79.920076,4.420968,-6.357533,4.185362,2.520736,6.759834,-4.266804,-2.282034,-0.091910,0.191816,-0.073035,18.607288,188.495731,1078.615501,-1318.938896,0
0.023958,132.426145,-170.893576,36.229735,3.584028,-6.861672,2.347908,4.576721,7.366333,-2.512586,-4.388279,-0.069992,0.189660,-0.035692,9.287848,188.495995,1079.239489,-1320.578369,0
0.025000,180.699827,-109.256804,-7.916099,2.758398,-5.647477,-0.164206,5.666281,6.171714,0.039003,-5.448518,-0.029809,0.205469,-0.058098,9.355708,188.571371,1080.151822,-1322.328141,0
0.026042,191.633998,-61.658042,-82.210606,1.367268,-4.259318,-2.680288,6.502108,4.793308,2.590592,-6.362884,-0.004238,0.204228,-0.054364,3.757258,188.495835,1080.483229,-1323.162327,0
0.027083,153.103523,-19.676900,-156.566667,-0.023862,-2.054596,-4.501868,5.961060,2.573155,4.369990,-5.811418,-0.040768,0.218011,-0.054364,-8.751601,188.495973,1081.215120,-1323.345861,0
0.028125,95.052606,28.755444,-207.003220,-0.985212,0.608113,-5.755940,4.498363,-0.036628,5.771685,-4.498573,-0.044421,0.214614,-0.061832,-19.371691,188.495906,1081.161935,-1324.174287,0
0.029167,53.697849,105.179242,-182.468182,-0.498882,3.167864,-6.347259,2.479691,-2.576571,6.296272,-2.552430,-0.095563,0.194037,-0.069301,-23.431981,188.497086,1081.118940,-1323.651838,0
0.030208,14.747702,182.581594,-133.053409,0.349368,5.063712,-5.799595,0.173705,-4.638667,5.943750,-0.350123,-0.139399,0.184630,-0.080503,-26.021971,188.495609,1081.865551,-1323.916350,0
0.031250,-42.373130,196.257178,-79.588447,1.355958,6.395066,-4.089135,-2.684525,-5.829610,4.202122,2.424997,-0.132093,0.183846,-0.039427,-13.750621,188.570948,1081.400830,-1323.249277,0
0.032291,-132.954339,171.104736,-36.489015,2.192898,6.941809,-2.223901,-4.766629,-6.417730,2.502461,4.502780,-0.248989,0.188092,-0.091706,-4.793101,188.540603,1081.478116,-1323.009770,0
0.033333,-181.023856,109.830390,7.681439,3.063768,5.692111,0.296150,-5.874846,-5.318681,-0.057521,5.548787,-0.263601,0.205142,-0.073035,-5.426461,188.485268,1082.000065,-1323.427515,0
0.034375,-192.003397,62.787350,82.603788,4.454898,4.367858,2.800326,-6.692016,-3.969681,-2.562947,6.516521,-0.278213,0.206841,-0.039427,1.008928,188.508308,1082.153360,-1323.901678,0
0.035417,-153.438895,20.310892,156.565910,5.834718,2.124082,4.546503,-6.128579,-1.760555,-4.359131,5.929476,-0.292825,0.218011,-0.073035,13.596958,188.370318,1081.712311,-1323.895092,0
0.036458,-95.251867,-28.568446,207.150190,6.784758,-0.503124,5.895822,-4.654688,0.849228,-5.727253,4.616631,-0.234377,0.209062,-0.065566,24.635518,188.497280,1081.405476,-1323.320636,0
0.037500,-54.214701,-104.726465,182.479735,6.366288,-3.126780,6.419675,-2.639748,3.455335,-6.323183,2.649142,-0.208806,0.205991,-0.061832,28.865458,188.495493,1080.528058,-1323.459041,0
0.038542,-15.162471,-182.442920,133.015720,4.816818,-5.047480,5.860105,-0.326299,5.440240,-5.937088,0.418372,-0.164970,0.193253,-0.091706,29.566678,188.495687,1079.703153,-1323.887545,0
0.039583,41.822251,-195.876885,79.082955,4.443588,-6.346882,4.169488,2.535662,6.792916,-4.199657,-2.356749,-0.099216,0.152490,-0.069301,18.403708,188.570993,1078.475560,-1324.566056,0
0.040625,132.460173,-170.543230,35.946591,3.651888,-6.829720,2.387594,4.546870,7.355306,-2.483210,-4.384721,-0.029809,0.189203,-0.050629,9.027718,188.495743,1078.126695,-1324.338799,0
0.041667,180.699827,-108.821891,-7.571402,2.803638,-5.629726,-0.211829,5.733446,6.145984,0.097757,-5.469865,-0.062686,0.203378,-0.058098,9.140818,188.495544,1077.294992,-1324.785220,0
0.042708,191.668025,-62.697000,-82.062879,1.401198,-4.284170,-2.648539,6.558079,4.778605,2.590592,-6.366442,-0.018850,0.206645,-0.043161,3.485818,188.495839,1076.948594,-1325.209268,0
0.043750,153.171578,-20.740020,-156.923675,-0.057792,-2.047495,-4.501868,6.002105,2.576830,4.395170,-5.800744,-0.022503,0.219710,-0.054364,-9.271861,188.646686,1076.709624,-1325.773677,0
0.044792,95.846581,28.320531,-207.015531,-1.019142,0.608113,-5.728160,4.528213,-0.051331,5.763292,-4.505688,-0.048074,0.218860,-0.058098,-18.727021,188.496263,1076.468501,-1326.214983,0
0.045835,54.707332,105.710802,-182.246591,-0.487572,3.228218,-6.379008,2.528199,-2.609653,6.355025,-2.541757,-0.095563,0.203182,-0.073035,-23.646871,188.496282,1076.628099,-1327.365097,0
0.046875,15.632417,182.219167,-133.275000,0.349368,5.124067,-5.819438,0.140122,-4.631316,5.994110,-0.318103,-0.164970,0.197107,-0.069301,-26.055901,188.496310,1076.416948,-1328.005925,0
0.047917,-42.112253,196.305501,-79.157576,1.333338,6.512226,-4.140727,-2.733032,-5.925180,4.260876,2.485481,-0.227071,0.182278,-0.095440,-13.411321,188.571775,1077.066345,-1329.462764,0
0.048958,-132.568694,171.008088,-35.762690,2.226828,6.959561,-2.303272,-4.766629,-6.553733,2.435314,4.524127,-0.245336,0.185414,-0.058098,-4.046641,188.496670,1077.395473,-1330.713464,0
0.050000,-181.590981,108.755190,7.607576,3.052458,5.713413,0.304087,-5.908428,-5.307654,-0.061718,5.623501,-0.274560,0.202203,-0.039427,-5.234191,188.496943,1077.593859,-1331.222656,0
0.051042,-192.026082,62.243710,82.037500,4.454898,4.389159,2.808264,-6.751718,-3.988059,-2.588127,6.552100,-0.263601,0.205665,-0.061832,0.590458,188.495731,1077.755013,-1331.622101,0
0.052083,-152.690290,20.697481,157.181440,5.868648,2.138283,4.629844,-6.192012,-1.753203,-4.434672,6.000633,-0.270907,0.226830,-0.043161,13.823158,188.571120,1078.304568,-1332.837430,0
0.053125,-95.251867,-28.375151,206.977842,6.784758,-0.531526,5.899790,-4.706927,0.856579,-5.781810,4.620189,-0.256295,0.199655,-0.054364,24.081328,188.495758,1078.359065,-1333.459157,0
0.054167,-54.759141,-105.233863,182.295076,6.343668,-3.094827,6.459361,-2.643480,3.495768,-6.365150,2.691836,-0.227071,0.188027,-0.020755,28.480918,188.495729,1079.041362,-1334.271373,0
0.055208,-15.752281,-182.044250,133.582008,5.450178,-5.043930,5.887885,-0.277791,5.443915,-5.941284,0.432603,-0.135746,0.204750,-0.073035,28.910698,188.495662,1078.892485,-1334.568722,0
0.056250,41.833594,-195.949371,79.944697,4.420968,-6.371734,4.205205,2.610289,6.770861,-4.233230,-2.353191,-0.117481,0.183258,-0.050629,18.595978,188.495412,1079.095129,-1334.678855,0
0.057292,132.199295,-170.639877,36.475947,3.595338,-6.829720,2.343939,4.606572,7.370009,-2.441243,-4.420300,-0.069992,0.186590,-0.043161,9.186058,188.495944,1078.447179,-1335.510794,0
0.058333,180.926677,-108.858134,-7.300568,2.724468,-5.636826,-0.203891,5.714789,6.138632,0.076773,-5.455633,0.017680,0.202660,-0.039427,9.446188,188.571279,1078.505946,-1335.271855,0
0.059375,191.509230,-61.960065,-81.681250,1.355958,-4.220265,-2.731879,6.531959,4.749199,2.653542,-6.366442,0.024986,0.201027,-0.069301,3.881668,188.495926,1077.792255,-1335.587614,0
0.060417,152.956071,-20.256784,-156.665152,-0.046482,-1.972939,-4.462182,5.938671,2.536397,4.424547,-5.768724,0.024986,0.215855,-0.031958,-8.774221,188.571288,1077.078531,-1335.627631,0
0.061458,95.018578,28.284288,-206.904735,-0.973902,0.632965,-5.740066,4.468512,-0.099116,5.754898,-4.477225,-0.062686,0.207037,-0.087972,-19.337761,188.495949,1076.352283,-1335.476013,0
0.062500,53.902014,104.804734,-182.394319,-0.498882,3.185615,-6.307573,2.457303,-2.661114,6.308862,-2.452811,-0.099216,0.196977,-0.069301,-23.454601,188.571339,1074.642334,-1335.543309,0
0.063542,15.382882,182.315815,-133.016478,0.383298,5.092114,-5.751972,0.140122,-4.642343,5.914373,-0.261177,-0.154011,0.207363,-0.035692,-25.976731,188.495828,1073.427063,-1335.463418,0
0.064583,-41.806005,196.136369,-79.551515,1.401198,6.405717,-4.041512,-2.725570,-5.840637,4.118188,2.474807,-0.197847,0.183389,-0.069301,-13.705381,188.571279,1071.327004,-1334.543517,0
0.065625,-132.636749,170.911441,-36.735227,2.192898,6.895656,-2.176278,-4.755435,-6.447136,2.368167,4.538358,-0.230724,0.185022,-0.076769,-4.815721,188.496020,1069.503177,-1334.371994,0
0.066667,-180.921774,109.902876,7.312121,3.007218,5.603354,0.387427,-5.863652,-5.219436,-0.112078,5.513208,-0.263601,0.202007,-0.031958,-5.494321,188.495629,1067.596615,-1333.532379,0
0.067708,-191.992054,62.799431,82.148296,4.420968,4.272000,2.828107,-6.665896,-3.855732,-2.613307,6.466711,-0.303784,0.202529,-0.031958,0.929758,188.495942,1065.451565,-1333.184260,0
0.068750,-153.847225,20.661238,156.147349,5.834718,2.074378,4.578252,-6.035295,-1.642931,-4.375918,5.868993,-0.267254,0.214680,-0.061832,13.483858,188.571380,1062.948664,-1332.473183,0
0.069792,-95.501402,-28.024805,207.014773,6.841308,-0.581230,5.844230,-4.546478,0.911716,-5.739843,4.549032,-0.256295,0.212132,-0.065566,24.635518,188.495966,1061.471986,-1332.460284,0
0.070833,-54.282756,-104.049934,182.479735,6.366288,-3.109028,6.340303,-2.539001,3.477389,-6.222463,2.563753,-0.223418,0.208212,-0.058098,28.842838,188.495799,1058.747097,-1331.222845,0
