1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-148.051207,-62.841971,177.112311,6.253188,6.153648,-1.354781,-4.770360,-6.226591,1.667320,4.517011,-0.238030,0.622765,-0.028224,41.068948,188.646505,1598.187756,905.407089,0
0.001057,-63.549578,-117.133553,201.795076,6.694278,5.134718,1.391479,-6.225595,-5.197381,-1.186431,6.011307,-0.238030,0.603167,-0.069301,48.974637,188.495787,1597.552334,905.725329,0
0.002095,4.494082,-165.988729,170.403031,6.106158,3.444785,3.467049,-6.367387,-3.583727,-3.205041,6.174968,-0.256295,0.628513,-0.069301,48.906777,188.495734,1597.521623,906.230483,0
0.003138,73.910185,-192.506313,122.243940,5.178738,0.931188,5.379906,-5.598724,-0.984972,-5.227847,5.506093,-0.241683,0.620413,-0.061832,43.183918,188.495645,1597.568857,905.717422,0
0.004175,128.081967,-191.539841,37.103788,3.561408,-1.504303,6.241089,-4.039012,1.385887,-6.134332,3.979776,-0.216112,0.607283,-0.065566,27.225508,188.646471,1596.858482,906.091604,0
0.005220,173.020954,-163.947056,-40.945455,2.125038,-3.694824,6.439518,-2.065117,3.657501,-6.423904,2.108349,-0.238030,0.607609,-0.028224,2.026828,188.495698,1595.728389,906.813190,0
0.006260,181.550515,-96.571854,-104.012690,0.982728,-5.352804,5.300534,0.617738,5.267479,-5.349551,-0.414164,-0.143052,0.601665,-0.114112,-11.454691,188.475905,1594.878981,907.498200,0
0.007305,186.087515,-10.918245,-151.174622,0.066618,-6.300728,3.895656,2.826709,6.278311,-3.914282,-2.652050,-0.088257,0.612378,-0.024490,-27.175591,188.552398,1594.689847,908.458385,0
0.008341,147.783891,63.077292,-177.433144,-0.431022,-6.041558,1.566097,4.606572,6.072469,-1.702625,-4.313565,-0.044421,0.625639,-0.080503,-36.687301,188.494837,1593.723093,908.939340,0
0.009383,65.891037,117.199742,-201.340342,-0.917352,-5.047480,-1.223818,6.050612,5.080016,1.104963,-5.832765,-0.011544,0.626750,-0.039427,-43.722121,188.576694,1591.944564,909.728610,0
0.010428,-4.863481,165.861623,-170.305304,-0.351852,-3.350447,-3.247795,6.203599,3.418577,3.148752,-5.985752,-0.015197,0.610549,-0.035692,-44.412031,188.486082,1591.169509,910.139890,0
