1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,147.228108,-172.137909,7.078220,3.120318,-4.667600,5.110042,0.106540,4.708765,-5.127126,0.059029,-0.154011,0.440443,-0.065566,-60.709740,188.420231,1609.307504,-8.978643,0
0.001042,185.928720,-123.174005,-54.351705,1.921458,-5.583572,3.649603,2.211033,5.771057,-3.754807,-2.050774,-0.102869,0.438287,-0.035692,-64.374180,188.495754,1610.265123,-9.710211,0
0.002083,189.524293,-44.756857,-114.021212,0.801768,-5.675880,1.689123,4.121494,5.818842,-1.811739,-3.854602,-0.037115,0.444428,-0.043161,-60.257340,188.420233,1610.876850,-9.659391,0
0.003125,163.980981,20.866613,-165.073296,-0.170892,-5.072332,-0.307075,5.214786,5.245425,0.223657,-5.053597,-0.033462,0.462719,-0.061832,-38.960611,188.495617,1611.277678,-10.082471,0
0.004167,99.249331,75.158196,-193.166099,-0.713772,-3.403701,-2.704099,5.737177,3.561931,2.515052,-5.466307,-0.029809,0.453442,-0.017021,-12.382111,188.495689,1611.766833,-10.552884,0
0.005208,29.492953,133.521043,-191.639584,-0.725082,-1.493652,-4.315344,5.285682,1.639514,4.294449,-5.163890,-0.048074,0.451287,-0.065566,7.500868,188.495664,1611.978739,-10.681101,0
0.006250,-33.151677,177.580100,-142.864963,0.213648,0.863733,-5.406705,3.964777,-0.621072,5.331032,-3.826139,-0.055380,0.431820,-0.031958,26.852278,188.420249,1611.231599,-10.958287,0
0.007292,-85.338522,202.780866,-67.548674,1.616088,3.153662,-5.712286,1.912523,-3.002958,5.742308,-1.947596,-0.110175,0.439790,-0.046895,44.778627,188.495720,1610.467435,-10.847254,0
0.008333,-147.257232,171.986642,-5.441667,2.803638,4.712235,-4.997941,-0.218089,-4.491637,4.970117,0.112397,-0.157664,0.435282,-0.046895,65.736057,188.420265,1608.862941,-10.510930,0
0.009375,-186.456914,122.563663,54.954167,3.991188,5.656609,-3.577188,-2.333776,-5.528199,3.719502,2.183064,-0.212459,0.438287,-0.031958,70.983897,188.495560,1608.219837,-9.783022,0
0.010417,-189.553416,43.868655,113.786553,5.099568,5.766667,-1.573053,-4.262894,-5.612741,1.713483,4.050933,-0.194194,0.444689,-0.039427,64.277067,188.420112,1607.506029,-9.375264,0
0.011458,-163.749228,-21.138690,165.220266,6.049608,5.156019,0.407270,-5.412156,-5.079757,-0.288339,5.246370,-0.241683,0.459191,-0.039427,46.203687,188.495671,1607.024695,-8.949046,0
0.012500,-98.858783,-75.055764,193.042235,6.660348,3.501590,2.784452,-5.919622,-3.436697,-2.579734,5.669754,-0.274560,0.468010,-0.043161,18.754318,188.420394,1606.705931,-8.163201,0
0.013542,-29.181802,-133.599825,191.540341,6.569868,1.563138,4.419509,-5.408425,-1.462819,-4.342344,5.388684,-0.267254,0.438940,-0.039427,-2.440621,188.495712,1606.863659,-8.281130,0
0.014583,33.020471,-177.525992,143.184281,5.698998,-0.769395,5.554524,-4.139759,0.816146,-5.391518,4.097185,-0.245336,0.447498,-0.046895,-21.656311,188.421280,1606.710001,-8.126498,0
0.015625,84.946438,-202.400574,68.360417,4.285248,-3.162283,5.832324,-2.094968,3.234790,-5.886727,2.175948,-0.190541,0.445930,-0.043161,-41.075581,188.495848,1607.085370,-7.684780,0
0.016667,147.228108,-171.932534,6.918182,3.120318,-4.685352,5.137822,0.114003,4.771253,-5.110339,0.037682,-0.146705,0.440182,-0.050629,-60.110310,188.420444,1607.419419,-8.353544,0
0.017708,186.110200,-123.089439,-54.290152,1.944078,-5.658128,3.689289,2.229690,5.811490,-3.796774,-2.047216,-0.084604,0.442795,-0.020755,-66.274260,188.495892,1608.221056,-8.020232,0
0.018750,189.229388,-44.889747,-114.476705,0.767838,-5.814340,1.716903,4.162539,5.866627,-1.824329,-3.893739,-0.077298,0.446453,-0.035692,-60.562710,188.420540,1609.137269,-8.047884,0
0.019791,164.241859,20.383377,-165.467235,-0.204822,-5.129137,-0.315012,5.304338,5.307913,0.223657,-5.103406,-0.051727,0.456317,-0.017021,-41.426191,188.495980,1610.473966,-8.086805,0
0.020833,99.589606,74.952821,-193.572349,-0.770322,-3.425003,-2.747754,5.811805,3.606040,2.494068,-5.487654,-0.011544,0.462588,-0.054364,-14.010751,188.419889,1611.092635,-7.629897,0
0.021875,30.695258,133.690176,-191.294887,-0.657222,-1.483001,-4.390747,5.300607,1.654217,4.378383,-5.224373,-0.022503,0.461869,-0.039427,5.725198,188.495278,1612.603572,-8.218789,0
0.022917,-32.244277,178.655301,-142.704925,0.224958,0.902786,-5.529731,3.979702,-0.646803,5.423360,-3.907970,-0.040768,0.452855,-0.065566,26.332018,188.419952,1614.694033,-8.382286,0
0.023958,-85.247782,202.539248,-68.447349,1.627398,3.260171,-5.748003,1.938643,-3.069122,5.834636,-1.958270,-0.102869,0.446845,-0.073035,44.360157,188.495351,1616.263155,-9.148055,0
0.025000,-148.414167,172.155774,-6.512689,2.792328,4.829394,-5.065407,-0.296448,-4.605585,5.091821,0.172880,-0.179582,0.440639,-0.050629,65.408067,188.344545,1618.969616,-10.114428,0
0.026042,-186.105296,123.071061,54.781818,3.934638,5.759567,-3.585125,-2.427060,-5.620092,3.711109,2.229316,-0.212459,0.440508,-0.043161,69.739797,188.495314,1620.091236,-11.165680,0
0.027083,-189.927719,44.665994,114.537500,5.099568,5.805720,-1.561147,-4.389761,-5.682580,1.721877,4.157669,-0.212459,0.445081,-0.031958,64.853877,188.419867,1622.165104,-11.982887,0
0.028125,-164.316353,-20.848748,164.974054,6.049608,5.163120,0.466799,-5.408425,-5.145921,-0.347093,5.328200,-0.234377,0.451483,0.001650,45.151857,188.495209,1623.825720,-12.933622,0
0.029167,-98.257630,-74.596690,194.334849,5.212668,3.466087,2.883667,-6.027832,-3.421994,-2.655274,5.751584,-0.274560,0.457035,-0.046895,18.098338,188.419817,1625.341494,-13.904526,0
0.030209,-29.079719,-133.623987,191.146402,6.558558,1.527635,4.490943,-5.479321,-1.422386,-4.392705,5.395799,-0.227071,0.427574,-0.050629,-3.673411,188.495307,1625.637851,-14.625857,0
0.031250,33.020471,-178.987782,142.137879,5.676378,-0.847501,5.614052,-4.169610,0.830849,-5.504828,4.093627,-0.234377,0.465005,-0.054364,-21.294391,188.420486,1627.146871,-14.806534,0
0.032292,84.742273,-202.352250,67.609470,4.228698,-3.183584,5.883916,-2.076311,3.297277,-5.861547,2.147485,-0.175929,0.440508,-0.050629,-39.763621,188.496118,1626.933718,-15.561105,0
0.033334,147.568383,-172.089585,5.859470,3.063768,-4.806061,5.117979,0.143854,4.822714,-5.118733,-0.005012,-0.161317,0.436719,-0.024490,-61.049040,188.421555,1627.631422,-15.936900,0
0.034375,185.531732,-122.026319,-54.868750,1.898838,-5.668779,3.673415,2.263272,5.826193,-3.738021,-2.107700,-0.084604,0.436197,-0.065566,-64.125360,188.495942,1627.196925,-16.751541,0
0.035417,189.785170,-43.246744,-114.255114,0.779148,-5.803690,1.657374,4.229704,5.877654,-1.765575,-3.918644,-0.066339,0.445799,-0.024490,-60.268650,188.421345,1627.263469,-17.131494,0
0.036458,163.708761,21.760600,-164.888637,-0.170892,-5.093634,-0.382478,5.304338,5.271155,0.274018,-5.082059,-0.026156,0.461869,-0.028224,-38.836201,188.495803,1626.400388,-17.322886,0
