1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,132.123080,91.701101,-163.525278,-16.842491,-2.197802,-6.105006,8.547009,2.197802,6.593407,-7.570208,-0.767399,2.144078,0
0.001042,51.613188,136.131871,-171.542861,-4.871795,1.221001,-8.058608,7.081807,-1.221001,8.058608,-6.105006,-0.767399,2.163614,0
0.002084,-35.912089,155.173630,-159.850553,14.058608,4.639805,-8.547009,4.639805,-4.151404,8.547009,-3.174603,-0.278999,2.124542,0
0.003126,-108.404398,168.202202,-105.397805,15.172161,7.570208,-7.570208,0.732601,-6.593407,7.570208,-0.244200,-0.278999,2.114774,0
0.004167,-143.815388,167.868136,-20.545055,-0.974359,9.035409,-5.616606,-2.197802,-8.058608,5.616606,3.174603,-0.278999,2.124542,0
0.005209,-161.186817,145.151652,68.650551,-15.172161,9.035409,-2.686203,-5.616606,-8.547009,3.174603,6.105006,-0.278999,2.105006,0
0.006250,-172.545059,78.338463,121.432970,-8.490842,7.570208,0.732601,-7.570208,-6.593407,-0.244200,7.570208,-0.278999,2.114774,0
0.007292,-165.863740,-6.514286,147.490113,9.326007,5.128205,3.663004,-8.547009,-4.639805,-3.174603,8.547009,-0.278999,2.124542,0
0.008333,-133.459344,-94.039563,160.852751,20.739927,2.197802,6.593407,-8.058608,-1.709402,-6.105006,8.058608,-0.278999,2.134310,0
0.009375,-53.617584,-137.802201,168.870333,7.377289,-0.732601,8.058608,-6.593407,1.221001,-7.570208,6.593407,-0.767399,2.134310,0
0.010417,34.575825,-157.178025,157.846157,-11.274725,-4.639805,9.035409,-3.663004,4.639805,-8.058608,3.663004,-0.767399,2.134310,0
0.011459,106.734068,-169.538465,103.393409,-14.336996,-7.081807,8.058608,-0.244200,7.081807,-7.081807,0.732601,-0.278999,2.183150,0
0.012500,142.813190,-169.204399,18.874726,3.201465,-8.547009,5.616606,3.663004,8.547009,-5.616606,-2.686203,-0.767399,2.114774,0
0.013542,159.850553,-146.821981,-70.654947,18.512821,-8.547009,3.174603,6.105006,8.547009,-2.686203,-5.616606,-0.278999,2.114774,0
0.014584,170.206597,-80.008793,-124.105497,11.274725,-7.081807,-0.244200,7.570208,7.081807,0.244200,-7.570208,-0.278999,2.114774,0
0.015625,163.859344,4.509890,-149.494509,-6.542125,-5.128205,-3.174603,9.035409,5.128205,3.663004,-8.058608,-0.278999,2.124542,0
0.016667,132.123080,92.035167,-163.191212,-17.956044,-1.709402,-6.105006,8.547009,2.197802,6.593407,-8.058608,-0.278999,2.124542,0
0.017709,51.613188,135.463739,-175.885718,-4.036630,1.709402,-8.058608,7.081807,-1.221001,8.547009,-6.105006,-0.278999,2.134310,0
0.018751,-36.246155,155.173630,-159.850553,15.172161,5.128205,-8.058608,4.151404,-4.151404,8.547009,-3.174603,-0.767399,2.124542,0
0.019792,-108.404398,167.868136,-105.397805,17.399267,7.081807,-7.570208,0.732601,-6.593407,7.570208,-0.244200,-0.767399,2.163614,0
