1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,155.841762,15.200000,-182.232971,4.315018,-7.081807,-0.732601,7.570208,7.081807,1.221001,-7.570208,-0.278999,2.720391,0
0.001042,121.432970,109.740662,-179.560444,-16.007326,-4.639805,-3.663004,8.058608,4.639805,3.663004,-7.570208,-0.278999,2.720391,0
0.002083,47.270331,167.868136,-167.534070,-15.172161,-1.221001,-6.105006,8.058608,1.709402,6.593407,-7.570208,-0.278999,2.710623,0
0.003125,-52.949452,184.571433,-149.494509,8.490842,2.197802,-7.570208,6.593407,-1.709402,8.058608,-5.616606,0.209402,2.720391,0
0.004167,-140.140662,171.542861,-104.395607,26.307692,5.128205,-8.058608,3.663004,-4.151404,8.547009,-3.174603,-0.278999,2.700855,0
0.005209,-176.219784,160.852751,-15.200000,10.996337,7.570208,-7.081807,0.732601,-6.593407,7.570208,0.244200,-0.278999,2.691087,0
0.006250,-184.237367,133.125278,84.351650,-11.274725,8.058608,-5.128205,-2.686203,-7.570208,5.616606,2.686203,-0.767399,2.720391,0
0.007291,-167.200004,79.006595,162.189015,-19.347985,8.547009,-2.197802,-5.616606,-8.058608,2.686203,6.105006,-0.767399,2.720391,0
0.008334,-157.846157,-16.870330,179.894510,-1.252747,7.081807,0.732601,-7.570208,-6.593407,-0.732601,8.058608,-0.278999,2.749695,0
0.009375,-123.437365,-111.745057,177.556048,21.575092,4.639805,3.663004,-8.058608,-4.151404,-3.663004,8.058608,-0.278999,2.720391,0
0.010416,-49.608792,-169.538465,165.195608,19.069597,1.709402,6.593407,-7.570208,-1.221001,-6.105006,7.570208,-0.278999,2.710623,0
0.011458,49.942858,-186.241762,147.490113,-4.036630,-1.221001,8.547009,-6.105006,2.197802,-7.570208,6.105006,-0.278999,2.720391,0
0.012500,137.802201,-174.883520,102.725277,-21.575092,-4.639805,8.058608,-3.174603,4.639805,-8.058608,3.174603,-0.278999,2.691087,0
0.013542,173.547257,-162.857146,12.193407,-6.820513,-7.081807,7.570208,-0.244200,7.081807,-7.081807,0.244200,-0.278999,2.691087,0
0.014583,181.898905,-136.465937,-87.024178,15.172161,-8.058608,5.616606,3.174603,8.058608,-5.128205,-2.686203,-0.278999,2.710623,0
0.015625,164.527476,-81.679123,-164.527476,27.142857,-8.058608,2.686203,5.616606,8.547009,-2.197802,-5.616606,-0.278999,2.710623,0
0.016667,155.841762,14.197803,-182.901103,4.593407,-6.593407,-0.732601,8.058608,7.081807,1.221001,-7.570208,-0.767399,2.808303,0
0.017708,121.432970,109.072530,-179.894510,-16.564103,-4.151404,-3.663004,8.058608,4.639805,4.151404,-7.570208,-0.767399,2.730159,0
0.018750,47.938463,167.534070,-167.534070,-14.615385,-1.221001,-5.616606,8.547009,1.709402,6.593407,-7.570208,-0.278999,2.769231,0
0.019791,-51.947254,184.571433,-149.828575,6.820513,1.709402,-7.570208,6.105006,-1.709402,8.058608,-5.616606,-0.278999,2.720391,0
0.020834,-139.138465,172.879125,-105.397805,25.472527,5.128205,-8.058608,3.663004,-4.639805,7.570208,-3.174603,-0.278999,2.700855,0
0.021875,-175.551652,161.520883,-15.200000,11.274725,7.570208,-7.081807,0.732601,-6.593407,7.081807,0.244200,-0.278999,2.691087,0
0.022917,-183.903301,134.127476,84.351650,-10.996337,8.547009,-5.128205,-2.686203,-8.058608,5.128205,3.174603,-0.278999,2.710623,0
0.023958,-167.534070,79.006595,162.523081,-23.802198,8.547009,-2.197802,-5.128205,-7.570208,2.686203,6.105006,-0.278999,2.710623,0
0.025000,-158.848355,-16.536264,179.560444,-0.417582,7.570208,0.732601,-7.081807,-6.593407,-0.244200,7.570208,-0.278999,2.720391,0
0.026042,-123.771431,-111.410991,177.556048,20.461538,5.128205,4.151404,-8.058608,-4.151404,-3.663004,8.547009,-0.767399,2.749695,0
0.027083,-49.942858,-169.538465,165.195608,19.347985,1.709402,6.593407,-7.570208,-1.221001,-6.105006,8.058608,-0.767399,2.720391,0
0.028125,48.940660,-186.241762,147.824179,-4.593407,-1.709402,8.058608,-6.105006,2.197802,-7.570208,6.105006,-0.278999,2.730159,0
0.029167,137.134069,-174.549454,102.391211,-21.575092,-4.151404,8.058608,-3.663004,4.639805,-7.570208,3.174603,-0.278999,2.700855,0
0.030208,173.547257,-163.191212,13.195605,-7.098901,-7.081807,7.570208,-0.244200,7.081807,-6.593407,0.244200,-0.278999,2.700855,0
0.031250,182.567037,-136.465937,-86.690112,14.615385,-8.058608,5.616606,2.686203,8.058608,-5.128205,-2.686203,-0.278999,2.730159,0
0.032292,165.863740,-81.679123,-163.525278,27.699634,-8.058608,2.686203,6.105006,8.058608,-2.686203,-5.128205,-0.278999,2.710623,0
0.033333,155.841762,14.531868,-182.232971,4.315018,-7.081807,-0.732601,7.570208,7.081807,1.221001,-7.081807,-0.278999,2.710623,0
0.034375,121.432970,108.404398,-180.228575,-16.285714,-4.151404,-3.174603,8.547009,4.639805,4.151404,-8.058608,-0.278999,2.720391,0
0.035416,48.272529,167.200004,-167.868136,-15.172161,-1.709402,-6.105006,8.058608,1.709402,6.593407,-7.570208,-0.278999,2.720391,0
0.036459,-51.279122,183.903301,-150.830773,8.490842,1.709402,-7.570208,6.593407,-1.221001,8.058608,-5.616606,-0.767399,2.730159,0
0.037500,-138.804399,173.213191,-105.731870,25.194139,4.639805,-8.058608,3.663004,-4.639805,8.058608,-3.174603,-0.278999,2.720391,0
0.038542,-175.551652,161.186817,-15.534066,11.553114,7.081807,-7.081807,0.732601,-6.593407,7.570208,0.244200,-0.278999,2.730159,0
0.039583,-184.237367,134.461541,84.017584,-10.717949,8.547009,-5.616606,-2.197802,-8.058608,5.128205,3.174603,-0.278999,2.720391,0
0.040626,-167.200004,80.342859,161.854949,-24.358974,8.547009,-2.197802,-5.128205,-8.058608,2.197802,5.616606,-0.278999,2.700855,0
0.041666,-158.180223,-15.534066,179.560444,-1.531136,7.081807,1.221001,-7.570208,-6.593407,-0.732601,7.570208,-0.278999,2.700855,0
0.042708,-124.439563,-110.742860,177.556048,19.626374,5.128205,4.151404,-8.058608,-3.663004,-3.663004,8.058608,-0.278999,2.720391,0
0.043750,-50.610990,-169.538465,165.195608,19.347985,2.197802,7.081807,-7.570208,-1.221001,-6.593407,8.058608,-0.278999,2.710623,0
