1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-18.206594,180.896707,-158.514289,-0.974359,0.732601,-7.570208,7.081807,-0.244200,7.570208,-6.105006,0.209402,2.720391,0
0.001041,-113.081321,178.224180,-122.101102,21.018315,4.151404,-7.570208,4.639805,-3.174603,8.058608,-3.663004,-0.767399,2.710623,0
0.002083,-169.872531,164.193410,-43.929671,18.512821,6.593407,-7.570208,1.709402,-6.105006,8.058608,-0.732601,-0.278999,2.710623,0
0.003124,-185.239565,145.485718,56.958243,-3.201465,8.058608,-6.105006,-1.709402,-7.570208,6.105006,2.197802,-0.278999,2.788767,0
0.004167,-173.881323,101.723079,141.810992,-22.967033,8.547009,-3.174603,-4.639805,-7.570208,3.663004,5.128205,-0.278999,2.700855,0
0.005208,-162.523081,13.529671,172.879125,-6.820513,7.570208,-0.244200,-7.081807,-7.081807,-0.244200,7.570208,-0.278999,2.700855,0
0.006249,-136.131871,-85.353848,180.896707,14.615385,5.616606,3.174603,-8.058608,-5.128205,-3.174603,8.547009,-0.278999,2.720391,0
0.007291,-80.008793,-164.193410,164.527476,27.142857,2.686203,6.105006,-8.058608,-1.709402,-5.616606,8.058608,-0.278999,2.710623,0
0.008333,16.536264,-183.903301,155.841762,4.315018,-0.732601,8.547009,-6.593407,1.221001,-7.570208,6.593407,-0.278999,2.710623,0
0.009374,111.410991,-180.228575,120.764838,-17.120879,-3.174603,8.058608,-3.663004,4.151404,-7.570208,4.151404,-0.278999,2.700855,0
0.010416,168.536267,-166.531872,40.589012,-13.223443,-6.105006,8.058608,-1.221001,6.593407,-7.570208,1.221001,2.163004,2.700855,0
0.011458,183.903301,-147.156047,-60.298902,5.150183,-8.058608,6.105006,2.197802,8.058608,-5.616606,-1.709402,-0.767399,2.720391,0
0.012500,172.210993,-103.393409,-144.149454,26.029304,-8.058608,3.663004,4.639805,8.547009,-3.174603,-4.639805,-0.767399,2.720391,0
0.013541,160.518685,-14.197803,-175.551652,11.831502,-7.081807,0.244200,8.547009,7.570208,-0.244200,-7.081807,-0.278999,2.710623,0
0.014583,133.793410,84.017584,-183.235169,-10.717949,-5.128205,-2.686203,8.058608,5.616606,3.174603,-8.058608,-0.278999,2.720391,0
0.015625,76.668134,162.523081,-167.200004,-22.688645,-2.197802,-5.616606,8.058608,2.686203,5.616606,-8.058608,-0.278999,2.710623,0
0.016666,-19.208792,181.564839,-157.512091,-0.139194,1.221001,-7.570208,7.081807,-0.244200,7.570208,-6.105006,-0.278999,2.710623,0
0.017708,-115.419783,178.224180,-121.098904,20.461538,4.151404,-8.058608,4.639805,-3.663004,8.058608,-3.663004,-0.278999,2.700855,0
0.018749,-170.540663,163.859344,-43.595605,17.956044,7.081807,-7.570208,1.709402,-6.105006,8.058608,-0.732601,0.209402,2.691087,0
0.019792,-185.907696,144.483520,58.294507,-4.871795,8.058608,-6.105006,-1.709402,-7.570208,6.105006,2.197802,0.209402,2.710623,0
0.020833,-173.547257,101.054947,141.810992,-22.688645,8.547009,-3.174603,-4.639805,-8.058608,3.663004,5.128205,-0.767399,2.788767,0
0.021875,-162.523081,12.193407,173.547257,-6.263736,7.570208,-0.244200,-7.081807,-7.081807,0.244200,7.570208,-0.767399,2.720391,0
0.022916,-135.463739,-86.690112,180.896707,16.285714,6.105006,3.174603,-8.058608,-5.128205,-2.686203,8.058608,-0.278999,2.739927,0
0.023958,-78.004397,-164.861542,164.861542,26.029304,2.686203,6.105006,-8.058608,-2.197802,-5.616606,8.547009,-0.767399,2.710623,0
0.024999,17.872528,-184.237367,155.173630,5.150183,-0.244200,8.058608,-7.081807,1.221001,-7.570208,6.593407,-0.278999,2.710623,0
0.026041,112.747255,-179.894510,118.092310,-17.956044,-3.663004,8.547009,-4.151404,4.151404,-7.570208,4.151404,-0.278999,2.700855,0
0.027083,168.870333,-165.863740,39.586814,-13.780220,-6.593407,8.058608,-0.732601,6.593407,-7.570208,1.221001,0.209402,2.691087,0
